Date,Open,High,Low,Close,Volume
2016-05-26,10.52,10.8,8.13,9.9,1833769.0
2016-05-27,10.33,13.67,10.23,12.57,1559428.0
2016-05-30,14.34,20.36,14.05,19.98,2034507.0
2016-05-31,20.94,21.03,18.07,18.74,1086587.0
2016-06-01,19.03,19.89,18.36,19.12,366193.0
2016-06-02,19.22,19.22,16.35,16.73,503157.0
2016-06-03,15.77,16.54,13.62,14.1,702561.0
2016-06-07,14.34,15.68,14.34,15.01,199886.0
2016-06-08,15.11,16.83,14.72,16.44,318519.0
2016-06-09,17.02,17.97,16.83,17.21,184917.0
2016-06-10,17.69,17.69,15.77,16.16,116773.0
2016-06-13,15.49,15.49,14.34,14.72,100031.0
2016-06-14,14.82,14.91,13.05,13.86,149713.0
2016-06-15,13.91,14.82,13.91,14.1,61564.0
2016-06-16,14.05,14.05,13.29,13.67,54746.0
2016-06-17,13.67,14.34,12.91,14.15,24185.0
2016-06-20,14.2,15.3,13.96,13.96,55289.0
2016-06-21,14.05,14.29,13.62,13.81,32583.0
2016-06-22,13.77,14.15,13.67,13.72,16085.0
2016-06-23,13.58,14.1,13.38,13.81,53693.0
2016-06-27,12.33,13.38,11.81,13.15,90253.0
2016-06-28,13.05,13.72,13.05,13.38,43658.0
2016-06-29,13.53,14.01,13.38,14.01,28362.0
2016-06-30,14.25,14.53,13.67,14.01,37058.0
2016-07-01,14.01,14.53,13.62,14.53,34798.0
2016-07-04,14.53,14.82,14.05,14.82,17453.0
2016-07-05,14.82,14.82,14.05,14.15,25310.0
2016-07-06,14.34,14.34,13.77,13.86,16222.0
2016-07-07,13.72,14.34,13.43,13.62,30598.0
2016-07-08,13.81,14.01,13.58,13.81,10740.0
2016-07-11,13.81,14.25,13.67,14.01,7049.0
2016-07-12,14.01,14.01,13.53,13.67,22074.0
2016-07-13,13.67,13.91,13.58,13.58,8381.0
2016-07-14,13.58,13.91,13.53,13.67,14361.0
2016-07-15,13.67,14.2,13.67,13.86,37201.0
2016-07-18,14.34,14.34,13.48,13.72,28001.0
2016-07-19,13.67,14.15,13.62,13.72,21652.0
2016-07-20,13.62,13.96,13.53,13.96,28259.0
2016-07-21,13.96,13.96,13.53,13.58,14668.0
2016-07-22,13.77,13.77,13.58,13.67,11839.0
2016-07-25,13.53,13.72,13.43,13.58,32961.0
2016-07-26,13.58,13.58,12.67,13.29,33661.0
2016-07-27,13.29,13.67,13.29,13.48,22652.0
2016-07-28,13.0,13.53,13.0,13.19,11041.0
2016-07-29,13.19,13.48,13.1,13.29,9315.0
2016-08-01,13.48,13.86,13.29,13.81,21057.0
2016-08-02,13.86,13.86,13.38,13.81,31687.0
2016-08-03,13.81,13.81,13.43,13.72,9496.0
2016-08-04,13.72,13.72,12.72,13.38,53602.0
2016-08-05,13.72,13.72,13.24,13.24,27686.0
2016-08-08,13.38,13.38,12.76,13.24,29604.0
