Date,Open,High,Low,Close,Volume
2017-10-13,46.5,48.9,42.0,44.7,2586675.0
2017-10-16,44.8,45.0,43.5,44.4,359066.0
2017-10-17,44.1,45.9,44.1,44.3,470522.0
2017-10-18,44.9,45.5,44.5,45.1,186489.0
2017-10-19,45.6,47.2,45.5,46.9,256860.0
2017-10-20,46.9,54.25,46.9,52.25,366518.0
2017-10-23,53.5,66.75,53.5,66.75,839053.0
2017-10-24,66.0,66.25,56.75,57.75,430782.0
2017-10-25,58.0,60.5,57.0,57.5,255883.0
2017-10-26,58.5,58.75,56.75,57.75,61672.0
2017-10-27,57.75,57.75,54.0,57.0,117190.0
2017-10-30,57.25,57.25,53.0,57.0,109861.0
2017-10-31,57.5,60.0,56.0,59.25,95347.0
2017-11-01,59.25,60.75,57.25,58.25,229935.0
2017-11-02,59.0,61.75,58.0,60.25,65341.0
2017-11-03,61.75,63.0,61.0,62.25,63449.0
2017-11-06,62.5,64.5,62.5,63.5,90470.0
2017-11-07,64.0,65.0,62.75,63.25,106207.0
2017-11-08,63.25,64.5,60.0,62.75,74295.0
2017-11-09,62.0,62.0,56.0,61.25,191188.0
2017-11-10,61.5,63.25,60.5,63.0,74130.0
2017-11-13,61.25,62.25,59.25,59.75,103524.0
2017-11-14,59.75,60.0,58.0,59.5,72209.0
2017-11-15,58.0,58.75,54.5,57.0,128556.0
2017-11-16,57.75,57.75,55.0,56.5,34302.0
2017-11-17,56.75,56.75,50.0,54.5,179300.0
2017-11-20,53.0,56.75,52.25,56.75,71400.0
2017-11-21,56.5,58.75,56.25,57.25,26791.0
2017-11-22,57.25,58.5,56.75,58.0,35259.0
2017-11-23,57.5,57.5,56.25,57.0,16169.0
2017-11-24,57.0,57.25,56.25,57.25,11750.0
2017-11-27,57.25,58.0,55.5,58.0,53242.0
2017-11-28,58.0,58.5,56.25,56.25,44193.0
2017-11-29,58.0,59.75,56.0,56.0,45776.0
2017-11-30,55.5,57.0,55.0,55.5,28764.0
2017-12-01,55.0,55.0,51.0,51.0,183016.0
2017-12-04,52.5,53.0,50.0,52.0,39387.0
2017-12-05,51.0,53.0,49.0,50.0,45076.0
2017-12-06,48.0,48.5,46.5,47.0,157624.0
2017-12-07,47.5,49.8,47.3,49.5,44898.0
2017-12-08,49.7,49.9,49.0,49.8,37601.0
2017-12-11,50.75,53.5,50.75,51.25,57246.0
2017-12-12,52.0,52.5,49.5,50.75,20480.0
2017-12-13,51.0,51.75,49.0,50.0,47793.0
2017-12-14,49.9,50.0,48.5,49.7,35158.0
2017-12-15,50.0,50.0,47.6,48.8,10397.0
2017-12-18,48.2,49.9,47.5,47.5,22266.0
2017-12-19,46.6,48.5,45.0,45.8,38729.0
2017-12-20,45.9,49.5,45.0,48.0,41525.0
2017-12-21,48.5,49.0,47.0,47.4,21476.0
2017-12-22,50.75,52.0,50.0,50.0,73824.0
2017-12-27,50.0,52.0,50.0,51.5,34331.0
2017-12-28,53.0,53.0,51.5,51.5,23844.0
2017-12-29,51.5,53.0,50.25,53.0,13717.0
2018-01-02,54.0,57.0,53.0,54.76,30785.0
2018-01-03,55.0,57.1,55.0,56.77,65604.0
2018-01-04,56.78,59.79,56.0,56.49,26805.0
2018-01-05,56.49,58.29,55.5,57.2,17153.0
2018-01-08,58.0,58.0,55.0,55.3,40884.0
2018-01-09,56.01,57.9,52.5,54.87,28395.0
2018-01-10,54.99,57.2,54.87,56.5,39443.0
2018-01-11,56.5,57.2,56.5,56.7,31508.0
2018-01-12,57.0,57.25,53.66,54.7,32706.0
2018-01-15,56.5,56.8,54.0,55.3,26024.0
2018-01-16,56.0,56.8,55.5,56.4,9420.0
2018-01-17,56.59,56.59,55.5,56.25,17465.0
2018-01-18,56.57,57.0,56.25,56.65,15260.0
2018-01-19,57.0,57.0,55.5,55.67,19765.0
2018-01-22,56.9,56.9,54.65,54.99,37473.0
2018-01-23,55.2,55.3,54.6,54.91,10407.0
2018-01-24,54.91,55.0,54.01,54.8,6371.0
2018-01-25,53.01,54.8,52.99,54.2,21958.0
2018-01-26,54.2,54.5,53.1,54.5,14173.0
2018-01-29,55.87,56.0,53.16,53.16,9724.0
2018-01-30,53.16,54.0,52.5,53.67,11250.0
2018-01-31,53.01,54.48,50.3,52.6,27133.0
2018-02-01,52.61,54.1,50.0,52.24,35541.0
2018-02-02,52.6,53.5,50.01,51.92,21927.0
2018-02-05,50.1,50.11,48.21,49.38,54616.0
2018-02-06,46.99,50.1,46.5,50.1,116672.0
2018-02-07,50.0,51.87,50.0,50.4,173294.0
2018-02-08,51.5,52.0,49.52,49.85,11781.0
2018-02-09,49.85,51.24,46.0,47.88,38737.0
2018-02-12,48.0,49.6,48.0,48.05,13810.0
2018-02-13,48.05,49.38,48.0,48.16,6267.0
2018-02-14,48.1,49.49,47.25,48.56,13956.0
2018-02-15,49.0,49.5,47.5,47.5,17638.0
2018-02-16,51.0,51.5,49.0,50.65,55682.0
2018-02-19,50.99,52.01,47.0,47.44,140641.0
2018-02-20,49.65,49.65,48.01,48.84,34369.0
2018-02-21,48.99,49.65,48.1,48.51,22202.0
2018-02-22,48.99,50.9,48.52,50.4,17321.0
2018-02-23,50.9,53.86,50.4,50.86,31644.0
2018-02-26,50.5,50.5,48.08,48.8,74725.0
2018-02-27,49.0,51.0,48.8,50.01,33258.0
2018-02-28,50.0,50.0,48.2,48.2,22195.0
2018-03-01,48.01,49.0,47.51,47.83,17147.0
2018-03-02,47.74,49.12,47.4,47.9,31642.0
2018-03-05,47.9,48.79,46.0,47.31,18400.0
2018-03-06,47.5,47.5,45.2,45.81,36728.0
2018-03-07,45.81,47.0,44.8,45.21,75676.0
2018-03-08,45.5,46.0,44.0,44.33,239435.0
2018-03-09,44.9,44.94,43.2,43.6,34153.0
2018-03-12,44.0,44.0,39.99,40.69,149168.0
2018-03-13,41.5,41.71,39.0,41.03,148992.0
2018-03-14,41.05,42.99,40.88,41.1,58304.0
2018-03-15,41.5,42.99,41.5,42.54,32953.0
2018-03-16,42.54,42.95,40.01,41.1,980707.0
2018-03-19,42.71,44.5,41.57,43.97,48014.0
2018-03-20,44.57,44.57,42.51,42.81,18314.0
2018-03-21,43.99,43.99,42.5,43.01,22555.0
2018-03-22,43.01,43.9,42.6,43.49,21914.0
2018-03-23,43.49,44.5,43.0,44.3,19461.0
2018-03-26,44.44,45.6,44.31,44.8,108183.0
2018-03-27,44.07,44.99,44.0,44.05,16032.0
2018-03-28,44.01,47.89,44.01,46.5,60205.0
2018-03-29,46.5,48.0,45.0,48.0,7862.0
2018-04-03,48.01,48.49,46.0,47.51,15387.0
2018-04-04,48.25,49.5,46.5,47.49,54896.0
2018-04-05,47.49,48.3,47.0,47.94,53837.0
2018-04-06,47.95,48.2,47.51,47.95,26048.0
2018-04-09,47.95,48.0,45.04,46.85,18645.0
2018-04-10,46.85,46.85,45.01,46.0,15669.0
2018-04-11,45.99,45.99,42.78,43.5,87776.0
2018-04-12,44.9,44.9,42.4,43.34,40654.0
2018-04-13,41.5,44.4,40.5,43.39,45346.0
2018-04-16,44.99,44.99,43.51,43.99,24444.0
2018-04-17,44.0,44.5,43.99,44.17,7656.0
2018-04-18,44.5,45.5,44.17,45.4,3841.0
2018-04-19,45.4,47.99,45.4,46.42,28095.0
2018-04-20,47.4,47.4,44.0,45.0,23752.0
2018-04-23,45.0,45.0,43.01,44.0,42743.0
2018-04-24,43.99,44.5,42.5,43.22,44348.0
2018-04-25,43.49,43.5,42.5,42.5,23126.0
2018-04-26,42.06,43.95,42.06,43.49,11904.0
2018-04-27,44.49,44.5,43.56,43.98,17229.0
2018-04-30,44.98,44.98,43.8,44.4,12656.0
2018-05-02,44.5,44.5,42.4,42.5,77104.0
2018-05-03,42.5,43.08,40.5,41.01,40717.0
2018-05-04,42.05,42.44,40.35,41.0,30877.0
2018-05-07,41.77,42.47,40.6,42.47,398027.0
2018-05-08,42.47,43.49,42.47,43.0,46690.0
2018-05-09,42.94,42.94,41.0,41.3,18606.0
2018-05-11,42.0,42.0,40.72,41.47,26165.0
2018-05-14,41.01,41.47,41.0,41.4,23345.0
2018-05-15,41.4,41.4,40.81,40.99,18805.0
2018-05-16,40.99,40.99,39.5,39.69,59156.0
2018-05-17,40.01,40.34,39.6,40.0,52148.0
2018-05-18,39.87,40.5,38.5,40.5,63413.0
2018-05-21,40.51,40.95,40.1,40.4,11752.0
2018-05-22,40.51,41.49,40.5,41.2,51054.0
2018-05-23,41.5,42.0,41.2,41.75,25404.0
2018-05-24,42.0,42.0,41.0,42.0,43619.0
2018-05-25,41.95,42.0,41.0,41.65,25301.0
2018-05-28,41.6,41.9,40.51,41.9,46889.0
2018-05-29,41.0,42.5,41.0,42.39,40537.0
2018-05-30,42.39,44.5,42.0,44.5,72549.0
2018-05-31,44.47,44.48,42.62,44.0,34880.0
2018-06-01,44.88,44.88,43.0,44.0,28614.0
2018-06-04,44.0,44.0,42.5,42.9,21803.0
2018-06-05,42.9,44.3,42.0,42.7,33570.0
2018-06-06,42.7,42.7,42.7,42.7,0.0
2018-06-07,43.0,43.0,41.5,42.39,38169.0
2018-06-08,42.25,42.9,41.5,42.3,31903.0
2018-06-11,41.99,43.8,41.7,43.26,62941.0
2018-06-12,43.67,44.92,43.26,44.53,41039.0
2018-06-13,44.99,45.58,44.53,45.5,48697.0
2018-06-14,45.29,46.5,45.01,46.2,36265.0
2018-06-15,46.19,47.9,45.81,47.9,42212.0
2018-06-18,47.9,53.99,46.1,50.25,90808.0
2018-06-19,50.98,54.5,50.5,52.5,131484.0
2018-06-20,52.39,55.0,50.8,53.52,108565.0
2018-06-21,53.73,54.79,50.0,52.67,84268.0
2018-06-22,52.67,52.67,52.67,52.67,0.0
2018-06-25,53.6,53.6,51.7,52.94,30655.0
2018-06-26,55.49,61.43,55.45,59.0,206006.0
2018-06-27,58.98,59.88,56.4,57.65,273256.0
2018-06-28,58.0,59.9,58.0,59.6,106759.0
2018-06-29,59.6,62.0,59.6,61.77,83653.0
2018-07-02,61.99,65.8,61.78,65.0,95242.0
2018-07-03,65.95,71.59,65.95,71.2,155105.0
2018-07-04,73.01,78.94,71.26,73.0,295899.0
2018-07-05,73.5,73.85,68.0,72.8,116168.0
2018-07-06,72.81,72.89,67.0,67.25,120045.0
2018-07-09,67.25,72.0,67.25,72.0,85036.0
2018-07-10,72.0,72.0,70.07,70.91,40980.0
2018-07-11,70.91,73.99,70.91,72.29,60144.0
2018-07-12,72.51,77.5,72.51,73.64,137137.0
2018-07-13,74.98,74.99,72.6,73.75,41970.0
2018-07-16,73.9,75.2,72.0,72.7,92788.0
2018-07-17,72.74,72.75,69.0,69.07,70745.0
2018-07-18,69.06,72.5,69.0,71.4,80677.0
2018-07-19,71.49,71.49,69.16,69.51,38456.0
2018-07-20,70.0,70.35,69.06,70.0,32750.0
2018-07-23,70.0,70.49,69.16,69.98,23753.0
2018-07-24,69.99,69.99,69.0,69.4,17109.0
2018-07-25,69.1,69.99,69.0,69.0,78061.0
2018-07-26,68.99,68.99,66.9,67.22,63175.0
2018-07-27,67.27,69.0,67.2,68.8,17410.0
2018-07-30,68.5,70.75,68.0,69.5,28104.0
2018-07-31,69.99,69.99,68.03,68.5,24691.0
2018-08-01,68.5,68.5,67.51,67.53,16977.0
2018-08-02,67.69,67.7,64.15,67.5,79133.0
2018-08-03,67.07,68.8,66.6,68.7,20926.0
2018-08-06,68.71,70.25,67.0,67.0,39939.0
2018-08-07,67.78,70.39,67.78,69.39,50794.0
2018-08-08,69.75,69.93,68.1,69.69,26766.0
2018-08-09,69.98,70.85,69.69,69.98,19988.0
2018-08-10,69.98,70.72,69.19,69.99,18419.0
2018-08-13,70.01,70.31,67.86,68.07,38411.0
2018-08-14,68.05,69.3,67.5,69.3,18195.0
2018-08-15,69.95,70.5,68.8,70.1,50306.0
