Date,Open,High,Low,Close,Volume
2018-01-02,26.0,26.0,26.0,26.0,0.0
2018-01-03,25.8,25.8,25.8,25.8,16.0
2018-01-04,25.8,26.4,25.8,26.4,3748.0
2018-01-05,26.4,26.4,26.4,26.4,0.0
2018-01-08,26.7,26.7,26.4,26.4,115.0
2018-01-09,27.3,28.3,27.3,27.4,2669.0
2018-01-10,28.0,28.0,28.0,28.0,2.0
2018-01-11,28.0,28.0,27.8,27.8,277.0
2018-01-12,27.8,31.5,27.8,31.5,4339.0
2018-01-15,32.0,40.1,32.0,36.8,11497.0
2018-01-16,38.5,39.5,37.2,38.5,6000.0
2018-01-17,38.6,40.4,36.3,37.9,3517.0
2018-01-18,35.7,37.5,35.1,36.5,11706.0
2018-01-19,36.0,37.0,35.0,35.0,1079.0
2018-01-22,33.9,33.9,31.2,32.0,4827.0
2018-01-23,32.4,32.5,32.4,32.5,300.0
2018-01-24,32.0,32.0,31.0,31.0,820.0
2018-01-25,31.1,32.5,31.1,32.5,749.0
2018-01-26,32.3,32.3,31.2,31.2,6.0
2018-01-29,31.2,31.2,30.8,30.8,185.0
2018-01-30,30.8,30.8,30.8,30.8,55.0
2018-01-31,29.9,29.9,29.3,29.3,850.0
2018-02-01,29.0,29.0,29.0,29.0,12.0
2018-02-02,29.1,29.1,29.1,29.1,40.0
2018-02-05,28.7,29.2,28.7,29.2,524.0
2018-02-06,27.5,27.5,26.0,27.1,2955.0
2018-02-07,28.2,31.0,28.2,29.6,9522.0
2018-02-08,29.5,29.5,29.3,29.3,1380.0
2018-02-09,28.7,29.7,27.0,27.0,1811.0
2018-02-12,28.7,28.7,28.7,28.7,500.0
2018-02-13,28.7,28.7,28.7,28.7,0.0
2018-02-14,28.7,30.0,27.8,27.8,5232.0
2018-02-15,27.9,30.7,27.6,30.0,4180.0
2018-02-16,30.4,30.9,30.0,30.6,3326.0
2018-02-19,30.9,32.5,30.9,32.5,4155.0
2018-02-20,32.5,33.0,32.3,33.0,998.0
2018-02-21,33.0,33.0,33.0,33.0,111.0
2018-02-22,32.3,32.3,31.3,32.0,923.0
2018-02-23,32.0,32.0,32.0,32.0,1.0
2018-02-26,32.0,32.3,31.5,32.3,910.0
2018-02-27,32.3,32.5,32.3,32.5,211.0
2018-02-28,32.5,32.5,32.5,32.5,0.0
2018-03-01,31.9,32.5,31.9,32.5,60.0
2018-03-02,31.9,32.1,30.5,32.1,1661.0
2018-03-05,32.0,32.0,30.9,31.8,445.0
2018-03-06,31.8,31.8,31.8,31.8,0.0
2018-03-07,31.2,31.2,30.4,30.4,530.0
2018-03-08,30.4,30.4,30.4,30.4,0.0
2018-03-09,30.3,30.3,30.3,30.3,700.0
2018-03-12,31.4,31.4,31.4,31.4,1000.0
2018-03-13,31.4,31.4,31.4,31.4,20.0
2018-03-14,31.4,31.4,30.4,30.4,580.0
2018-03-15,29.9,31.1,29.9,30.0,815.0
2018-03-16,30.0,30.0,30.0,30.0,0.0
2018-03-19,30.2,30.2,28.4,28.4,3575.0
2018-03-20,28.7,28.7,28.7,28.7,11.0
2018-03-21,28.2,28.2,27.8,27.8,950.0
2018-03-22,26.5,26.8,25.0,25.3,7743.0
2018-03-23,25.0,25.0,25.0,25.0,229.0
2018-03-26,25.6,25.6,25.0,25.0,955.0
2018-03-27,24.7,25.0,24.5,25.0,1013.0
2018-03-28,24.5,24.5,24.5,24.5,500.0
2018-03-29,24.2,25.0,24.2,25.0,865.0
2018-04-03,25.0,25.0,24.3,24.4,5630.0
2018-04-04,24.3,24.8,24.3,24.8,202.0
2018-04-05,24.0,24.6,24.0,24.6,2257.0
2018-04-06,24.7,24.7,24.7,24.7,314.0
2018-04-09,24.7,24.7,24.7,24.7,0.0
2018-04-11,24.5,24.5,24.5,24.5,762.0
2018-04-12,24.0,24.0,24.0,24.0,100.0
2018-04-13,24.0,24.0,24.0,24.0,0.0
2018-04-16,24.0,24.0,24.0,24.0,495.0
2018-04-18,24.0,24.0,24.0,24.0,22.0
2018-04-20,24.6,24.7,24.5,24.5,142.0
2018-04-23,24.0,24.7,23.9,23.9,651.0
2018-04-24,23.9,23.9,23.9,23.9,0.0
2018-04-25,23.5,23.5,23.1,23.2,1963.0
2018-04-26,21.9,21.9,16.5,17.7,30270.0
2018-04-27,17.0,17.3,14.65,14.75,15901.0
2018-04-30,15.0,15.0,14.0,14.5,5465.0
2018-05-02,14.5,14.85,13.9,14.25,8599.0
2018-05-03,14.3,14.3,14.1,14.25,888.0
2018-05-04,14.2,14.2,13.8,14.1,1634.0
2018-05-07,14.4,14.4,14.0,14.0,3902.0
2018-05-08,14.0,14.0,14.0,14.0,1124.0
2018-05-09,14.0,14.0,14.0,14.0,0.0
2018-05-11,13.75,13.75,13.75,13.75,800.0
2018-05-14,13.75,13.75,13.75,13.75,0.0
2018-05-15,14.2,14.2,14.2,14.2,1500.0
2018-05-16,14.2,15.0,14.2,15.0,5205.0
2018-05-17,15.0,15.0,15.0,15.0,0.0
2018-05-18,15.0,15.0,14.8,14.8,1300.0
