Date,Open,High,Low,Close,Volume
2011-06-16,38.04,38.04,26.83,29.61,424894.0
2011-06-17,29.61,33.54,28.63,30.84,697692.0
2011-06-20,31.49,31.49,29.45,29.94,160963.0
2011-06-21,29.61,30.92,29.61,30.43,544010.0
2011-06-22,31.09,31.09,29.45,29.53,107564.0
2011-06-23,29.12,30.19,27.81,30.19,168481.0
2011-06-27,29.45,30.92,28.88,30.84,80797.0
2011-06-28,30.19,31.74,29.69,31.49,194925.0
2011-06-29,31.09,33.95,31.09,33.95,276150.0
2011-06-30,33.29,35.99,33.29,35.83,210402.0
2011-07-01,36.4,38.04,36.4,37.79,347402.0
2011-07-04,38.28,38.77,37.96,38.45,154746.0
2011-07-05,38.61,38.61,37.55,37.79,142467.0
2011-07-06,37.88,38.2,37.22,37.71,44227.0
2011-07-07,38.2,38.2,36.98,38.04,120760.0
2011-07-08,38.04,38.04,36.57,36.81,197272.0
2011-07-11,36.81,37.14,34.85,35.5,66738.0
2011-07-12,34.11,35.34,32.72,35.34,166364.0
2011-07-13,33.29,36.16,33.29,35.91,174767.0
2011-07-14,35.09,35.34,33.62,34.36,81347.0
2011-07-15,33.7,33.78,32.72,33.54,122997.0
2011-07-18,32.8,33.46,31.74,32.07,201702.0
2011-07-19,31.41,32.8,31.41,32.72,178430.0
2011-07-20,33.13,34.03,32.64,33.54,166593.0
2011-07-21,33.62,34.36,31.74,32.72,199635.0
2011-07-22,32.48,33.78,32.48,33.13,97879.0
2011-07-25,33.13,33.13,32.48,32.56,75641.0
2011-07-26,32.56,32.72,32.48,32.64,36269.0
2011-07-27,32.56,33.38,32.56,33.21,174352.0
2011-07-28,32.72,33.62,32.31,33.62,63921.0
2011-07-29,32.72,33.13,32.23,32.39,84108.0
2011-08-01,32.8,33.87,31.17,31.99,60728.0
2011-08-02,31.41,31.82,31.25,31.41,111306.0
2011-08-03,30.43,30.68,28.88,29.37,320762.0
2011-08-04,29.37,30.84,25.6,27.0,233971.0
2011-08-05,22.09,29.12,21.68,26.34,389373.0
2011-08-08,23.64,26.1,22.91,23.97,329062.0
2011-08-09,22.99,25.52,22.5,25.03,266018.0
2011-08-10,26.67,29.45,24.54,27.0,189872.0
2011-08-11,26.59,28.14,26.34,28.14,112708.0
2011-08-12,28.47,32.39,27.0,31.82,149122.0
2011-08-15,32.31,32.31,30.43,31.33,66959.0
2011-08-16,31.33,31.33,29.69,30.43,110840.0
2011-08-17,30.27,30.27,29.04,29.45,73570.0
2011-08-18,28.96,29.12,27.81,27.98,102554.0
2011-08-19,27.65,29.12,25.69,26.59,292664.0
2011-08-22,26.59,27.4,25.28,26.59,120323.0
2011-08-23,27.0,28.3,27.0,27.4,22002.0
2011-08-24,27.08,27.81,26.75,27.49,45621.0
2011-08-25,27.65,28.63,26.5,28.63,59015.0
2011-08-26,28.63,29.29,27.65,28.79,25309.0
2011-08-29,28.88,30.35,28.3,29.37,55989.0
2011-08-30,29.37,29.45,27.9,28.63,53750.0
2011-08-31,28.63,29.04,27.9,28.47,87359.0
2011-09-01,28.88,28.88,27.81,28.47,19986.0
2011-09-02,28.39,28.39,27.0,27.9,55271.0
2011-09-05,27.0,27.65,25.36,26.75,116103.0
2011-09-06,26.18,26.18,25.36,25.6,34277.0
2011-09-07,26.42,26.59,25.77,26.26,21606.0
2011-09-08,26.42,27.4,26.26,27.4,71891.0
2011-09-09,27.49,27.49,26.5,26.75,194212.0
2011-09-12,26.18,26.18,25.03,25.77,19083.0
2011-09-13,25.36,25.6,24.95,24.95,32170.0
2011-09-14,25.03,26.1,24.95,25.11,55721.0
2011-09-15,25.52,26.59,25.2,26.42,32869.0
2011-09-16,26.18,26.83,25.85,26.67,71276.0
2011-09-19,26.18,26.18,25.28,26.1,23705.0
2011-09-20,26.1,26.34,25.52,26.34,25440.0
2011-09-21,25.44,26.01,25.2,25.77,135144.0
2011-09-22,25.36,25.52,24.13,24.7,77933.0
2011-09-23,25.03,25.52,22.01,25.52,62376.0
2011-09-26,23.97,24.54,23.31,23.31,132089.0
2011-09-27,23.4,24.05,22.91,22.91,221663.0
2011-09-28,22.91,22.91,21.92,22.33,549399.0
2011-09-29,22.66,23.31,22.5,23.15,63393.0
2011-09-30,23.15,24.54,22.82,24.54,56878.0
2011-10-03,23.72,24.46,22.99,22.99,128162.0
2011-10-04,22.99,23.64,21.27,22.82,138762.0
2011-10-05,22.91,23.97,22.25,23.8,111781.0
2011-10-06,23.72,24.21,23.23,23.23,40556.0
2011-10-07,24.13,24.13,23.15,23.15,190539.0
2011-10-10,22.99,23.72,22.41,23.31,117943.0
2011-10-11,22.91,23.97,21.92,21.92,193064.0
2011-10-12,22.25,22.74,21.02,22.41,243243.0
2011-10-13,22.17,23.07,22.17,22.33,38170.0
2011-10-14,22.5,24.05,22.5,23.72,65957.0
2011-10-17,23.72,24.62,23.64,24.54,110133.0
2011-10-18,24.54,26.01,24.38,25.85,65913.0
2011-10-19,27.81,29.37,27.24,29.37,318889.0
2011-10-20,29.61,29.69,28.22,29.12,134920.0
2011-10-21,29.12,29.69,29.04,29.37,82438.0
2011-10-24,30.27,30.84,29.45,30.27,112374.0
2011-10-25,29.53,30.51,29.53,29.86,108902.0
2011-10-26,30.1,30.51,29.61,30.1,35459.0
2011-10-27,31.0,33.38,31.0,32.97,163767.0
2011-10-28,33.13,34.28,33.13,33.46,224111.0
2011-10-31,33.29,33.29,32.72,32.72,104195.0
2011-11-01,32.31,32.31,30.92,31.99,134642.0
2011-11-02,32.72,32.72,30.76,31.66,86185.0
2011-11-03,31.66,31.9,31.17,31.25,30769.0
2011-11-04,32.07,32.07,31.17,31.58,44634.0
2011-11-07,31.25,31.82,30.76,31.0,49115.0
2011-11-08,31.9,32.48,31.49,32.31,51177.0
2011-11-09,32.64,32.64,31.49,31.99,166687.0
2011-11-10,31.49,31.74,30.68,30.92,60986.0
2011-11-11,31.17,31.41,30.68,31.33,31748.0
2011-11-14,30.84,31.9,30.27,30.43,42398.0
2011-11-15,30.27,30.68,30.02,30.02,32314.0
2011-11-16,29.86,31.0,29.04,30.68,63301.0
2011-11-17,30.68,30.68,29.86,30.1,123005.0
2011-11-18,29.78,29.94,29.12,29.61,118606.0
2011-11-21,28.79,29.78,28.55,28.55,342050.0
2011-11-22,28.22,28.63,27.9,28.63,248811.0
2011-11-23,28.63,28.71,26.59,27.98,278568.0
2011-11-24,27.32,28.88,27.32,28.55,43961.0
2011-11-25,27.81,28.88,27.81,28.79,36160.0
2011-11-28,29.04,30.1,29.04,29.78,78480.0
2011-11-29,30.1,30.92,29.86,30.35,45161.0
2011-11-30,29.53,31.58,29.53,31.09,108956.0
2011-12-01,31.09,31.25,30.19,30.84,127061.0
2011-12-02,30.84,31.0,30.27,30.59,30559.0
2011-12-05,31.49,31.49,30.68,31.25,62492.0
2011-12-06,31.25,31.25,30.68,31.09,113117.0
2011-12-07,31.99,33.05,31.99,32.56,211708.0
2011-12-08,32.64,33.38,31.25,31.25,122889.0
2011-12-09,31.25,31.82,31.09,31.17,33148.0
2011-12-12,31.82,31.82,31.09,31.09,29010.0
2011-12-13,31.09,32.48,31.0,32.48,29852.0
2011-12-14,32.39,32.64,31.49,31.49,40011.0
2011-12-15,31.17,32.31,31.17,31.9,34727.0
2011-12-16,31.58,32.56,31.58,31.99,24076.0
2011-12-19,31.0,32.48,31.0,31.9,43063.0
2011-12-20,31.9,32.31,31.49,32.23,48332.0
2011-12-21,32.07,32.23,31.74,32.23,126179.0
2011-12-22,31.82,32.48,31.82,32.39,50015.0
2011-12-23,32.39,32.39,32.39,32.39,0.0
2011-12-27,32.64,32.64,31.9,32.07,42435.0
2011-12-28,32.31,33.13,32.31,32.64,48237.0
2011-12-29,32.64,33.54,32.39,32.39,63837.0
2012-01-02,33.13,34.11,32.89,33.7,32692.0
2012-01-03,34.19,34.19,33.54,33.78,45674.0
2012-01-04,33.95,33.95,32.97,33.29,27482.0
2012-01-05,33.46,34.19,33.46,34.19,66795.0
2012-01-09,34.19,34.36,33.7,34.36,49251.0
2012-01-10,34.44,36.08,34.36,35.26,134493.0
2012-01-11,36.08,37.3,35.58,36.32,212793.0
2012-01-12,36.81,37.79,36.81,37.06,213105.0
2012-01-13,37.71,38.2,37.63,37.96,379706.0
2012-01-16,37.47,39.18,37.22,39.18,168654.0
2012-01-17,39.18,39.27,37.96,38.04,206314.0
2012-01-18,38.37,38.37,37.3,37.96,161470.0
2012-01-19,37.63,38.28,37.38,38.04,364209.0
2012-01-20,38.12,38.53,37.55,38.12,72799.0
2012-01-23,38.45,39.84,38.04,39.18,127291.0
2012-01-24,39.27,39.27,37.55,38.28,79088.0
2012-01-25,38.37,38.77,37.79,38.28,105468.0
2012-01-26,39.35,39.35,38.53,39.18,99830.0
2012-01-27,39.1,39.18,38.45,38.86,83582.0
2012-01-30,38.86,38.86,37.79,38.04,74066.0
2012-01-31,38.04,38.77,37.63,37.63,72213.0
2012-02-01,37.63,38.37,37.47,38.12,64449.0
2012-02-02,37.96,38.69,37.71,38.28,79430.0
2012-02-03,38.37,39.1,38.12,39.1,85394.0
2012-02-06,38.69,39.43,38.53,39.43,70242.0
2012-02-07,38.94,39.35,38.45,39.1,65491.0
2012-02-08,38.94,39.27,38.28,38.53,67681.0
2012-02-09,38.53,39.59,38.45,39.18,76599.0
2012-02-10,38.86,39.43,38.45,39.1,41111.0
2012-02-13,38.77,38.94,38.45,38.94,30810.0
2012-02-14,38.86,39.02,38.61,38.77,34434.0
2012-02-15,38.69,40.49,38.53,40.08,64832.0
2012-02-16,39.84,40.49,39.27,40.17,84920.0
2012-02-17,40.25,44.58,40.25,42.33,181465.0
2012-02-20,42.54,45.81,42.54,44.99,259727.0
2012-02-21,45.2,45.2,43.15,44.58,139368.0
2012-02-22,45.81,45.81,42.95,44.58,123729.0
2012-02-23,44.58,46.22,44.38,44.99,308675.0
2012-02-24,44.99,45.81,44.58,45.81,580933.0
2012-02-27,45.81,45.81,43.97,45.4,424812.0
2012-02-28,45.4,49.49,45.4,47.86,556260.0
2012-02-29,48.26,49.08,47.86,47.86,189607.0
2012-03-01,47.65,47.65,47.04,47.45,372841.0
2012-03-02,46.83,48.26,46.63,48.26,77991.0
2012-03-05,48.26,48.26,45.81,46.22,205643.0
2012-03-06,46.22,46.22,43.56,44.99,231617.0
2012-03-07,44.79,47.04,44.38,47.04,89332.0
2012-03-08,46.42,47.24,45.2,47.04,206565.0
2012-03-09,47.24,47.45,45.4,46.83,112182.0
2012-03-12,46.22,46.83,46.22,46.83,51762.0
2012-03-13,47.04,47.24,46.22,47.04,62195.0
2012-03-14,47.04,47.86,46.22,47.65,191709.0
2012-03-15,47.65,48.26,46.63,47.65,98810.0
2012-03-16,48.47,48.47,47.04,47.04,95973.0
2012-03-19,46.63,47.45,46.22,46.83,256944.0
2012-03-20,46.63,46.63,45.4,46.63,39622.0
2012-03-21,46.01,46.63,45.2,46.22,58437.0
2012-03-22,46.22,46.22,44.17,45.2,309231.0
2012-03-23,44.79,45.61,44.58,45.2,36725.0
2012-03-26,45.4,46.01,43.77,46.01,65065.0
2012-03-27,46.01,46.63,44.58,46.01,65526.0
2012-03-28,45.61,45.81,44.17,44.79,64006.0
2012-03-29,44.38,44.79,43.15,44.38,91993.0
2012-03-30,43.77,44.38,43.36,43.77,96375.0
2012-04-02,44.17,46.01,44.17,45.81,127792.0
2012-04-03,45.2,45.61,44.17,44.79,93315.0
2012-04-04,44.79,45.2,43.77,44.38,64592.0
2012-04-05,43.56,45.4,43.36,43.97,27313.0
2012-04-10,43.56,45.2,43.15,43.77,74871.0
2012-04-11,43.36,44.17,42.54,43.77,52058.0
