Date,Open,High,Low,Close,Volume
2009-12-01,24.03,24.39,24.03,24.12,9390.0
2009-12-02,23.94,24.12,23.76,23.76,710.0
2009-12-03,23.76,24.12,23.67,24.12,2314.0
2009-12-04,24.03,24.39,23.85,24.39,14383.0
2009-12-07,24.39,24.39,23.76,24.12,10224.0
2009-12-08,24.39,24.66,24.12,24.48,8581.0
2009-12-09,24.48,24.48,23.67,24.03,6032.0
2009-12-10,23.76,24.03,23.67,24.03,1550.0
2009-12-11,24.03,24.12,24.03,24.12,590.0
2009-12-14,24.21,24.39,23.94,24.3,3250.0
2009-12-15,24.39,24.84,24.03,24.84,10100.0
2009-12-16,24.66,25.29,24.66,25.29,16950.0
2009-12-17,25.29,25.29,24.48,24.48,10931.0
2009-12-18,24.39,25.11,24.39,24.39,9300.0
2009-12-21,25.11,25.2,24.39,24.39,24450.0
2009-12-22,24.39,25.11,24.39,25.11,12850.0
2009-12-23,25.02,25.02,24.39,25.02,766.0
2009-12-28,24.66,25.02,24.03,25.02,20347.0
2009-12-29,24.84,25.74,24.75,25.74,18414.0
2009-12-30,24.84,26.65,24.84,26.2,38880.0
2010-01-04,26.1,26.1,25.56,25.92,1871.0
2010-01-05,25.92,26.2,25.56,26.2,3500.0
2010-01-07,26.2,26.2,25.29,25.83,4956.0
2010-01-08,25.29,25.74,25.11,25.74,14750.0
2010-01-11,25.29,25.29,24.93,25.29,18611.0
2010-01-12,24.84,25.29,24.84,25.2,5130.0
2010-01-13,24.93,25.2,24.57,25.2,8321.0
2010-01-14,24.84,25.2,24.84,25.2,11576.0
2010-01-15,24.84,24.93,24.57,24.93,4139.0
2010-01-18,24.57,24.93,24.57,24.84,3266.0
2010-01-19,24.84,25.92,24.84,25.2,29242.0
2010-01-20,24.84,25.29,24.84,25.29,6910.0
2010-01-21,24.84,25.38,24.84,25.02,5949.0
2010-01-22,25.02,25.47,24.75,25.2,5780.0
2010-01-25,24.84,25.29,24.84,25.29,2504.0
2010-01-26,24.84,25.29,24.48,25.02,14529.0
2010-01-27,24.75,25.29,24.75,25.29,1432.0
2010-01-28,25.29,25.29,25.11,25.11,6000.0
2010-01-29,24.93,25.11,24.75,25.11,5033.0
2010-02-01,25.29,25.29,25.02,25.29,1200.0
2010-02-02,25.29,25.29,24.39,24.84,7417.0
2010-02-03,24.57,25.02,24.39,25.02,6139.0
2010-02-04,25.02,25.38,24.84,25.29,11182.0
2010-02-05,24.93,25.2,24.75,25.2,5841.0
2010-02-08,25.02,25.02,24.39,24.39,800.0
2010-02-09,25.2,25.29,25.11,25.11,2600.0
2010-02-10,24.57,24.93,24.57,24.93,5900.0
2010-02-11,24.39,24.75,24.03,24.57,2700.0
2010-02-12,24.57,24.57,23.49,24.39,6800.0
2010-02-15,23.94,24.84,23.94,24.84,1800.0
2010-02-16,24.3,25.02,24.03,25.02,3700.0
2010-02-17,25.02,25.29,24.03,25.29,5468.0
2010-02-18,25.29,25.29,24.39,25.2,7475.0
2010-02-19,25.11,25.2,24.57,25.2,4300.0
2010-02-22,24.84,24.84,24.84,24.84,350.0
2010-02-23,24.84,24.84,23.85,24.75,11544.0
2010-02-24,24.12,24.21,23.58,24.12,13010.0
2010-02-25,23.58,23.94,23.3,23.3,3200.0
2010-02-26,23.94,24.21,23.4,24.21,5676.0
2010-03-01,23.76,24.12,23.21,23.3,16601.0
2010-03-02,23.49,23.67,22.94,23.67,4474.0
2010-03-03,23.49,23.49,23.3,23.3,5384.0
2010-03-04,23.03,23.12,22.85,22.94,17397.0
2010-03-05,23.4,23.67,22.94,23.4,32172.0
2010-03-08,23.4,23.4,22.76,22.94,23769.0
2010-03-09,22.85,22.94,22.58,22.67,28897.0
2010-03-10,22.67,23.21,22.58,23.21,2920.0
2010-03-11,23.21,23.21,22.94,22.94,34203.0
2010-03-12,22.85,23.49,22.76,22.76,10654.0
2010-03-15,23.03,23.03,22.85,22.85,2992.0
2010-03-16,22.76,22.76,22.67,22.76,6300.0
2010-03-17,22.76,23.03,22.76,22.94,8329.0
2010-03-18,22.76,23.12,22.76,23.12,8385.0
2010-03-19,22.85,22.94,22.76,22.94,5445.0
2010-03-22,22.76,22.76,22.58,22.58,12450.0
2010-03-23,23.03,23.03,22.31,22.76,9085.0
2010-03-24,22.4,22.76,22.4,22.67,3180.0
2010-03-25,22.22,22.67,22.13,22.67,10847.0
2010-03-26,22.58,22.58,22.22,22.31,11390.0
2010-03-29,22.31,22.49,22.31,22.49,6168.0
2010-03-30,22.4,23.03,22.31,23.03,38601.0
2010-03-31,23.12,23.21,22.58,23.21,33758.0
