Date,Open,High,Low,Close,Volume
2015-06-16,33.94,34.3,32.64,33.94,24295848.0
2015-06-17,33.94,34.03,32.78,33.76,2374979.0
2015-06-18,33.67,33.94,33.49,33.76,1736693.0
2015-06-22,33.85,34.21,32.96,33.4,884380.0
2015-06-23,33.94,34.83,32.78,34.83,1693538.0
2015-06-24,34.74,34.74,33.22,33.49,576322.0
2015-06-25,33.67,34.39,32.96,34.3,601998.0
2015-06-26,34.56,34.56,33.58,33.94,203687.0
2015-06-29,32.69,34.03,32.69,33.4,101423.0
2015-06-30,33.49,33.94,32.96,33.49,328440.0
2015-07-01,33.94,33.94,33.14,33.58,89952.0
2015-07-02,33.58,33.58,32.96,33.58,63602.0
2015-07-03,33.58,33.76,32.78,33.58,39580.0
2015-07-06,33.49,34.39,33.4,34.39,45733.0
2015-07-07,34.39,34.39,33.67,33.94,73291.0
2015-07-08,33.67,33.85,33.67,33.76,55688.0
2015-07-09,33.94,34.12,33.76,34.03,33881.0
2015-07-10,34.39,34.39,33.76,33.94,45741.0
2015-07-13,33.49,34.03,33.22,33.22,66721.0
2015-07-14,33.05,33.31,32.78,33.05,119951.0
2015-07-15,33.05,33.58,33.05,33.58,84023.0
2015-07-16,33.58,34.3,33.31,34.3,63702.0
2015-07-17,33.4,34.21,33.4,33.76,74356.0
2015-07-20,33.67,34.21,33.67,33.94,49174.0
2015-07-21,32.96,34.3,32.96,33.94,57892.0
2015-07-22,33.31,33.58,33.14,33.14,1012739.0
2015-07-23,33.05,33.94,33.05,33.49,175073.0
2015-07-24,33.94,33.94,33.22,33.67,90327.0
2015-07-27,33.94,34.12,33.4,33.94,304625.0
2015-07-28,34.03,34.03,33.67,33.67,330811.0
2015-07-29,33.67,33.94,33.67,33.94,42826.0
2015-07-30,33.94,34.12,33.67,33.94,957421.0
2015-07-31,33.67,34.65,33.67,33.76,74617.0
2015-08-03,33.58,34.3,33.4,34.3,127937.0
2015-08-04,34.12,34.65,33.94,34.56,174156.0
2015-08-05,34.03,34.83,34.03,34.56,111503.0
2015-08-06,34.83,35.19,34.39,35.19,273539.0
2015-08-07,35.19,35.46,34.83,35.1,208275.0
2015-08-10,34.39,34.83,34.39,34.83,90201.0
2015-08-11,35.1,35.1,34.56,34.92,34870.0
2015-08-12,34.47,35.01,34.39,34.83,256733.0
2015-08-13,34.92,35.1,34.74,34.83,57707.0
2015-08-14,34.56,35.1,34.56,34.83,84343.0
2015-08-17,33.94,34.74,33.67,34.21,23231.0
2015-08-18,34.83,34.83,33.94,34.3,64463.0
2015-08-19,34.3,34.56,34.03,34.03,43777.0
2015-08-20,34.03,34.03,33.67,33.67,17115.0
2015-08-21,33.4,33.76,33.14,33.14,17312.0
2015-08-24,32.87,32.87,30.63,31.26,40259.0
2015-08-25,32.6,32.6,26.79,27.42,2283503.0
2015-08-26,27.69,27.69,25.19,25.9,4388912.0
2015-08-27,26.88,27.15,26.44,26.62,917753.0
2015-08-28,27.51,30.01,26.97,29.83,1087761.0
2015-08-31,29.29,30.19,29.29,30.01,65763.0
2015-09-01,29.92,29.92,28.85,29.65,46327.0
2015-09-02,29.56,30.37,29.56,30.28,9258.0
2015-09-03,30.37,30.81,30.37,30.37,13200.0
2015-09-04,30.37,30.54,30.19,30.37,61869.0
2015-09-07,32.15,32.15,29.92,30.28,211052.0
2015-09-08,30.37,30.37,30.19,30.28,51760.0
2015-09-09,32.15,32.15,30.28,30.28,129079.0
2015-09-10,30.37,30.9,30.28,30.37,199968.0
2015-09-11,30.37,31.08,30.28,30.46,28716.0
2015-09-14,30.46,30.46,28.94,30.28,65248.0
2015-09-15,29.03,30.37,29.03,29.21,1018084.0
2015-09-16,30.01,32.87,28.22,28.67,616576.0
2015-09-17,28.58,29.29,28.31,29.29,254674.0
2015-09-18,30.37,30.37,29.03,30.01,25354.0
2015-09-21,29.12,29.92,28.58,29.21,50263.0
2015-09-22,29.03,29.29,28.58,28.94,1039186.0
2015-09-23,30.28,30.81,28.4,30.28,60945.0
2015-09-24,30.37,30.63,28.58,28.58,63594.0
2015-09-25,28.58,28.85,27.78,27.87,26923.0
2015-09-28,28.04,28.13,26.7,27.06,69948.0
2015-09-29,27.06,27.06,25.72,26.17,290749.0
2015-09-30,26.26,27.95,26.26,27.06,282260.0
2015-10-01,27.33,28.22,27.24,28.22,287944.0
2015-10-02,28.22,28.22,27.06,27.6,30802.0
2015-10-05,27.51,28.13,27.24,27.95,347695.0
2015-10-06,28.58,28.58,27.15,28.13,32223.0
2015-10-07,28.13,30.37,27.78,28.94,82158.0
2015-10-08,29.12,29.56,28.22,29.03,477590.0
2015-10-09,29.12,29.12,28.31,28.76,294901.0
2015-10-12,29.03,29.03,28.22,28.58,65544.0
2015-10-13,28.22,28.4,28.22,28.31,156516.0
2015-10-14,28.4,28.4,27.24,27.24,194085.0
2015-10-15,27.33,27.69,27.06,27.15,48622.0
2015-10-16,27.06,27.6,27.06,27.15,52963.0
2015-10-19,27.51,27.51,25.99,26.17,59106.0
2015-10-20,26.88,26.88,25.9,26.17,125098.0
2015-10-21,28.49,28.49,26.35,26.53,236445.0
2015-10-22,26.7,28.31,26.35,28.04,172555.0
2015-10-23,28.22,30.28,28.22,29.29,121033.0
2015-10-26,29.47,31.71,29.29,29.56,66924.0
2015-10-27,29.65,30.28,29.47,29.83,45434.0
2015-10-28,29.83,31.17,29.83,30.46,223974.0
2015-10-29,30.81,30.81,30.46,30.63,56365.0
2015-10-30,30.63,31.71,30.63,31.17,28814.0
2015-11-02,31.17,31.62,30.81,30.81,28810.0
2015-11-03,30.99,31.62,30.63,31.62,66237.0
2015-11-04,31.62,32.51,31.35,31.62,55855.0
2015-11-05,33.31,33.49,32.15,32.78,309420.0
2015-11-06,32.96,32.96,31.97,32.78,46401.0
2015-11-09,32.78,32.78,31.62,32.06,107365.0
2015-11-10,31.26,32.6,31.26,32.33,79593.0
2015-11-11,32.6,32.78,31.97,32.51,21299.0
2015-11-12,32.51,32.78,31.35,32.69,35755.0
2015-11-13,32.6,32.6,32.15,32.42,38247.0
2015-11-16,32.42,32.6,32.15,32.33,16822.0
2015-11-17,32.24,32.42,32.15,32.42,54716.0
2015-11-18,31.44,32.33,31.44,32.15,26411.0
2015-11-19,31.35,32.33,31.35,32.15,61270.0
2015-11-20,32.15,32.24,31.44,31.88,276156.0
2015-11-23,32.06,32.33,31.26,31.44,23752.0
2015-11-24,31.26,31.26,29.83,29.92,20162.0
2015-11-25,29.92,30.9,29.74,30.37,41896.0
2015-11-26,30.37,31.17,29.65,29.65,24006.0
2015-11-27,29.47,29.92,29.47,29.74,222039.0
2015-11-30,29.47,30.63,29.47,30.37,39080.0
2015-12-01,29.65,30.37,29.21,29.29,74788.0
2015-12-02,29.29,30.1,29.29,29.65,192405.0
2015-12-03,29.56,30.37,29.56,29.74,25549.0
2015-12-04,29.65,29.92,28.85,29.47,395931.0
2015-12-07,30.9,33.94,29.92,30.81,39533.0
2015-12-08,31.71,31.71,30.01,30.81,34949.0
2015-12-09,30.46,31.08,30.37,31.08,34710.0
2015-12-10,31.26,32.15,31.08,32.15,35291.0
2015-12-11,32.15,32.6,31.8,32.6,99883.0
2015-12-14,32.87,33.94,32.6,32.6,169123.0
2015-12-15,32.6,33.4,32.6,33.05,35244.0
2015-12-16,33.4,33.4,32.06,32.6,55771.0
2015-12-17,33.76,33.76,32.15,33.05,14625.0
2015-12-18,32.69,33.94,32.69,33.94,109674.0
2015-12-22,34.12,34.3,33.05,34.21,33037.0
2015-12-23,33.14,34.3,33.14,34.03,23606.0
2015-12-29,33.49,34.47,33.05,34.39,26882.0
2015-12-30,33.49,35.19,33.4,35.19,14253.0
2016-01-04,35.01,35.01,31.8,34.12,33485.0
2016-01-05,34.21,34.47,33.94,33.94,29827.0
2016-01-07,32.87,33.05,31.88,33.05,189981.0
2016-01-08,32.15,33.94,32.15,33.05,33760.0
2016-01-11,32.69,33.31,32.69,33.22,25537.0
