Date,Open,High,Low,Close,Volume
2009-12-03,3.6,3.6,3.38,3.38,16076.0
2009-12-04,3.6,3.6,3.6,3.6,1004.0
2009-12-07,3.38,3.38,3.38,3.38,1214.0
2009-12-08,3.38,3.6,3.38,3.6,5021.0
2009-12-09,3.6,3.6,3.6,3.6,1151.0
2009-12-10,3.38,3.6,3.17,3.6,18684.0
2009-12-11,3.38,3.38,3.17,3.38,17169.0
2009-12-14,3.17,3.17,3.17,3.17,433.0
2009-12-15,3.17,3.17,3.17,3.17,6147.0
2009-12-16,3.38,3.38,3.38,3.38,804.0
2009-12-17,3.38,3.38,3.17,3.17,13188.0
2009-12-21,3.17,3.17,2.96,3.17,16551.0
2009-12-22,2.96,3.17,2.96,3.17,4728.0
2009-12-23,2.96,2.96,2.54,2.96,21911.0
2009-12-28,2.96,2.96,2.96,2.96,7636.0
2009-12-29,2.75,2.96,2.75,2.75,21009.0
2009-12-30,2.75,3.17,2.11,2.96,33409.0
2010-01-04,3.6,3.6,3.6,3.6,36337.0
2010-01-05,3.6,3.6,3.6,3.6,3783.0
2010-01-07,3.6,3.6,3.6,3.6,3445.0
2010-01-08,3.6,3.6,3.6,3.6,2168.0
2010-01-11,3.38,3.6,2.96,2.96,15433.0
2010-01-12,3.38,3.6,3.38,3.6,2426.0
2010-01-14,3.17,3.6,3.17,3.6,1891.0
2010-01-15,3.6,3.6,2.96,2.96,6147.0
2010-01-18,3.38,3.6,3.38,3.6,7862.0
2010-01-19,3.6,3.81,3.38,3.6,26773.0
2010-01-20,3.6,3.6,3.17,3.17,1641.0
2010-01-21,3.38,3.38,3.17,3.38,28701.0
2010-01-22,3.6,3.6,3.6,3.6,2515.0
2010-01-26,4.25,5.23,4.25,5.23,765.0
2010-01-27,4.58,4.9,4.58,4.9,6425.0
2010-01-28,4.58,4.58,4.58,4.58,11555.0
2010-01-29,4.25,4.25,3.27,3.92,33502.0
2010-02-01,4.25,4.25,3.92,3.92,7741.0
2010-02-02,3.6,3.92,2.61,3.6,45345.0
2010-02-03,3.6,3.6,2.94,3.6,19816.0
2010-02-04,3.27,3.6,3.27,3.6,16818.0
2010-02-05,3.27,3.6,3.27,3.6,4130.0
2010-02-08,3.6,3.6,3.27,3.6,2366.0
2010-02-09,3.27,3.27,3.27,3.27,2754.0
2010-02-10,3.27,3.27,3.27,3.27,584.0
2010-02-11,3.27,3.27,3.27,3.27,1989.0
2010-02-12,3.27,3.27,2.94,2.94,6072.0
2010-02-15,2.94,3.27,2.94,3.27,2700.0
2010-02-16,3.27,3.27,3.27,3.27,1316.0
2010-02-18,2.94,2.94,2.94,2.94,2736.0
2010-02-19,3.27,3.27,2.61,3.27,19533.0
2010-02-22,3.27,3.27,2.94,3.27,12146.0
2010-02-23,3.27,3.27,3.27,3.27,3060.0
2010-02-24,3.27,3.6,2.94,3.27,16589.0
2010-02-25,3.27,3.6,3.27,3.6,1753.0
2010-02-26,3.6,3.6,3.27,3.27,2142.0
2010-03-01,3.27,3.27,3.27,3.27,612.0
2010-03-02,3.27,3.6,3.27,3.27,1245.0
2010-03-03,3.27,3.6,3.27,3.6,3121.0
2010-03-04,3.27,3.6,3.27,3.27,5960.0
2010-03-05,3.27,3.27,2.94,2.94,1027.0
2010-03-08,3.27,3.27,2.94,2.94,4549.0
2010-03-09,3.27,3.6,3.27,3.6,12689.0
2010-03-10,3.6,3.6,2.94,3.27,10724.0
2010-03-11,3.27,3.27,3.27,3.27,1010.0
2010-03-12,3.6,3.6,3.6,3.6,337.0
2010-03-15,3.6,3.6,3.6,3.6,4528.0
2010-03-16,3.27,3.6,3.27,3.6,1469.0
2010-03-17,3.92,3.92,3.6,3.6,1530.0
2010-03-18,3.6,3.92,3.6,3.92,5864.0
2010-03-19,3.6,3.92,3.6,3.92,468.0
2010-03-22,3.92,3.92,3.6,3.92,2172.0
2010-03-23,3.92,3.92,3.27,3.27,1875.0
2010-03-24,3.92,3.92,3.27,3.27,711.0
2010-03-25,3.92,3.92,3.27,3.6,23069.0
2010-03-26,3.6,3.6,3.6,3.6,28079.0
2010-03-29,3.6,3.6,3.27,3.27,10516.0
2010-03-30,2.94,3.6,2.94,3.6,1747.0
2010-03-31,3.27,3.6,3.27,3.27,12859.0
2010-04-01,612.2,673.42,550.98,612.2,6.0
2010-04-06,3.27,3.27,2.94,2.94,40311.0
2010-04-07,3.27,3.27,2.94,2.94,5923.0
2010-04-08,3.27,3.27,2.94,2.94,4997.0
2010-04-09,2.94,2.94,2.94,2.94,3652.0
2010-04-12,2.94,2.94,2.94,2.94,9331.0
2010-04-13,2.94,3.27,2.94,3.27,5232.0
2010-04-14,2.94,3.27,2.61,3.27,14505.0
2010-04-16,3.27,3.27,2.94,3.27,4999.0
2010-04-19,2.94,2.94,2.94,2.94,11473.0
2010-04-20,2.61,2.61,2.61,2.61,36484.0
2010-04-21,2.94,2.94,2.61,2.61,19674.0
2010-04-22,489.76,489.76,428.54,489.76,124.0
2010-04-23,2.61,2.61,2.29,2.61,13370.0
2010-04-26,2.61,2.61,2.29,2.29,19618.0
2010-04-27,2.61,2.61,2.29,2.61,67615.0
2010-04-28,2.29,2.29,1.96,2.29,34922.0
2010-04-29,1.96,2.29,1.96,2.29,16047.0
2010-04-30,2.29,2.29,2.29,2.29,12575.0
2010-05-03,1.96,2.29,1.96,2.29,4152.0
2010-05-04,2.29,2.29,1.96,2.29,6731.0
2010-05-05,1.96,2.29,1.96,2.29,50818.0
2010-05-06,1.96,1.96,1.96,1.96,16163.0
2010-05-07,1.96,2.29,1.96,1.96,27046.0
2010-05-10,1.96,2.29,1.96,1.96,10715.0
