Date,Open,High,Low,Close,Volume
2017-12-13,8.96,10.48,7.71,7.71,98182.0
2017-12-14,7.53,8.51,7.53,7.76,134096.0
2017-12-15,7.97,8.33,7.53,7.53,83231.0
2017-12-18,7.63,7.74,7.35,7.44,303245.0
2017-12-19,7.42,8.19,7.26,7.76,138254.0
2017-12-20,7.78,8.33,7.63,8.06,60429.0
2017-12-21,8.06,8.51,7.79,8.42,91128.0
2017-12-22,8.37,8.37,7.79,8.33,59550.0
2017-12-27,8.42,8.51,8.1,8.1,34226.0
2017-12-28,8.1,8.33,7.79,7.79,64748.0
2017-12-29,7.94,8.3,7.94,8.3,3070.0
2018-01-02,8.3,8.3,8.06,8.06,32802.0
2018-01-03,7.8,8.06,7.8,8.06,11309.0
2018-01-04,7.88,8.1,7.8,8.08,54726.0
2018-01-05,8.08,8.31,8.08,8.15,38500.0
2018-01-08,8.15,8.51,8.15,8.33,2296320.0
2018-01-09,8.33,8.6,8.33,8.35,96754.0
2018-01-10,8.35,8.44,8.24,8.24,246174.0
2018-01-11,8.24,8.6,8.24,8.58,84688.0
2018-01-12,8.58,8.58,8.51,8.58,64406.0
2018-01-15,8.58,8.58,8.42,8.42,3888.0
2018-01-16,7.8,8.96,7.8,8.24,60365.0
2018-01-17,8.07,8.51,7.9,8.24,91031.0
2018-01-18,8.19,8.51,8.13,8.51,25637.0
2018-01-19,8.51,8.51,8.24,8.24,11610.0
2018-01-22,8.24,8.42,7.89,8.15,85553.0
2018-01-23,8.15,8.15,7.18,7.97,80320.0
2018-01-24,7.97,8.15,7.97,8.15,37399.0
2018-01-25,8.15,8.15,7.97,8.06,66478.0
2018-01-26,8.06,8.06,7.71,8.06,17723.0
2018-01-29,7.71,8.42,7.71,8.06,89422.0
2018-01-30,8.07,8.07,7.83,8.07,77407.0
2018-01-31,7.63,8.07,7.63,7.64,5095.0
2018-02-01,8.06,8.14,8.06,8.06,33762.0
2018-02-02,8.14,8.14,7.62,7.88,47253.0
2018-02-05,7.97,8.15,7.56,7.62,752279.0
2018-02-06,7.79,7.79,7.34,7.71,147035.0
2018-02-07,7.71,7.97,7.71,7.97,52639.0
2018-02-08,7.71,7.94,7.17,7.71,36142.0
2018-02-09,7.79,7.97,7.21,7.51,173231.0
2018-02-12,7.53,7.53,7.3,7.44,36689.0
2018-02-13,7.35,7.52,7.31,7.31,4642.0
2018-02-14,7.31,7.57,6.99,7.57,56719.0
2018-02-15,7.3,7.61,7.26,7.35,83572.0
2018-02-16,7.35,7.53,7.27,7.53,10436.0
2018-02-19,7.53,7.62,7.35,7.62,46680.0
2018-02-20,7.62,7.62,7.45,7.62,17818.0
2018-02-21,7.62,7.79,7.62,7.62,25862.0
2018-02-22,7.63,7.97,7.57,7.57,22543.0
2018-02-23,7.62,7.62,7.57,7.62,22535.0
2018-02-26,7.62,7.71,7.6,7.6,24095.0
2018-02-27,7.97,7.97,7.53,7.53,29167.0
2018-02-28,7.53,7.97,7.53,7.57,41142.0
2018-03-01,7.57,7.57,7.53,7.57,127264.0
2018-03-02,7.57,7.62,7.57,7.62,10923.0
