Date,Open,High,Low,Close,Volume
2010-01-04,22.61,23.73,22.61,23.17,4499.0
2010-01-05,22.8,22.8,22.61,22.61,4000.0
2010-01-07,23.36,23.36,22.61,22.8,8315.0
2010-01-08,23.08,23.26,22.8,22.8,5605.0
2010-01-11,22.33,23.64,22.33,22.61,6157.0
2010-01-12,22.8,23.54,22.52,23.26,3010.0
2010-01-13,22.52,23.26,22.52,23.26,4380.0
2010-01-14,23.26,23.26,22.52,22.98,4430.0
2010-01-15,22.52,22.8,22.52,22.61,3881.0
2010-01-18,22.61,22.89,22.61,22.61,3855.0
2010-01-19,22.52,23.08,22.43,23.08,7904.0
2010-01-20,23.08,23.08,22.43,23.08,1510.0
2010-01-21,22.52,22.98,22.43,22.98,6351.0
2010-01-22,22.98,22.98,22.89,22.98,6000.0
2010-01-25,22.52,22.52,22.33,22.33,6125.0
2010-01-26,22.24,22.98,22.05,22.89,2119.0
2010-01-27,23.08,23.08,22.15,22.15,1950.0
2010-01-28,23.08,23.26,23.08,23.26,1006.0
2010-01-29,23.26,24.19,21.87,22.98,21662.0
2010-02-01,23.36,23.92,22.8,23.92,12767.0
2010-02-02,23.82,24.57,23.26,24.47,9613.0
2010-02-03,24.47,24.47,23.26,23.73,2511.0
2010-02-04,23.26,23.26,23.26,23.26,3480.0
2010-02-05,22.43,23.73,22.33,23.64,10110.0
2010-02-08,23.64,23.64,23.08,23.64,5280.0
2010-02-09,22.43,23.64,22.43,23.64,1491.0
2010-02-10,22.8,23.17,22.8,23.17,1260.0
2010-02-11,23.26,24.01,23.26,24.01,1721.0
2010-02-12,24.01,24.01,22.05,22.05,9042.0
2010-02-15,22.05,22.61,22.05,22.05,2433.0
2010-02-16,23.08,23.36,21.68,23.36,2669.0
2010-02-17,22.61,23.36,22.61,22.89,5225.0
2010-02-18,23.17,23.17,23.17,23.17,916.0
2010-02-19,21.96,22.8,21.87,22.8,1486.0
2010-02-22,21.96,22.61,21.96,22.61,878.0
2010-02-23,22.8,23.45,22.71,22.89,10000.0
2010-02-24,21.87,23.26,21.87,23.17,4595.0
2010-02-25,22.43,23.26,22.33,23.26,1809.0
2010-02-26,22.43,22.98,21.96,22.61,5088.0
2010-03-01,21.77,22.98,21.77,22.98,3108.0
2010-03-02,22.89,22.89,21.77,21.77,0.0
2010-03-03,21.87,23.08,21.77,23.08,9170.0
2010-03-04,22.98,22.98,21.96,21.96,0.0
2010-03-05,23.08,23.08,21.77,21.77,0.0
2010-03-08,21.77,22.8,21.77,22.8,5529.0
2010-03-09,22.15,23.36,22.15,23.36,11889.0
2010-03-10,23.73,23.73,23.26,23.36,7136.0
2010-03-11,24.1,24.19,23.73,23.73,16911.0
2010-03-12,24.19,24.19,23.26,23.73,10670.0
2010-03-15,23.64,23.73,23.26,23.26,499.0
2010-03-16,22.43,22.8,22.24,22.8,8032.0
2010-03-17,23.26,23.26,22.33,22.43,7100.0
2010-03-18,22.52,22.8,22.24,22.24,5654.0
2010-03-19,22.8,23.64,22.43,23.17,10481.0
2010-03-22,23.17,23.82,22.89,23.82,28498.0
2010-03-23,23.82,24.19,23.26,23.45,4395.0
2010-03-24,24.1,24.1,23.26,23.36,4535.0
2010-03-25,23.45,23.73,23.36,23.45,2272.0
2010-03-26,23.73,24.1,23.36,24.1,4459.0
2010-03-29,24.1,24.1,23.45,24.1,10680.0
2010-03-30,23.73,24.1,23.54,24.1,2701.0
2010-03-31,23.73,24.1,23.73,24.1,472.0
2010-04-01,24.1,24.1,23.73,23.73,1784.0
2010-04-06,23.73,24.01,23.54,23.54,6156.0
2010-04-07,23.73,23.73,23.54,23.54,2125.0
2010-04-08,23.45,23.64,23.45,23.64,4702.0
2010-04-09,23.45,23.64,23.45,23.45,18589.0
2010-04-12,24.1,24.29,23.82,24.19,15660.0
2010-04-13,23.82,24.38,23.45,24.19,12682.0
2010-04-14,23.64,24.66,23.64,24.57,32651.0
2010-04-15,24.57,24.57,24.19,24.38,2753.0
2010-04-16,23.64,24.57,23.54,24.57,22380.0
2010-04-19,24.19,24.66,24.19,24.66,400.0
2010-04-20,24.66,24.66,24.38,24.57,4700.0
2010-04-21,24.66,24.66,23.73,23.73,2324.0
2010-04-22,23.73,24.57,23.73,24.29,4754.0
2010-04-23,24.38,24.57,23.73,24.57,5316.0
2010-04-26,24.19,24.66,23.92,24.66,4302.0
2010-04-27,24.57,29.87,24.57,26.52,29699.0
2010-04-28,26.99,26.99,25.5,26.52,3625.0
2010-04-29,25.59,26.8,25.59,26.61,2727.0
2010-04-30,26.61,26.8,26.06,26.24,2840.0
2010-05-03,26.06,32.57,26.06,28.94,22013.0
2010-05-04,28.85,28.85,28.01,28.85,13890.0
2010-05-05,31.64,31.64,28.85,28.85,16956.0
2010-05-06,29.78,29.78,26.06,26.33,12749.0
2010-05-07,25.12,27.92,25.12,26.8,16900.0
2010-05-10,26.06,30.15,26.06,29.31,8539.0
2010-05-11,28.85,28.85,26.71,27.27,16201.0
2010-05-12,27.92,28.47,27.92,28.47,250.0
2010-05-14,28.47,28.47,26.89,28.47,8096.0
2010-05-17,28.47,28.47,28.47,28.47,825.0
2010-05-18,28.57,28.85,26.99,28.85,20982.0
2010-05-19,29.78,30.24,26.99,27.92,43398.0
2010-05-20,29.31,29.31,27.64,27.92,16368.0
2010-05-21,27.92,27.92,26.71,26.71,0.0
2010-05-24,30.71,30.71,28.57,28.57,7050.0
2010-05-25,26.99,27.82,26.99,26.99,24150.0
2010-05-26,27.45,29.31,27.45,28.85,2050.0
2010-05-27,27.45,28.75,27.45,28.75,1146.0
2010-05-28,29.03,29.03,28.01,29.03,502.0
2010-05-31,29.78,29.78,27.92,28.85,5739.0
2010-06-01,27.54,29.68,27.54,29.68,584.0
2010-06-02,30.71,30.71,29.68,29.68,5790.0
2010-06-03,29.78,29.78,29.03,29.68,8263.0
2010-06-04,28.38,30.24,28.01,29.96,218820.0
2010-06-07,29.78,29.78,28.85,29.78,5535.0
2010-06-08,29.78,30.62,28.94,29.78,1867.0
2010-06-09,29.31,29.31,29.31,29.31,45219.0
2010-06-10,29.5,30.24,28.85,30.24,22792.0
2010-06-11,30.71,30.71,28.38,30.71,38988.0
2010-06-14,31.55,32.57,30.52,32.57,11521.0
2010-06-15,32.57,32.57,31.64,32.57,5816.0
2010-06-16,32.57,32.57,30.8,31.64,8406.0
2010-06-17,32.57,32.57,31.64,32.1,1136.0
2010-06-18,32.1,32.48,30.8,30.8,7720.0
2010-06-21,32.48,32.48,30.99,31.92,7148.0
2010-06-22,32.1,32.1,31.08,31.08,5892.0
2010-06-23,31.64,32.1,31.45,32.1,3109.0
2010-06-24,31.64,31.64,30.8,31.45,5393.0
2010-06-28,30.71,32.38,29.87,32.29,1331.0
2010-06-29,32.1,32.1,29.78,32.1,701.0
2010-06-30,31.64,31.64,31.64,31.64,11.0
2010-07-01,29.31,29.78,28.85,29.78,1862.0
2010-07-02,31.82,32.29,31.82,32.1,231.0
2010-07-05,31.55,31.55,30.24,30.24,0.0
2010-07-06,29.78,31.55,29.78,31.55,660.0
2010-07-07,30.71,31.55,30.71,31.55,1824.0
2010-07-08,30.71,31.36,30.24,31.36,1504.0
2010-07-09,31.17,31.17,31.17,31.17,260.0
2010-07-12,31.36,31.36,30.71,30.71,3683.0
2010-07-13,30.71,31.64,30.71,31.64,685.0
2010-07-14,29.96,31.64,29.87,31.64,2213.0
2010-07-15,31.64,31.64,31.64,31.64,13.0
2010-07-16,30.62,31.17,30.52,31.17,4050.0
2010-07-19,30.71,31.55,30.24,30.24,5396.0
2010-07-20,30.24,30.71,30.24,30.71,1062.0
2010-07-21,31.64,31.82,31.64,31.82,1066.0
2010-07-22,31.64,32.29,31.64,32.29,2751.0
2010-07-23,30.71,32.29,30.71,32.29,418.0
2010-07-26,31.64,32.29,31.64,32.29,215.0
2010-07-27,32.29,32.29,30.89,30.89,1520.0
2010-07-28,32.29,32.57,32.29,32.48,6384.0
2010-07-29,32.48,33.5,32.48,33.5,19418.0
2010-07-30,33.5,33.5,32.57,32.57,660.0
2010-08-02,31.64,32.57,31.17,32.57,1700.0
2010-08-03,31.17,32.57,31.17,32.57,251.0
2010-08-04,32.57,33.5,31.73,33.5,1569.0
2010-08-05,32.48,32.57,32.48,32.57,1950.0
2010-08-06,33.5,34.15,32.57,32.57,11144.0
2010-08-09,33.5,33.5,32.1,32.57,16981.0
2010-08-10,33.5,33.5,32.1,32.1,0.0
2010-08-11,33.5,33.5,33.5,33.5,200.0
2010-08-12,31.17,32.57,31.17,31.64,901.0
2010-08-13,33.41,33.41,31.64,31.64,705.0
2010-08-16,31.73,32.57,30.8,31.64,4715.0
2010-08-17,31.64,32.57,31.64,32.57,501.0
2010-08-18,32.57,32.57,31.64,31.64,0.0
2010-08-19,31.64,31.64,31.64,31.64,10.0
2010-08-20,32.1,32.57,30.89,31.17,14336.0
2010-08-23,31.27,32.48,30.71,32.48,4714.0
2010-08-24,31.17,31.27,31.17,31.17,4970.0
2010-08-25,31.17,31.17,30.24,30.71,7520.0
2010-08-26,32.57,32.57,32.57,32.57,40.0
2010-08-27,29.87,32.48,29.87,31.55,19261.0
2010-08-30,30.8,32.57,30.43,32.57,3000.0
2010-08-31,29.96,32.01,29.96,32.01,405.0
2010-09-01,31.17,32.01,31.17,32.01,290.0
2010-09-02,32.57,33.5,29.78,32.38,4510.0
2010-09-03,31.64,33.03,30.52,33.03,901.0
2010-09-06,32.48,32.94,32.48,32.57,3886.0
2010-09-07,30.71,32.38,30.71,32.38,676.0
2010-09-08,32.38,32.38,30.71,30.89,4675.0
2010-09-09,32.1,32.1,32.01,32.01,1310.0
2010-09-10,31.64,32.01,31.64,32.01,1460.0
2010-09-13,32.01,32.01,30.99,32.01,1301.0
2010-09-14,31.17,31.64,30.71,30.71,17811.0
2010-09-15,30.71,31.17,30.43,31.17,2367.0
2010-09-16,30.71,30.89,30.24,30.71,7526.0
2010-09-17,30.24,31.27,30.24,31.27,6538.0
2010-09-20,30.15,30.15,30.15,30.15,157.0
2010-09-21,31.17,31.17,29.78,29.78,8317.0
2010-09-22,30.24,30.24,29.68,29.87,5200.0
2010-09-23,30.34,30.34,29.78,30.06,2988.0
2010-09-24,30.24,30.52,30.24,30.52,1840.0
2010-09-27,29.87,30.34,29.78,30.06,6000.0
2010-09-28,30.06,30.34,29.96,30.34,2120.0
2010-09-29,29.78,29.78,29.78,29.78,600.0
2010-09-30,29.78,29.78,29.22,29.22,7810.0
2010-10-01,29.31,29.78,28.85,29.78,4801.0
2010-10-04,28.85,29.5,28.75,29.5,563.0
2010-10-05,29.31,29.31,29.03,29.31,9300.0
2010-10-06,28.85,28.85,27.82,28.2,6207.0
2010-10-07,27.92,28.2,27.36,27.36,7393.0
2010-10-08,28.2,28.2,27.17,27.92,1493.0
2010-10-11,27.92,27.92,27.27,27.92,2053.0
2010-10-12,27.92,28.2,27.27,28.2,2001.0
2010-10-13,27.54,27.54,27.54,27.54,20.0
2010-10-14,27.54,28.29,27.54,28.29,1899.0
2010-10-15,28.38,28.85,28.38,28.85,3070.0
2010-10-18,28.47,29.31,28.01,29.31,5222.0
2010-10-19,29.31,29.31,28.01,28.75,8903.0
2010-10-20,27.82,27.92,26.99,27.08,9525.0
2010-10-21,27.17,27.82,27.17,27.82,1361.0
2010-10-22,27.92,28.38,27.64,28.2,2800.0
2010-10-25,28.2,28.2,27.36,27.92,1501.0
2010-10-26,27.27,27.73,27.17,27.73,3546.0
2010-10-27,27.17,27.17,26.06,26.99,16212.0
2010-10-28,26.99,26.99,25.59,26.52,17608.0
2010-10-29,25.59,26.43,25.12,25.5,16460.0
2010-11-01,25.59,27.54,25.59,26.33,8900.0
2010-11-02,25.4,26.8,25.4,26.8,1604.0
2010-11-03,26.89,26.89,26.52,26.52,2950.0
2010-11-04,26.06,26.61,26.06,26.61,1550.0
2010-11-05,26.89,26.89,26.89,26.89,50.0
2010-11-08,26.71,26.8,26.52,26.8,1070.0
2010-11-09,26.06,26.15,26.06,26.15,1528.0
2010-11-10,26.52,26.52,26.24,26.52,4055.0
2010-11-11,26.15,26.8,25.96,26.52,2685.0
2010-11-12,26.06,26.06,25.87,26.06,6321.0
2010-11-15,26.99,26.99,25.68,26.33,2043.0
2010-11-16,27.54,27.54,25.12,25.59,3730.0
2010-11-17,25.59,25.59,25.59,25.59,599.0
2010-11-18,26.06,26.52,26.06,26.06,4935.0
2010-11-19,27.27,27.27,25.59,25.59,8975.0
2010-11-22,25.59,25.59,23.73,24.66,8714.0
2010-11-23,23.54,24.19,23.08,24.19,7742.0
