Date,Open,High,Low,Close,Volume
2014-08-05,44.71,45.6,44.71,44.71,175695.0
2014-08-06,44.93,47.39,44.71,46.5,20746.0
2014-08-07,46.94,47.17,46.5,46.94,6375.0
2014-08-08,46.94,46.94,46.94,46.94,671.0
2014-08-11,49.18,50.52,48.28,49.18,155860.0
2014-08-12,50.07,50.97,49.63,50.74,8028.0
2014-08-13,50.74,50.74,49.63,50.07,5312.0
2014-08-14,50.97,50.97,49.63,50.07,5005.0
2014-08-15,50.07,50.07,50.07,50.07,2492.0
2014-08-18,50.07,50.07,48.28,49.18,6863.0
2014-08-19,49.18,49.4,46.94,48.06,6658.0
2014-08-20,47.84,47.84,47.84,47.84,224.0
2014-08-21,48.96,49.18,46.5,46.94,6740.0
2014-08-22,46.72,46.94,46.5,46.5,2643.0
2014-08-25,46.5,48.28,45.16,48.28,30855.0
2014-08-26,48.28,49.18,48.28,48.28,33132.0
2014-08-27,48.73,48.73,48.73,48.73,1007.0
2014-08-28,49.18,49.18,48.28,48.28,1901.0
2014-08-29,48.73,48.73,48.73,48.73,336.0
2014-09-01,49.18,49.18,49.18,49.18,888.0
2014-09-02,48.28,48.28,48.28,48.28,123.0
2014-09-03,48.51,48.51,48.51,48.51,112.0
2014-09-04,48.06,48.96,48.06,48.96,783.0
2014-09-05,48.06,48.28,48.06,48.28,1286.0
2014-09-08,48.28,48.28,48.06,48.28,2964.0
2014-09-09,47.84,47.84,47.61,47.84,1158.0
2014-09-10,47.84,47.84,46.94,47.39,783.0
2014-09-11,48.28,48.28,48.28,48.28,399.0
2014-09-12,47.39,48.28,47.39,47.39,1007.0
2014-09-15,47.17,47.17,47.17,47.17,419.0
2014-09-16,47.17,47.17,47.17,47.17,0.0
2014-09-17,46.5,46.72,46.5,46.72,1622.0
2014-09-18,45.6,45.6,45.6,45.6,363.0
2014-09-19,45.6,45.6,43.37,44.71,1308.0
2014-09-22,44.71,44.71,44.71,44.71,78.0
2014-09-23,44.71,44.71,43.64,43.81,1627.0
2014-09-24,42.92,42.92,42.92,42.92,112.0
2014-09-25,42.92,43.01,42.92,43.01,1180.0
2014-09-26,43.81,44.93,43.81,44.71,671.0
2014-09-29,44.71,44.71,44.71,44.71,0.0
2014-09-30,44.71,44.71,44.71,44.71,112.0
2014-10-07,42.92,42.92,40.68,42.92,3048.0
2014-10-08,41.94,41.94,41.94,41.94,101.0
2014-10-09,43.37,43.37,43.37,43.37,101.0
2014-10-10,43.37,43.37,43.37,43.37,0.0
2014-10-14,43.37,43.37,42.92,42.92,112.0
2014-10-15,42.47,42.92,42.47,42.92,475.0
2014-10-16,42.92,42.92,41.13,41.22,2013.0
2014-10-17,41.22,41.22,41.22,41.22,0.0
2014-10-20,42.38,42.38,41.31,41.31,489.0
2014-10-21,41.31,41.31,41.31,41.31,0.0
2014-10-22,41.85,41.85,41.85,41.85,447.0
2014-10-23,41.85,41.85,41.85,41.85,0.0
2014-10-24,42.12,42.12,42.12,42.12,11.0
2014-10-27,42.12,42.12,42.12,42.12,0.0
2014-10-29,41.85,42.92,41.85,42.92,168.0
2014-10-30,42.92,42.92,42.92,42.92,0.0
2014-10-31,43.19,43.19,43.19,43.19,559.0
2014-11-03,43.81,43.81,43.81,43.81,112.0
2014-11-04,44.26,44.26,44.26,44.26,112.0
2014-11-05,44.26,44.26,44.26,44.26,0.0
2014-11-06,44.35,44.53,44.35,44.53,84.0
2014-11-07,44.53,44.53,44.53,44.53,56.0
2014-11-10,44.53,44.53,44.53,44.53,0.0
2014-11-12,43.81,43.81,43.81,43.81,0.0
2014-11-13,44.17,44.17,43.9,43.9,816.0
2014-11-14,43.9,43.9,43.9,43.9,179.0
2014-11-17,43.37,43.37,42.92,42.92,559.0
2014-11-19,42.47,42.47,42.47,42.47,559.0
2014-11-20,42.47,42.47,42.47,42.47,0.0
2014-11-21,42.47,42.47,42.47,42.47,336.0
2014-11-26,41.22,41.4,41.13,41.4,895.0
2014-11-27,41.58,41.58,41.58,41.58,224.0
2014-11-28,41.58,41.58,41.58,41.58,0.0
2014-12-02,41.22,41.22,39.25,39.25,1118.0
2014-12-03,40.24,40.24,40.24,40.24,559.0
2014-12-04,40.24,40.24,40.24,40.24,0.0
2014-12-05,40.24,40.42,40.24,40.42,447.0
2014-12-08,40.42,40.42,40.42,40.42,0.0
2014-12-09,39.16,39.16,38.45,38.45,722.0
2014-12-10,38.45,38.45,38.45,38.45,0.0
2014-12-15,38.09,38.09,38.0,38.0,1322.0
2014-12-16,36.84,37.38,36.84,37.38,280.0
2014-12-17,37.38,37.38,37.38,37.38,0.0
2014-12-18,36.3,36.3,36.21,36.21,598.0
2014-12-19,34.78,34.78,34.78,34.78,112.0
2014-12-22,34.34,34.34,33.08,33.08,895.0
2014-12-23,32.01,32.01,31.21,31.3,877.0
2014-12-29,30.94,30.94,30.94,30.94,56.0
2014-12-30,30.94,30.94,30.94,30.94,0.0
2015-01-05,31.3,31.3,31.3,31.3,280.0
2015-01-07,32.19,33.98,32.01,33.98,2906.0
2015-01-08,33.98,33.98,33.98,33.98,0.0
2015-01-12,33.26,33.26,32.28,32.28,582.0
2015-01-13,32.73,32.73,31.83,32.64,101.0
2015-01-14,32.64,32.64,32.64,32.64,0.0
2015-01-15,32.82,33.08,32.82,33.08,635.0
2015-01-16,33.08,33.08,33.08,33.08,0.0
2015-01-19,34.16,34.16,34.16,34.16,432.0
2015-01-20,34.16,34.16,34.16,34.16,0.0
2015-01-22,33.53,33.53,33.53,33.53,257.0
2015-01-23,33.53,33.53,33.53,33.53,0.0
2015-01-26,33.08,33.08,33.08,33.08,671.0
2015-01-30,32.01,32.19,32.01,32.01,800.0
2015-02-02,32.19,32.19,32.19,32.19,112.0
2015-02-03,31.12,31.12,31.12,31.12,11.0
2015-02-04,31.12,31.12,31.12,31.12,0.0
2015-02-09,32.19,32.55,32.19,32.55,280.0
2015-02-10,32.55,32.55,32.55,32.55,0.0
2015-02-19,32.99,32.99,32.99,32.99,112.0
2015-02-20,32.37,32.37,31.74,31.74,148.0
2015-02-23,32.91,32.91,32.91,32.91,112.0
2015-02-24,33.08,33.62,33.08,33.62,566.0
2015-02-25,33.62,33.62,33.62,33.62,0.0
2015-02-26,34.07,34.07,34.07,34.07,56.0
2015-02-27,32.19,33.08,32.19,32.19,2355.0
2015-03-02,32.28,32.46,32.19,32.19,2908.0
2015-03-03,32.01,32.01,31.74,31.92,672.0
2015-03-04,31.92,31.92,31.92,31.92,0.0
2015-03-05,30.94,31.03,30.85,31.03,671.0
2015-03-06,30.04,31.12,29.69,29.69,1846.0
2015-03-09,29.51,29.51,28.79,28.79,1678.0
2015-03-10,28.79,28.79,28.79,28.79,0.0
2015-03-12,28.61,28.61,28.61,28.61,336.0
2015-03-13,28.26,28.26,28.08,28.08,1047.0
2015-03-16,28.08,28.08,22.71,23.25,21074.0
2015-03-17,23.61,24.14,23.25,23.34,2952.0
2015-03-18,23.7,23.7,22.35,22.35,3467.0
2015-03-19,20.83,21.01,20.83,20.92,1689.0
2015-03-20,21.01,21.37,21.01,21.37,714.0
2015-03-23,20.48,20.48,20.12,20.12,5927.0
2015-03-24,20.57,21.55,20.57,21.55,2141.0
2015-03-25,21.55,21.55,21.55,21.55,0.0
2015-03-30,21.55,21.64,21.46,21.64,2041.0
2015-03-31,22.62,23.96,22.62,23.96,1617.0
2015-04-01,23.25,23.25,23.25,23.25,1118.0
2015-04-02,23.25,23.25,23.25,23.25,0.0
2015-04-07,23.25,23.78,23.25,23.78,256.0
2015-04-08,23.87,23.87,23.87,23.87,850.0
2015-04-09,23.87,23.87,23.87,23.87,0.0
2015-04-10,23.96,24.14,23.96,24.14,2013.0
2015-04-13,25.04,26.65,25.04,26.65,1125.0
2015-04-14,26.82,27.27,25.57,25.57,11185.0
2015-04-15,27.09,27.09,26.02,26.02,1323.0
2015-04-16,25.66,25.66,24.59,24.59,16626.0
2015-04-17,24.68,24.68,24.68,24.68,236.0
2015-04-20,24.68,24.68,24.68,24.68,0.0
2015-04-22,24.77,24.95,22.35,22.8,6880.0
2015-04-23,23.25,23.78,23.16,23.7,4206.0
2015-04-24,24.41,25.93,24.41,25.93,4575.0
2015-04-27,26.74,26.74,26.74,26.74,22.0
2015-04-28,25.75,25.75,25.75,25.75,38.0
2015-04-29,25.66,26.38,25.66,26.38,606.0
2015-04-30,26.38,26.38,26.38,26.38,0.0
2015-05-04,25.75,25.75,25.04,25.04,3792.0
2015-05-05,25.39,25.39,25.39,25.39,11.0
2015-05-06,25.39,25.39,25.39,25.39,0.0
2015-05-11,24.23,24.23,22.0,22.0,3970.0
2015-05-12,21.55,21.55,20.12,20.21,2404.0
2015-05-13,20.21,20.48,20.12,20.48,3048.0
2015-05-15,19.67,19.67,17.79,18.69,7496.0
2015-05-18,18.15,20.83,18.15,20.83,4885.0
2015-05-19,20.57,20.57,20.12,20.12,3166.0
2015-05-20,20.12,20.12,20.12,20.12,0.0
2015-05-22,20.92,21.01,20.92,20.92,2740.0
2015-05-25,21.28,25.84,21.28,25.84,11796.0
2015-05-26,25.39,25.39,25.39,25.39,895.0
2015-05-27,24.68,25.48,24.68,25.48,2139.0
2015-05-28,25.48,25.48,25.48,25.48,0.0
2015-05-29,25.3,25.3,25.3,25.3,839.0
2015-06-01,24.77,24.77,24.23,24.23,1062.0
2015-06-02,23.25,23.25,22.35,22.35,1007.0
2015-06-03,22.89,23.25,22.89,23.25,3187.0
2015-06-04,23.25,23.25,23.07,23.07,2796.0
2015-06-05,22.44,22.53,22.35,22.35,1566.0
2015-06-08,22.35,22.35,22.35,22.35,0.0
2015-06-09,22.35,22.44,22.0,22.35,2847.0
2015-06-12,22.71,22.71,22.71,22.71,1398.0
2015-06-15,22.71,22.71,22.71,22.71,0.0
2015-06-18,22.26,22.26,22.18,22.18,1008.0
2015-06-22,22.26,22.35,22.26,22.35,2294.0
2015-06-23,22.35,22.62,22.0,22.0,1621.0
2015-06-24,22.0,22.0,22.0,22.0,0.0
2015-06-26,22.35,22.35,22.35,22.35,951.0
2015-06-29,22.44,22.8,22.44,22.8,3535.0
2015-06-30,22.8,22.8,22.8,22.8,21249.0
2015-07-01,22.8,22.8,22.8,22.8,0.0
2015-07-03,22.71,22.71,22.35,22.35,6568.0
2015-07-07,22.35,22.35,22.35,22.35,280.0
2015-07-08,21.55,21.55,21.46,21.46,746.0
2015-07-09,21.46,21.46,21.46,21.46,0.0
2015-07-13,21.1,21.1,21.1,21.1,22.0
2015-07-14,21.1,21.1,21.1,21.1,0.0
2015-07-16,21.55,21.55,21.46,21.46,89.0
2015-07-17,21.46,21.46,21.46,21.46,2126.0
2015-07-21,21.91,21.91,21.91,21.91,447.0
2015-07-22,21.91,21.91,21.91,21.91,0.0
2015-07-23,21.82,21.82,21.82,21.82,4138.0
2015-07-24,21.55,21.55,21.55,21.55,1007.0
2015-07-27,21.1,22.35,21.1,21.46,9386.0
2015-07-28,21.64,21.64,21.64,21.64,112.0
2015-07-29,21.64,21.64,21.64,21.64,0.0
2015-07-31,21.73,22.35,21.73,22.35,6173.0
2015-08-04,22.35,22.35,22.35,22.35,112.0
2015-08-07,21.91,22.35,21.91,22.35,1454.0
2015-08-11,22.35,22.35,22.35,22.35,27.0
2015-08-17,21.82,21.91,21.82,21.82,1292.0
2015-08-18,21.46,21.46,21.46,21.46,336.0
2015-08-24,21.64,21.64,21.64,21.64,318.0
2015-08-25,21.46,22.35,21.46,21.82,4884.0
2015-08-26,21.82,22.35,21.82,22.26,2488.0
2015-08-27,22.26,22.26,22.26,22.26,0.0
2015-08-28,21.82,21.91,20.57,21.91,1733.0
2015-08-31,21.82,21.82,21.46,21.46,839.0
2015-09-01,21.46,21.46,21.46,21.46,95.0
2015-09-02,21.46,21.46,21.46,21.46,168.0
2015-09-07,21.64,21.64,21.64,21.64,1007.0
2015-09-08,21.46,21.46,21.37,21.37,1151.0
2015-09-09,21.37,21.37,21.37,21.37,0.0
2015-09-14,20.92,20.92,20.92,20.92,1007.0
2015-09-15,20.92,20.92,20.92,20.92,0.0
2015-09-16,20.3,20.3,20.3,20.3,59.0
2015-09-17,20.3,20.3,20.3,20.3,0.0
2015-09-18,20.21,20.48,20.12,20.48,3243.0
2015-09-21,19.67,20.12,19.67,20.12,18.0
2015-09-24,20.57,20.57,20.57,20.57,760.0
2015-09-25,20.57,20.57,20.57,20.57,0.0
2015-09-28,20.39,20.39,19.94,19.94,1068.0
2015-09-29,19.67,19.67,19.67,19.67,396.0
2015-09-30,19.67,19.67,19.67,19.67,0.0
2015-10-06,19.67,19.67,19.58,19.58,255.0
2015-10-07,19.58,19.58,19.58,19.58,0.0
2015-10-16,19.94,19.94,19.31,19.94,615.0
2015-10-19,19.94,19.94,19.94,19.94,0.0
2015-10-21,19.4,19.4,19.4,19.4,22.0
2015-10-22,19.67,20.92,19.67,20.92,3579.0
2015-10-27,20.57,20.57,20.57,20.57,224.0
2015-10-28,21.01,21.01,21.01,21.01,475.0
2015-10-29,21.01,21.01,21.01,21.01,0.0
2015-10-30,21.28,21.28,21.28,21.28,252.0
2015-11-02,21.28,21.28,21.28,21.28,0.0
2015-11-03,21.55,21.55,21.1,21.1,1206.0
2015-11-04,20.92,20.92,20.92,20.92,233.0
2015-11-10,21.19,21.19,21.19,21.19,1007.0
2015-11-11,21.91,22.35,21.91,22.35,23293.0
2015-11-12,22.71,25.04,22.71,22.8,7527.0
2015-11-17,22.26,22.35,22.26,22.35,17.0
2015-11-18,21.64,22.35,20.74,20.74,3098.0
2015-11-19,20.03,20.48,20.03,20.48,527.0
2015-11-20,20.66,21.1,20.66,21.1,1703.0
2015-11-23,21.91,22.35,21.46,22.35,4534.0
2015-11-26,22.35,22.44,22.35,22.35,4812.0
2015-11-27,22.35,22.35,21.82,21.82,1163.0
2015-11-30,22.26,22.44,22.26,22.35,5981.0
2015-12-03,22.35,22.35,22.09,22.09,168.0
2015-12-04,22.09,22.09,22.09,22.09,0.0
2015-12-09,22.18,22.18,22.18,22.18,12.0
2015-12-10,22.53,22.53,22.35,22.53,133.0
2015-12-11,22.53,22.53,22.53,22.53,0.0
2015-12-15,22.26,22.26,22.26,22.26,246.0
2015-12-21,21.46,21.46,21.46,21.46,224.0
2015-12-22,21.91,21.91,21.91,21.91,2347.0
2015-12-23,21.46,21.46,21.37,21.37,615.0
2015-12-28,20.92,20.92,20.92,20.92,89.0
2015-12-30,21.91,22.35,21.46,22.35,4185.0
2016-01-04,22.18,22.53,21.91,22.53,3467.0
2016-01-05,22.44,22.44,22.44,22.44,210.0
2016-01-07,22.53,22.53,22.53,22.53,3.0
2016-01-08,21.91,21.91,21.73,21.91,434.0
2016-01-13,21.73,22.35,21.73,22.35,22.0
