Date,Open,High,Low,Close,Volume
2010-01-05,16.14,16.14,16.14,16.14,168.0
2010-01-08,16.62,16.62,16.62,16.62,42.0
2010-02-02,16.62,16.62,16.62,16.62,168.0
2010-02-03,15.43,15.55,13.82,14.12,1457.0
2010-02-05,14.89,14.89,14.29,14.29,826.0
2010-02-09,14.71,15.13,14.71,14.71,504.0
2010-02-10,14.23,14.23,14.23,14.23,353.0
2010-02-11,13.4,13.4,13.4,13.4,126.0
2010-02-12,13.94,13.94,13.1,13.1,630.0
2010-02-15,12.69,12.69,12.69,12.69,34.0
2010-02-16,13.04,13.04,13.04,13.04,168.0
2010-02-17,13.4,13.4,13.4,13.4,168.0
2010-03-01,13.82,13.82,13.82,13.82,361.0
2010-03-02,14.18,14.18,14.0,14.0,504.0
2010-03-04,14.41,14.41,14.41,14.41,131.0
2010-03-05,14.0,14.0,11.91,11.91,839.0
2010-03-08,12.63,12.98,12.63,12.98,789.0
2010-03-09,13.4,13.4,13.4,13.4,29.0
2010-03-11,13.04,13.04,13.04,13.04,72.0
2010-03-12,13.4,13.4,13.4,13.4,369.0
2010-03-15,14.18,14.18,14.18,14.18,126.0
2010-03-19,13.76,13.76,13.76,13.76,336.0
2010-03-23,14.59,14.59,14.59,14.59,336.0
2010-03-25,14.35,14.35,14.35,14.35,336.0
2010-03-30,14.71,14.71,14.71,14.71,336.0
2010-04-06,14.89,14.89,14.89,14.89,1683.0
2010-04-08,14.29,16.38,14.29,16.38,2015.0
2010-04-09,15.49,15.49,15.49,15.49,319.0
2010-04-19,15.49,15.49,15.49,15.49,571.0
2010-04-21,15.78,15.78,15.78,15.78,302.0
2010-04-22,15.78,16.08,15.78,16.08,168.0
2010-04-23,16.56,16.56,16.02,16.02,336.0
2010-05-07,15.55,15.55,15.55,15.55,319.0
2010-05-10,16.02,16.97,16.02,16.97,353.0
2010-05-11,16.02,16.02,16.02,16.02,319.0
2010-05-18,16.02,16.02,16.02,16.02,168.0
2010-05-19,16.02,16.02,16.02,16.02,1007.0
2010-05-20,16.08,16.08,15.19,15.19,611.0
2010-05-21,15.19,15.19,15.19,15.19,0.0
2010-05-24,16.08,16.08,16.08,16.08,865.0
2010-05-25,15.78,15.78,14.89,14.89,504.0
2010-05-31,15.78,15.78,15.78,15.78,42.0
2010-06-03,16.08,16.08,16.08,16.08,302.0
2010-06-15,16.68,16.68,16.68,16.68,168.0
2010-06-18,17.27,17.27,17.27,17.27,1075.0
2010-06-23,17.87,17.87,17.87,17.87,277.0
2010-06-24,19.06,19.06,19.06,19.06,334.0
2010-08-10,18.76,18.76,17.87,17.87,1343.0
2010-08-12,17.87,17.87,17.87,17.87,101.0
2010-08-13,18.4,18.4,18.4,18.4,168.0
2010-08-18,17.57,17.87,17.57,17.87,961.0
2010-08-19,17.27,17.27,16.26,16.26,1086.0
2010-08-20,17.21,17.21,17.21,17.21,80.0
