Date,Open,High,Low,Close,Volume
2010-01-07,1.71,1.71,1.71,1.71,534.0
2010-01-08,1.71,1.71,1.71,1.71,444.0
2010-01-11,1.65,1.71,1.65,1.71,1603.0
2010-01-25,1.73,1.73,1.73,1.73,2138.0
2010-01-26,1.73,1.73,1.73,1.73,1069.0
2010-01-27,1.66,1.73,1.65,1.73,13361.0
2010-02-03,1.73,1.73,1.73,1.73,534.0
2010-02-17,1.66,1.66,1.66,1.66,534.0
2010-02-19,1.78,1.79,1.78,1.79,2178.0
2010-02-24,2.06,2.66,2.06,2.61,39707.0
2010-02-25,2.46,2.46,2.46,2.46,2552.0
2010-02-26,2.53,2.53,2.53,2.53,1092.0
2010-03-02,2.57,2.66,2.56,2.66,12826.0
2010-03-03,2.85,2.88,2.85,2.88,4596.0
2010-03-04,2.88,2.88,2.88,2.88,534.0
2010-03-05,2.85,2.88,2.85,2.88,1069.0
2010-03-08,2.66,2.66,2.61,2.64,13895.0
2010-03-09,2.66,2.66,2.66,2.66,19239.0
2010-03-10,2.66,2.85,2.66,2.66,4222.0
2010-03-11,2.77,2.82,2.77,2.77,5451.0
2010-03-12,2.8,2.88,2.74,2.88,8965.0
2010-03-15,2.77,2.77,2.77,2.77,641.0
2010-03-16,2.88,2.88,2.74,2.77,8016.0
2010-03-18,2.93,3.04,2.85,2.85,3335.0
2010-03-22,3.04,3.06,3.04,3.06,7803.0
2010-03-23,2.98,3.04,2.88,3.04,8764.0
2010-03-24,2.82,2.93,2.82,2.93,11223.0
2010-03-25,2.93,3.12,2.93,3.12,11223.0
2010-03-26,3.3,3.3,2.65,2.71,12826.0
2010-03-29,2.73,2.73,2.73,2.73,534.0
2010-03-30,2.9,3.13,2.9,3.13,13948.0
2010-03-31,3.13,3.13,2.93,3.07,5344.0
2010-04-01,3.07,3.07,3.07,3.07,1069.0
2010-04-06,2.82,3.19,2.82,3.19,3477.0
2010-04-08,2.93,2.93,2.93,2.93,6413.0
2010-04-09,3.19,3.19,2.93,2.93,9085.0
2010-04-12,2.82,2.82,2.82,2.82,2138.0
2010-04-13,2.73,2.74,2.73,2.74,5344.0
2010-04-15,2.74,2.74,2.59,2.59,7482.0
2010-04-20,2.79,2.79,2.79,2.79,5344.0
2010-04-21,2.76,2.9,2.76,2.82,7482.0
2010-04-22,2.85,2.85,2.82,2.82,3207.0
2010-04-23,3.1,3.1,3.1,3.1,2138.0
2010-04-26,2.82,2.82,2.68,2.68,561.0
2010-05-04,2.67,2.71,2.67,2.71,1603.0
2010-05-05,2.72,2.73,2.71,2.71,7803.0
2010-05-06,2.59,2.59,2.59,2.59,4275.0
2010-05-07,2.54,2.54,2.54,2.54,3207.0
2010-05-10,2.53,2.54,2.53,2.54,1657.0
2010-05-17,2.44,2.44,2.44,2.44,534.0
2010-05-18,2.43,2.44,2.43,2.44,1069.0
2010-05-24,2.48,2.48,2.48,2.48,2672.0
2010-05-25,2.7,2.7,2.7,2.7,1069.0
2010-05-26,2.48,2.48,2.42,2.42,8016.0
2010-05-27,2.29,2.29,2.29,2.29,2138.0
2010-06-01,2.31,2.31,2.31,2.31,107.0
2010-06-02,2.37,2.43,2.37,2.42,5451.0
2010-06-03,2.37,2.37,2.37,2.37,534.0
2010-06-08,2.27,2.27,2.27,2.27,534.0
2010-06-10,2.33,2.33,2.33,2.33,534.0
2010-06-17,2.31,2.31,2.31,2.31,534.0
2010-06-24,2.28,2.28,2.28,2.28,534.0
2010-06-29,2.26,2.26,2.26,2.26,262.0
2010-06-30,2.2,2.2,2.2,2.2,534.0
2010-07-01,2.26,2.26,2.26,2.26,1876.0
2010-07-02,2.26,2.26,2.26,2.26,1069.0
2010-07-09,2.26,2.26,2.26,2.26,214.0
2010-07-12,2.26,2.26,2.26,2.26,534.0
2010-07-19,2.26,2.26,2.26,2.26,1389.0
2010-07-21,2.26,2.26,2.26,2.26,321.0
2010-07-22,2.26,2.26,2.26,2.26,6841.0
2010-08-20,2.4,2.9,2.4,2.82,58308.0
2010-08-23,2.68,2.68,2.6,2.65,8658.0
2010-08-26,2.54,2.54,2.54,2.54,534.0
2010-08-31,2.5,2.5,2.5,2.5,2138.0
2010-09-02,2.71,2.71,2.59,2.65,13502.0
2010-09-06,2.76,2.79,2.76,2.79,5344.0
2010-09-13,2.42,2.88,2.42,2.88,13499.0
2010-09-14,3.07,3.07,2.85,2.85,866.0
2010-09-15,2.9,2.9,2.9,2.9,1069.0
2010-09-17,2.9,2.9,2.82,2.85,1069.0
2010-09-21,2.99,3.16,2.99,3.16,6246.0
2010-09-22,3.16,3.21,3.16,3.21,9620.0
2010-09-27,3.24,3.24,3.24,3.24,534.0
2010-09-28,3.24,3.24,2.96,2.96,524.0
2010-09-29,3.66,3.66,3.64,3.64,1070.0
2010-09-30,3.13,3.55,3.13,3.55,2138.0
2010-10-06,3.21,3.21,3.21,3.21,534.0
2010-10-08,3.38,3.38,3.38,3.38,1603.0
2010-10-14,3.41,3.41,3.41,3.41,2138.0
2010-10-15,3.86,4.17,3.83,3.83,8219.0
2010-10-18,3.95,4.17,3.95,4.06,44113.0
2010-10-19,4.06,4.06,4.06,4.06,534.0
2010-10-21,4.06,4.06,4.06,4.06,6947.0
2010-10-25,4.06,4.06,4.06,4.06,2138.0
2010-10-26,4.06,4.17,4.06,4.17,3741.0
2010-10-29,4.17,4.17,4.09,4.09,5879.0
2010-11-03,4.0,4.06,4.0,4.0,13681.0
2010-11-04,4.12,4.12,4.12,4.12,2138.0
2010-11-08,4.12,4.12,4.06,4.06,17203.0
2010-11-09,4.06,4.06,4.06,4.06,1764.0
2010-11-10,4.03,4.03,4.03,4.03,534.0
2010-11-11,4.17,4.17,4.17,4.17,503.0
2010-11-15,4.06,4.12,4.06,4.12,32600.0
2010-11-16,4.28,4.4,4.03,4.03,5024.0
2010-11-17,4.14,4.14,4.09,4.09,1069.0
2010-11-18,4.09,4.23,4.09,4.23,29393.0
2010-11-19,4.34,4.34,4.34,4.34,1209.0
2010-11-22,4.51,4.51,4.51,4.51,1069.0
2010-11-23,4.48,4.48,4.26,4.26,4713.0
2010-11-24,4.26,4.34,4.26,4.34,2138.0
2010-11-25,4.45,4.45,4.23,4.23,2672.0
2010-11-26,4.14,4.14,4.0,4.0,12827.0
2010-11-29,4.06,4.23,4.06,4.23,802.0
2010-11-30,4.06,4.23,4.06,4.23,1336.0
2010-12-01,4.17,4.31,4.17,4.31,588.0
2010-12-02,4.09,4.09,4.09,4.09,534.0
2010-12-06,4.14,4.23,4.14,4.23,1283.0
2010-12-07,4.2,4.23,4.09,4.23,6306.0
2010-12-08,4.09,4.12,4.06,4.12,16033.0
2010-12-09,4.06,4.06,4.03,4.03,4454.0
2010-12-10,4.06,4.17,4.03,4.17,2138.0
2010-12-14,4.03,4.14,4.03,4.14,14429.0
2010-12-15,4.06,4.06,4.03,4.03,5879.0
2010-12-16,4.09,4.14,4.09,4.14,2138.0
2010-12-17,4.14,4.14,4.14,4.14,534.0
2010-12-20,4.06,4.14,4.06,4.14,2672.0
2010-12-22,4.03,4.03,3.95,3.95,5344.0
2010-12-23,4.0,4.17,4.0,4.12,21911.0
2010-12-27,4.17,4.23,4.17,4.23,8209.0
2010-12-28,4.12,4.12,4.12,4.12,1069.0
2010-12-29,4.23,4.23,4.23,4.23,1357.0
2010-12-30,4.51,4.51,4.51,4.51,556.0
2011-01-05,4.51,4.51,4.51,4.51,0.0
2011-01-07,4.45,4.79,4.45,4.79,1603.0
2011-01-10,4.79,4.91,4.43,4.54,4146.0
2011-01-12,4.51,4.51,4.51,4.51,5344.0
2011-01-13,4.51,4.54,4.51,4.51,3527.0
2011-01-14,4.57,4.57,4.51,4.51,5344.0
2011-01-17,4.51,4.51,4.51,4.51,3207.0
2011-01-19,4.4,4.4,4.4,4.4,1603.0
2011-01-20,4.51,4.65,4.43,4.65,8710.0
2011-01-26,4.43,4.43,4.43,4.43,3207.0
2011-01-27,4.51,4.57,4.51,4.57,1283.0
2011-01-28,4.34,4.68,4.34,4.68,1096.0
2011-01-31,4.43,4.68,4.43,4.68,2111.0
2011-02-01,4.71,4.74,4.62,4.62,3655.0
2011-02-02,4.51,4.57,4.4,4.4,11543.0
2011-02-03,4.65,4.65,4.4,4.4,8658.0
2011-02-04,4.74,4.74,4.51,4.51,3313.0
2011-02-07,4.45,4.45,4.45,4.45,1069.0
2011-02-09,4.74,4.74,4.74,4.74,1069.0
2011-02-11,4.65,4.65,4.65,4.65,1176.0
2011-02-14,5.02,5.02,5.02,5.02,53.0
2011-02-16,4.85,4.96,4.85,4.96,3207.0
2011-02-17,4.96,5.02,4.96,5.02,2517.0
2011-02-18,5.36,5.92,5.36,5.92,3233.0
2011-02-21,5.92,6.2,5.92,6.2,10261.0
2011-02-23,5.92,5.92,5.92,5.92,1603.0
2011-02-24,5.92,5.92,5.38,5.38,2672.0
2011-02-28,6.09,6.09,6.09,6.09,534.0
2011-03-01,5.86,6.09,5.86,6.09,3313.0
2011-03-03,5.47,5.47,5.47,5.47,1069.0
2011-03-04,6.09,6.09,6.09,6.09,96.0
2011-03-08,5.98,6.09,5.98,6.09,2138.0
2011-03-09,6.09,6.09,6.09,6.09,428.0
2011-03-11,5.53,5.92,5.53,5.92,2351.0
2011-03-15,5.58,5.58,5.47,5.47,6947.0
2011-03-17,5.47,5.81,5.47,5.81,1389.0
2011-03-18,6.09,6.09,6.09,6.09,107.0
2011-03-21,6.09,6.2,6.03,6.03,3100.0
2011-03-22,5.64,6.17,5.64,6.17,214.0
2011-03-24,6.17,6.43,6.03,6.2,6099.0
2011-03-28,6.59,6.59,5.9,6.56,940.0
2011-03-30,6.59,6.59,6.59,6.59,53.0
2011-04-05,6.29,6.47,6.29,6.47,2351.0
2011-04-06,6.92,6.92,6.92,6.92,641.0
2011-04-07,6.29,6.59,6.29,6.59,570.0
2011-04-08,6.59,6.59,6.59,6.59,5344.0
2011-04-14,6.44,6.59,6.44,6.59,2138.0
2011-04-15,6.8,8.08,6.8,8.08,18539.0
2011-04-18,8.08,8.08,7.48,7.96,3014.0
2011-04-19,7.78,7.96,7.78,7.96,347.0
2011-04-20,7.93,8.32,7.63,8.32,9916.0
2011-04-21,7.84,8.32,7.84,8.32,7589.0
2011-04-26,7.84,8.26,7.84,8.26,6413.0
2011-04-27,7.9,8.02,7.84,8.02,3452.0
2011-04-28,8.53,8.53,7.9,8.5,1650.0
2011-05-02,8.08,8.08,8.08,8.08,3902.0
2011-05-03,8.17,8.17,8.11,8.14,3820.0
2011-05-05,8.17,8.2,8.08,8.2,3634.0
2011-05-06,8.08,8.2,8.08,8.2,631.0
2011-05-09,8.2,8.2,8.08,8.2,2617.0
2011-05-10,8.08,8.5,8.08,8.5,1069.0
2011-05-11,8.2,8.5,8.2,8.5,5184.0
2011-05-13,8.14,8.38,8.08,8.38,4329.0
2011-05-18,8.38,8.38,8.38,8.38,59.0
2011-05-19,8.2,8.2,8.2,8.2,2613.0
2011-05-20,8.08,8.74,8.08,8.74,5130.0
2011-05-23,8.38,8.38,8.23,8.23,534.0
2011-05-24,8.32,8.32,8.26,8.26,545.0
2011-05-25,8.26,8.26,8.26,8.26,12160.0
2011-05-26,8.32,8.38,8.2,8.38,6402.0
2011-05-27,8.38,8.38,8.2,8.2,2888.0
2011-05-30,8.38,8.38,8.38,8.38,1283.0
2011-05-31,8.35,8.35,8.35,8.35,1069.0
2011-06-01,8.08,8.08,8.08,8.08,1603.0
2011-06-03,8.26,8.26,8.26,8.26,214.0
2011-06-07,8.08,8.08,8.08,8.08,2458.0
2011-06-08,7.84,8.08,7.84,8.08,1229.0
2011-06-09,7.78,8.26,7.78,8.26,1149.0
2011-06-13,7.78,8.2,7.78,8.2,6648.0
2011-06-15,7.78,8.08,7.78,8.08,2191.0
2011-06-16,7.6,7.6,7.48,7.6,9085.0
2011-06-17,7.72,7.72,7.6,7.72,3100.0
2011-06-20,7.66,7.66,7.3,7.66,1764.0
2011-06-22,6.95,7.66,6.95,7.66,3607.0
2011-06-28,7.48,7.48,7.48,7.48,1069.0
2011-06-30,7.54,8.02,7.48,8.02,5451.0
2011-07-01,7.78,7.78,7.78,7.78,3207.0
2011-07-04,7.51,7.51,7.48,7.48,1603.0
2011-07-05,8.02,8.02,7.48,8.02,1224.0
2011-07-06,8.02,8.02,8.02,8.02,1069.0
2011-07-07,7.39,7.75,7.39,7.75,2138.0
2011-07-08,7.78,7.9,7.48,7.9,2784.0
2011-07-13,7.78,7.78,7.78,7.78,107.0
2011-07-15,7.54,7.9,7.45,7.9,1454.0
2011-07-18,7.45,7.93,7.45,7.48,3741.0
2011-07-21,7.24,7.24,7.24,7.24,534.0
2011-07-22,7.54,7.54,7.54,7.54,3207.0
2011-07-27,7.54,7.54,7.54,7.54,1.0
2011-07-28,7.54,7.54,7.54,7.54,6.0
2011-08-01,7.33,7.36,7.33,7.36,2138.0
2011-08-02,7.18,7.18,6.89,6.89,3207.0
2011-08-03,6.62,7.09,6.02,7.09,8738.0
2011-08-04,6.38,6.38,6.35,6.35,1015.0
2011-08-05,5.78,6.65,5.75,6.65,1496.0
2011-08-08,5.99,5.99,5.69,5.69,2138.0
2011-08-11,5.99,5.99,5.99,5.99,534.0
2011-08-12,6.77,6.77,6.77,6.77,748.0
2011-08-15,6.65,6.83,6.59,6.59,4703.0
2011-08-16,6.8,6.8,6.68,6.68,5841.0
2011-08-17,6.59,6.59,6.59,6.59,2138.0
2011-08-18,6.41,6.41,6.35,6.35,4275.0
2011-08-19,6.35,6.35,5.75,5.75,9085.0
2011-08-22,5.87,5.87,5.87,5.87,641.0
2011-08-30,5.87,5.99,5.87,5.99,2993.0
2011-08-31,6.17,6.17,6.17,6.17,214.0
2011-09-01,5.99,5.99,5.99,5.99,1069.0
2011-09-02,5.69,5.69,5.69,5.69,1069.0
2011-09-05,5.63,5.63,5.63,5.63,3688.0
2011-09-06,5.09,5.27,5.09,5.27,3741.0
2011-09-07,5.66,5.66,5.66,5.66,1069.0
2011-09-13,5.69,5.96,5.69,5.96,748.0
2011-09-20,5.99,5.99,5.99,5.99,492.0
2011-09-28,5.6,5.69,5.6,5.69,802.0
2011-09-30,6.11,6.11,6.11,6.11,37.0
2011-10-03,5.69,5.69,5.6,5.6,534.0
2011-10-04,5.78,5.78,5.39,5.75,9299.0
2011-10-05,5.51,5.51,5.39,5.39,4062.0
2011-10-06,5.69,5.69,5.69,5.69,107.0
2011-10-14,5.99,5.99,5.99,5.99,107.0
2011-10-19,5.99,6.2,5.99,6.14,5873.0
2011-10-21,6.86,6.86,6.86,6.86,1069.0
2011-10-24,6.68,6.68,6.68,6.68,1069.0
2011-10-25,6.53,6.59,6.53,6.59,2138.0
2011-10-26,6.29,6.29,5.72,6.23,8230.0
2011-10-27,6.2,6.23,6.2,6.23,4356.0
2011-10-28,6.23,6.23,6.23,6.23,6413.0
2011-11-01,6.05,6.05,6.05,6.05,534.0
2011-11-02,6.29,6.29,6.29,6.29,214.0
2011-11-04,6.29,6.29,6.29,6.29,534.0
2011-11-08,6.29,6.47,6.29,6.47,3207.0
2011-11-11,6.47,6.47,6.47,6.47,187.0
2011-11-16,6.29,6.29,6.29,6.29,107.0
2011-11-17,6.17,6.17,6.17,6.17,3207.0
2011-11-18,6.29,6.29,6.29,6.29,1.0
2011-11-21,6.05,6.05,6.05,6.05,1283.0
2011-11-23,5.69,5.69,5.69,5.69,5344.0
2011-12-05,6.11,6.11,6.11,6.11,2186.0
2011-12-08,5.99,5.99,5.69,5.69,2672.0
2011-12-14,5.75,5.75,5.75,5.75,214.0
2011-12-19,5.42,6.23,5.39,6.23,2538.0
2011-12-23,5.99,6.26,5.99,6.26,6413.0
2011-12-28,5.66,6.2,5.57,6.2,6947.0
2011-12-29,5.99,5.99,5.87,5.99,5879.0
2011-12-30,6.2,6.2,6.2,6.2,107.0
2012-01-02,6.17,6.2,6.17,6.2,2770.0
2012-01-03,6.47,6.5,6.47,6.5,1256.0
2012-01-11,6.05,6.05,6.05,6.05,2138.0
2012-01-16,5.99,5.99,5.99,5.99,1496.0
2012-01-19,6.14,6.56,6.11,6.56,3634.0
2012-01-24,6.17,6.17,6.14,6.14,1069.0
2012-01-26,6.32,6.32,6.32,6.32,267.0
2012-01-27,6.59,6.74,6.44,6.74,2699.0
2012-01-30,7.0,7.0,6.29,6.29,5953.0
2012-01-31,6.95,6.95,6.95,6.95,2298.0
2012-02-01,6.92,7.33,6.92,7.33,2619.0
2012-02-02,7.18,7.18,7.18,7.18,294.0
2012-02-03,6.62,6.62,6.59,6.59,1084.0
2012-02-06,7.18,7.18,7.18,7.18,214.0
2012-02-07,6.62,7.15,6.62,7.15,481.0
2012-02-08,6.68,7.36,6.68,7.36,8363.0
2012-02-09,7.18,7.33,7.18,7.33,3980.0
2012-02-10,7.18,7.36,7.18,7.36,2541.0
2012-02-16,7.21,7.66,7.21,7.66,9881.0
2012-02-17,7.48,7.54,6.98,6.98,14110.0
2012-02-20,7.48,7.48,7.0,7.33,16086.0
2012-02-21,6.92,6.95,6.89,6.95,1972.0
2012-02-22,7.06,7.06,6.89,6.89,15963.0
2012-02-23,6.95,6.95,6.95,6.95,1539.0
2012-02-24,6.89,6.89,6.89,6.89,2.0
2012-02-27,6.95,7.12,6.95,7.12,3207.0
2012-02-28,7.0,7.0,6.95,6.95,2138.0
2012-02-29,7.12,7.12,7.12,7.12,214.0
2012-03-01,6.95,6.95,6.83,6.83,9788.0
2012-03-02,6.77,7.15,6.77,7.15,1926.0
2012-03-05,6.8,7.12,6.8,7.12,2755.0
2012-03-06,7.12,7.12,7.12,7.12,0.0
2012-03-09,6.8,7.09,6.8,7.09,1605.0
2012-03-12,7.06,7.06,6.89,6.89,1283.0
2012-03-13,6.89,7.18,6.89,6.89,9726.0
2012-03-14,6.89,7.12,6.89,7.12,2245.0
2012-03-15,7.12,7.15,7.12,7.15,3207.0
2012-03-16,7.15,7.15,7.15,7.15,155.0
2012-03-19,7.15,7.15,7.15,7.15,0.0
2012-03-21,7.09,7.12,7.09,7.12,1603.0
2012-03-22,6.83,7.03,6.83,7.03,11333.0
2012-03-23,7.43,7.43,6.94,6.94,14858.0
2012-03-26,7.14,7.14,7.14,7.14,1069.0
2012-03-27,7.14,7.14,7.14,7.14,0.0
2012-03-28,7.3,7.3,7.3,7.3,1069.0
2012-03-29,7.3,7.3,7.3,7.3,214.0
2012-04-02,7.3,7.3,7.3,7.3,0.0
2012-04-03,7.11,7.36,7.01,7.36,10795.0
2012-04-04,7.36,7.36,7.36,7.36,0.0
2012-04-13,7.14,7.14,7.14,7.14,534.0
2012-04-16,7.14,7.79,7.14,7.79,17476.0
2012-04-17,7.79,7.79,7.79,7.79,0.0
2012-04-18,8.01,8.01,8.01,8.01,1283.0
2012-04-19,7.79,7.79,7.79,7.79,1176.0
2012-04-27,7.36,7.92,7.36,7.92,3741.0
2012-04-30,7.92,7.92,7.92,7.92,0.0
2012-05-03,7.72,7.72,7.72,7.72,1069.0
2012-05-04,7.72,7.72,7.72,7.72,0.0
2012-05-09,7.53,7.79,7.53,7.79,962.0
2012-05-11,7.53,7.53,7.53,7.53,1603.0
2012-05-14,7.53,7.53,7.53,7.53,0.0
2012-05-15,7.46,7.72,7.46,7.72,2367.0
2012-05-16,7.3,7.3,7.17,7.17,4516.0
2012-05-18,7.14,7.14,7.14,7.14,1257.0
2012-05-22,6.98,6.98,6.91,6.91,534.0
2012-05-23,7.46,7.46,7.46,7.46,214.0
2012-05-24,7.46,7.46,7.46,7.46,0.0
2012-05-29,7.14,7.14,7.14,7.14,2336.0
2012-05-31,7.46,7.46,7.46,7.46,107.0
2012-06-05,6.88,7.3,6.88,7.3,589.0
2012-06-11,7.46,7.46,7.46,7.46,534.0
2012-06-12,7.07,7.07,7.07,7.07,534.0
2012-06-13,7.07,7.07,7.07,7.07,0.0
2012-06-18,7.07,7.07,7.07,7.07,321.0
2012-06-29,7.14,7.14,7.14,7.14,1122.0
2012-07-04,6.72,7.33,6.72,7.33,748.0
2012-07-05,6.94,7.3,6.94,7.3,1122.0
2012-07-11,6.94,6.94,6.94,6.94,534.0
2012-07-12,6.98,6.98,6.98,6.98,855.0
2012-07-13,7.43,7.46,7.43,7.46,1603.0
2012-07-20,7.72,7.72,7.72,7.72,53.0
2012-07-23,6.78,7.62,6.78,7.62,374.0
2012-07-24,7.62,7.62,7.62,7.62,0.0
2012-07-26,6.78,6.78,6.78,6.78,2138.0
2012-07-27,6.85,6.85,6.81,6.81,909.0
2012-07-30,7.27,7.27,7.27,7.27,112.0
2012-07-31,7.27,7.27,7.27,7.27,0.0
2012-08-03,7.27,7.27,7.27,7.27,1496.0
2012-08-08,7.3,7.3,7.3,7.3,107.0
2012-08-10,7.36,7.36,7.36,7.36,267.0
2012-08-13,7.04,7.33,6.91,7.33,1561.0
2012-08-15,7.01,7.01,7.01,7.01,534.0
2012-08-16,7.14,7.14,7.14,7.14,2138.0
2012-08-17,7.36,7.36,7.36,7.36,1069.0
2012-08-22,7.79,7.79,7.79,7.79,5236.0
2012-08-23,7.79,7.79,7.79,7.79,214.0
2012-08-27,8.11,8.11,8.11,8.11,267.0
2012-08-28,8.27,8.31,8.11,8.11,1796.0
2012-08-29,7.82,7.82,7.79,7.79,6254.0
2012-08-30,7.79,7.79,7.79,7.79,2769.0
2012-08-31,7.62,8.05,7.62,8.05,321.0
2012-09-05,7.95,7.98,7.95,7.98,5344.0
2012-09-07,7.98,7.98,7.98,7.98,1069.0
2012-09-11,7.98,7.98,7.98,7.98,866.0
2012-09-12,7.95,7.98,7.95,7.98,665.0
2012-09-13,7.79,7.79,7.79,7.79,8551.0
2012-09-14,7.79,7.95,7.79,7.95,641.0
2012-09-17,7.98,7.98,7.79,7.98,6673.0
2012-09-18,7.85,7.85,7.85,7.85,534.0
2012-09-19,7.85,8.11,7.79,8.11,4218.0
2012-09-20,8.57,8.95,8.44,8.73,75498.0
2012-09-21,8.86,8.99,8.63,8.92,27373.0
2012-09-24,9.08,9.08,8.92,9.02,16503.0
2012-09-25,9.05,9.05,8.92,8.92,7696.0
2012-09-26,8.99,8.99,8.82,8.99,3276.0
2012-09-27,8.95,8.95,8.89,8.89,656.0
2012-09-28,8.95,8.95,8.95,8.95,534.0
2012-10-01,8.76,8.76,8.53,8.66,4629.0
2012-10-02,8.6,8.7,8.6,8.7,6672.0
2012-10-03,8.7,8.92,8.7,8.82,6680.0
2012-10-04,8.7,8.7,8.63,8.63,1069.0
2012-10-05,8.63,8.63,8.53,8.63,11116.0
2012-10-08,8.95,8.95,8.95,8.95,1283.0
2012-10-09,8.53,8.95,8.53,8.95,2180.0
2012-10-10,8.95,9.02,8.6,8.6,3489.0
2012-10-11,8.6,8.6,8.6,8.6,0.0
2012-10-15,8.6,8.6,8.6,8.6,534.0
2012-10-17,8.53,8.7,8.24,8.7,5177.0
2012-10-18,8.7,8.92,8.7,8.7,2726.0
2012-10-19,8.73,8.82,8.47,8.82,2512.0
2012-10-22,8.44,8.44,8.34,8.44,2672.0
2012-10-23,8.44,8.44,8.44,8.44,1069.0
2012-10-24,8.37,8.37,8.34,8.34,1069.0
2012-10-25,8.24,8.44,8.24,8.44,5173.0
2012-10-26,8.44,8.44,8.31,8.31,534.0
2012-10-29,8.31,8.31,8.31,8.31,2604.0
2012-10-30,8.31,8.31,8.31,8.31,0.0
2012-10-31,8.57,8.57,8.57,8.57,53.0
2012-11-01,8.44,8.44,8.44,8.44,641.0
2012-11-02,8.11,8.44,8.11,8.44,76.0
2012-11-05,8.44,8.44,8.44,8.44,0.0
2012-11-06,8.31,8.31,8.31,8.31,1069.0
2012-11-07,8.11,8.44,8.11,8.44,4814.0
2012-11-08,8.34,8.34,8.18,8.18,10108.0
2012-11-09,8.11,8.11,8.05,8.05,1071.0
2012-11-12,8.05,8.44,8.05,8.44,3434.0
2012-11-13,8.44,8.44,8.4,8.4,438.0
2012-11-14,8.18,8.18,8.11,8.11,2672.0
2012-11-15,8.11,8.11,8.11,8.11,898.0
2012-11-16,8.11,8.24,8.11,8.24,5933.0
2012-11-19,8.24,8.24,8.24,8.24,0.0
2012-11-20,8.01,8.4,8.01,8.4,7322.0
2012-11-21,8.4,8.4,8.4,8.4,0.0
2012-11-22,8.14,8.57,8.11,8.57,1289.0
2012-11-23,7.98,8.37,7.98,8.37,109.0
2012-11-26,8.37,8.37,8.37,8.37,0.0
2012-11-27,8.14,8.44,8.14,8.44,1988.0
2012-11-28,8.18,8.44,8.18,8.44,1336.0
2012-11-29,8.44,8.44,8.11,8.11,566.0
2012-11-30,8.44,8.44,8.44,8.44,267.0
2012-12-03,8.18,8.44,8.18,8.44,1603.0
2012-12-04,8.11,8.73,8.11,8.73,1922.0
2012-12-05,8.18,8.73,8.18,8.73,2015.0
2012-12-06,8.73,8.73,8.73,8.73,0.0
2012-12-10,8.7,8.76,8.7,8.76,2138.0
2012-12-11,8.76,8.76,8.76,8.76,0.0
2012-12-12,8.44,8.63,8.18,8.63,641.0
2012-12-13,8.44,8.66,8.31,8.66,3634.0
2012-12-14,8.44,8.57,8.44,8.57,38.0
2012-12-17,8.37,8.5,8.37,8.5,925.0
2012-12-18,8.44,8.44,8.44,8.44,4420.0
2012-12-19,8.44,8.44,8.44,8.44,3597.0
2012-12-20,8.76,8.76,8.76,8.76,107.0
2012-12-21,8.44,8.76,8.44,8.44,4382.0
2012-12-27,8.24,8.73,8.24,8.73,3207.0
2013-01-03,8.44,9.08,8.4,9.08,1056.0
2013-01-04,9.08,9.08,9.08,9.08,1603.0
2013-01-07,8.57,8.57,8.57,8.57,534.0
2013-01-08,9.54,9.54,8.6,9.21,3527.0
2013-01-09,9.38,9.41,9.38,9.41,1817.0
2013-01-10,9.38,9.38,8.82,9.38,3527.0
2013-01-11,9.38,9.38,9.38,9.38,321.0
2013-01-14,9.38,9.38,9.38,9.38,0.0
