Date,Open,High,Low,Close,Volume
2010-01-04,4.49,4.8,4.49,4.8,3120.0
2010-01-07,4.89,4.89,4.8,4.89,2512.0
2010-01-12,4.74,4.74,4.74,4.74,818.0
2010-01-13,4.89,5.23,4.89,5.16,12436.0
2010-01-14,4.74,5.19,4.58,4.89,6958.0
2010-01-15,4.89,5.04,4.89,4.92,1555.0
2010-01-18,4.89,4.89,4.46,4.46,4487.0
2010-01-19,4.37,4.71,4.37,4.71,2536.0
2010-01-20,4.98,5.01,4.98,5.01,1996.0
2010-01-21,4.89,5.01,4.89,4.89,3289.0
2010-01-22,5.01,5.13,5.01,5.13,4484.0
2010-01-25,5.5,5.5,5.19,5.19,1391.0
2010-01-26,5.32,5.32,5.32,5.32,1031.0
2010-01-27,5.44,6.05,5.16,6.05,5244.0
2010-01-28,6.23,6.72,6.23,6.72,13464.0
2010-01-29,6.84,7.24,6.84,7.24,2569.0
2010-02-01,7.03,7.03,5.87,5.87,5979.0
2010-02-02,5.84,5.84,5.56,5.56,1636.0
2010-02-03,5.56,5.71,5.56,5.71,1841.0
2010-02-04,5.71,5.71,5.71,5.71,2045.0
2010-02-08,6.14,6.14,5.32,5.62,2500.0
2010-02-09,5.5,5.5,4.89,5.32,3764.0
2010-02-10,5.16,5.16,5.13,5.13,24054.0
2010-02-11,5.13,5.44,4.83,4.83,8263.0
2010-02-15,4.83,5.23,4.83,5.13,17869.0
2010-02-16,5.32,5.44,5.32,5.44,785.0
2010-02-17,5.29,5.29,5.13,5.13,4385.0
2010-02-18,4.86,4.95,4.74,4.74,4385.0
2010-02-19,4.61,4.61,4.61,4.61,1064.0
2010-02-22,4.86,4.86,4.55,4.58,16396.0
2010-02-23,4.31,4.31,4.31,4.31,49.0
2010-02-24,4.28,4.46,4.19,4.46,7903.0
2010-02-25,4.28,4.46,3.67,4.46,5236.0
2010-02-26,4.19,4.4,4.19,4.4,1849.0
2010-03-01,4.52,4.77,4.52,4.77,2847.0
2010-03-02,4.89,5.32,4.58,4.71,19799.0
2010-03-03,4.74,4.74,4.09,4.09,11765.0
2010-03-04,4.58,4.83,4.58,4.58,9883.0
2010-03-05,4.77,4.77,4.58,4.58,1636.0
2010-03-08,4.74,5.01,4.74,5.01,2978.0
2010-03-09,4.77,4.89,4.61,4.61,1232.0
2010-03-10,4.4,4.4,4.4,4.4,2454.0
2010-03-11,4.64,4.92,4.64,4.92,1849.0
2010-03-12,4.77,4.77,4.25,4.37,7691.0
2010-03-15,4.52,4.61,4.52,4.61,4091.0
2010-03-17,4.74,4.74,4.74,4.74,638.0
2010-03-18,4.74,4.74,4.74,4.74,385.0
2010-03-19,5.01,5.01,4.89,4.89,1031.0
2010-03-22,5.01,5.56,5.01,5.5,8983.0
2010-03-23,5.81,6.72,5.74,6.72,3536.0
2010-03-24,6.42,6.72,6.11,6.17,23849.0
2010-03-25,6.36,6.72,6.36,6.66,2782.0
2010-03-26,6.26,6.26,5.16,5.47,4151.0
2010-03-29,5.47,5.84,5.19,5.84,3960.0
2010-03-30,6.17,6.42,6.11,6.42,5073.0
2010-03-31,6.11,6.11,6.05,6.05,3706.0
2010-04-01,6.05,6.72,6.05,6.72,10497.0
2010-04-06,6.42,7.12,6.42,7.03,38727.0
2010-04-07,7.03,7.33,7.03,7.33,35536.0
2010-04-08,7.33,11.31,7.33,11.31,262212.0
2010-04-09,11.31,11.61,9.17,9.41,257681.0
2010-04-12,10.08,10.08,8.74,9.11,167704.0
2010-04-13,9.11,9.53,8.56,8.68,162853.0
2010-04-14,8.62,9.35,8.56,9.17,137564.0
2010-04-15,9.29,9.29,8.56,9.04,64937.0
2010-04-16,8.62,8.86,8.13,8.59,121217.0
2010-04-19,8.31,8.8,8.13,8.4,27950.0
2010-04-20,8.53,8.74,7.94,8.74,64523.0
2010-04-21,8.68,8.68,8.37,8.68,4304.0
2010-04-22,8.65,9.17,8.16,9.17,46494.0
2010-04-23,9.17,9.41,8.92,9.35,37000.0
2010-04-26,9.78,10.94,9.41,10.51,62159.0
2010-04-27,11.0,11.0,9.78,10.39,103734.0
2010-04-28,10.27,11.0,9.59,10.39,80754.0
2010-04-29,10.94,12.22,10.63,12.22,171551.0
2010-04-30,12.22,14.54,12.1,12.53,193516.0
2010-05-03,13.14,13.26,11.61,12.47,61912.0
2010-05-04,12.47,12.65,11.18,11.79,58277.0
2010-05-05,11.18,11.31,10.45,10.82,93426.0
2010-05-06,10.21,11.12,9.17,10.88,132802.0
2010-05-07,9.96,10.21,8.34,8.92,105960.0
2010-05-10,9.29,10.76,9.29,10.51,140123.0
2010-05-11,10.39,10.39,9.78,10.27,49836.0
2010-05-12,10.27,10.69,10.27,10.69,11012.0
2010-05-14,10.88,11.24,10.63,10.88,57418.0
2010-05-17,10.82,11.18,10.57,11.06,16895.0
2010-05-18,10.94,10.94,10.45,10.88,28883.0
2010-05-19,10.69,10.69,10.51,10.69,3600.0
2010-05-20,10.69,10.69,9.17,10.08,63522.0
2010-05-21,9.78,9.78,9.17,9.66,32980.0
2010-05-24,10.08,10.69,9.78,10.08,17163.0
2010-05-25,10.69,10.88,9.78,10.88,131396.0
2010-05-26,10.39,10.45,9.96,10.39,23048.0
2010-05-27,10.39,10.76,10.33,10.69,31041.0
2010-05-28,10.82,11.55,10.57,11.18,94322.0
2010-05-31,11.31,11.67,11.0,11.55,53349.0
2010-06-01,11.61,11.61,11.0,11.55,40237.0
2010-06-02,11.31,11.49,10.88,11.49,22872.0
2010-06-03,11.55,11.98,11.0,11.43,43780.0
2010-06-04,11.61,12.16,11.18,11.24,57886.0
2010-06-07,11.24,11.55,10.94,11.0,24679.0
2010-06-08,11.12,11.12,10.39,10.82,22951.0
2010-06-09,11.0,11.0,10.39,10.63,13269.0
2010-06-10,10.33,10.45,10.08,10.45,12436.0
2010-06-11,10.27,11.18,10.14,11.18,17201.0
2010-06-14,10.69,11.43,10.69,11.12,48829.0
2010-06-15,11.31,11.79,11.31,11.67,53220.0
2010-06-16,11.79,14.79,11.31,12.41,99470.0
2010-06-17,12.83,13.93,12.22,12.59,206855.0
2010-06-18,12.65,12.65,11.92,12.22,23314.0
2010-06-21,12.53,12.53,11.24,11.24,15502.0
