Date,Open,High,Low,Close,Volume
2011-04-19,10.18,10.55,8.7,8.7,188010.0
2011-04-20,8.7,8.74,8.56,8.74,87229.0
2011-04-21,8.98,8.98,8.98,8.98,0.0
2011-04-26,8.79,9.25,8.79,9.16,17139.0
2011-04-27,9.16,9.16,9.07,9.07,17755.0
2011-04-28,9.07,9.07,8.84,8.88,7162.0
2011-04-29,9.02,9.02,8.88,9.02,30139.0
2011-05-02,8.88,9.02,8.84,8.88,25134.0
2011-05-03,8.84,8.88,8.19,8.47,92004.0
2011-05-04,8.19,8.51,8.19,8.19,101138.0
2011-05-05,8.24,8.28,8.0,8.1,23778.0
2011-05-06,7.96,8.19,7.87,8.0,64293.0
2011-05-09,7.91,7.91,7.63,7.91,43016.0
2011-05-10,7.73,7.87,7.73,7.87,31380.0
2011-05-11,7.82,7.87,7.82,7.87,49996.0
2011-05-12,7.82,7.87,7.68,7.87,73305.0
2011-05-13,7.73,7.73,7.63,7.68,32623.0
2011-05-16,7.63,7.63,7.4,7.63,67276.0
2011-05-17,7.5,7.63,7.4,7.59,12122.0
2011-05-18,7.4,7.68,7.36,7.68,573494.0
2011-05-19,7.54,7.63,7.4,7.54,109840.0
2011-05-20,7.59,7.59,7.45,7.45,48848.0
2011-05-23,7.4,7.5,7.4,7.45,35975.0
2011-05-24,7.45,7.5,7.22,7.22,144768.0
2011-05-25,7.22,7.31,7.17,7.17,27641.0
2011-05-26,7.22,7.22,7.17,7.17,2712.0
2011-05-27,7.17,7.4,7.17,7.4,19612.0
2011-05-30,7.22,7.22,7.22,7.22,4089.0
2011-05-31,7.22,7.4,7.17,7.26,42505.0
2011-06-01,7.22,7.22,7.22,7.22,0.0
2011-06-03,7.22,7.22,7.22,7.22,16.0
2011-06-07,7.22,7.4,7.17,7.26,28095.0
2011-06-08,7.26,7.26,6.99,6.99,45110.0
2011-06-09,6.94,6.99,6.89,6.94,52751.0
2011-06-10,6.94,7.22,6.94,6.94,16457.0
2011-06-13,6.89,6.94,6.82,6.82,27962.0
2011-06-14,6.94,7.26,6.85,6.85,36441.0
2011-06-15,6.8,6.85,6.71,6.85,7325.0
2011-06-16,6.71,6.8,6.66,6.8,6274.0
2011-06-17,6.71,6.94,6.71,6.94,31224.0
2011-06-20,6.71,6.71,6.66,6.66,2901.0
2011-06-21,6.66,6.66,6.62,6.62,13512.0
2011-06-22,6.64,6.64,6.55,6.57,23660.0
2011-06-23,6.57,6.94,6.52,6.76,10284.0
2011-06-27,6.48,6.52,6.48,6.52,814.0
2011-06-28,6.57,6.71,6.57,6.71,2188.0
2011-06-29,6.52,6.52,6.52,6.52,6790.0
2011-06-30,6.52,6.76,6.52,6.76,6668.0
2011-07-01,6.62,6.8,6.52,6.8,1819.0
2011-07-04,6.57,6.94,6.57,6.94,1890.0
2011-07-05,6.71,6.94,6.57,6.94,12100.0
2011-07-06,6.94,6.94,6.71,6.71,607.0
2011-07-07,6.71,6.71,6.57,6.57,4731.0
2011-07-08,6.71,6.85,6.57,6.85,13283.0
2011-07-11,6.62,6.62,6.62,6.62,16.0
2011-07-12,6.62,6.62,6.62,6.62,13020.0
2011-07-13,6.57,6.71,6.57,6.71,1102.0
2011-07-14,6.55,6.55,6.5,6.5,3003.0
2011-07-15,6.48,6.59,6.48,6.5,11557.0
2011-07-18,6.39,6.39,6.39,6.39,379.0
2011-07-19,6.39,6.43,6.39,6.43,528.0
2011-07-20,6.43,6.85,6.43,6.43,522.0
2011-07-21,6.45,6.82,6.43,6.82,1499.0
2011-07-22,6.39,6.82,6.39,6.82,13992.0
2011-07-25,6.52,6.52,6.52,6.52,2023.0
2011-07-26,6.5,6.5,6.5,6.5,1.0
2011-07-27,6.5,6.52,6.48,6.52,1947.0
2011-07-28,6.48,6.71,6.48,6.71,2498.0
2011-07-29,6.52,6.52,6.52,6.52,505.0
2011-08-01,6.57,6.57,6.48,6.48,201.0
2011-08-02,6.52,6.52,6.39,6.39,4335.0
2011-08-03,6.39,6.39,6.11,6.11,20455.0
2011-08-04,6.06,6.15,5.83,5.83,24157.0
2011-08-05,5.78,5.97,5.14,5.97,29787.0
2011-08-08,5.55,5.85,5.44,5.78,16016.0
2011-08-09,5.55,5.83,5.44,5.58,7779.0
2011-08-10,5.51,6.02,5.51,5.51,16232.0
2011-08-11,5.99,5.99,5.44,5.92,15470.0
2011-08-12,6.02,6.02,6.02,6.02,17280.0
2011-08-15,5.78,5.78,5.6,5.78,4630.0
2011-08-16,5.67,5.78,5.64,5.78,6202.0
2011-08-17,5.64,5.78,5.6,5.78,6198.0
2011-08-18,6.18,6.18,5.55,5.83,7094.0
2011-08-19,5.58,5.69,5.58,5.69,1810.0
