Date,Open,High,Low,Close,Volume
2013-05-20,2.86,3.28,2.57,3.28,871914.0
2013-05-21,3.23,3.23,2.79,2.89,178152.0
2013-05-22,2.75,2.87,2.75,2.79,103560.0
2013-05-23,2.6,2.92,2.6,2.73,64089.0
2013-05-24,2.71,2.98,2.7,2.8,27831.0
2013-05-27,2.8,2.85,2.68,2.71,65187.0
2013-05-28,2.67,2.67,2.2,2.31,127297.0
2013-05-29,2.41,2.41,2.18,2.3,24410.0
2013-05-30,2.2,2.2,2.05,2.06,69138.0
2013-05-31,2.2,2.2,1.97,2.12,115138.0
2013-06-03,2.09,2.17,1.74,2.09,18770.0
2013-06-04,1.97,2.13,1.82,2.13,4017.0
2013-06-05,2.21,2.21,1.74,2.11,6487.0
2013-06-07,1.68,2.05,1.68,2.05,6011.0
2013-06-10,2.2,2.2,1.79,1.86,20568.0
2013-06-11,1.89,1.97,1.82,1.82,68481.0
2013-06-12,1.97,1.97,1.75,1.82,25067.0
2013-06-13,1.86,2.03,1.76,1.89,33406.0
2013-06-14,1.97,1.97,1.8,1.8,77227.0
2013-06-17,1.8,1.96,1.8,1.89,42041.0
2013-06-18,1.97,1.97,1.78,1.78,73062.0
2013-06-19,1.82,1.89,1.82,1.86,22987.0
2013-06-20,1.86,1.89,1.82,1.82,21361.0
2013-06-21,1.82,1.82,1.82,1.82,0.0
2013-06-24,1.89,1.89,1.7,1.74,10893.0
2013-06-25,1.71,1.89,1.71,1.82,5521.0
2013-06-26,1.89,1.89,1.74,1.74,21446.0
2013-06-27,1.76,1.82,1.76,1.82,2420.0
2013-06-28,1.85,1.85,1.78,1.82,24554.0
2013-07-01,1.77,1.78,1.76,1.78,8415.0
2013-07-02,1.74,1.97,1.74,1.97,40469.0
2013-07-03,1.97,2.01,1.82,2.01,90965.0
2013-07-04,1.97,2.01,1.97,1.97,21909.0
2013-07-05,1.89,1.89,1.83,1.86,10380.0
2013-07-08,1.84,2.29,1.84,2.09,52639.0
2013-07-09,2.05,2.05,1.89,1.93,29017.0
2013-07-10,1.93,2.04,1.93,2.02,11041.0
2013-07-11,1.92,2.04,1.92,2.03,2150.0
2013-07-12,1.93,2.05,1.93,1.97,36603.0
2013-07-15,1.97,1.97,1.91,1.91,8123.0
2013-07-16,1.93,1.95,1.92,1.92,7228.0
2013-07-17,1.95,2.02,1.95,1.97,15633.0
2013-07-18,2.03,2.03,1.92,1.92,17907.0
2013-07-19,1.89,1.97,1.82,1.97,15950.0
2013-07-22,1.9,1.9,1.84,1.84,2756.0
2013-07-23,1.85,1.93,1.84,1.84,43702.0
2013-07-24,1.84,1.85,1.82,1.84,37669.0
2013-07-25,1.88,1.89,1.82,1.86,40044.0
2013-07-26,1.89,1.89,1.71,1.82,3472.0
2013-07-29,1.97,1.97,1.84,1.84,13855.0
2013-07-30,1.82,1.97,1.82,1.88,99409.0
2013-07-31,1.89,1.97,1.89,1.97,69581.0
2013-08-01,1.98,2.21,1.91,2.01,48602.0
2013-08-02,1.94,2.05,1.94,2.04,13158.0
2013-08-05,2.04,2.11,2.01,2.04,21437.0
2013-08-06,1.94,2.09,1.94,2.09,102674.0
2013-08-07,1.98,1.99,1.98,1.98,11653.0
2013-08-08,2.11,2.11,1.98,2.0,22044.0
2013-08-09,2.12,2.12,2.0,2.07,50802.0
2013-08-12,2.09,2.13,2.05,2.09,127313.0
2013-08-13,2.13,2.16,2.07,2.16,31982.0
2013-08-14,2.01,2.03,2.01,2.03,2792.0
2013-08-15,2.04,2.09,2.04,2.09,3030.0
2013-08-16,2.03,2.09,2.03,2.03,9607.0
2013-08-19,2.03,2.09,2.02,2.02,9356.0
2013-08-20,2.08,2.2,2.02,2.12,35533.0
2013-08-21,2.04,2.09,1.99,2.05,11127.0
2013-08-22,2.01,2.1,1.98,2.1,27671.0
2013-08-23,2.1,2.1,2.01,2.05,49775.0
2013-08-26,2.1,2.12,2.01,2.09,51070.0
2013-08-27,1.99,2.1,1.99,2.02,8527.0
2013-08-28,2.02,2.03,1.99,2.01,21044.0
2013-08-29,2.03,2.04,2.01,2.02,30822.0
2013-08-30,2.05,2.1,2.02,2.1,11987.0
2013-09-02,2.05,2.17,2.05,2.12,50661.0
2013-09-03,2.12,2.13,2.05,2.09,25311.0
2013-09-04,2.06,2.17,2.06,2.17,1613.0
2013-09-05,2.11,2.11,2.06,2.1,8019.0
2013-09-06,2.25,2.25,1.99,2.13,19247.0
2013-09-09,2.05,2.13,2.05,2.06,39006.0
2013-09-10,2.09,2.16,2.09,2.16,22152.0
2013-09-11,2.16,2.16,2.05,2.05,23339.0
2013-09-12,2.16,2.17,2.08,2.08,109243.0
2013-09-13,2.13,2.16,2.08,2.16,57585.0
