Date,Open,High,Low,Close,Volume
2015-11-25,46.89,50.94,46.89,50.94,19685085.0
2015-11-26,50.98,50.98,49.19,50.57,1388963.0
2015-11-27,50.43,50.75,49.65,50.34,867175.0
2015-11-30,50.11,50.11,49.28,49.93,1683152.0
2015-12-01,50.02,50.94,49.83,50.94,934355.0
2015-12-02,51.03,52.59,50.94,52.59,1499347.0
2015-12-03,51.95,52.59,51.17,51.9,537324.0
2015-12-04,51.26,51.49,50.11,50.71,1431669.0
2015-12-07,50.75,50.8,49.51,50.29,342756.0
2015-12-09,49.19,49.65,49.01,49.14,176960.0
2015-12-10,48.73,49.65,48.73,49.05,478026.0
2015-12-11,48.73,48.73,47.81,47.9,2649335.0
2015-12-14,47.9,48.0,47.08,47.35,591682.0
2015-12-15,46.2,48.04,46.2,48.0,345827.0
2015-12-16,48.09,49.6,47.81,49.14,256092.0
2015-12-17,49.65,50.43,49.28,49.6,431067.0
2015-12-18,49.6,51.12,49.19,50.66,322658.0
2015-12-21,50.11,50.66,49.19,50.16,329598.0
2015-12-22,50.34,50.57,50.16,50.57,845970.0
2015-12-23,50.57,50.57,50.11,50.2,336861.0
2015-12-28,50.11,50.11,49.37,49.74,77371.0
2015-12-29,49.88,50.57,49.88,50.48,63562.0
2015-12-30,50.57,51.03,49.93,49.93,76267.0
2016-01-04,49.65,49.65,47.81,49.19,155473.0
2016-01-05,50.11,52.87,50.11,52.64,410237.0
2016-01-07,52.32,52.59,50.75,51.21,414731.0
2016-01-08,51.21,51.81,50.25,51.12,281445.0
2016-01-11,51.12,51.67,49.65,50.16,574474.0
2016-01-12,50.75,50.85,49.93,50.39,216808.0
2016-01-13,50.75,51.03,50.16,50.52,286090.0
2016-01-14,50.48,50.48,47.81,48.69,179155.0
2016-01-15,48.69,48.73,47.35,48.64,580551.0
2016-01-18,47.9,49.65,47.9,49.19,226844.0
2016-01-19,49.37,49.83,48.73,49.14,69039.0
2016-01-20,48.73,48.73,47.81,47.81,193137.0
2016-01-21,47.72,48.46,47.49,47.81,252679.0
2016-01-22,48.27,48.96,48.27,48.69,83322.0
2016-01-25,49.1,49.19,47.81,48.0,130680.0
2016-01-26,47.35,48.32,47.08,48.32,612591.0
2016-01-27,49.19,49.51,47.86,47.86,85210.0
2016-01-28,47.86,48.23,47.12,47.49,200614.0
2016-01-29,47.81,48.27,47.49,48.27,282141.0
2016-02-01,48.27,48.73,47.95,48.73,53901.0
2016-02-02,48.73,49.47,47.81,48.04,411213.0
2016-02-03,48.41,48.46,47.49,48.27,77810.0
2016-02-04,48.04,48.59,48.04,48.36,66011.0
2016-02-05,48.13,49.05,47.86,48.27,77428.0
2016-02-08,48.27,48.27,46.66,46.85,438001.0
2016-02-09,46.85,46.94,45.09,45.41,2350266.0
2016-02-10,45.41,46.89,45.41,46.29,84450.0
2016-02-11,46.29,46.29,44.33,45.51,310013.0
2016-02-12,45.97,46.39,45.15,45.7,163547.0
2016-02-15,46.02,47.72,46.02,47.21,169216.0
2016-02-16,47.49,47.72,45.76,45.76,102290.0
2016-02-17,46.52,46.66,46.06,46.66,135024.0
2016-02-18,46.85,49.14,46.85,48.41,179484.0
2016-02-19,51.49,51.54,48.92,50.66,536797.0
2016-02-22,51.21,51.49,49.65,50.29,255675.0
2016-02-23,50.11,50.39,48.73,50.39,1146629.0
2016-02-24,50.39,50.48,49.65,50.16,226173.0
2016-02-25,50.2,50.75,49.19,49.65,185318.0
2016-02-26,50.39,50.39,49.24,50.25,2010770.0
2016-02-29,50.2,50.39,49.51,50.16,397838.0
2016-03-01,50.11,50.57,49.88,50.39,342868.0
2016-03-02,50.57,50.57,49.83,50.57,70637.0
2016-03-03,50.66,50.71,49.88,50.02,84633.0
2016-03-04,50.02,50.25,49.51,49.65,101652.0
2016-03-07,49.65,50.29,49.56,50.11,41358.0
2016-03-08,49.65,50.29,49.65,50.11,81334.0
2016-03-09,49.79,50.16,48.87,49.51,139415.0
2016-03-10,49.6,50.2,48.73,49.65,717648.0
2016-03-11,49.65,49.88,48.73,49.56,228160.0
2016-03-14,49.51,50.29,49.51,50.11,114256.0
2016-03-15,49.42,49.97,49.28,49.37,66840.0
2016-03-16,50.2,50.57,50.02,50.39,214345.0
2016-03-17,50.66,50.66,49.1,50.06,85784.0
2016-03-18,50.43,50.43,49.97,49.97,222339.0
2016-03-21,50.52,50.52,50.02,50.29,40523.0
2016-03-22,50.29,51.03,50.02,51.03,103220.0
2016-03-23,51.31,51.49,50.66,51.4,55315.0
2016-03-24,51.4,51.49,50.85,51.44,1838654.0
2016-03-29,51.86,51.86,50.89,51.31,111769.0
2016-03-30,51.08,53.24,51.08,53.24,191761.0
2016-03-31,52.36,54.8,52.36,54.25,550880.0
2016-04-01,54.25,54.25,53.6,53.79,83061.0
2016-04-04,54.66,55.21,54.16,54.98,111960.0
2016-04-05,55.03,55.17,53.79,55.17,96554.0
2016-04-06,54.25,54.98,53.93,54.16,60934.0
2016-04-07,54.29,54.85,54.16,54.71,225823.0
2016-04-08,54.25,55.17,54.25,54.98,89888.0
2016-04-11,55.49,55.99,54.94,55.49,52430.0
2016-04-12,55.49,55.49,54.62,55.17,164145.0
2016-04-13,55.17,55.81,54.85,55.17,139441.0
2016-04-14,55.77,56.18,54.43,54.71,187870.0
2016-04-15,54.71,55.17,54.48,54.8,36447.0
2016-04-18,54.71,54.94,53.83,54.52,239527.0
2016-04-19,54.75,55.17,54.57,55.17,230822.0
2016-04-20,55.17,55.77,54.89,55.35,266356.0
2016-04-21,56.09,57.01,55.67,56.09,205697.0
2016-04-22,55.08,55.95,49.19,51.81,789247.0
2016-04-25,52.41,52.91,47.9,48.96,1012008.0
2016-04-26,49.42,51.72,49.14,50.57,753623.0
2016-04-27,50.2,52.18,49.79,51.49,1540463.0
2016-04-28,51.4,51.4,49.42,50.02,625949.0
2016-04-29,50.43,50.62,49.01,49.24,191568.0
2016-05-02,50.57,50.57,49.7,49.83,116714.0
2016-05-03,50.57,50.57,49.93,50.25,303585.0
2016-05-04,50.52,50.57,50.02,50.29,335933.0
2016-05-06,50.57,51.12,49.79,50.43,87805.0
2016-05-09,51.12,51.63,50.34,50.57,97331.0
2016-05-10,50.57,50.8,50.11,50.52,115631.0
2016-05-11,50.57,50.57,49.7,49.79,45537.0
2016-05-12,49.65,50.48,49.24,49.65,109871.0
2016-05-13,50.39,50.94,50.06,50.57,217067.0
2016-05-16,50.8,51.03,50.11,50.52,82582.0
2016-05-17,50.66,50.89,50.02,50.39,120464.0
2016-05-18,50.2,51.12,50.02,50.48,103710.0
2016-05-19,50.48,50.57,49.7,49.93,44675.0
2016-05-20,50.48,50.48,49.7,50.11,134468.0
2016-05-23,50.29,50.29,49.05,49.65,351870.0
2016-05-24,49.56,50.57,49.05,50.06,2942989.0
2016-05-25,50.06,51.49,50.06,50.57,1775511.0
2016-05-26,51.12,51.44,50.29,50.98,806062.0
2016-05-27,48.73,49.74,48.41,49.56,17845766.0
2016-05-30,49.65,50.43,49.65,50.29,319117.0
2016-05-31,50.43,50.66,49.74,50.57,1991510.0
2016-06-01,50.57,50.8,50.06,50.11,804907.0
2016-06-02,50.02,51.72,49.97,51.49,563376.0
2016-06-03,51.44,51.44,50.25,50.62,598434.0
2016-06-07,50.02,52.59,50.02,52.41,295892.0
2016-06-08,52.04,52.41,51.72,52.27,222605.0
2016-06-09,52.27,52.59,51.54,52.23,462402.0
2016-06-10,52.59,52.59,50.66,51.35,269462.0
2016-06-13,51.21,51.54,50.2,50.75,1002648.0
2016-06-14,50.75,50.94,49.56,49.56,323112.0
2016-06-15,49.93,51.35,49.88,51.26,295088.0
2016-06-16,50.39,50.43,49.33,49.83,177644.0
2016-06-17,50.06,50.98,48.78,50.98,2477274.0
2016-06-20,51.44,51.49,50.02,51.49,145304.0
2016-06-21,50.98,51.54,49.83,50.02,152675.0
2016-06-22,50.11,50.52,49.47,50.48,122901.0
2016-06-23,50.25,51.12,49.65,51.12,96452.0
2016-06-27,48.04,49.14,47.54,48.18,335368.0
2016-06-28,48.5,49.79,48.5,49.19,541552.0
2016-06-29,49.65,49.83,48.59,49.74,325278.0
2016-06-30,49.83,51.49,49.83,51.26,465924.0
2016-07-01,51.31,53.24,50.57,52.73,302098.0
2016-07-04,52.59,53.93,52.23,53.42,247671.0
2016-07-05,53.42,53.42,52.18,52.36,729026.0
2016-07-06,52.18,53.47,52.18,53.28,851785.0
2016-07-07,53.14,53.14,52.23,52.41,401670.0
