Date,Open,High,Low,Close,Volume
2010-01-04,67.5,71.5,66.5,71.5,39911
2010-01-05,71.5,71.5,69.25,71.0,26185
2010-01-07,71.5,72.0,69.5,70.0,75465
2010-01-08,70.25,71.5,70.25,71.0,27422
2010-01-11,72.25,74.0,71.5,72.75,102108
2010-01-12,73.25,73.25,71.75,71.75,58967
2010-01-13,71.75,73.0,71.5,72.5,36350
2010-01-14,73.0,73.0,71.5,71.75,52944
2010-01-15,72.75,73.0,71.0,72.0,47002
2010-01-18,72.5,72.75,71.75,72.5,20357
2010-01-19,73.0,73.0,71.75,72.75,42930
2010-01-20,73.0,74.0,71.75,71.75,36526
2010-01-21,72.25,73.25,72.0,72.75,38450
2010-01-22,72.0,72.0,69.75,70.0,69488
2010-01-25,68.5,70.0,68.5,69.0,30790
2010-01-26,69.0,69.75,67.5,68.75,45081
2010-01-27,68.25,69.25,67.5,69.0,57905
2010-01-28,69.25,70.75,68.75,69.5,76280
2010-01-29,69.5,69.75,68.75,69.75,36885
2010-02-01,69.75,69.75,68.0,69.75,23571
2010-02-02,69.75,71.5,69.25,71.5,37809
2010-02-03,71.5,72.0,71.0,72.0,28957
2010-02-04,72.25,73.0,70.0,70.0,50558
2010-02-05,70.5,70.75,68.0,69.0,92088
2010-02-08,68.5,69.5,67.75,69.0,23304
2010-02-09,68.25,70.0,68.25,68.75,16709
2010-02-10,69.5,69.5,68.5,69.5,20025
2010-02-11,69.5,70.25,69.5,69.5,12754
2010-02-12,69.5,70.0,68.75,70.0,26155
2010-02-15,70.0,70.0,67.0,67.0,40165
2010-02-16,67.5,68.5,66.75,68.5,38131
2010-02-17,69.25,69.5,68.25,69.25,57567
2010-02-18,68.75,68.75,67.75,68.0,46099
2010-02-19,68.0,68.5,66.5,68.5,66355
2010-02-22,68.5,69.0,68.5,69.0,12953
2010-02-23,68.5,69.25,67.5,68.0,70086
2010-02-24,67.75,68.0,66.75,67.75,40070
2010-02-25,66.5,67.75,65.25,65.25,63267
2010-02-26,65.5,66.75,65.25,66.5,21905
2010-03-01,66.75,67.75,65.25,67.75,17857
2010-03-02,67.5,68.0,66.75,68.0,44187
2010-03-03,67.0,69.5,67.0,69.5,18206
2010-03-04,69.25,71.75,68.25,71.25,51870
2010-03-05,71.25,72.0,70.5,72.0,48084
2010-03-08,72.0,74.25,72.0,73.5,394616
2010-03-09,74.0,74.0,72.5,73.75,61877
2010-03-10,74.0,74.0,71.5,72.5,138268
2010-03-11,72.5,74.0,71.75,74.0,57267
2010-03-12,73.75,75.5,73.5,75.5,99159
2010-03-15,75.5,75.5,74.5,75.25,74979
2010-03-16,75.0,77.0,74.5,76.75,83569
2010-03-17,77.25,78.75,77.25,78.5,77480
2010-03-18,78.5,79.0,76.5,79.0,149950
2010-03-19,79.0,81.75,78.25,81.25,181285
2010-03-22,81.25,83.0,81.0,82.75,86114
2010-03-23,83.0,83.5,81.25,82.0,95363
2010-03-24,82.0,82.75,80.5,81.5,88611
2010-03-25,81.5,82.5,81.25,82.5,57014
2010-03-26,82.5,83.75,82.0,83.25,66347
2010-03-29,83.5,83.75,82.75,83.5,52711
2010-03-30,83.0,83.5,82.5,82.75,42185
2010-03-31,82.75,83.25,82.25,82.5,130405
2010-04-01,82.25,85.25,82.25,85.0,27736
