Date,Open,High,Low,Close,Volume
2009-12-03,30.81,31.19,30.43,30.43,1005428
2009-12-04,30.43,31.1,29.48,30.81,1560236
2009-12-07,30.91,31.57,30.81,31.38,1685952
2009-12-08,31.19,32.71,31.19,31.67,3396028
2009-12-09,31.57,31.57,30.15,30.53,1507304
2009-12-10,30.81,33.19,30.62,32.71,5811588
2009-12-11,32.62,32.9,31.48,31.57,5122336
2009-12-14,31.67,32.33,30.72,31.48,3646692
2009-12-15,31.29,31.95,31.29,31.48,2337940
2009-12-16,31.57,31.86,31.29,31.48,2108108
2009-12-17,31.29,31.76,31.0,31.76,1451296
2009-12-18,31.76,32.24,31.67,32.05,1364476
2009-12-21,32.14,32.62,31.48,32.62,1135764
2009-12-22,32.62,32.71,31.95,32.33,1072716
2009-12-23,32.33,33.0,32.24,32.9,399224
2009-12-28,32.9,33.09,32.62,32.81,437528
2009-12-29,32.81,32.81,32.05,32.62,496208
2009-12-30,31.95,32.52,31.86,32.52,822300
2010-01-04,32.52,33.19,32.43,33.0,934112
2010-01-05,32.9,33.28,32.9,33.0,337116
2010-01-07,32.71,33.09,32.52,33.09,787732
2010-01-08,33.09,33.47,32.81,33.38,742636
2010-01-11,33.38,34.14,33.38,33.95,852320
2010-01-12,34.14,34.14,33.57,33.95,1611912
2010-01-13,33.57,33.95,33.0,33.76,1661544
2010-01-14,33.86,35.76,33.86,35.0,2102732
2010-01-15,34.9,35.95,34.71,35.85,2004160
2010-01-18,36.14,36.14,34.81,35.19,1249244
2010-01-19,34.9,35.57,34.52,35.57,1613424
2010-01-20,35.38,36.61,35.28,35.38,2348728
2010-01-21,35.66,35.76,33.57,33.76,2371560
2010-01-22,33.57,33.95,32.62,32.62,2058036
2010-01-25,32.52,34.05,32.24,33.86,2472860
2010-01-26,33.47,33.86,33.28,33.86,1797460
2010-01-27,33.86,34.14,33.38,33.57,1694572
2010-01-28,33.95,33.95,33.0,33.28,1704160
2010-01-29,33.19,33.76,32.9,33.09,1000684
2010-02-01,33.0,33.47,32.9,33.19,666260
2010-02-02,33.09,33.19,32.24,32.33,1335236
2010-02-03,32.43,32.62,31.95,31.95,1090928
2010-02-04,31.76,31.86,30.62,30.81,1810120
2010-02-05,30.62,31.76,30.24,31.67,2129048
2010-02-08,31.67,32.81,31.67,31.76,1837812
2010-02-09,32.62,35.0,32.62,34.81,4732016
2010-02-10,34.81,35.57,34.52,35.0,1739164
2010-02-11,35.57,36.71,34.43,34.81,2500144
2010-02-12,35.09,35.47,34.33,34.9,1465508
2010-02-15,34.9,34.9,33.86,34.14,1010148
2010-02-16,34.43,35.19,34.33,35.0,1081640
2010-02-17,35.47,35.47,34.9,35.38,818100
2010-02-18,35.38,35.38,34.71,35.38,1133620
2010-02-19,35.66,36.42,35.28,36.14,1649212
2010-02-22,36.14,36.61,35.85,36.04,1092328
2010-02-23,35.95,36.33,35.38,35.47,1066124
2010-02-24,35.09,35.47,35.0,35.09,752852
2010-02-25,35.09,35.19,34.71,34.71,785720
2010-02-26,34.81,35.0,34.14,34.24,1501164
2010-03-01,34.62,35.09,34.33,34.62,3010700
2010-03-02,34.81,35.47,34.71,35.28,1750328
2010-03-03,35.47,36.52,35.47,36.14,2286432
2010-03-04,36.14,37.09,35.28,35.57,2544192
