Date,Open,High,Low,Close,Volume
2009-12-03,25.1,25.71,25.03,25.03,12876.0
2009-12-04,25.37,25.71,24.42,25.71,22553.0
2009-12-07,25.44,25.57,25.1,25.1,11520.0
2009-12-08,25.1,25.1,24.22,24.56,5853.0
2009-12-09,24.36,24.69,23.81,23.81,12950.0
2009-12-10,23.75,24.02,23.61,24.02,7324.0
2009-12-14,24.42,25.24,24.42,24.49,19529.0
2009-12-15,24.76,24.76,23.61,23.81,2851.0
2009-12-16,24.15,24.15,23.88,23.88,8404.0
2009-12-21,23.48,23.54,23.07,23.21,10682.0
2009-12-22,23.21,23.68,23.21,23.54,22497.0
2009-12-23,23.68,24.02,23.27,23.27,19796.0
2009-12-28,24.15,24.15,22.94,23.41,30497.0
2009-12-29,23.54,23.54,22.94,23.27,48310.0
2009-12-30,23.14,23.34,22.66,23.34,39940.0
2010-01-04,24.02,25.24,23.88,24.56,19730.0
2010-01-05,24.69,25.71,24.56,24.9,4971.0
2010-01-07,24.9,25.57,24.9,25.57,10432.0
2010-01-08,25.57,25.98,25.37,25.51,14964.0
2010-01-11,25.57,26.18,25.57,25.71,9336.0
2010-01-13,25.03,25.57,25.03,25.24,3057.0
2010-01-14,25.03,25.98,25.03,25.71,21524.0
2010-01-15,25.71,26.18,25.64,25.91,3510.0
2010-01-18,25.98,25.98,25.03,25.98,24532.0
2010-01-20,25.71,26.39,25.3,25.3,38934.0
2010-01-21,25.71,25.91,25.3,25.64,3731.0
2010-01-22,25.64,25.91,25.24,25.24,24525.0
2010-01-25,25.24,26.05,25.24,25.84,7290.0
2010-01-27,25.84,25.84,25.57,25.64,5982.0
2010-01-28,25.84,26.66,25.84,25.98,17850.0
2010-01-29,26.66,26.66,23.68,24.97,32029.0
2010-02-01,24.9,24.9,23.34,24.09,16443.0
2010-02-02,23.68,24.36,23.68,24.36,7824.0
2010-02-03,24.22,24.63,24.22,24.22,14438.0
2010-02-05,24.02,24.29,23.68,24.02,14458.0
2010-02-08,24.02,26.72,23.68,24.29,3568.0
2010-02-10,25.03,25.03,23.34,23.34,1579.0
2010-02-12,22.73,23.0,22.33,23.0,11252.0
2010-02-15,23.34,23.34,23.0,23.0,2349.0
2010-02-16,22.33,22.39,20.97,21.85,20895.0
2010-02-17,21.99,21.99,20.97,21.65,27720.0
2010-02-18,21.18,22.66,21.18,21.31,6317.0
2010-02-19,21.51,22.66,21.45,21.65,47394.0
2010-02-22,21.65,21.99,21.65,21.65,6879.0
2010-02-23,21.45,22.06,21.45,21.65,7539.0
2010-02-24,21.65,21.65,21.18,21.65,8560.0
2010-02-25,21.38,21.58,20.43,20.43,7496.0
2010-02-26,20.5,21.58,20.5,21.18,6246.0
2010-03-01,21.18,21.65,21.04,21.11,18795.0
2010-03-02,20.97,22.87,20.97,21.79,21671.0
2010-03-04,21.72,23.68,21.65,22.33,29373.0
2010-03-05,22.39,22.46,22.33,22.46,57795.0
2010-03-08,22.8,22.8,21.85,22.8,41425.0
2010-03-09,22.73,22.73,21.99,22.26,23969.0
2010-03-10,22.73,22.73,22.33,22.39,11211.0
2010-03-11,21.65,22.39,21.04,21.65,22530.0
2010-03-15,21.85,22.39,21.65,21.85,8390.0
2010-03-16,21.65,21.85,21.45,21.45,22727.0
2010-03-17,21.65,21.65,21.31,21.31,11046.0
2010-03-18,21.31,21.31,20.97,20.97,21419.0
2010-03-19,20.03,21.24,19.42,21.04,28595.0
2010-03-22,21.31,21.31,21.18,21.24,16459.0
2010-03-23,21.38,21.65,21.11,21.65,7918.0
2010-03-24,21.72,22.12,21.31,21.72,15538.0
2010-03-25,21.79,21.99,21.38,21.65,15311.0
2010-03-30,21.85,21.99,21.65,21.85,6923.0
2010-04-01,21.45,21.99,21.45,21.85,1023.0
2010-04-07,21.65,21.85,21.45,21.65,30187.0
2010-04-08,21.65,21.65,21.31,21.65,5538.0
2010-04-09,21.65,21.65,21.45,21.65,4986.0
2010-04-12,21.79,21.79,21.51,21.51,10292.0
2010-04-13,21.51,21.51,21.11,21.51,9544.0
2010-04-14,21.45,21.45,21.24,21.24,10805.0
2010-04-15,21.38,21.65,21.18,21.24,11907.0
2010-04-16,21.04,21.79,21.04,21.72,67091.0
2010-04-19,21.79,22.33,21.58,21.79,88347.0
2010-04-20,21.85,24.69,21.85,24.49,34200.0
2010-04-22,23.61,23.61,23.41,23.41,3165.0
2010-04-23,24.02,24.36,23.68,24.22,20377.0
2010-04-26,23.34,24.49,21.45,21.65,30020.0
2010-04-27,21.65,22.26,20.97,21.65,22986.0
2010-04-28,21.18,21.79,21.04,21.65,31093.0
2010-04-29,21.72,21.72,21.31,21.31,7025.0
2010-04-30,21.65,21.65,21.24,21.31,2817.0
2010-05-03,21.04,21.72,21.04,21.45,58098.0
2010-05-04,21.24,21.65,21.24,21.65,18447.0
2010-05-05,20.97,21.65,20.97,20.97,13300.0
2010-05-06,20.3,21.31,19.28,20.7,27194.0
2010-05-07,19.89,20.3,18.27,20.09,37012.0
2010-05-10,20.64,21.58,19.55,21.31,18691.0
2010-05-11,21.31,21.31,19.89,19.89,4220.0
2010-05-12,20.3,21.11,20.3,21.11,2354.0
2010-05-14,21.31,21.31,20.3,20.97,9515.0
2010-05-18,21.45,21.65,21.11,21.45,2814.0
2010-05-19,20.84,20.91,20.3,20.3,4430.0
2010-05-20,19.62,21.24,19.62,20.43,16460.0
2010-05-25,20.3,20.97,19.62,20.97,17120.0
2010-05-26,20.3,20.64,19.96,20.64,453.0
2010-05-27,20.3,20.97,20.03,20.97,4327.0
2010-05-28,20.57,20.97,20.57,20.97,8569.0
2010-05-31,20.57,20.91,20.57,20.91,1130.0
2010-06-01,21.11,21.11,19.62,20.3,9040.0
2010-06-02,20.3,20.5,20.3,20.5,3940.0
2010-06-03,20.5,21.24,20.09,20.57,7118.0
2010-06-08,20.3,20.3,19.96,19.96,785.0
2010-06-09,20.57,20.57,19.96,20.57,3638.0
2010-06-11,20.43,21.24,20.43,21.24,275.0
2010-06-14,21.24,21.31,20.7,20.97,11380.0
2010-06-15,20.64,21.11,20.3,20.97,6989.0
2010-06-16,20.36,20.91,20.3,20.77,3585.0
2010-06-17,20.16,20.77,19.82,20.77,17990.0
2010-06-18,20.43,20.7,20.09,20.64,7606.0
2010-06-22,19.96,20.3,19.96,20.23,4216.0
2010-06-23,19.96,20.23,19.55,19.76,11661.0
2010-06-28,19.55,19.55,19.15,19.48,4388.0
