Date,Open,High,Low,Close,Volume
2010-01-04,20.19,20.39,20.19,20.39,1200.0
2010-01-05,20.58,20.58,20.05,20.05,200.0
2010-01-07,20.34,20.58,20.34,20.43,1800.0
2010-01-08,20.43,20.68,20.43,20.68,2500.0
2010-01-11,20.43,20.48,20.24,20.24,3700.0
2010-01-12,20.29,20.43,20.29,20.29,3450.0
2010-01-13,20.29,20.29,20.29,20.29,2772.0
2010-01-14,20.19,20.77,20.19,20.48,8161.0
2010-01-15,20.58,20.87,20.58,20.77,3248.0
2010-01-18,20.58,20.92,20.58,20.82,3350.0
2010-01-19,20.87,20.87,20.48,20.48,1361.0
2010-01-20,20.87,20.92,20.63,20.63,5773.0
2010-01-21,20.87,20.92,20.73,20.73,5465.0
2010-01-22,20.77,20.92,20.77,20.92,1676.0
2010-01-25,20.87,20.87,20.53,20.82,4590.0
2010-01-26,20.68,20.87,20.53,20.68,3075.0
2010-01-27,20.58,20.92,20.43,20.87,3250.0
2010-01-28,20.92,20.92,20.43,20.53,7825.0
2010-01-29,20.87,20.87,20.43,20.87,1945.0
2010-02-01,20.92,20.92,20.53,20.87,815.0
2010-02-02,20.87,20.92,20.87,20.92,3613.0
2010-02-03,20.92,20.92,20.43,20.92,4518.0
2010-02-04,20.87,20.87,20.87,20.87,238.0
2010-02-05,20.43,20.87,20.43,20.87,2480.0
2010-02-08,20.87,20.92,20.43,20.43,11200.0
2010-02-09,20.92,20.92,20.73,20.92,2800.0
2010-02-10,20.92,21.31,20.77,20.77,9500.0
2010-02-11,23.55,24.33,21.55,24.08,96700.0
2010-02-12,25.06,25.06,23.84,24.28,29400.0
2010-02-15,24.33,26.03,24.08,24.69,19100.0
2010-02-16,25.06,26.03,24.45,25.91,23700.0
2010-02-17,26.03,26.76,26.03,26.52,27389.0
2010-02-18,26.76,27.98,26.76,27.85,36736.0
2010-02-19,27.85,27.85,27.37,27.85,17807.0
2010-02-22,27.98,28.46,27.98,28.46,36549.0
2010-02-23,28.95,29.07,28.34,28.83,23192.0
2010-02-24,28.95,29.07,28.46,28.71,12981.0
2010-02-25,28.71,28.71,27.85,27.85,19045.0
2010-02-26,27.85,28.46,27.85,28.46,10012.0
2010-03-01,28.22,28.46,27.73,27.98,13375.0
2010-03-02,28.34,28.95,27.98,28.95,25552.0
2010-03-03,28.95,29.44,28.95,29.44,25856.0
2010-03-04,29.44,29.68,29.19,29.44,12664.0
2010-03-05,29.56,30.41,29.56,30.41,10699.0
2010-03-08,30.53,31.14,30.53,31.14,30041.0
2010-03-09,31.14,31.14,30.89,31.14,16944.0
2010-03-10,31.14,31.14,30.41,31.14,21230.0
2010-03-11,31.14,31.62,31.14,31.38,9465.0
2010-03-12,31.62,32.23,31.38,32.23,23972.0
2010-03-15,31.5,32.35,30.65,32.11,43085.0
2010-03-16,31.62,31.99,31.38,31.38,19160.0
2010-03-17,31.38,31.62,31.38,31.5,13911.0
2010-03-18,31.5,31.62,31.14,31.62,14041.0
2010-03-19,31.62,31.62,31.14,31.5,17941.0
2010-03-22,31.5,31.5,30.89,30.89,15100.0
