Date,Open,High,Low,Close,Volume
2009-12-03,63.07,65.18,63.07,64.65,213.0
2009-12-04,64.65,65.7,64.65,65.7,188.0
2009-12-07,63.6,63.6,63.07,63.07,358.0
2009-12-08,63.07,63.07,62.02,62.02,1180.0
2009-12-09,62.02,62.02,61.5,62.02,805.0
2009-12-10,63.07,63.07,61.5,61.5,179.0
2009-12-11,60.97,61.5,60.97,61.5,402.0
2009-12-14,60.97,60.97,59.92,59.92,841.0
2009-12-15,61.5,61.5,59.39,59.39,318.0
2009-12-16,59.39,59.39,58.34,58.87,1395.0
2009-12-17,58.87,58.87,57.82,57.82,1064.0
2009-12-18,57.82,59.92,57.82,59.92,2173.0
2009-12-21,60.97,60.97,58.87,59.39,1059.0
2009-12-22,58.34,58.34,57.82,58.34,1294.0
2009-12-23,57.82,58.34,56.77,56.77,3375.0
2009-12-28,55.71,56.77,53.61,55.71,1922.0
2009-12-29,54.66,65.18,54.14,55.19,5710.0
2009-12-30,54.66,55.71,54.66,55.71,1273.0
2010-01-04,56.24,57.82,55.19,57.82,1641.0
2010-01-05,56.77,57.82,56.77,57.82,1043.0
2010-01-07,57.82,58.34,57.82,58.34,858.0
2010-01-08,60.44,69.91,60.44,63.07,2598.0
2010-01-11,65.18,68.85,64.65,64.65,3939.0
2010-01-12,62.55,63.6,60.97,63.6,940.0
2010-01-13,63.6,63.6,62.02,62.02,544.0
2010-01-14,63.6,63.6,63.6,63.6,92.0
2010-01-15,62.55,62.55,62.55,62.55,447.0
2010-01-18,63.6,67.28,63.6,64.65,2337.0
2010-01-19,65.18,67.28,65.18,67.28,82.0
2010-01-20,67.28,67.28,67.28,67.28,1.0
2010-01-21,63.07,64.12,60.97,64.12,1475.0
2010-01-22,63.07,63.07,63.07,63.07,447.0
2010-01-25,63.07,63.07,60.97,60.97,0.0
2010-01-26,62.02,62.02,59.92,59.92,0.0
2010-01-27,62.02,62.02,60.97,60.97,0.0
2010-01-28,59.92,62.02,59.92,60.97,362.0
2010-01-29,60.97,63.07,60.97,62.02,2095.0
2010-02-01,62.02,62.02,60.44,60.44,447.0
2010-02-02,62.55,62.55,62.55,62.55,54.0
2010-02-04,62.55,62.55,62.55,62.55,268.0
2010-02-08,63.6,63.6,60.97,60.97,0.0
2010-02-09,60.97,60.97,60.97,60.97,180.0
2010-02-10,61.5,65.18,60.44,62.55,2189.0
2010-02-11,63.6,63.6,60.44,60.44,197.0
2010-02-12,60.44,60.44,59.39,59.39,957.0
2010-02-15,60.44,60.44,59.92,59.92,179.0
2010-02-16,60.97,61.5,60.97,60.97,84.0
2010-02-17,59.39,62.55,59.39,62.55,235.0
2010-02-18,62.02,62.02,59.92,60.44,1132.0
2010-02-19,60.97,60.97,58.87,58.87,0.0
2010-02-23,58.87,59.39,58.87,59.39,709.0
2010-02-24,59.92,59.92,59.39,59.39,0.0
2010-02-25,59.39,59.39,59.39,59.39,42.0
2010-02-26,59.39,59.39,59.39,59.39,1049.0
2010-03-01,59.39,59.39,59.39,59.39,114.0
2010-03-02,59.39,60.44,59.39,60.44,224.0
2010-03-03,62.02,62.02,57.82,57.82,0.0
2010-03-08,62.02,62.02,62.02,62.02,1049.0
2010-03-11,60.44,60.44,60.44,60.44,65.0
2010-03-12,62.02,62.02,62.02,62.02,81.0
2010-03-15,60.44,60.44,60.44,60.44,1.0
2010-03-16,62.02,62.02,62.02,62.02,697.0
2010-03-17,64.65,64.65,62.02,62.02,0.0
2010-03-19,63.07,63.07,63.07,63.07,18.0
2010-03-22,64.12,64.12,64.12,64.12,89.0
2010-03-23,63.07,65.18,63.07,63.07,171.0
2010-03-24,65.18,65.18,63.07,63.07,0.0
2010-03-25,65.18,65.18,63.07,63.07,393.0
2010-03-29,63.6,63.6,63.07,63.07,0.0
2010-03-30,63.07,63.07,63.07,63.07,1520.0
2010-03-31,63.6,63.6,62.02,62.02,98.0
2010-04-01,63.6,63.6,63.6,63.6,268.0
2010-04-06,63.07,63.07,63.07,63.07,0.0
2010-04-07,63.07,63.07,63.07,63.07,885.0
2010-04-09,63.07,63.07,63.07,63.07,728.0
2010-04-12,62.55,63.6,62.55,63.6,268.0
2010-04-13,64.12,64.12,62.02,62.02,0.0
2010-04-14,62.02,62.02,62.02,62.02,89.0
2010-04-15,63.07,63.07,62.02,62.02,0.0
2010-04-16,62.02,62.02,60.97,60.97,134.0
2010-04-22,46.4,46.4,46.4,46.4,0.0
2010-04-23,60.97,60.97,60.44,60.44,1413.0
2010-04-26,61.5,66.23,57.82,66.23,92.0
2010-04-27,64.65,66.23,61.5,61.5,901.0
2010-04-28,62.02,62.02,62.02,62.02,251.0
2010-04-29,62.02,62.02,61.5,61.5,2395.0
2010-04-30,58.87,63.07,58.87,63.07,358.0
2010-05-03,59.92,60.44,59.39,59.39,3452.0
2010-05-04,59.39,59.39,59.39,59.39,2146.0
2010-05-05,61.21,61.21,54.88,54.88,0.0
2010-05-06,57.52,58.05,57.52,58.05,537.0
2010-05-07,58.05,58.05,58.05,58.05,2459.0
2010-05-10,61.74,61.74,58.05,58.05,0.0
2010-05-11,61.74,61.74,56.99,56.99,0.0
2010-05-12,60.16,60.16,60.16,60.16,31.0
2010-05-14,59.1,59.1,56.46,56.46,0.0
2010-05-18,56.99,57.52,56.99,57.52,1189.0
2010-05-19,56.46,56.46,56.46,56.46,359.0
2010-05-20,55.94,55.94,53.82,53.82,0.0
2010-05-21,55.94,58.05,55.94,58.05,706.0
2010-05-24,58.05,58.05,58.05,58.05,42.0
2010-05-25,57.52,57.52,55.41,55.41,0.0
2010-05-26,58.57,62.8,58.57,58.57,810.0
2010-05-31,59.1,59.1,59.1,59.1,27.0
2010-06-01,61.21,61.21,59.1,59.1,0.0
2010-06-02,60.16,60.16,58.05,58.05,0.0
2010-06-03,58.05,58.05,58.05,58.05,54.0
2010-06-07,59.1,59.1,58.05,58.05,393.0
2010-06-09,55.41,56.46,52.77,56.46,1520.0
2010-06-11,57.52,57.52,55.41,55.41,972.0
2010-06-14,56.99,56.99,56.99,56.99,10.0
2010-06-15,58.57,58.57,55.41,55.41,1703.0
2010-06-16,55.41,55.41,55.41,55.41,611.0
2010-06-17,56.99,58.05,56.99,58.05,98.0
2010-06-18,58.05,58.05,56.99,56.99,0.0
2010-06-21,53.82,53.82,53.82,53.82,9.0
2010-06-22,52.77,52.77,51.71,51.71,1168.0
2010-06-23,50.98,50.98,50.98,50.98,268.0
2010-06-24,53.3,53.82,51.19,51.19,1490.0
2010-06-28,54.35,54.35,52.24,52.24,0.0
2010-06-29,52.77,52.77,52.77,52.77,84.0
2010-06-30,52.77,52.77,52.77,52.77,33.0
2010-07-01,53.3,53.3,51.19,51.19,0.0
2010-07-02,53.3,53.3,53.3,53.3,45.0
2010-07-05,54.88,54.88,53.82,53.82,298.0
2010-07-06,52.24,52.24,52.24,52.24,240.0
2010-07-07,50.66,50.66,48.34,48.34,492.0
2010-07-08,48.55,51.19,48.55,51.19,103.0
2010-07-09,51.19,51.19,48.76,48.76,0.0
2010-07-12,51.19,51.19,51.19,51.19,597.0
2010-07-13,50.87,52.03,50.87,52.03,650.0
2010-07-14,54.35,54.35,51.82,51.82,0.0
2010-07-15,53.82,53.82,51.82,51.82,0.0
2010-07-16,53.82,53.82,53.82,53.82,45.0
2010-07-20,52.24,52.24,52.24,52.24,179.0
2010-07-21,53.3,53.3,52.77,52.77,241.0
2010-07-22,53.82,54.35,53.82,54.35,89.0
2010-07-23,53.3,53.3,52.77,52.77,0.0
2010-07-28,54.88,54.88,52.77,52.77,0.0
2010-07-29,54.88,54.88,53.3,53.3,0.0
2010-07-30,52.77,52.77,52.77,52.77,548.0
2010-08-02,53.3,53.82,52.77,52.77,340.0
2010-08-03,52.77,52.77,52.77,52.77,36.0
2010-08-04,53.82,53.82,51.93,51.93,0.0
2010-08-05,53.3,53.82,53.3,53.82,588.0
2010-08-06,53.3,55.41,53.3,55.41,268.0
2010-08-09,55.41,55.41,55.41,55.41,45.0
2010-08-10,52.77,52.77,52.45,52.45,201.0
2010-08-11,53.82,53.82,52.77,52.77,456.0
2010-08-12,52.77,52.77,52.77,52.77,22.0
2010-08-16,52.77,52.77,52.77,52.77,174.0
2010-08-17,54.35,54.35,52.77,52.77,0.0
2010-08-18,52.77,52.77,52.77,52.77,89.0
2010-08-19,54.35,54.35,48.55,48.55,964.0
2010-08-20,49.08,49.08,49.08,49.08,447.0
2010-08-23,50.66,50.66,50.66,50.66,224.0
2010-08-24,51.19,51.19,49.6,49.6,0.0
2010-08-26,51.19,51.19,50.66,50.66,0.0
2010-08-27,51.29,51.29,51.29,51.29,4.0
2010-08-30,51.29,51.29,50.66,50.66,0.0
2010-08-31,51.29,51.29,50.66,50.66,143.0
2010-09-01,51.71,51.71,51.19,51.19,0.0
2010-09-02,51.71,51.71,50.66,50.66,0.0
2010-09-03,51.71,51.71,51.71,51.71,89.0
2010-09-06,51.71,52.77,51.71,52.77,197.0
2010-09-07,51.71,51.71,51.71,51.71,550.0
2010-09-08,53.82,53.82,51.71,51.71,0.0
2010-09-10,51.71,51.71,50.66,50.66,54.0
2010-09-13,50.13,50.13,50.13,50.13,109.0
2010-09-14,51.08,51.08,49.08,49.08,0.0
2010-09-16,50.66,50.66,49.08,49.08,0.0
2010-09-20,49.6,49.6,49.6,49.6,36.0
2010-09-22,51.08,51.08,49.6,49.6,0.0
2010-09-27,49.6,50.03,49.6,50.03,597.0
2010-09-28,51.82,55.41,50.24,50.24,2991.0
2010-09-29,51.61,51.61,51.61,51.61,1.0
2010-09-30,51.61,52.14,51.61,52.14,447.0
2010-10-01,51.29,51.29,51.29,51.29,18.0
2010-10-04,52.77,52.77,51.29,51.29,0.0
2010-10-05,51.29,51.29,51.29,51.29,554.0
2010-10-06,49.81,49.81,49.81,49.81,6.0
2010-10-07,50.13,50.13,50.13,50.13,9.0
2010-10-08,51.5,51.5,49.92,49.92,0.0
2010-10-11,51.5,51.5,51.5,51.5,571.0
2010-10-12,51.5,51.5,51.29,51.29,0.0
2010-10-13,51.29,51.29,51.29,51.29,268.0
2010-10-14,51.71,51.71,50.76,50.76,0.0
2010-10-15,51.29,51.29,51.29,51.29,9.0
2010-10-19,51.71,52.35,51.71,52.24,668.0
2010-10-21,53.82,53.82,53.82,53.82,134.0
2010-10-22,53.82,54.88,53.3,53.3,224.0
2010-10-26,52.77,52.77,50.66,51.71,1601.0
2010-10-27,51.4,51.4,51.4,51.4,72.0
2010-10-28,52.77,53.3,52.77,53.3,179.0
2010-10-29,52.24,53.82,51.71,53.82,205.0
2010-11-01,51.71,51.71,49.6,49.6,358.0
2010-11-02,50.76,53.3,50.34,50.34,841.0
2010-11-03,49.08,49.08,49.08,49.08,89.0
2010-11-04,49.08,50.55,48.55,48.55,228.0
2010-11-08,48.02,48.02,48.02,48.02,45.0
2010-11-09,47.49,47.49,47.49,47.49,465.0
2010-11-10,48.34,54.35,48.34,48.34,1245.0
2010-11-11,49.08,49.08,47.28,47.28,0.0
2010-11-12,47.28,47.28,47.28,47.28,299.0
2010-11-15,48.02,48.02,46.44,46.44,0.0
2010-11-16,46.23,46.96,46.23,46.96,984.0
2010-11-17,48.02,48.02,46.23,46.23,0.0
2010-11-19,46.23,46.23,46.23,46.23,286.0
2010-11-22,46.33,46.33,45.17,45.17,4.0
2010-11-23,45.17,46.96,45.17,45.17,1472.0
2010-11-24,45.91,45.91,45.91,45.91,642.0
2010-11-25,45.38,45.38,45.07,45.28,496.0
2010-11-26,45.07,45.07,45.07,45.07,2109.0
2010-11-29,45.07,45.07,44.33,44.33,1968.0
2010-11-30,46.12,46.12,45.49,45.49,45.0
2010-12-01,44.33,45.49,44.33,45.49,98.0
2010-12-02,44.66,44.66,44.66,44.66,642.0
2010-12-03,44.66,44.66,44.66,44.66,11.0
2010-12-06,43.41,43.41,40.08,40.08,1546.0
2010-12-07,40.08,40.08,38.69,38.69,160.0
2010-12-08,38.69,38.69,38.69,38.69,14.0
2010-12-09,37.3,37.44,35.36,37.44,2252.0
2010-12-10,36.33,36.33,36.33,36.33,660.0
2010-12-13,36.06,36.06,34.81,34.81,327.0
2010-12-14,36.06,36.06,33.98,33.98,2082.0
2010-12-15,34.12,36.75,34.12,34.67,1041.0
2010-12-16,33.98,35.5,33.98,34.12,769.0
2010-12-17,34.12,34.39,34.12,34.39,680.0
2010-12-20,34.67,34.67,33.98,33.98,626.0
2010-12-21,34.25,34.25,34.25,34.25,340.0
2010-12-22,34.95,34.95,33.56,34.95,410.0
2010-12-23,34.25,35.64,33.56,33.98,1164.0
2010-12-27,33.7,33.98,33.28,33.98,1395.0
2010-12-28,33.28,33.98,32.59,33.28,1037.0
2010-12-29,33.42,33.98,32.17,32.17,1439.0
2010-12-30,32.17,34.25,32.17,34.25,1310.0
2011-01-03,34.95,39.8,34.95,39.8,2276.0
2011-01-04,41.19,41.33,40.22,41.19,2455.0
2011-01-05,40.49,40.49,39.8,39.8,255.0
2011-01-07,39.94,39.94,38.83,38.83,667.0
2011-01-10,39.39,39.39,37.44,37.44,715.0
2011-01-11,38.83,38.83,37.86,37.86,155.0
2011-01-12,38.83,38.83,38.41,38.41,840.0
2011-01-13,39.8,40.22,39.8,40.22,143.0
2011-01-17,40.22,40.22,39.52,40.22,817.0
2011-01-19,39.52,39.52,39.52,39.52,680.0
2011-01-24,38.83,38.83,38.14,38.14,680.0
2011-01-25,38.14,38.14,38.14,38.14,1157.0
2011-01-26,38.14,38.14,38.14,38.14,476.0
2011-01-28,37.44,37.58,37.44,37.44,755.0
2011-01-31,36.75,37.72,36.75,36.75,562.0
2011-02-01,36.75,36.75,35.36,36.06,1925.0
2011-02-02,35.92,35.92,34.95,34.95,872.0
2011-02-03,34.25,34.95,32.73,32.73,3822.0
2011-02-04,32.73,33.98,32.73,33.98,2244.0
2011-02-07,33.98,43.68,33.98,42.3,5627.0
2011-02-08,44.38,54.09,44.38,51.73,13393.0
2011-02-09,51.73,51.73,42.3,44.38,6600.0
2011-02-10,45.63,45.63,41.88,42.99,4657.0
2011-02-11,43.68,43.68,40.49,41.19,3317.0
2011-02-14,41.6,41.6,39.8,40.22,1780.0
2011-02-16,39.39,39.8,38.14,39.8,2624.0
2011-02-17,39.66,39.66,38.55,38.55,2191.0
2011-02-18,38.14,38.14,38.0,38.0,787.0
2011-02-21,37.17,38.83,37.17,38.83,972.0
2011-02-23,38.14,38.14,38.14,38.14,61.0
