Date,Open,High,Low,Close,Volume
2010-01-04,118.96,127.45,118.96,123.59,2242.0
2010-01-05,123.59,123.59,122.3,122.3,845.0
2010-01-07,123.59,123.59,121.01,122.3,1406.0
2010-01-08,123.59,126.16,116.64,126.16,3696.0
2010-01-11,127.45,127.45,122.3,126.16,4958.0
2010-01-12,126.16,126.16,123.59,124.88,822.0
2010-01-13,123.59,124.36,117.15,122.56,1415.0
2010-01-14,124.36,124.88,118.18,118.18,4835.0
2010-01-15,119.73,119.73,114.58,115.86,3259.0
2010-01-18,112.26,113.29,110.71,112.0,5198.0
2010-01-19,112.0,113.29,108.65,113.29,15208.0
2010-01-20,113.29,119.73,112.78,112.78,23133.0
2010-01-21,114.58,121.79,114.58,114.58,18673.0
2010-01-22,115.86,120.5,113.29,115.86,11309.0
2010-01-25,119.21,119.98,117.15,118.18,6911.0
2010-01-26,118.44,118.44,113.55,115.09,3068.0
2010-01-27,113.29,116.38,112.78,116.38,3456.0
2010-01-28,113.29,118.44,113.29,117.67,2101.0
2010-01-29,117.93,117.93,115.86,117.93,1247.0
2010-02-01,118.44,118.44,113.81,118.44,4216.0
2010-02-02,118.44,118.44,117.15,118.18,3281.0
2010-02-03,118.44,121.01,118.44,118.44,3828.0
2010-02-04,119.73,121.01,115.86,117.15,3259.0
2010-02-05,117.67,119.21,114.58,117.67,2652.0
2010-02-08,120.5,120.5,108.4,115.09,3074.0
2010-02-09,118.44,118.44,112.0,112.26,4124.0
2010-02-10,115.86,115.86,112.26,115.86,2686.0
2010-02-11,115.35,115.35,113.29,113.29,152.0
2010-02-12,115.86,115.86,112.52,114.58,3368.0
2010-02-15,115.86,115.86,112.26,114.32,2324.0
2010-02-16,114.32,115.35,113.29,115.35,1860.0
2010-02-17,115.86,121.01,115.86,117.15,7661.0
2010-02-18,117.15,117.15,114.32,116.64,1076.0
2010-02-19,117.15,117.15,113.29,115.35,936.0
2010-02-22,115.86,115.86,111.49,114.83,678.0
2010-02-23,114.83,114.83,110.71,113.29,643.0
2010-02-24,114.83,114.83,109.43,111.49,2366.0
2010-02-25,110.71,113.29,109.94,111.49,1632.0
2010-02-26,114.58,115.61,111.49,115.61,3393.0
2010-03-01,114.83,115.86,112.52,115.86,4496.0
2010-03-02,115.86,122.04,110.71,121.01,16110.0
2010-03-03,121.01,125.91,119.73,119.73,11301.0
2010-03-04,121.01,123.33,120.76,122.56,13347.0
2010-03-05,122.3,122.82,121.01,122.82,5556.0
2010-03-08,123.59,123.59,121.53,123.59,8715.0
2010-03-09,122.3,124.36,121.01,123.59,10109.0
2010-03-10,123.59,124.88,121.53,124.88,5880.0
2010-03-11,124.62,135.18,121.79,132.6,31863.0
2010-03-12,132.6,133.89,128.74,132.6,15365.0
2010-03-15,131.31,132.6,128.74,132.6,19007.0
2010-03-16,132.6,133.89,131.31,133.89,8649.0
2010-03-17,135.18,150.62,135.18,144.19,25147.0
2010-03-18,146.76,146.76,141.61,141.61,5529.0
2010-03-19,144.19,148.05,141.61,145.48,5783.0
2010-03-22,144.19,146.76,144.19,146.76,7968.0
2010-03-23,145.48,157.06,145.48,155.77,26562.0
2010-03-24,157.06,160.92,151.91,160.92,16988.0
2010-03-25,160.92,160.92,158.35,159.64,5552.0
2010-03-26,160.92,166.07,158.35,164.79,47460.0
2010-03-29,166.07,172.51,164.79,171.22,37393.0
2010-03-30,172.51,172.51,168.65,171.22,8660.0
2010-03-31,169.93,171.22,166.07,168.65,11330.0
2010-04-01,171.22,171.22,168.65,169.93,6134.0
2010-04-06,172.51,173.8,171.22,172.51,9985.0
2010-04-07,172.51,175.09,168.65,172.51,10569.0
2010-04-08,172.51,172.51,168.65,168.65,7439.0
2010-04-09,169.93,173.8,169.93,173.8,8845.0
2010-04-12,173.8,180.23,172.51,178.95,20068.0
2010-04-13,178.95,178.95,169.93,171.22,10802.0
