Date,Open,High,Low,Close,Volume
2017-06-15,6.14,7.06,5.83,6.56,4322279.0
2017-06-16,6.49,6.49,5.91,5.99,1642932.0
2017-06-19,6.06,6.06,5.37,5.56,918673.0
2017-06-20,5.72,5.79,5.49,5.6,598717.0
2017-06-21,5.64,5.64,5.18,5.41,488406.0
2017-06-22,5.72,6.1,5.41,5.87,829661.0
2017-06-23,5.87,5.87,5.87,5.87,0.0
2017-06-26,5.99,6.49,5.76,6.45,903940.0
2017-06-27,6.52,7.75,6.29,7.06,5071640.0
2017-06-28,6.98,7.18,6.45,6.6,1224425.0
2017-06-29,6.49,6.72,6.14,6.26,515593.0
2017-06-30,6.33,6.33,5.99,5.99,410902.0
2017-07-03,5.99,6.22,5.83,5.83,292207.0
2017-07-04,5.91,5.99,5.6,5.79,211985.0
2017-07-05,5.79,6.29,5.45,6.26,290362.0
2017-07-06,6.41,6.41,5.91,6.14,274176.0
2017-07-07,6.22,6.26,5.83,5.95,283521.0
2017-07-10,5.99,6.14,5.99,6.03,128496.0
2017-07-11,6.03,6.03,5.76,5.79,230088.0
2017-07-12,5.83,6.06,5.83,6.03,206290.0
2017-07-13,6.06,6.49,5.95,6.37,213468.0
2017-07-14,6.37,6.52,6.22,6.33,170466.0
2017-07-17,6.45,6.52,6.22,6.22,136540.0
2017-07-18,6.22,6.37,5.99,6.29,94673.0
2017-07-19,6.29,6.29,5.95,6.1,56958.0
2017-07-20,6.1,6.14,5.91,6.14,43313.0
2017-07-21,6.1,6.1,5.83,5.99,120196.0
2017-07-24,5.91,5.95,5.6,5.68,209480.0
2017-07-25,5.76,5.99,5.6,5.72,124319.0
2017-07-26,5.72,5.95,5.56,5.95,94394.0
2017-07-27,5.95,5.95,5.76,5.79,40401.0
2017-07-28,5.83,5.95,5.68,5.87,57182.0
2017-07-31,5.95,5.99,5.68,5.76,157186.0
2017-08-01,5.72,5.91,5.68,5.91,143143.0
2017-08-02,5.91,5.91,5.72,5.87,54080.0
2017-08-03,5.87,5.91,5.79,5.83,60556.0
2017-08-04,5.83,5.87,5.76,5.83,28619.0
2017-08-07,5.99,6.49,5.87,6.26,168937.0
2017-08-08,6.37,6.52,6.29,6.37,203455.0
2017-08-09,6.37,6.37,6.03,6.22,89652.0
2017-08-10,6.22,6.37,6.22,6.22,43009.0
2017-08-11,6.14,6.22,5.76,5.95,123185.0
2017-08-14,6.14,6.14,5.83,5.87,39989.0
2017-08-15,5.91,6.1,5.83,6.1,48172.0
2017-08-16,6.1,6.29,6.06,6.1,61524.0
2017-08-17,5.99,6.1,5.87,6.06,75812.0
2017-08-18,6.06,6.06,5.76,5.87,73908.0
2017-08-21,5.87,5.87,5.68,5.76,85369.0
2017-08-22,5.76,5.76,5.53,5.64,78295.0
2017-08-23,5.56,5.68,5.53,5.68,71207.0
2017-08-24,5.64,5.64,5.45,5.53,80676.0
2017-08-25,5.53,5.64,5.37,5.6,106738.0
2017-08-28,5.53,5.56,5.18,5.37,191048.0
2017-08-29,5.45,5.45,5.1,5.22,121327.0
2017-08-30,5.22,5.3,5.14,5.22,48023.0
2017-08-31,5.22,5.49,5.14,5.45,73240.0
2017-09-01,5.45,5.53,5.3,5.49,59682.0
2017-09-04,5.49,5.49,5.22,5.37,61032.0
2017-09-05,5.37,5.45,5.26,5.41,47070.0
2017-09-06,5.45,5.45,5.26,5.33,46338.0
2017-09-07,5.3,5.45,5.22,5.26,32843.0
2017-09-08,5.26,5.41,5.22,5.41,54868.0
2017-09-11,5.41,5.45,5.37,5.41,15476.0
2017-09-12,5.3,5.41,5.26,5.3,35123.0
2017-09-13,5.3,5.37,5.26,5.37,79830.0
2017-09-14,5.37,5.99,5.37,5.83,90439.0
2017-09-15,6.49,6.91,5.83,5.83,667361.0
2017-09-18,5.95,6.26,5.95,6.06,260742.0
2017-09-19,6.14,6.18,5.72,5.76,225683.0
2017-09-20,5.76,5.83,5.64,5.72,151417.0
2017-09-21,5.76,5.76,5.41,5.45,158077.0
2017-09-22,5.45,5.99,5.45,5.91,196573.0
2017-09-25,5.91,5.91,5.6,5.76,105577.0
2017-09-26,5.76,5.87,5.64,5.64,62494.0
2017-09-27,5.76,5.99,5.6,5.79,87261.0
2017-09-28,5.91,6.06,5.76,6.03,98440.0
2017-09-29,6.06,6.18,5.91,6.1,186630.0
2017-10-02,6.33,6.52,6.14,6.41,295783.0
2017-10-03,6.41,6.75,6.41,6.68,239016.0
2017-10-04,6.68,6.79,6.26,6.79,209501.0
2017-10-05,6.79,6.83,6.45,6.72,150896.0
2017-10-06,6.79,6.83,6.49,6.6,53928.0
2017-10-09,6.56,6.56,6.22,6.29,87343.0
2017-10-10,6.26,6.45,6.18,6.26,83622.0
2017-10-11,6.26,6.26,5.64,6.03,122406.0
2017-10-12,6.03,6.1,5.91,6.1,995564.0
2017-10-13,6.14,6.29,6.1,6.29,81235.0
2017-10-16,6.29,6.29,5.87,6.14,152826.0
2017-10-17,6.14,6.14,5.83,5.95,106730.0
2017-10-18,5.95,6.06,5.83,5.95,70736.0
2017-10-19,5.95,6.03,5.79,5.79,77144.0
2017-10-20,5.76,5.83,5.56,5.83,214636.0
2017-10-23,5.83,5.83,5.6,5.72,89484.0
2017-10-24,5.72,5.91,5.72,5.79,34081.0
2017-10-25,5.79,5.99,5.72,5.79,61424.0
2017-10-26,5.83,5.91,5.72,5.87,50095.0
2017-10-27,6.14,6.29,6.03,6.22,194194.0
2017-10-30,6.26,6.29,5.56,5.99,160115.0
2017-10-31,5.95,5.95,5.83,5.91,68699.0
2017-11-01,5.91,6.1,5.87,5.91,71341.0
2017-11-02,5.91,6.06,5.83,5.83,45030.0
2017-11-03,5.83,5.91,5.76,5.83,19952.0
2017-11-06,5.76,5.87,5.72,5.87,52758.0
2017-11-07,5.87,5.87,5.68,5.72,59178.0
2017-11-08,5.72,5.76,5.64,5.72,36387.0
2017-11-09,5.72,5.83,5.6,5.76,51371.0
2017-11-10,5.83,5.83,5.53,5.76,35966.0
2017-11-13,5.64,6.06,5.6,5.68,93863.0
2017-11-14,5.72,5.76,5.64,5.64,37820.0
2017-11-15,5.64,5.64,5.18,5.6,140149.0
2017-11-16,5.64,5.64,5.37,5.56,92931.0
2017-11-17,5.53,5.68,5.37,5.68,49423.0
2017-11-20,5.68,5.72,5.45,5.72,32927.0
2017-11-21,5.64,5.72,5.45,5.56,42884.0
2017-11-22,5.6,5.6,5.37,5.53,45485.0
2017-11-23,5.41,5.49,5.37,5.41,27349.0
2017-11-24,5.41,5.53,5.41,5.49,49363.0
2017-11-27,5.49,5.49,5.26,5.37,77217.0
2017-11-28,5.3,5.37,5.22,5.37,68895.0
2017-11-29,5.37,5.56,5.33,5.41,113009.0
2017-11-30,5.45,5.76,5.33,5.56,299386.0
2017-12-01,5.68,5.68,5.33,5.41,61174.0
2017-12-04,5.41,5.41,5.22,5.3,144942.0
2017-12-05,5.3,5.56,5.3,5.45,48094.0
2017-12-06,5.37,5.53,5.22,5.41,45646.0
2017-12-07,5.33,5.37,4.95,5.33,110554.0
2017-12-08,5.3,5.3,5.07,5.26,60759.0
2017-12-11,5.18,5.33,4.76,4.87,69693.0
2017-12-12,4.91,4.99,4.76,4.95,124888.0
2017-12-13,4.87,5.37,4.84,5.37,68340.0
2017-12-14,5.45,5.45,5.18,5.3,51250.0
2017-12-15,5.3,5.3,5.07,5.22,13821.0
2017-12-18,5.22,5.22,4.95,5.03,35071.0
2017-12-19,4.95,5.03,4.76,4.84,38757.0
2017-12-20,4.84,4.91,4.64,4.76,89034.0
2017-12-21,4.84,4.84,4.61,4.64,123772.0
2017-12-22,4.64,5.03,4.64,5.03,55975.0
2017-12-27,5.14,5.26,4.84,5.1,39186.0
2017-12-28,5.14,5.14,4.84,5.07,39936.0
2017-12-29,5.03,5.03,4.87,4.91,37593.0
2018-01-02,4.91,5.07,4.84,5.03,21099.0
2018-01-03,5.07,5.07,4.84,4.9,39232.0
2018-01-04,4.9,4.95,4.84,4.86,22024.0
2018-01-05,4.87,4.97,4.84,4.91,25312.0
2018-01-08,4.91,4.91,4.68,4.74,94710.0
2018-01-09,4.74,4.83,4.61,4.72,59275.0
2018-01-10,4.72,4.86,4.64,4.86,75036.0
2018-01-11,4.86,4.87,4.74,4.87,13938.0
2018-01-12,4.77,5.02,4.77,4.94,28788.0
2018-01-15,4.94,5.3,4.84,5.12,73059.0
2018-01-16,5.26,5.27,5.14,5.18,26779.0
2018-01-17,5.18,5.18,5.02,5.02,35469.0
2018-01-18,5.11,5.11,4.91,4.91,16720.0
2018-01-19,4.84,5.17,4.72,4.99,31488.0
2018-01-22,4.99,4.99,4.74,4.97,54154.0
2018-01-23,4.97,4.97,4.8,4.84,14131.0
2018-01-24,4.82,4.87,4.74,4.74,12978.0
2018-01-25,4.76,4.84,4.58,4.82,65168.0
2018-01-26,4.8,4.97,4.8,4.91,17860.0
2018-01-29,4.91,4.91,4.78,4.87,22528.0
2018-01-30,4.72,4.8,4.68,4.76,26674.0
2018-01-31,4.74,4.83,4.69,4.7,9635.0
2018-02-01,4.67,4.72,4.61,4.61,11936.0
2018-02-02,4.61,4.68,4.54,4.61,24786.0
2018-02-05,4.61,4.78,4.18,4.51,113975.0
2018-02-06,4.37,4.37,3.76,4.07,302355.0
2018-02-07,4.18,4.5,4.18,4.22,90577.0
2018-02-08,4.31,4.31,3.85,3.95,78777.0
2018-02-09,3.87,4.42,3.69,4.14,335913.0
2018-02-12,4.15,4.31,3.91,3.99,88176.0
2018-02-13,4.03,4.05,3.92,3.98,35465.0
2018-02-14,3.95,4.17,3.95,4.04,38496.0
2018-02-15,3.98,4.24,3.97,4.08,42689.0
2018-02-16,4.08,4.14,3.95,4.06,23811.0
2018-02-19,4.11,4.13,4.03,4.13,6986.0
2018-02-20,4.17,4.17,3.97,3.97,18496.0
2018-02-21,3.98,3.98,3.91,3.94,23664.0
2018-02-22,3.98,3.98,3.78,3.85,51410.0
2018-02-23,3.84,3.88,3.63,3.8,94388.0
2018-02-26,3.91,3.96,3.8,3.91,34994.0
2018-02-27,3.91,3.91,3.61,3.64,41280.0
2018-02-28,3.64,3.85,3.64,3.84,16971.0
2018-03-01,3.93,3.93,3.66,3.69,43451.0
2018-03-02,3.61,3.68,3.55,3.6,68608.0
2018-03-05,3.67,3.67,3.4,3.47,59321.0
2018-03-06,3.49,3.49,3.41,3.42,53029.0
2018-03-07,3.48,3.48,3.33,3.42,68742.0
2018-03-08,3.38,3.45,3.23,3.44,124716.0
2018-03-09,3.37,3.43,3.24,3.43,93540.0
2018-03-12,3.45,3.45,3.19,3.34,99403.0
2018-03-13,3.35,3.35,3.27,3.27,51802.0
2018-03-14,3.27,3.75,3.21,3.5,120714.0
2018-03-15,3.55,4.21,3.53,3.95,98468.0
2018-03-16,3.95,4.14,3.68,3.79,151581.0
2018-03-19,3.76,3.9,3.76,3.9,36754.0
2018-03-20,3.96,4.18,3.96,4.03,57502.0
2018-03-21,4.15,4.18,4.01,4.08,100928.0
2018-03-22,4.07,4.08,3.84,3.98,32131.0
2018-03-23,3.99,4.11,3.58,3.94,63619.0
2018-03-26,3.85,4.11,3.76,4.09,41612.0
2018-03-27,4.09,4.09,3.97,4.08,22093.0
2018-03-28,3.76,4.06,3.76,3.94,10919.0
2018-03-29,3.88,3.9,3.74,3.84,27556.0
2018-04-03,3.84,3.84,3.76,3.83,14987.0
2018-04-04,3.8,3.8,3.63,3.64,9190.0
2018-04-05,3.61,3.61,3.57,3.57,17827.0
2018-04-06,3.45,3.69,3.38,3.6,31687.0
2018-04-09,3.66,3.72,3.58,3.72,10125.0
2018-04-10,3.79,3.79,3.64,3.64,17417.0
2018-04-11,3.62,3.68,3.59,3.65,6935.0
2018-04-12,3.62,3.65,3.46,3.46,29804.0
2018-04-13,3.46,3.62,3.37,3.62,23875.0
2018-04-16,3.53,3.53,3.26,3.53,50661.0
2018-04-17,3.53,3.59,3.48,3.59,2773.0
2018-04-18,3.6,3.6,3.53,3.53,3159.0
2018-04-19,3.48,3.53,3.48,3.49,12057.0
2018-04-20,3.53,4.06,3.53,3.84,58082.0
2018-04-23,3.84,4.43,3.6,4.05,100651.0
2018-04-24,4.08,4.08,4.06,4.06,14659.0
2018-04-25,4.06,4.14,3.98,4.14,53113.0
2018-04-26,4.07,4.07,3.91,3.91,36466.0
2018-04-27,3.98,3.99,3.91,3.98,20239.0
2018-04-30,3.99,4.06,3.85,3.91,11894.0
2018-05-02,3.91,3.91,3.76,3.77,11650.0
2018-05-03,3.84,3.84,3.54,3.67,38617.0
2018-05-04,3.74,3.74,3.59,3.73,15859.0
2018-05-07,3.76,3.81,3.73,3.8,8710.0
2018-05-08,3.8,3.88,3.73,3.8,10066.0
2018-05-09,3.8,3.8,3.65,3.65,17234.0
2018-05-11,3.65,3.65,3.53,3.6,11342.0
2018-05-14,3.61,3.61,3.46,3.53,20073.0
2018-05-15,3.43,3.83,3.32,3.51,34783.0
2018-05-16,3.45,3.83,3.45,3.65,15803.0
2018-05-17,3.61,3.65,3.38,3.65,29432.0
2018-05-18,3.71,3.71,3.58,3.66,17978.0
2018-05-21,3.72,3.72,3.44,3.68,71171.0
2018-05-22,3.68,3.72,3.62,3.68,23530.0
2018-05-23,3.62,3.67,3.62,3.64,18156.0
2018-05-24,3.62,3.65,3.61,3.65,4757.0
2018-05-25,3.68,3.68,3.64,3.67,4899.0
2018-05-28,3.63,3.63,3.59,3.59,11856.0
2018-05-29,3.59,3.65,3.52,3.52,7889.0
2018-05-30,3.52,3.52,3.3,3.36,34587.0
2018-05-31,3.36,3.42,3.35,3.35,16824.0
2018-06-01,3.42,3.91,3.35,3.35,28524.0
2018-06-04,3.38,3.84,3.31,3.31,12062.0
2018-06-05,3.34,3.66,3.34,3.44,13879.0
2018-06-06,3.44,3.44,3.44,3.44,0.0
2018-06-07,3.37,3.43,3.27,3.3,7081.0
2018-06-08,3.3,3.3,2.74,3.14,67766.0
2018-06-11,3.13,3.19,3.09,3.12,35045.0
2018-06-12,3.15,3.26,3.06,3.2,33955.0
2018-06-13,3.08,3.23,3.08,3.11,18023.0
2018-06-14,3.07,3.15,3.07,3.13,5054.0
2018-06-15,3.15,3.15,3.05,3.07,37193.0
2018-06-18,3.07,3.07,2.8,2.82,261714.0
2018-06-19,2.81,3.01,2.69,2.8,171446.0
2018-06-20,2.74,2.89,2.74,2.87,97209.0
2018-06-21,2.79,2.8,2.71,2.74,22777.0
2018-06-22,2.74,2.74,2.74,2.74,0.0
2018-06-25,2.71,2.71,2.53,2.57,114926.0
2018-06-26,2.55,2.61,2.46,2.56,92534.0
2018-06-27,2.56,2.57,2.19,2.4,141466.0
2018-06-28,2.36,2.36,2.26,2.32,42223.0
2018-06-29,2.28,2.36,2.27,2.3,65837.0
2018-07-02,1.97,2.25,1.9,2.13,257991.0
2018-07-03,2.13,2.13,1.95,2.0,243139.0
2018-07-04,2.0,2.0,1.82,1.95,113476.0
2018-07-05,1.95,1.95,1.87,1.92,75323.0
2018-07-06,1.92,2.06,1.92,2.06,89699.0
2018-07-09,2.06,2.06,1.94,1.96,31683.0
2018-07-10,2.0,2.0,1.92,1.98,35219.0
2018-07-11,1.98,1.98,1.92,1.95,16523.0
2018-07-12,1.96,1.96,1.88,1.94,9005.0
2018-07-13,1.96,2.06,1.93,2.02,32352.0
2018-07-16,2.05,2.1,2.0,2.1,22515.0
2018-07-17,2.04,2.07,2.01,2.06,5346.0
