Date,Open,High,Low,Close,Volume
2011-06-14,3.97,6.62,3.97,6.53,74437.0
2011-06-15,5.43,5.43,5.3,5.3,9915.0
2011-06-16,4.86,4.86,4.86,4.86,906.0
2011-06-17,4.86,5.12,4.86,4.86,16256.0
2011-06-20,4.86,5.47,4.86,5.47,1201.0
2011-06-27,4.41,4.41,4.41,4.41,1133.0
2011-06-28,4.16,4.16,4.16,4.16,3059.0
2011-06-29,4.19,4.19,3.54,3.56,10490.0
2011-06-30,3.09,3.1,3.09,3.1,10082.0
2011-07-01,3.22,3.25,3.22,3.25,6684.0
2011-07-04,3.21,3.21,3.21,3.21,1133.0
2011-07-05,3.35,3.35,3.35,3.35,1496.0
2011-07-06,3.35,3.35,3.35,3.35,2832.0
2011-07-08,3.35,4.15,3.35,4.15,10195.0
2011-07-11,3.96,3.96,3.96,3.96,4531.0
2011-07-19,3.88,3.88,3.88,3.88,99.0
2011-07-21,3.8,3.8,3.8,3.8,566.0
2011-07-29,3.8,3.8,3.8,3.8,1131.0
2011-08-01,3.75,3.8,3.75,3.8,6435.0
2011-08-02,4.68,4.68,4.68,4.68,4531.0
2011-08-03,5.08,5.08,4.33,4.33,5664.0
2011-08-04,4.24,4.41,4.24,4.41,2945.0
2011-08-08,4.33,4.33,4.33,4.33,7590.0
2011-08-09,3.97,4.63,3.75,4.63,3427.0
2011-08-10,4.63,5.03,4.63,4.68,28292.0
2011-08-11,5.12,5.21,5.08,5.21,11328.0
2011-08-16,5.21,5.21,5.21,5.21,11328.0
2011-08-17,5.3,5.47,5.3,5.47,12461.0
2011-08-18,5.47,5.47,5.3,5.3,5664.0
2011-08-23,5.47,5.74,5.38,5.74,79296.0
2011-08-24,5.74,5.74,5.74,5.74,12188.0
2011-08-25,5.91,5.91,5.91,5.91,159.0
2011-08-26,5.74,5.74,5.74,5.74,11328.0
2011-09-02,5.65,5.74,5.65,5.74,8687.0
2011-09-05,5.74,5.74,5.74,5.74,12461.0
2011-09-06,5.78,5.78,5.74,5.74,3285.0
2011-09-14,5.74,5.74,5.74,5.74,170.0
2011-09-15,5.74,5.74,5.74,5.74,159.0
2011-09-16,5.74,5.74,5.74,5.74,10048.0
2011-09-19,5.3,5.3,5.3,5.3,1153.0
2011-09-20,5.91,5.91,5.3,5.74,4173.0
2011-09-21,5.74,5.74,5.74,5.74,2832.0
2011-09-22,5.83,5.83,5.83,5.83,453.0
2011-09-23,5.74,5.74,5.74,5.74,1918.0
2011-09-27,3.65,5.74,3.65,5.74,495.0
2011-09-28,5.74,5.74,5.74,5.74,4793.0
2011-09-29,5.74,5.74,5.74,5.74,1133.0
2011-09-30,5.65,5.74,5.65,5.74,13722.0
