Date,Open,High,Low,Close,Volume
2010-11-05,6.88,7.26,6.88,6.88,4428.0
2010-11-08,6.88,6.88,6.82,6.82,4227.0
2010-11-10,6.82,6.82,6.82,6.82,5157.0
2010-11-11,6.82,6.82,6.53,6.53,3400.0
2010-11-12,6.65,6.65,6.65,6.65,129.0
2010-11-15,6.68,6.68,6.68,6.68,11545.0
2010-11-18,6.53,6.53,6.39,6.39,14815.0
2010-11-19,6.61,6.61,6.61,6.61,1207.0
2010-11-24,6.7,6.7,6.7,6.7,1347.0
2010-11-26,6.7,6.71,6.7,6.71,3367.0
2010-11-29,6.76,6.76,6.76,6.76,1683.0
2010-12-01,6.83,7.14,6.83,7.14,2828.0
2010-12-02,7.19,7.19,7.19,7.19,690.0
2010-12-03,7.5,7.5,7.42,7.5,2708.0
2010-12-06,7.5,7.94,7.5,7.94,4560.0
2010-12-07,8.09,10.99,8.09,10.99,16015.0
2010-12-08,11.51,16.33,11.43,16.33,10697.0
2010-12-09,16.33,16.33,13.36,14.26,10925.0
2010-12-10,14.85,15.59,14.85,15.22,2708.0
2010-12-13,14.85,14.85,13.44,13.44,1696.0
2010-12-14,14.26,14.55,13.59,13.74,29180.0
2010-12-15,13.66,14.18,13.51,14.18,315.0
2010-12-16,14.26,14.26,13.36,13.36,1573.0
2010-12-20,12.62,12.62,11.66,11.66,1135.0
2010-12-21,11.51,11.51,11.51,11.51,64.0
2010-12-23,11.88,12.33,11.14,11.14,1781.0
2010-12-28,11.81,11.88,11.81,11.88,1098.0
2010-12-29,11.88,13.74,11.88,13.74,3541.0
2010-12-30,13.74,13.74,13.36,13.66,737.0
2011-01-03,13.66,14.7,13.66,14.7,1556.0
2011-01-04,14.26,14.26,13.44,13.44,404.0
2011-01-05,14.18,14.26,13.51,13.51,2021.0
2011-01-07,14.7,14.85,13.81,14.48,3330.0
2011-01-10,14.48,14.48,13.66,13.66,2498.0
2011-01-11,13.66,14.85,13.66,14.85,2612.0
2011-01-12,14.26,14.26,14.26,14.26,2088.0
2011-01-13,14.85,14.85,14.11,14.11,2694.0
2011-01-14,14.11,14.85,14.11,14.85,1956.0
2011-01-18,14.85,14.85,14.85,14.85,606.0
