Date,Open,High,Low,Close,Volume
2016-06-10,10.76,10.76,7.04,7.73,214979.0
2016-06-13,7.73,7.73,6.85,7.53,49677.0
2016-06-14,7.53,7.53,6.95,6.95,16510.0
2016-06-15,6.95,7.19,6.55,7.04,34912.0
2016-06-16,7.48,7.48,6.06,6.36,7711.0
2016-06-17,6.36,6.6,6.02,6.02,9190.0
2016-06-20,6.11,6.65,6.11,6.41,5975.0
2016-06-21,6.55,6.55,6.02,6.02,12069.0
2016-06-22,6.02,6.16,6.02,6.16,5921.0
2016-06-23,6.36,6.36,5.67,6.11,7019.0
2016-06-27,5.67,5.82,5.67,5.82,8965.0
2016-06-28,5.62,5.67,5.62,5.62,4600.0
2016-06-29,4.99,5.82,4.99,5.38,8229.0
2016-06-30,5.92,5.92,5.14,5.23,820.0
2016-07-01,5.33,5.62,5.04,5.62,5172.0
2016-07-04,5.23,6.26,5.23,6.26,21745.0
2016-07-05,6.26,6.95,6.26,6.8,14195.0
2016-07-06,6.8,6.8,6.16,6.31,7687.0
2016-07-07,6.75,6.75,5.62,6.02,13469.0
2016-07-08,6.75,7.73,6.36,7.34,50110.0
2016-07-11,7.34,7.48,7.04,7.34,8362.0
2016-07-12,7.53,7.63,6.85,7.09,1520.0
2016-07-13,7.24,7.24,7.09,7.09,134.0
2016-07-14,7.24,7.24,7.24,7.24,1.0
2016-07-15,6.46,7.09,6.46,6.99,4913.0
2016-07-18,7.09,7.09,7.09,7.09,1.0
2016-07-19,7.14,7.14,6.41,6.95,3404.0
2016-07-20,6.95,7.09,6.51,6.99,373.0
2016-07-21,6.41,7.63,6.41,7.48,4837.0
2016-07-22,7.68,7.68,7.48,7.48,2213.0
2016-07-25,7.63,7.63,7.63,7.63,79.0
2016-07-26,7.63,7.63,7.58,7.58,1330.0
2016-07-27,7.53,7.58,7.39,7.39,12695.0
2016-07-28,7.63,10.03,7.63,8.75,75442.0
2016-07-29,9.78,9.78,6.6,8.12,41553.0
2016-08-01,9.44,9.44,7.87,8.75,18710.0
2016-08-02,8.9,8.9,8.12,8.12,21168.0
2016-08-03,8.31,8.61,7.58,8.46,19885.0
2016-08-04,8.51,8.75,8.31,8.71,5302.0
2016-08-05,8.8,8.8,8.36,8.75,8878.0
2016-08-08,8.8,9.78,8.61,9.54,25692.0
2016-08-09,9.54,9.78,8.85,9.24,12480.0
2016-08-10,9.24,10.52,8.9,10.17,22890.0
2016-08-11,10.32,10.32,9.39,9.59,9906.0
2016-08-12,9.39,9.78,9.0,9.15,15821.0
2016-08-15,9.2,9.2,8.36,9.05,4270.0
2016-08-16,9.0,9.0,8.51,8.61,1787.0
2016-08-17,8.46,9.29,8.46,9.24,6021.0
2016-08-18,9.2,10.27,9.05,9.24,5355.0
2016-08-19,9.24,10.17,9.0,9.29,1626.0
2016-08-22,9.05,9.05,8.9,8.9,3885.0
2016-08-23,8.71,9.0,8.56,8.8,7302.0
2016-08-24,8.07,9.24,8.07,9.0,1870.0
2016-08-25,9.15,9.15,8.61,8.61,3076.0
2016-08-26,8.71,9.24,8.51,8.61,14479.0
2016-08-29,8.61,9.1,8.61,8.95,6554.0
2016-08-30,8.95,8.95,8.95,8.95,102.0
2016-08-31,9.68,9.68,9.29,9.34,483.0
2016-09-01,9.34,9.34,8.31,8.66,9991.0
2016-09-02,8.8,8.85,8.27,8.75,21623.0
2016-09-05,9.1,9.68,8.61,9.05,38622.0
2016-09-06,8.85,9.24,8.56,9.24,11002.0
2016-09-07,8.85,9.24,8.56,8.56,8090.0
2016-09-08,9.0,9.05,8.61,8.85,11705.0
2016-09-09,8.85,9.0,8.46,8.95,8225.0
2016-09-12,8.85,9.1,8.02,8.61,4708.0
2016-09-13,9.29,9.64,8.66,8.95,3434.0
2016-09-14,8.95,8.95,8.66,8.8,546.0
2016-09-15,8.8,9.73,8.51,8.56,16297.0
2016-09-16,8.61,9.0,8.61,9.0,1140.0
2016-09-19,8.66,8.85,8.61,8.61,1429.0
2016-09-20,8.41,8.46,8.22,8.46,3678.0
2016-09-21,8.02,8.71,8.02,8.46,3982.0
2016-09-22,8.56,8.85,8.41,8.56,19637.0
2016-09-23,8.51,8.56,8.41,8.41,3119.0
2016-09-26,8.8,8.8,8.31,8.66,5405.0
2016-09-27,8.51,8.51,8.27,8.27,2471.0
2016-09-28,8.27,8.85,8.27,8.46,10895.0
2016-09-29,8.46,8.46,8.41,8.41,513.0
2016-09-30,8.41,8.61,8.02,8.56,2118.0
2016-10-03,8.51,8.51,7.97,8.31,10834.0
2016-10-04,8.17,8.22,8.02,8.12,3059.0
2016-10-05,8.22,8.22,7.92,8.17,6360.0
2016-10-06,8.22,8.27,7.83,8.17,5165.0
2016-10-07,8.27,8.27,7.83,8.02,3990.0
2016-10-10,7.63,8.02,7.63,8.02,3370.0
2016-10-11,8.17,8.61,7.83,7.83,3185.0
2016-10-12,7.83,8.02,7.58,8.02,6169.0
2016-10-13,7.73,8.12,7.24,8.12,8896.0
2016-10-14,7.24,8.17,7.24,8.07,4566.0
2016-10-17,8.07,8.07,7.83,8.07,1310.0
2016-10-18,7.87,7.87,7.29,7.73,2241.0
2016-10-19,7.78,8.07,7.53,7.83,3251.0
2016-10-20,8.12,8.12,7.83,7.83,2045.0
2016-10-21,7.83,7.83,6.9,7.78,7855.0
2016-10-24,7.04,7.73,7.04,7.39,3992.0
2016-10-25,7.78,7.78,6.85,6.85,1698.0
2016-10-26,6.85,7.29,6.36,6.51,7677.0
2016-10-27,6.51,8.27,6.51,7.53,3788.0
2016-10-28,7.53,7.97,7.53,7.78,1994.0
2016-10-31,7.78,7.78,7.34,7.78,15934.0
2016-11-01,7.34,7.39,6.75,7.19,9173.0
2016-11-02,7.19,7.48,7.19,7.24,877.0
2016-11-03,7.24,7.24,6.95,6.95,1539.0
2016-11-04,7.24,7.24,7.24,7.24,144.0
2016-11-07,7.24,7.24,7.24,7.24,0.0
2016-11-08,6.85,6.99,6.85,6.99,3695.0
2016-11-09,6.75,7.04,6.46,6.9,11425.0
2016-11-10,7.68,7.68,7.58,7.58,1278.0
2016-11-11,7.58,7.58,6.8,7.34,11349.0
2016-11-14,7.43,7.43,7.14,7.43,3885.0
2016-11-15,7.43,7.73,7.34,7.34,15794.0
2016-11-16,7.09,7.14,6.85,7.14,3680.0
2016-11-17,7.04,7.04,6.85,6.85,214.0
2016-11-18,6.85,6.85,6.65,6.75,2231.0
2016-11-21,6.8,7.48,6.8,7.48,1024.0
2016-11-22,7.48,7.48,6.65,6.9,7911.0
2016-11-23,6.9,6.9,6.85,6.9,1080.0
2016-11-24,6.65,6.65,6.65,6.65,1832.0
2016-11-25,6.8,6.8,6.16,6.16,778.0
2016-11-28,6.46,6.55,6.46,6.55,1275.0
2016-11-29,6.65,6.65,6.36,6.55,6266.0
2016-11-30,6.85,6.85,6.85,6.85,20.0
2016-12-01,6.65,6.85,6.06,6.85,3623.0
2016-12-02,6.16,6.85,6.16,6.75,4393.0
2016-12-05,6.85,7.19,6.7,6.7,1645.0
2016-12-06,7.04,7.04,6.31,6.31,4058.0
2016-12-07,6.36,6.7,6.31,6.41,3183.0
2016-12-08,7.14,8.8,6.75,7.78,24302.0
2016-12-09,7.83,7.83,7.63,7.73,1589.0
2016-12-12,7.97,7.97,7.09,7.14,530.0
2016-12-13,7.04,7.83,6.75,7.14,13855.0
2016-12-14,7.73,7.73,6.9,6.99,2696.0
2016-12-15,6.85,7.14,6.85,7.14,3696.0
2016-12-16,6.85,7.09,6.85,6.85,2096.0
2016-12-19,6.85,7.29,6.75,7.29,8180.0
2016-12-20,7.09,7.83,6.85,7.43,10075.0
2016-12-21,7.83,8.17,7.29,7.29,6416.0
2016-12-22,7.29,8.12,7.29,7.53,2305.0
2016-12-23,8.12,9.78,7.83,8.61,25038.0
2016-12-27,8.61,8.61,7.68,7.87,8582.0
2016-12-28,8.61,8.61,8.46,8.46,194.0
2016-12-29,8.9,9.15,8.22,8.22,6619.0
2016-12-30,9.15,9.15,8.8,8.8,617.0
2017-01-02,8.8,8.8,8.12,8.12,2609.0
2017-01-03,8.07,8.07,8.02,8.02,7156.0
2017-01-04,7.92,7.92,7.73,7.83,7047.0
2017-01-05,7.63,8.17,7.19,8.17,8357.0
2017-01-09,7.53,8.02,7.53,8.02,3744.0
2017-01-10,7.58,8.17,7.58,8.17,1731.0
2017-01-11,8.41,8.41,8.31,8.31,3.0
2017-01-12,7.68,7.83,7.53,7.83,1401.0
2017-01-13,7.87,7.87,7.87,7.87,1227.0
2017-01-16,8.41,8.41,8.27,8.27,1748.0
2017-01-17,7.68,8.31,7.58,7.78,3119.0
2017-01-18,8.36,8.36,8.36,8.36,1.0
2017-01-19,7.63,8.12,7.63,8.12,236.0
2017-01-20,8.07,8.12,7.48,8.12,855.0
2017-01-23,7.87,7.87,7.48,7.63,3173.0
2017-01-24,7.83,8.12,7.63,7.83,3361.0
2017-01-25,8.02,8.02,8.02,8.02,2.0
2017-01-26,8.02,8.61,7.73,8.41,13068.0
2017-01-27,8.41,8.41,7.53,7.92,6725.0
2017-01-30,7.53,8.22,7.43,8.22,4080.0
