Date,Open,High,Low,Close,Volume
2018-01-02,221.81,221.81,219.91,221.24,936482.0
2018-01-03,221.24,228.49,220.67,226.49,1620020.0
2018-01-04,225.53,228.39,225.53,227.72,1333954.0
2018-01-05,227.72,228.39,224.39,226.1,817513.0
2018-01-08,226.2,228.87,224.39,227.63,1712763.0
2018-01-09,228.68,228.77,223.63,224.39,1455475.0
2018-01-10,224.39,224.39,221.05,223.72,1729996.0
2018-01-11,223.63,229.15,223.63,227.72,1635127.0
2018-01-12,228.49,228.49,224.1,225.25,1439024.0
2018-01-15,225.53,227.53,224.39,227.53,1016508.0
2018-01-16,226.68,228.01,224.01,224.39,1298902.0
2018-01-17,224.39,226.49,223.44,224.48,1332612.0
2018-01-18,224.87,225.06,219.91,222.39,1654035.0
2018-01-19,222.1,223.91,221.34,223.53,1416596.0
2018-01-22,223.53,226.3,223.53,225.91,970014.0
2018-01-23,226.87,228.58,225.25,228.58,1245489.0
2018-01-24,228.3,228.77,223.24,223.24,1542599.0
2018-01-25,222.96,234.78,219.81,225.63,2972506.0
2018-01-26,227.53,232.87,226.39,229.25,1719719.0
2018-01-29,229.25,229.54,226.58,227.25,1101876.0
2018-01-30,226.77,228.68,224.96,225.72,1394824.0
2018-01-31,225.44,226.2,224.01,224.96,1412343.0
2018-02-01,225.44,226.3,224.01,224.77,1502977.0
2018-02-02,224.01,224.77,221.91,222.58,1355640.0
2018-02-05,220.58,220.67,214.48,214.95,1992192.0
2018-02-06,208.76,212.76,206.09,207.71,3968357.0
2018-02-07,209.14,214.57,207.23,213.05,2813115.0
2018-02-08,211.71,212.85,209.04,209.04,1308372.0
2018-02-09,207.99,213.81,207.71,213.52,2228478.0
2018-02-12,217.14,217.81,211.9,215.33,1781549.0
2018-02-13,215.14,215.43,212.38,212.85,1003623.0
2018-02-14,213.33,228.77,210.66,212.38,1730141.0
2018-02-15,212.38,213.33,210.38,213.33,1416759.0
2018-02-16,214.57,215.52,213.24,214.95,1138335.0
2018-02-19,215.14,216.57,213.71,215.43,1105810.0
2018-02-20,215.43,217.81,214.67,215.43,1604407.0
