Date,Open,High,Low,Close,Volume
2015-03-20,17.07,17.62,16.47,16.61,19791765.0
2015-03-23,16.74,16.74,16.14,16.24,3763595.0
2015-03-24,16.33,17.02,16.24,16.84,4625530.0
2015-03-25,16.98,17.02,16.7,16.7,1037285.0
2015-03-26,16.61,17.02,16.51,17.02,1342585.0
2015-03-27,17.02,17.9,16.98,17.62,1380770.0
2015-03-30,17.67,18.13,17.67,17.9,738095.0
2015-03-31,18.04,18.09,17.85,17.95,736385.0
2015-04-01,17.95,17.95,17.85,17.9,428010.0
2015-04-02,17.95,18.27,17.9,18.09,246555.0
2015-04-07,18.36,18.64,18.18,18.5,859425.0
2015-04-08,18.64,18.78,18.27,18.55,515810.0
2015-04-09,18.59,19.06,18.5,18.55,991060.0
2015-04-10,19.06,19.52,18.92,19.34,511590.0
2015-04-13,19.43,19.61,19.24,19.43,845100.0
2015-04-14,19.43,19.61,19.06,19.29,483245.0
2015-04-15,19.38,19.52,19.24,19.43,384515.0
2015-04-16,19.43,19.43,19.2,19.29,215520.0
2015-04-17,19.2,19.43,18.97,19.06,347545.0
2015-04-20,20.03,20.08,19.71,19.84,1088355.0
2015-04-21,20.03,20.03,19.66,19.94,800900.0
2015-04-22,19.98,20.31,19.94,20.31,614840.0
2015-04-23,20.26,20.35,19.8,19.89,395525.0
2015-04-24,20.26,20.26,19.75,19.94,202455.0
2015-04-27,20.03,20.21,19.98,20.12,176070.0
2015-04-28,20.21,20.45,20.17,20.35,919515.0
2015-04-29,20.91,20.91,19.75,19.8,1015020.0
2015-04-30,20.08,20.08,19.57,19.94,274500.0
2015-05-04,20.08,20.26,19.98,20.26,415125.0
2015-05-05,20.26,20.35,19.61,19.71,259720.0
2015-05-06,21.0,21.09,20.45,20.54,2465475.0
2015-05-07,20.82,21.65,20.68,21.42,1817850.0
2015-05-08,22.25,22.57,21.56,22.34,1096525.0
2015-05-11,23.17,23.45,22.85,23.17,2109165.0
2015-05-12,23.27,23.78,22.99,23.36,895355.0
2015-05-13,23.68,23.68,23.36,23.36,411085.0
2015-05-15,23.68,23.68,22.94,23.04,411400.0
2015-05-18,23.27,23.36,22.8,22.99,414710.0
2015-05-19,23.08,23.27,22.76,23.13,582315.0
2015-05-20,23.13,23.17,22.76,23.04,402410.0
2015-05-21,23.22,23.31,22.94,22.94,369295.0
2015-05-22,23.04,23.13,22.94,22.94,369595.0
2015-05-25,23.17,23.17,22.76,22.94,229450.0
2015-05-26,22.94,23.31,22.8,22.94,427875.0
2015-05-27,23.04,23.13,22.76,23.13,386825.0
2015-05-28,23.13,23.27,22.62,22.71,580395.0
2015-05-29,22.62,22.62,21.83,22.39,525180.0
2015-06-01,22.53,22.76,21.46,22.2,417025.0
2015-06-02,22.25,22.34,21.88,22.16,392795.0
2015-06-03,22.16,22.34,21.93,22.02,230460.0
2015-06-04,22.11,22.2,21.83,22.02,412885.0
2015-06-05,21.83,21.97,21.0,21.51,590450.0
2015-06-08,21.69,21.69,20.35,20.58,817190.0
2015-06-09,20.26,20.63,19.8,20.58,835315.0
2015-06-10,20.63,21.37,20.63,21.19,318955.0
2015-06-11,21.32,21.74,21.23,21.56,923600.0
2015-06-12,21.6,22.3,21.56,21.88,278820.0
2015-06-15,21.83,21.83,20.68,20.91,554520.0
2015-06-16,20.72,21.05,19.98,20.72,712130.0
2015-06-17,21.0,21.19,20.12,20.72,276545.0
2015-06-18,20.63,21.09,20.21,20.82,398500.0
2015-06-22,20.91,21.19,20.35,20.72,213700.0
2015-06-23,20.72,21.0,20.54,20.77,795000.0
2015-06-24,20.82,21.0,20.45,20.45,278930.0
2015-06-25,20.45,20.68,20.21,20.54,340040.0
2015-06-26,20.63,20.82,20.54,20.63,221540.0
2015-06-29,20.17,20.58,19.43,20.54,518985.0
