Date,Open,High,Low,Close,Volume
2019-07-18,13.5,18.5,12.0,15.9,373189.0
2019-07-19,15.9,18.0,15.9,17.65,97243.0
2019-07-22,17.65,17.7,15.1,16.35,90172.0
2019-07-23,16.35,16.35,15.25,15.35,74506.0
2019-07-24,15.35,15.95,15.15,15.7,38133.0
2019-07-25,15.7,15.7,14.15,14.15,53853.0
2019-07-26,14.15,14.7,14.0,14.35,38318.0
2019-07-29,14.0,14.1,12.7,13.1,120412.0
2019-07-30,13.1,13.1,12.2,12.45,72282.0
2019-07-31,12.5,12.5,11.8,11.9,134622.0
2019-08-01,11.4,13.65,11.2,13.6,145181.0
2019-08-02,13.6,13.6,12.0,12.6,45698.0
2019-08-06,12.3,12.35,11.6,12.05,26391.0
2019-08-07,12.05,13.1,12.0,12.4,43975.0
2019-08-08,12.5,12.5,12.0,12.0,32129.0
2019-08-09,12.0,12.3,12.0,12.0,30493.0
2019-08-12,12.0,12.25,11.75,12.2,18351.0
2019-08-13,12.2,12.25,11.6,11.7,16505.0
2019-08-14,11.7,11.7,10.5,10.95,58384.0
2019-08-15,10.95,10.95,9.0,9.5,87993.0
2019-08-16,9.5,9.9,9.5,9.7,44062.0
2019-08-19,9.7,10.8,9.7,10.4,28526.0
2019-08-20,10.4,10.4,9.9,10.3,12442.0
2019-08-21,10.0,10.05,9.54,9.6,25869.0
2019-08-22,9.6,9.6,9.02,9.04,27589.0
2019-08-23,9.0,9.0,8.2,8.6,64151.0
2019-08-26,8.5,8.5,7.4,7.62,90540.0
2019-08-27,7.64,7.64,7.2,7.2,51616.0
2019-08-28,7.2,7.8,7.2,7.75,18859.0
2019-08-29,7.75,8.2,7.0,7.9,72674.0
2019-08-30,7.9,8.8,7.9,8.3,47571.0
2019-09-02,8.3,8.85,8.0,8.8,26061.0
2019-09-03,8.9,9.8,8.85,9.7,22640.0
2019-09-04,10.0,10.8,10.0,10.5,26474.0
2019-09-05,10.9,10.9,10.1,10.2,21494.0
2019-09-06,10.2,10.2,7.1,8.35,93718.0
2019-09-09,8.35,9.0,8.1,9.0,36114.0
2019-09-10,8.95,9.0,8.35,8.8,19478.0
2019-09-11,8.85,9.15,8.75,8.75,11904.0
2019-09-12,9.0,9.15,8.75,9.15,16925.0
2019-09-13,9.15,9.15,8.6,8.9,19490.0
2019-09-16,8.9,8.9,8.55,8.7,8276.0
2019-09-17,8.5,8.7,8.3,8.6,12334.0
2019-09-18,8.6,8.6,8.25,8.45,11313.0
2019-09-19,8.5,9.85,8.15,8.7,52929.0
2019-09-20,9.9,9.9,9.15,9.6,32330.0
2019-09-23,9.6,9.6,9.25,9.55,19520.0
2019-09-24,9.6,10.4,9.6,9.9,45126.0
2019-09-25,10.0,10.6,9.6,10.3,26761.0
2019-09-26,10.3,10.9,9.7,10.4,34313.0
2019-09-27,10.5,11.0,10.5,10.8,36285.0
2019-09-30,10.9,10.9,10.7,10.9,12192.0
2019-10-01,11.0,11.0,10.7,10.8,8120.0
2019-10-02,10.9,10.9,9.9,9.9,12953.0
2019-10-03,10.9,10.9,9.7,9.85,15804.0
2019-10-04,9.8,10.1,9.2,10.1,12743.0
2019-10-07,10.2,10.3,9.8,10.0,5079.0
2019-10-08,10.0,10.0,9.25,9.35,13179.0
2019-10-09,9.35,9.8,9.35,9.55,6115.0
2019-10-10,9.55,9.55,9.05,9.15,10172.0
2019-10-11,9.35,9.5,9.15,9.5,7690.0
2019-10-14,9.5,9.5,9.0,9.05,9608.0
2019-10-15,9.05,9.2,8.6,8.85,31771.0
2019-10-16,8.85,9.0,8.5,9.0,8579.0
2019-10-17,8.85,8.85,8.6,8.8,15309.0
2019-10-18,8.8,9.0,8.5,9.0,10098.0
2019-10-21,8.8,9.0,8.5,8.8,6759.0
2019-10-22,8.9,8.9,8.55,8.65,12687.0
2019-10-23,8.65,8.65,8.3,8.5,14259.0
2019-10-24,8.5,8.5,8.0,8.45,20049.0
2019-10-25,8.45,8.5,8.2,8.4,20648.0
2019-10-28,8.4,9.0,8.4,8.75,14714.0
2019-10-29,8.9,9.0,8.5,8.55,7526.0
2019-10-30,8.5,8.95,8.5,8.5,11065.0
2019-10-31,8.5,9.05,8.4,8.5,8001.0
2019-11-01,8.5,8.75,8.4,8.4,1660.0
2019-11-04,8.45,8.7,8.3,8.35,11499.0
2019-11-05,8.35,8.6,8.15,8.35,15170.0
2019-11-06,8.25,8.3,8.05,8.3,9354.0
