Date,Open,High,Low,Close,Volume
2010-01-04,11.36,11.71,11.36,11.64,1268512.0
2010-01-05,11.69,11.69,11.46,11.54,887024.0
2010-01-07,11.61,11.76,11.59,11.66,1114150.0
2010-01-08,11.74,11.76,11.56,11.64,750048.0
2010-01-11,11.69,11.81,11.64,11.64,918680.0
2010-01-12,11.64,11.64,11.36,11.49,1285464.0
2010-01-13,11.49,11.49,11.29,11.29,1407830.0
2010-01-14,11.31,11.39,11.16,11.16,1387186.0
2010-01-15,11.29,11.44,11.19,11.29,1628344.0
2010-01-18,11.29,11.66,11.26,11.59,2358524.0
2010-01-19,11.59,11.59,11.31,11.51,2167174.0
2010-01-20,11.49,11.54,11.39,11.41,1739704.0
2010-01-21,11.44,11.46,11.24,11.24,2175460.0
2010-01-22,11.21,11.36,10.96,11.16,2010420.0
2010-01-25,10.99,11.21,10.91,10.94,2443708.0
2010-01-26,10.89,10.99,10.66,10.99,1136710.0
2010-01-27,10.94,11.26,10.71,11.01,1286052.0
2010-01-28,11.11,11.19,10.94,11.09,1235364.0
2010-01-29,11.06,11.06,10.74,10.96,2021718.0
2010-02-01,10.84,11.31,10.79,11.29,1228666.0
2010-02-02,11.34,11.51,11.01,11.11,2680512.0
2010-02-03,11.14,11.39,11.11,11.26,1757496.0
2010-02-04,11.34,11.36,10.84,10.84,1751350.0
2010-02-05,10.86,10.86,10.54,10.76,1849084.0
2010-02-08,10.84,10.84,10.46,10.56,1773982.0
2010-02-09,10.51,10.71,10.46,10.56,959086.0
2010-02-10,10.61,10.66,10.37,10.44,959158.0
2010-02-11,10.54,10.69,10.49,10.51,1609128.0
2010-02-12,10.49,10.61,10.41,10.46,1240610.0
2010-02-15,10.51,10.56,10.46,10.51,664990.0
2010-02-16,10.51,10.79,10.49,10.71,1256380.0
2010-02-17,10.81,11.09,10.74,10.94,2352070.0
2010-02-18,11.06,11.44,11.01,11.44,2080178.0
2010-02-19,11.39,11.61,11.34,11.59,1960182.0
2010-02-22,11.66,11.69,11.51,11.51,1154732.0
2010-02-23,11.49,11.56,11.31,11.39,1250736.0
2010-02-24,11.36,11.51,11.24,11.51,818294.0
2010-02-25,11.49,11.69,11.36,11.41,972612.0
2010-02-26,11.46,11.59,11.44,11.54,1929518.0
2010-03-01,11.56,11.69,11.56,11.64,1040918.0
2010-03-02,11.66,11.71,11.64,11.64,1018220.0
2010-03-03,11.64,11.71,11.54,11.69,671020.0
2010-03-04,11.66,11.86,11.66,11.79,1195932.0
2010-03-05,11.79,11.91,11.76,11.81,517960.0
2010-03-08,11.86,11.93,11.74,11.88,656248.0
2010-03-09,11.84,11.93,11.74,11.88,1040288.0
2010-03-10,11.88,12.08,11.84,12.03,1193172.0
2010-03-11,11.98,12.06,11.86,12.01,1095404.0
2010-03-12,12.01,12.21,11.98,12.08,747076.0
2010-03-15,12.03,12.18,12.03,12.18,966490.0
2010-03-16,12.18,12.52,12.18,12.41,926234.0
2010-03-17,12.43,12.46,12.13,12.13,1269138.0
2010-03-18,12.13,12.28,12.01,12.01,1853862.0
2010-03-19,12.01,12.21,11.88,11.88,1976976.0
2010-03-22,11.93,12.08,11.76,11.96,1740520.0
2010-03-23,11.96,12.21,11.96,12.11,3829926.0
2010-03-24,12.18,12.23,11.98,12.21,2114500.0
2010-03-25,12.81,12.89,12.7,12.72,1864804.0
2010-03-26,12.72,12.86,12.67,12.7,679826.0
2010-03-29,12.72,13.24,12.72,13.19,1581314.0
2010-03-30,13.16,13.32,13.16,13.27,991038.0
2010-03-31,13.27,13.27,13.08,13.24,847296.0
2010-04-01,13.21,13.35,13.19,13.24,458918.0
2010-04-06,13.29,13.35,13.24,13.35,745666.0
2010-04-07,13.29,13.38,13.24,13.27,522766.0
2010-04-08,13.21,13.27,13.08,13.24,480254.0
2010-04-09,13.24,13.32,13.21,13.32,959326.0
2010-04-12,13.32,13.35,13.27,13.32,596778.0
2010-04-13,13.35,13.54,13.24,13.54,2362188.0
2010-04-14,13.48,13.54,13.38,13.54,1014026.0
2010-04-15,13.57,13.57,13.38,13.48,1382196.0
2010-04-16,13.46,13.51,13.32,13.35,2088202.0
2010-04-19,13.27,13.4,13.08,13.08,1312148.0
2010-04-20,13.1,13.35,13.1,13.27,640056.0
2010-04-21,13.24,13.35,13.24,13.27,2608032.0
2010-04-22,13.24,13.4,12.21,12.43,5788236.0
2010-04-23,12.48,12.86,12.43,12.75,1406344.0
2010-04-26,12.75,12.86,12.26,12.29,1605218.0
2010-04-27,12.4,12.53,12.1,12.21,1774452.0
2010-04-28,12.13,12.15,11.58,11.83,2415006.0
2010-04-29,11.96,12.26,11.91,12.24,1400520.0
2010-04-30,12.1,12.34,12.07,12.32,687046.0
2010-05-03,12.29,12.48,12.18,12.45,713806.0
2010-05-04,12.4,12.45,12.02,12.24,1906422.0
2010-05-05,12.15,12.26,11.8,12.02,2998630.0
2010-05-06,11.86,11.96,11.39,11.5,2521508.0
2010-05-07,11.18,11.5,10.8,11.07,3538914.0
2010-05-10,11.67,12.13,11.67,12.05,1883554.0
2010-05-11,11.94,11.99,11.42,11.75,2292298.0
2010-05-12,11.77,12.45,11.75,12.32,982932.0
2010-05-14,12.37,12.4,11.94,11.94,1754870.0
2010-05-17,11.86,12.18,11.86,11.94,1035590.0
2010-05-18,11.96,12.34,11.96,12.18,2802528.0
2010-05-19,12.1,12.1,11.77,11.86,1325208.0
2010-05-20,11.83,12.07,11.45,11.72,965756.0
