Date,Open,High,Low,Close,Volume
2010-01-04,1.58,1.58,1.45,1.45,20200.0
2010-01-05,1.45,1.45,1.45,1.45,0.0
2010-01-07,1.5,1.51,1.46,1.46,23500.0
2010-01-08,1.5,1.53,1.5,1.5,73270.0
2010-01-11,1.5,1.54,1.43,1.54,244403.0
2010-01-12,1.5,1.5,1.48,1.48,25187.0
2010-01-13,1.49,1.49,1.46,1.46,72139.0
2010-01-14,1.48,1.49,1.48,1.49,39000.0
2010-01-15,1.54,1.54,1.5,1.5,45050.0
2010-01-18,1.49,1.5,1.48,1.5,65710.0
2010-01-19,1.48,1.5,1.48,1.5,19335.0
2010-01-20,1.48,1.5,1.48,1.5,7980.0
2010-01-21,1.5,1.5,1.5,1.5,3000.0
2010-01-22,1.48,1.49,1.48,1.48,5505.0
2010-01-25,1.47,1.47,1.46,1.46,26234.0
2010-01-26,1.44,1.44,1.42,1.42,26726.0
2010-01-27,1.52,1.52,1.39,1.49,56682.0
2010-01-28,1.49,1.49,1.48,1.48,5200.0
2010-01-29,1.49,1.49,1.45,1.48,3610.0
2010-02-01,1.47,1.48,1.43,1.43,15500.0
2010-02-02,1.48,1.5,1.43,1.43,16200.0
2010-02-03,1.44,1.45,1.44,1.45,16250.0
2010-02-04,1.47,1.48,1.45,1.48,5090.0
2010-02-05,1.48,1.48,1.43,1.43,0.0
2010-02-08,1.5,1.5,1.4,1.4,15596.0
2010-02-09,1.5,1.53,1.42,1.42,55503.0
2010-02-10,1.54,1.54,1.42,1.53,30310.0
2010-02-11,1.55,1.55,1.48,1.54,29372.0
2010-02-12,1.57,1.57,1.53,1.57,32900.0
2010-02-15,1.57,1.57,1.45,1.47,32790.0
2010-02-16,1.47,1.5,1.47,1.5,178715.0
2010-02-17,1.5,1.66,1.48,1.5,185096.0
2010-02-18,1.65,1.65,1.41,1.51,72038.0
2010-02-19,1.54,1.54,1.54,1.54,6000.0
2010-02-22,1.47,1.54,1.44,1.54,362.0
2010-02-23,1.54,1.54,1.43,1.43,0.0
2010-02-24,1.45,1.5,1.43,1.5,15500.0
2010-02-25,1.44,1.53,1.44,1.44,6250.0
2010-02-26,1.46,1.49,1.46,1.49,4782.0
2010-03-01,1.49,1.49,1.49,1.49,1347.0
2010-03-02,1.49,1.49,1.46,1.49,15423.0
2010-03-03,1.47,1.47,1.47,1.47,13500.0
2010-03-04,1.47,1.47,1.44,1.47,7700.0
2010-03-05,1.43,1.53,1.43,1.53,144600.0
2010-03-08,1.53,1.54,1.45,1.52,68320.0
2010-03-09,1.54,1.56,1.54,1.55,58020.0
2010-03-10,1.55,1.56,1.55,1.55,34986.0
2010-03-11,1.53,1.55,1.47,1.55,35540.0
2010-03-12,1.49,1.56,1.49,1.56,24903.0
2010-03-15,1.56,1.56,1.49,1.49,4500.0
2010-03-16,1.49,1.57,1.49,1.5,82853.0
2010-03-17,1.51,1.58,1.51,1.56,41356.0
2010-03-18,1.56,1.56,1.56,1.56,1500.0
2010-03-19,1.49,1.56,1.49,1.51,60375.0
2010-03-22,1.51,1.54,1.5,1.54,68302.0
2010-03-23,1.54,1.64,1.54,1.61,160822.0
2010-03-24,1.63,1.64,1.55,1.59,137357.0
2010-03-25,1.59,1.59,1.57,1.57,97453.0
2010-03-26,1.57,1.59,1.56,1.59,84879.0
2010-03-29,1.6,1.65,1.59,1.59,58991.0
2010-03-30,1.59,1.59,1.57,1.59,26850.0
