Date,Open,High,Low,Close,Volume
2010-01-04,0.62,0.66,0.62,0.65,2006955.0
2010-01-05,0.66,0.66,0.64,0.66,621930.0
2010-01-07,0.66,0.66,0.64,0.65,537035.0
2010-01-08,0.65,0.7,0.65,0.68,3127950.0
2010-01-11,0.7,0.73,0.69,0.73,3977060.0
2010-01-12,0.74,0.75,0.71,0.72,4124595.0
2010-01-13,0.72,0.73,0.71,0.72,1003100.0
2010-01-14,0.73,0.73,0.71,0.72,801700.0
2010-01-15,0.72,0.72,0.7,0.71,1328555.0
2010-01-18,0.7,0.71,0.67,0.69,1179750.0
2010-01-19,0.67,0.69,0.67,0.69,998970.0
2010-01-20,0.69,0.72,0.69,0.71,1419665.0
2010-01-21,0.7,0.71,0.7,0.71,762945.0
2010-01-22,0.7,0.7,0.68,0.7,867250.0
2010-01-25,0.69,0.7,0.68,0.68,752200.0
2010-01-26,0.69,0.69,0.68,0.68,301935.0
2010-01-27,0.68,0.69,0.67,0.68,639430.0
2010-01-28,0.68,0.68,0.67,0.68,415225.0
2010-01-29,0.67,0.68,0.66,0.67,625305.0
2010-02-01,0.66,0.68,0.66,0.68,628735.0
2010-02-02,0.68,0.71,0.67,0.71,1357545.0
2010-02-03,0.71,0.72,0.7,0.71,496155.0
2010-02-04,0.71,0.72,0.68,0.71,910385.0
2010-02-05,0.71,0.72,0.67,0.7,1083940.0
2010-02-08,0.67,0.7,0.67,0.69,194500.0
2010-02-09,0.69,0.69,0.68,0.69,185850.0
2010-02-10,0.68,0.69,0.66,0.68,1236290.0
2010-02-11,0.68,0.68,0.66,0.68,494000.0
2010-02-12,0.68,0.68,0.64,0.66,982020.0
2010-02-15,0.68,0.68,0.64,0.64,560020.0
2010-02-16,0.66,0.68,0.64,0.66,489780.0
2010-02-17,0.68,0.71,0.67,0.7,1266150.0
2010-02-18,0.7,0.7,0.69,0.7,512700.0
2010-02-19,0.7,0.7,0.69,0.7,645960.0
2010-02-22,0.71,0.72,0.7,0.72,1058505.0
2010-02-23,0.71,0.73,0.71,0.72,914790.0
2010-02-24,0.72,0.72,0.71,0.72,584110.0
2010-02-25,0.72,0.72,0.71,0.72,338900.0
2010-02-26,0.72,0.73,0.71,0.73,1115495.0
2010-03-01,0.72,0.84,0.72,0.79,4474555.0
2010-03-02,0.79,0.83,0.77,0.83,4478960.0
2010-03-03,0.83,0.83,0.79,0.81,2738210.0
2010-03-04,0.81,0.85,0.79,0.85,6370295.0
2010-03-05,0.86,1.02,0.86,1.02,12875520.0
2010-03-08,1.03,1.16,1.02,1.11,14353985.0
2010-03-09,1.11,1.16,1.09,1.11,9863870.0
2010-03-10,1.1,1.1,1.0,1.05,7422060.0
2010-03-11,1.03,1.03,0.95,1.0,6752565.0
2010-03-12,1.0,1.03,0.97,1.0,2852725.0
2010-03-15,1.0,1.03,1.0,1.02,1641150.0
2010-03-16,1.03,1.03,1.0,1.02,923225.0
2010-03-17,0.99,1.08,0.99,1.06,4988540.0
2010-03-18,1.06,1.08,1.04,1.07,3198925.0
2010-03-19,1.08,1.08,1.05,1.08,1754575.0
2010-03-22,1.08,1.09,1.06,1.08,2514830.0
2010-03-23,1.08,1.09,1.06,1.08,872775.0
2010-03-24,1.08,1.08,1.04,1.06,1785675.0
2010-03-25,1.06,1.12,1.05,1.11,4232895.0
2010-03-26,1.12,1.18,1.1,1.16,7211905.0
2010-03-29,1.17,1.36,1.13,1.36,17324055.0
2010-03-30,1.36,1.5,1.36,1.46,13052160.0
2010-03-31,1.49,1.49,1.4,1.42,7878440.0
2010-04-01,1.45,1.47,1.42,1.45,3505565.0
2010-04-06,1.42,1.42,1.32,1.35,10251965.0
2010-04-07,1.34,1.34,1.26,1.29,6651925.0
2010-04-08,1.29,1.33,1.23,1.32,7836140.0
2010-04-09,1.34,1.45,1.34,1.43,8757955.0
2010-04-12,1.43,1.59,1.35,1.54,11832560.0
2010-04-13,1.54,1.59,1.51,1.56,6824780.0
2010-04-14,1.56,1.58,1.51,1.53,2751640.0
2010-04-15,1.52,1.52,1.44,1.49,4022605.0
2010-04-16,1.48,1.48,1.44,1.46,1452180.0
2010-04-19,1.43,1.45,1.4,1.44,3661585.0
2010-04-20,1.49,1.55,1.48,1.55,5228250.0
2010-04-21,1.62,1.72,1.62,1.7,10551270.0
2010-04-22,1.73,1.78,1.7,1.71,7686530.0
2010-04-23,1.72,1.75,1.71,1.75,3159820.0
2010-04-26,1.75,1.88,1.75,1.83,6926795.0
2010-04-27,1.89,1.96,1.85,1.94,6731940.0
2010-04-28,1.95,1.95,1.79,1.87,4248470.0
2010-04-29,1.87,1.87,1.77,1.85,3908550.0
2010-04-30,1.85,1.85,1.8,1.82,1044405.0
2010-05-03,1.77,1.81,1.75,1.81,2584200.0
2010-05-04,1.81,1.89,1.81,1.85,2941965.0
2010-05-05,1.85,1.85,1.64,1.69,4900245.0
2010-05-06,1.69,1.69,1.51,1.54,7884990.0
2010-05-07,1.44,1.47,1.34,1.36,8475720.0
2010-05-10,1.41,1.69,1.41,1.67,8060615.0
2010-05-11,1.67,1.67,1.56,1.6,4745740.0
2010-05-12,1.57,1.62,1.57,1.6,1531925.0
2010-05-14,1.69,1.78,1.69,1.73,4439120.0
2010-05-17,1.68,1.69,1.6,1.66,2178330.0
2010-05-18,1.63,1.73,1.63,1.73,1673870.0
2010-05-19,1.7,1.7,1.56,1.56,6300060.0
2010-05-20,1.59,1.6,1.4,1.49,2786790.0
2010-05-21,1.43,1.57,1.36,1.57,3419240.0
2010-05-24,1.59,1.59,1.44,1.5,2578580.0
2010-05-25,1.42,1.44,1.37,1.41,3890320.0
2010-05-26,1.43,1.55,1.43,1.55,3201925.0
2010-05-27,1.56,1.56,1.49,1.54,2576630.0
2010-05-28,1.54,1.58,1.47,1.49,2650135.0
2010-05-31,1.32,1.32,1.15,1.29,21129910.0
2010-06-01,1.29,1.31,1.22,1.28,3381910.0
2010-06-02,1.28,1.28,1.22,1.27,1749260.0
2010-06-03,1.28,1.35,1.28,1.35,3638695.0
2010-06-04,1.35,1.38,1.25,1.35,2410510.0
2010-06-07,1.28,1.39,1.28,1.36,1966450.0
2010-06-08,1.36,1.37,1.31,1.36,1374935.0
2010-06-09,1.38,1.4,1.35,1.38,1920160.0
2010-06-10,1.37,1.38,1.34,1.37,794905.0
2010-06-11,1.39,1.39,1.32,1.38,1658945.0
2010-06-14,1.42,1.5,1.42,1.47,3023860.0
2010-06-15,1.49,1.53,1.46,1.53,2707800.0
2010-06-16,1.53,1.55,1.43,1.49,2049220.0
2010-06-17,1.46,1.48,1.46,1.47,589360.0
2010-06-18,1.46,1.46,1.42,1.43,1341590.0
2010-06-21,1.44,1.49,1.44,1.47,1035650.0
2010-06-22,1.47,1.49,1.38,1.46,2052340.0
2010-06-23,1.42,1.45,1.42,1.43,664805.0
2010-06-24,1.44,1.45,1.4,1.42,573060.0
2010-06-28,1.42,1.45,1.4,1.42,260625.0
2010-06-29,1.38,1.4,1.33,1.4,1065000.0
2010-06-30,1.36,1.4,1.33,1.35,767460.0
2010-07-01,1.35,1.35,1.27,1.3,1040180.0
2010-07-02,1.31,1.34,1.29,1.34,326670.0
2010-07-05,1.34,1.34,1.23,1.31,577750.0
2010-07-06,1.31,1.31,1.25,1.28,1130245.0
2010-07-07,1.28,1.3,1.25,1.27,861695.0
2010-07-08,1.27,1.34,1.27,1.31,799920.0
2010-07-09,1.28,1.4,1.26,1.36,1225405.0
2010-07-12,1.38,1.4,1.33,1.36,249955.0
2010-07-13,1.36,1.39,1.33,1.37,560870.0
2010-07-14,1.37,1.37,1.32,1.35,316615.0
2010-07-15,1.36,1.36,1.3,1.35,303905.0
2010-07-16,1.35,1.35,1.31,1.33,354885.0
2010-07-19,1.3,1.32,1.28,1.31,177975.0
2010-07-20,1.32,1.33,1.27,1.27,491295.0
2010-07-21,1.33,1.33,1.26,1.26,333525.0
2010-07-22,1.29,1.3,1.27,1.3,100500.0
2010-07-23,1.3,1.33,1.28,1.3,328550.0
2010-07-26,1.32,1.32,1.28,1.3,229490.0
2010-07-27,1.3,1.3,1.27,1.3,419990.0
2010-07-28,1.32,1.32,1.26,1.29,604515.0
2010-07-29,1.29,1.29,1.25,1.29,209975.0
2010-07-30,1.29,1.29,1.25,1.28,142435.0
2010-08-02,1.27,1.28,1.25,1.28,398000.0
2010-08-03,1.26,1.28,1.25,1.28,376820.0
2010-08-04,1.25,1.28,1.25,1.28,278985.0
2010-08-05,1.28,1.28,1.24,1.25,1198940.0
2010-08-06,1.24,1.27,1.24,1.26,591775.0
2010-08-09,1.26,1.45,1.26,1.45,12029005.0
2010-08-10,1.47,1.49,1.36,1.37,8027605.0
2010-08-11,1.35,1.36,1.3,1.3,1694665.0
2010-08-12,1.3,1.34,1.29,1.32,549955.0
2010-08-13,1.33,1.35,1.28,1.32,728335.0
2010-08-16,1.32,1.32,1.26,1.32,1410145.0
2010-08-17,1.32,1.32,1.25,1.29,830955.0
2010-08-18,1.28,1.29,1.25,1.28,1012425.0
2010-08-19,1.26,1.34,1.25,1.28,1801070.0
2010-08-20,1.27,1.31,1.25,1.26,593595.0
2010-08-23,1.25,1.28,1.19,1.25,893920.0
2010-08-24,1.24,1.24,1.14,1.19,1462310.0
2010-08-25,1.17,1.23,1.14,1.23,2197780.0
2010-08-26,1.24,1.39,1.24,1.34,5281365.0
2010-08-27,1.35,1.38,1.34,1.38,1960400.0
2010-08-30,1.38,1.38,1.34,1.38,713265.0
2010-08-31,1.37,1.44,1.34,1.44,1671060.0
2010-09-01,1.44,1.46,1.41,1.43,1820305.0
2010-09-02,1.43,1.47,1.4,1.47,1306920.0
2010-09-03,1.47,1.47,1.43,1.47,1345860.0
2010-09-06,1.47,1.54,1.45,1.53,3345195.0
2010-09-07,1.53,1.54,1.49,1.54,1336990.0
2010-09-08,1.53,1.53,1.5,1.52,882790.0
2010-09-09,1.49,1.65,1.49,1.62,4573600.0
2010-09-10,1.62,1.75,1.58,1.72,7952900.0
2010-09-13,1.8,1.92,1.72,1.72,12952065.0
2010-09-14,1.73,1.82,1.73,1.77,4588640.0
2010-09-15,1.79,1.93,1.77,1.92,10535640.0
2010-09-16,1.96,2.0,1.82,1.84,15903995.0
2010-09-17,1.85,1.85,1.75,1.75,5949270.0
2010-09-20,1.73,1.75,1.7,1.75,3468360.0
2010-09-21,1.76,1.82,1.75,1.82,3631240.0
2010-09-22,1.82,1.82,1.76,1.8,1380175.0
2010-09-23,1.8,1.82,1.78,1.82,1429620.0
2010-09-24,1.82,1.85,1.76,1.79,2676235.0
2010-09-27,1.79,1.82,1.78,1.79,1234290.0
2010-09-28,1.79,1.8,1.77,1.79,637165.0
2010-09-29,1.79,1.79,1.76,1.77,479275.0
2010-09-30,1.75,1.77,1.73,1.75,1401515.0
2010-10-01,1.74,1.78,1.72,1.78,1017415.0
2010-10-04,1.78,1.79,1.75,1.78,549360.0
2010-10-05,1.77,1.8,1.77,1.78,1612740.0
2010-10-06,1.79,1.8,1.77,1.78,810005.0
2010-10-07,1.8,1.8,1.77,1.78,412655.0
2010-10-08,1.79,1.79,1.75,1.78,797015.0
2010-10-11,1.78,1.8,1.75,1.8,718965.0
2010-10-12,1.79,1.81,1.76,1.77,1401205.0
2010-10-13,1.78,1.84,1.78,1.83,1878100.0
2010-10-14,1.83,1.85,1.82,1.83,776710.0
2010-10-15,1.85,1.92,1.85,1.91,2187670.0
2010-10-18,1.92,2.0,1.91,1.91,3916490.0
2010-10-19,1.92,1.92,1.87,1.91,1922125.0
2010-10-20,1.89,1.91,1.87,1.91,918810.0
2010-10-21,1.92,1.92,1.88,1.91,1332035.0
2010-10-22,1.98,2.02,1.83,1.84,9028595.0
2010-10-25,1.85,1.85,1.72,1.75,4007875.0
2010-10-26,1.75,1.76,1.61,1.75,4570890.0
2010-10-27,1.75,1.85,1.7,1.81,1466770.0
2010-10-28,1.86,1.86,1.74,1.77,1216200.0
2010-10-29,1.75,1.79,1.73,1.74,647245.0
2010-11-01,1.75,1.75,1.67,1.68,1312365.0
2010-11-02,1.69,1.69,1.61,1.66,2752375.0
2010-11-03,1.65,1.73,1.63,1.71,1379220.0
2010-11-04,1.72,1.74,1.7,1.71,646920.0
2010-11-05,1.75,1.75,1.69,1.7,629885.0
2010-11-08,1.69,1.71,1.64,1.7,944530.0
2010-11-09,1.7,1.7,1.65,1.7,836225.0
2010-11-10,1.67,1.67,1.63,1.67,1032930.0
2010-11-11,1.65,1.69,1.64,1.67,525550.0
2010-11-12,1.66,1.67,1.61,1.63,931190.0
2010-11-15,1.62,1.65,1.58,1.63,623875.0
2010-11-16,1.63,1.63,1.56,1.6,947935.0
2010-11-17,1.59,1.65,1.56,1.62,2294290.0
2010-11-18,1.65,1.77,1.63,1.77,2356990.0
2010-11-19,1.77,1.79,1.72,1.75,1241730.0
2010-11-22,1.75,1.75,1.62,1.67,2243630.0
2010-11-23,1.71,1.71,1.6,1.64,1517730.0
2010-11-24,1.61,1.66,1.6,1.64,657630.0
2010-11-25,1.65,1.66,1.6,1.62,769325.0
2010-11-26,1.65,1.65,1.59,1.61,558390.0
2010-11-29,1.6,1.63,1.58,1.59,801925.0
2010-11-30,1.57,1.62,1.57,1.6,642380.0
2010-12-01,1.58,1.6,1.57,1.59,749815.0
2010-12-02,1.57,1.61,1.57,1.6,1037880.0
2010-12-03,1.58,1.6,1.58,1.6,728480.0
2010-12-06,1.62,1.62,1.57,1.58,1215600.0
2010-12-07,1.58,1.6,1.58,1.6,1092565.0
2010-12-08,1.59,1.63,1.59,1.63,836115.0
2010-12-09,1.62,1.67,1.6,1.66,1252630.0
2010-12-10,1.66,1.66,1.62,1.66,1350395.0
2010-12-13,1.71,1.84,1.71,1.75,6073550.0
2010-12-14,1.75,1.77,1.71,1.75,1366360.0
2010-12-15,1.77,1.77,1.72,1.77,1277255.0
2010-12-16,1.83,1.86,1.74,1.75,4746785.0
2010-12-17,1.74,1.75,1.7,1.74,1482775.0
2010-12-20,1.7,1.72,1.67,1.7,1427775.0
2010-12-21,1.7,1.73,1.65,1.73,1248465.0
2010-12-22,1.73,1.75,1.7,1.73,846390.0
2010-12-23,1.72,1.72,1.69,1.72,794930.0
2010-12-27,1.7,1.71,1.69,1.71,609200.0
2010-12-28,1.7,1.7,1.68,1.7,676315.0
2010-12-29,1.7,1.7,1.65,1.67,1328920.0
2010-12-30,1.69,1.7,1.66,1.69,1571765.0
2011-01-03,1.66,1.74,1.66,1.74,691790.0
2011-01-04,1.75,1.75,1.71,1.73,780850.0
2011-01-05,1.73,1.73,1.71,1.73,289365.0
2011-01-07,1.73,1.73,1.68,1.72,617290.0
2011-01-10,1.73,1.74,1.71,1.73,1155745.0
2011-01-11,1.73,1.73,1.68,1.71,1748625.0
2011-01-12,1.71,1.71,1.68,1.7,648490.0
2011-01-13,1.7,1.7,1.67,1.68,796085.0
2011-01-14,1.68,1.7,1.67,1.7,765340.0
2011-01-17,1.72,1.72,1.68,1.69,687890.0
2011-01-18,1.67,1.7,1.64,1.68,1007980.0
2011-01-19,1.68,1.68,1.61,1.63,929505.0
2011-01-20,1.64,1.64,1.59,1.61,547230.0
2011-01-21,1.61,1.63,1.59,1.6,524040.0
2011-01-24,1.59,1.65,1.59,1.65,921005.0
2011-01-25,1.65,1.67,1.6,1.64,515415.0
2011-01-26,1.62,1.65,1.6,1.65,444860.0
2011-01-27,1.62,1.64,1.59,1.63,327930.0
2011-01-28,1.6,1.63,1.6,1.62,247650.0
2011-01-31,1.67,1.68,1.64,1.65,1345500.0
2011-02-01,1.65,1.68,1.62,1.65,572410.0
2011-02-02,1.65,1.65,1.61,1.62,384570.0
2011-02-03,1.61,1.62,1.6,1.62,503230.0
2011-02-04,1.62,1.62,1.59,1.62,504565.0
2011-02-07,1.61,1.64,1.59,1.64,686060.0
2011-02-08,1.61,1.64,1.57,1.64,1051190.0
2011-02-09,1.63,1.63,1.59,1.59,368225.0
2011-02-10,1.58,1.63,1.58,1.62,495640.0
2011-02-11,1.66,1.68,1.59,1.67,1531490.0
2011-02-14,1.67,1.68,1.59,1.65,1121365.0
2011-02-15,1.61,1.64,1.6,1.63,373535.0
2011-02-16,1.62,1.63,1.6,1.63,239365.0
2011-02-17,1.62,1.63,1.59,1.63,445420.0
2011-02-18,1.6,1.61,1.57,1.61,1000795.0
2011-02-21,1.6,1.6,1.57,1.59,756590.0
2011-02-22,1.55,1.58,1.51,1.57,1065695.0
2011-02-23,1.61,1.65,1.55,1.59,1818645.0
2011-02-24,1.59,1.6,1.55,1.58,492985.0
2011-02-25,1.59,1.62,1.56,1.59,3109485.0
2011-02-28,1.6,1.63,1.59,1.63,1078785.0
2011-03-01,1.63,1.67,1.63,1.64,1317750.0
2011-03-02,1.66,1.66,1.62,1.64,589680.0
2011-03-03,1.6,1.66,1.6,1.66,616125.0
2011-03-04,1.66,1.66,1.62,1.65,285750.0
2011-03-07,1.66,1.67,1.62,1.65,1354985.0
2011-03-08,1.62,1.66,1.62,1.63,772755.0
2011-03-09,1.61,1.66,1.61,1.65,561235.0
2011-03-10,1.64,1.64,1.58,1.61,930560.0
2011-03-11,1.59,1.59,1.54,1.58,1438590.0
2011-03-14,1.55,1.57,1.52,1.55,1669940.0
2011-03-15,1.52,1.52,1.36,1.4,4815725.0
2011-03-16,1.41,1.48,1.32,1.34,3934705.0
2011-03-17,1.32,1.41,1.32,1.41,3937715.0
2011-03-18,1.43,1.47,1.42,1.45,1769715.0
2011-03-21,1.43,1.49,1.43,1.46,747420.0
2011-03-22,1.47,1.48,1.42,1.47,645075.0
2011-03-23,1.47,1.47,1.42,1.45,347515.0
