Date,Open,High,Low,Close,Volume
2010-01-04,17.05,17.05,16.09,16.32,3170.0
2010-01-05,16.09,16.76,16.09,16.76,4706.0
2010-01-07,17.93,17.93,17.56,17.86,1590.0
2010-01-08,17.64,17.64,16.98,17.49,4055.0
2010-01-11,17.49,17.49,17.12,17.12,4622.0
2010-01-12,17.12,17.12,17.12,17.12,2062.0
2010-01-13,17.12,17.12,16.9,16.9,3400.0
2010-01-14,16.68,17.64,16.46,17.49,3470.0
2010-01-15,17.49,17.64,17.27,17.27,7425.0
2010-01-18,17.64,17.64,16.9,17.49,4320.0
2010-01-19,17.05,17.05,16.9,17.05,6334.0
2010-01-20,17.05,17.64,17.05,17.2,528.0
2010-01-21,17.05,17.05,16.61,16.98,11516.0
2010-01-22,16.61,17.05,16.46,16.68,5985.0
2010-01-25,16.54,16.9,16.17,16.9,8950.0
2010-01-27,16.17,16.54,16.02,16.54,300.0
2010-01-28,16.9,16.98,16.68,16.68,1700.0
2010-01-29,16.9,16.9,16.68,16.68,1200.0
2010-02-01,16.68,16.68,16.68,16.68,750.0
2010-02-02,17.12,17.56,17.12,17.12,4146.0
2010-02-03,16.54,17.56,16.39,17.27,7171.0
2010-02-04,16.46,17.64,16.46,17.64,270.0
2010-02-05,16.9,17.12,16.46,17.12,2030.0
2010-02-08,16.9,16.9,16.32,16.76,806.0
2010-02-10,16.17,16.17,16.17,16.17,500.0
2010-02-11,16.76,16.76,16.76,16.76,242.0
2010-02-12,16.76,16.76,16.46,16.54,248.0
2010-02-15,16.54,17.05,16.54,16.76,2952.0
2010-02-16,16.76,16.76,16.76,16.76,300.0
2010-02-17,17.27,17.56,17.27,17.56,1250.0
2010-02-18,17.49,17.64,16.24,16.83,5168.0
2010-02-19,16.54,16.54,14.77,16.17,7713.0
2010-02-22,16.17,16.17,16.17,16.17,1000.0
2010-02-23,15.43,16.54,15.43,16.54,9406.0
2010-02-24,16.32,16.54,16.17,16.54,3895.0
2010-02-25,16.54,16.54,16.24,16.24,1610.0
2010-02-26,16.54,16.54,16.54,16.54,1200.0
