Date,Open,High,Low,Close,Volume
2018-04-18,15.12,15.9,14.29,15.2,639678.0
2018-04-19,15.8,18.23,15.3,18.23,992090.0
2018-04-20,18.99,19.3,17.2,17.5,928911.0
2018-04-23,17.7,18.0,15.92,16.16,867076.0
2018-04-24,16.2,16.5,15.0,15.17,1119307.0
2018-04-25,15.2,15.4,14.01,14.88,642753.0
2018-04-26,15.0,15.2,14.2,14.25,370460.0
2018-04-27,14.45,14.45,12.5,13.38,808719.0
2018-04-30,13.46,13.69,11.94,12.1,303806.0
2018-05-02,12.17,13.0,11.8,12.7,251037.0
2018-05-03,12.7,13.0,12.3,12.66,128291.0
2018-05-04,12.7,12.8,11.51,11.63,282052.0
2018-05-07,11.9,11.9,11.5,11.8,64522.0
2018-05-08,11.58,12.4,11.58,12.22,102058.0
2018-05-09,12.48,12.48,11.4,12.22,42617.0
2018-05-11,12.22,12.22,11.3,12.0,50826.0
2018-05-14,11.6,11.85,11.0,11.79,75613.0
2018-05-15,11.79,11.79,10.92,11.15,119054.0
2018-05-16,11.0,11.2,10.8,11.0,28498.0
2018-05-17,11.0,11.85,10.5,11.5,127175.0
2018-05-18,11.7,12.2,11.01,12.2,145560.0
2018-05-21,12.48,12.48,11.5,11.95,15473.0
2018-05-22,11.96,11.96,11.25,11.69,13154.0
2018-05-23,11.7,12.8,11.1,11.65,19768.0
2018-05-24,11.64,12.2,10.7,11.95,43084.0
2018-05-25,11.95,11.95,11.3,11.5,3871.0
2018-05-28,11.5,11.9,11.15,11.5,12410.0
2018-05-29,11.5,11.5,11.0,11.2,14476.0
2018-05-30,11.25,12.35,11.25,12.25,75968.0
2018-05-31,12.25,12.25,11.54,12.0,2766.0
2018-06-01,12.0,13.0,12.0,12.45,50135.0
2018-06-04,12.48,14.08,12.48,13.36,93829.0
2018-06-05,13.6,14.38,13.36,14.0,98506.0
2018-06-06,14.0,14.0,14.0,14.0,0.0
2018-06-07,14.36,14.7,13.7,13.93,20382.0
2018-06-08,13.9,14.0,13.0,13.9,16574.0
2018-06-11,13.9,13.9,13.0,13.37,10498.0
2018-06-12,13.37,13.4,13.0,13.2,4564.0
2018-06-13,13.2,13.2,12.7,13.0,7477.0
2018-06-14,12.7,13.0,12.5,12.9,13940.0
2018-06-15,13.0,13.4,12.5,13.2,18170.0
2018-06-18,13.0,13.21,12.7,12.72,2153.0
2018-06-19,12.7,12.7,11.62,12.09,33125.0
2018-06-20,12.09,12.24,11.8,12.0,8003.0
2018-06-21,12.25,13.6,11.5,12.0,17951.0
2018-06-22,12.0,12.0,12.0,12.0,0.0
2018-06-25,12.1,12.48,12.1,12.48,4356.0
2018-06-26,12.0,12.48,11.85,12.1,5108.0
2018-06-27,12.2,12.2,11.8,12.0,4780.0
2018-06-28,12.1,12.1,11.6,11.96,1718.0
2018-06-29,11.7,12.1,11.52,12.0,14870.0
2018-07-02,12.0,12.0,11.54,11.99,1753.0
2018-07-03,12.0,12.0,11.54,11.55,3032.0
2018-07-04,11.6,12.0,11.55,11.99,1038.0
2018-07-05,11.99,11.99,11.41,11.41,5315.0
2018-07-06,11.3,11.6,11.25,11.58,34632.0
2018-07-09,11.25,11.75,11.25,11.7,10024.0
2018-07-10,11.7,11.95,11.25,11.7,6522.0
2018-07-11,11.7,12.2,11.5,11.9,7166.0
2018-07-12,11.9,12.55,11.54,12.0,14984.0
2018-07-13,12.0,12.22,11.8,12.2,1158.0
2018-07-16,12.2,12.2,11.75,11.75,7605.0
2018-07-17,11.8,12.5,11.8,12.0,16687.0
2018-07-18,12.22,12.22,11.76,12.22,3063.0
2018-07-19,12.22,12.22,11.75,12.18,8880.0
2018-07-20,12.18,12.2,11.82,12.2,3122.0
2018-07-23,12.21,12.21,11.75,12.0,15035.0
2018-07-24,11.88,12.5,11.52,12.0,27823.0
2018-07-25,12.44,12.5,12.01,12.03,24200.0
2018-07-26,12.3,12.3,12.0,12.0,7051.0
2018-07-27,12.0,12.44,12.0,12.3,28361.0
2018-07-30,12.3,12.58,12.3,12.38,7319.0
2018-07-31,12.15,12.5,12.15,12.5,6163.0
2018-08-01,12.5,12.5,12.21,12.49,3326.0
2018-08-02,12.49,12.49,12.15,12.45,1009.0
2018-08-03,12.39,12.39,12.39,12.39,10.0
2018-08-06,12.39,12.73,12.39,12.48,5135.0
2018-08-07,12.48,12.88,12.48,12.88,7462.0
2018-08-08,12.88,13.0,12.2,12.74,9297.0
2018-08-09,12.73,12.73,12.3,12.73,4441.0
2018-08-10,12.73,12.73,12.12,12.3,7118.0
2018-08-13,12.3,12.48,12.2,12.3,11113.0
2018-08-14,12.2,12.2,12.03,12.03,7592.0
2018-08-15,12.0,12.47,12.0,12.46,17140.0
2018-08-16,12.4,12.4,12.0,12.0,10697.0
2018-08-17,12.0,12.1,11.37,11.5,16543.0
2018-08-20,11.5,11.74,11.35,11.74,2412.0
2018-08-21,11.74,11.74,11.15,11.44,7808.0
2018-08-22,11.44,11.44,10.9,11.0,15492.0
2018-08-23,11.18,11.68,10.82,11.68,55143.0
2018-08-24,11.5,11.5,11.15,11.25,6367.0
2018-08-27,11.25,12.0,11.25,11.9,13000.0
2018-08-28,12.1,12.1,10.5,11.0,65311.0
2018-08-29,10.58,11.49,10.15,11.49,29700.0
2018-08-30,11.6,12.48,11.1,12.1,51103.0
2018-08-31,12.44,12.48,11.88,12.15,16874.0
2018-09-03,12.15,12.15,11.2,11.7,8783.0
2018-09-04,11.7,12.22,11.28,12.22,16696.0
2018-09-05,12.22,12.22,11.5,11.5,11340.0
2018-09-06,11.5,11.96,11.5,11.5,5485.0
2018-09-07,11.5,11.9,11.5,11.51,6878.0
2018-09-10,11.5,11.51,11.3,11.3,6078.0
2018-09-11,11.11,11.5,11.11,11.5,10101.0
2018-09-12,11.2,11.96,11.1,11.96,14086.0
2018-09-13,11.5,11.5,11.0,11.44,10495.0
2018-09-14,11.44,12.0,11.4,11.4,16451.0
2018-09-17,11.42,12.0,11.06,12.0,19262.0
2018-09-18,12.0,12.0,11.54,11.65,3480.0
2018-09-19,11.65,12.0,11.6,12.0,2439.0
2018-09-20,12.0,12.0,11.3,11.64,9246.0
2018-09-21,11.64,11.64,11.2,11.44,1938.0
2018-09-24,11.43,11.43,11.1,11.25,1695.0
2018-09-25,11.0,11.18,10.9,11.18,10598.0
2018-09-26,11.18,11.18,10.86,11.18,8802.0
2018-09-27,10.85,11.12,10.5,11.12,10398.0
2018-09-28,10.7,11.12,10.7,10.9,12331.0
2018-10-01,11.0,11.0,10.58,10.9,7401.0
2018-10-02,10.92,10.92,10.51,10.51,59351.0
2018-10-03,10.5,10.91,10.5,10.6,4036.0
2018-10-04,10.52,10.9,10.5,10.5,14221.0
2018-10-05,10.69,10.7,10.0,10.3,17827.0
2018-10-08,10.0,10.5,10.0,10.2,62037.0
2018-10-09,10.1,10.5,9.8,10.45,31886.0
2018-10-10,10.1,10.97,9.81,9.82,18360.0
2018-10-11,9.9,9.9,9.05,9.88,17506.0
2018-10-12,9.6,10.47,9.5,10.0,10627.0
2018-10-15,9.62,9.85,9.35,9.35,5638.0
2018-10-16,9.35,10.2,9.35,10.2,17730.0
2018-10-17,10.2,10.2,10.2,10.2,0.0
2018-10-18,10.2,10.46,10.2,10.2,685.0
2018-10-19,9.9,10.1,9.88,10.1,1830.0
2018-10-22,10.2,10.46,9.28,9.78,8818.0
2018-10-23,9.4,9.78,8.9,9.0,10714.0
2018-10-24,9.25,9.25,8.5,8.73,14892.0
2018-10-25,8.73,8.83,8.6,8.83,9974.0
2018-10-26,8.83,9.3,8.75,9.0,12075.0
2018-10-29,9.1,9.1,8.75,8.9,19160.0
2018-10-30,8.73,8.73,8.4,8.7,8455.0
2018-10-31,8.74,8.74,8.3,8.4,10284.0
2018-11-01,8.1,8.84,8.1,8.84,16348.0
2018-11-02,8.84,9.03,8.84,9.03,5397.0
2018-11-05,9.0,9.15,8.7,9.15,10258.0
2018-11-06,9.15,9.15,8.5,8.8,7267.0
2018-11-07,8.5,8.94,8.5,8.94,3351.0
2018-11-08,8.6,8.9,8.08,8.32,23769.0
2018-11-09,8.32,8.52,8.16,8.48,11493.0
2018-11-12,8.5,8.5,8.1,8.31,5044.0
2018-11-13,8.2,8.2,7.9,8.2,6742.0
2018-11-14,8.2,8.2,7.65,7.8,14379.0
2018-11-15,7.6,8.1,7.21,7.41,14414.0
2018-11-16,7.44,7.5,6.9,7.0,37286.0
2018-11-19,7.0,7.17,6.8,7.17,12128.0
2018-11-20,7.17,7.17,6.26,6.64,31741.0
2018-11-21,6.76,6.76,6.3,6.5,8550.0
2018-11-22,6.3,9.0,6.26,7.7,60289.0
2018-11-23,7.7,7.82,7.12,7.49,39030.0
2018-11-26,7.54,8.0,7.54,8.0,33394.0
2018-11-27,8.0,8.0,7.9,7.9,4750.0
2018-11-28,8.0,8.06,7.8,7.8,7781.0
2018-11-29,8.1,8.1,7.82,7.99,5146.0
2018-11-30,8.0,8.0,7.7,7.7,15302.0
2018-12-03,7.6,7.66,7.15,7.49,7240.0
2018-12-04,7.42,7.42,6.85,7.05,22496.0
2018-12-05,6.77,6.8,6.6,6.61,37644.0
2018-12-06,6.61,6.61,6.5,6.55,2233.0
2018-12-07,6.55,6.55,6.14,6.31,21232.0
2018-12-10,6.31,6.35,6.06,6.2,7178.0
2018-12-11,6.2,6.41,6.14,6.31,13449.0
2018-12-12,6.4,6.9,6.2,6.9,8292.0
2018-12-13,6.91,7.07,6.65,7.07,5767.0
2018-12-14,6.9,7.23,6.9,7.23,5152.0
2018-12-17,7.1,7.18,6.7,7.15,18915.0
2018-12-18,7.15,7.15,6.65,6.86,14211.0
2018-12-19,6.6,6.85,6.0,6.65,22525.0
2018-12-20,6.4,6.9,6.4,6.9,6200.0
2018-12-21,6.65,6.8,6.4,6.8,3856.0
2018-12-27,6.54,6.84,6.54,6.84,3594.0
2018-12-28,6.6,7.0,6.6,6.9,3627.0
2019-01-02,6.9,6.9,6.4,6.58,8099.0
2019-01-03,6.33,6.43,6.33,6.43,3362.0
2019-01-04,6.43,6.9,6.43,6.9,5372.0
2019-01-07,6.9,6.9,6.55,6.8,13766.0
2019-01-08,6.55,6.8,6.55,6.8,5229.0
2019-01-09,6.8,7.02,6.68,6.82,7167.0
2019-01-10,6.82,6.95,6.64,6.95,7250.0
2019-01-11,7.0,7.3,7.0,7.2,16422.0
2019-01-14,7.2,7.28,7.2,7.28,3331.0
2019-01-15,7.28,7.28,7.14,7.28,113.0
2019-01-16,7.1,7.28,7.0,7.28,3108.0
2019-01-17,7.0,7.12,6.85,7.12,1555.0
2019-01-18,7.12,7.3,7.12,7.2,4125.0
2019-01-21,7.02,8.0,7.02,7.75,15948.0
2019-01-22,7.76,7.76,7.45,7.59,4393.0
2019-01-23,7.59,7.59,7.4,7.59,2134.0
2019-01-24,7.5,7.59,7.5,7.59,720.0
2019-01-25,7.3,7.65,7.3,7.65,6573.0
2019-01-28,7.65,7.98,7.64,7.95,7629.0
2019-01-29,7.65,8.11,7.65,8.0,13979.0
2019-01-30,8.04,8.04,7.9,8.04,5457.0
2019-01-31,8.0,8.4,7.85,8.4,18769.0
2019-02-01,8.82,9.8,8.7,9.15,97635.0
2019-02-04,9.15,9.15,8.8,9.0,12976.0
2019-02-05,9.15,9.15,8.8,9.14,6675.0
2019-02-06,9.1,9.1,8.8,9.0,6012.0
2019-02-07,9.0,9.0,8.66,8.66,11114.0
2019-02-08,8.66,8.66,8.18,8.5,13244.0
2019-02-11,8.2,8.45,8.17,8.45,19265.0
2019-02-12,8.45,9.37,8.45,9.0,16115.0
2019-02-13,9.0,9.0,8.1,8.42,43090.0
2019-02-14,8.28,8.42,8.0,8.31,22767.0
2019-02-15,8.3,8.3,7.81,8.24,22969.0
2019-02-18,8.2,9.0,8.13,8.82,105280.0
2019-02-19,8.82,9.9,8.82,9.3,116693.0
2019-02-20,9.35,10.8,9.25,9.49,342294.0
2019-02-21,9.49,10.45,8.5,10.39,149701.0
2019-02-22,10.39,10.39,9.3,9.57,155635.0
2019-02-25,9.57,9.57,8.9,9.46,60746.0
2019-02-26,9.46,11.0,9.25,11.0,95747.0
2019-02-27,11.1,11.5,9.45,10.16,164178.0
2019-02-28,9.86,9.9,9.22,9.73,114524.0
2019-03-01,9.73,9.73,9.0,9.43,94509.0
2019-03-04,9.43,9.7,9.2,9.57,29790.0
2019-03-05,9.4,9.6,9.02,9.6,38265.0
2019-03-06,9.6,9.6,8.85,9.25,128260.0
2019-03-07,9.25,9.5,8.75,9.25,32600.0
2019-03-08,9.15,9.5,8.8,8.94,18883.0
2019-03-11,8.75,9.1,8.75,9.0,14106.0
2019-03-12,8.82,9.2,8.5,9.0,69399.0
2019-03-13,9.0,9.1,8.9,9.09,28200.0
2019-03-14,9.2,9.25,8.95,9.25,19823.0
2019-03-15,9.25,9.25,9.01,9.01,883.0
