Date,Open,High,Low,Close,Volume
2017-10-27,149.53,157.24,149.53,155.32,247300.0
2017-10-30,155.8,165.93,154.35,159.17,59810.0
2017-10-31,159.17,163.52,159.17,163.52,50280.0
2017-11-01,160.14,163.52,160.14,161.59,21410.0
2017-11-02,161.59,161.59,157.24,160.62,3757.0
2017-11-03,160.62,161.1,158.21,160.62,3195.0
2017-11-06,160.62,171.23,160.14,171.23,25798.0
2017-11-07,171.23,173.64,166.41,173.64,6342.0
2017-11-08,170.75,170.75,164.0,166.89,10033.0
2017-11-09,165.93,169.79,162.07,169.79,17732.0
2017-11-10,168.82,171.72,162.07,171.72,2579.0
2017-11-13,172.68,172.68,154.83,163.52,6838.0
2017-11-14,163.52,166.41,158.69,163.52,965.0
2017-11-15,159.66,165.93,159.66,165.93,813.0
2017-11-16,166.41,166.41,161.1,164.0,1843.0
2017-11-17,165.93,168.34,164.0,164.0,1820.0
2017-11-20,163.52,166.89,162.07,166.89,1470.0
2017-11-21,162.07,167.86,162.07,167.37,1614.0
2017-11-22,164.0,166.89,162.55,164.0,1409.0
2017-11-23,162.55,164.48,161.1,164.48,4037.0
2017-11-24,161.1,173.64,159.17,173.64,11476.0
2017-11-27,171.72,171.72,156.76,162.07,12298.0
2017-11-28,163.03,167.86,156.28,157.24,43234.0
2017-11-29,158.21,161.1,156.28,159.17,58498.0
2017-11-30,160.14,164.0,158.21,163.03,7497.0
2017-12-01,161.1,165.93,158.21,160.14,13087.0
2017-12-04,164.0,164.96,160.62,164.0,385.0
2017-12-05,163.03,165.44,161.1,162.55,998.0
2017-12-06,162.55,162.55,154.83,156.28,4153.0
2017-12-07,156.28,157.24,154.35,155.32,9526.0
2017-12-08,155.8,159.17,155.8,159.17,732.0
2017-12-11,160.14,161.59,157.73,160.14,20501.0
2017-12-12,160.14,160.14,154.35,154.35,1061.0
2017-12-13,156.28,156.28,150.49,153.39,16499.0
2017-12-14,150.01,154.35,149.53,152.42,16986.0
2017-12-15,153.87,153.87,147.6,153.87,6419.0
2017-12-18,154.35,154.35,149.53,152.9,13190.0
2017-12-19,152.9,153.87,147.6,153.87,15303.0
2017-12-20,153.39,153.87,150.49,153.39,58988.0
2017-12-21,151.94,153.39,148.08,149.04,64231.0
2017-12-22,147.6,147.6,139.88,145.67,49992.0
2017-12-27,145.67,146.15,142.77,146.15,49397.0
2017-12-28,144.7,145.67,143.26,145.67,15636.0
2017-12-29,144.7,146.63,144.7,145.19,17683.0
2018-01-02,145.19,146.63,142.77,146.15,22262.0
2018-01-03,147.58,147.58,145.26,146.52,17036.0
2018-01-04,147.4,147.4,143.84,146.44,13934.0
2018-01-05,147.4,148.56,145.86,148.56,4880.0
2018-01-08,148.56,151.46,147.6,149.53,45152.0
2018-01-09,149.53,151.46,147.58,151.24,7194.0
2018-01-10,151.46,151.65,149.53,150.88,7729.0
2018-01-11,150.88,154.35,150.88,153.39,10267.0
2018-01-12,153.39,153.39,149.53,151.94,7921.0
2018-01-15,152.42,152.42,149.53,150.97,4323.0
2018-01-16,150.9,150.97,146.65,150.97,2479.0
2018-01-17,150.51,150.51,146.83,147.12,9405.0
2018-01-18,147.1,147.6,144.7,146.63,17295.0
2018-01-19,146.63,151.46,143.74,150.01,34620.0
2018-01-22,150.49,153.39,147.6,153.39,5522.0
2018-01-23,153.39,156.28,153.39,155.51,19228.0
2018-01-24,155.32,155.7,152.61,155.32,10566.0
2018-01-25,155.32,155.32,154.35,155.32,2578.0
2018-01-26,153.39,155.32,153.39,153.39,2100.0
2018-01-29,155.32,155.7,154.93,155.7,1212.0
2018-01-30,154.16,155.89,152.42,155.89,7824.0
2018-01-31,155.89,156.28,154.35,155.7,35708.0
2018-02-01,155.7,157.05,154.35,157.05,21780.0
2018-02-02,157.05,157.05,155.32,156.09,6833.0
2018-02-05,156.09,156.09,152.04,154.93,60449.0
2018-02-06,151.46,153.0,149.53,152.23,63132.0
2018-02-07,153.39,153.39,150.49,152.42,10075.0
2018-02-08,153.39,153.39,149.72,151.46,26811.0
2018-02-09,151.65,151.65,149.72,150.11,1001.0
2018-02-12,150.11,150.49,148.56,150.49,12346.0
2018-02-13,149.53,150.49,143.93,146.05,48758.0
2018-02-14,146.63,146.63,143.35,146.63,10312.0
2018-02-15,147.98,148.37,146.63,148.18,12584.0
