Date,Open,High,Low,Close,Volume
2014-06-26,305.75,345.88,305.75,342.06,429.0
2014-06-27,342.06,348.27,329.63,348.27,2122.0
2014-06-30,342.06,343.97,342.06,343.97,875.0
2014-07-01,343.97,343.97,343.97,343.97,30.0
2014-07-02,345.88,345.88,345.88,345.88,100.0
2014-07-03,352.57,370.72,352.57,370.72,825.0
2014-07-04,370.72,386.96,370.72,386.96,1370.0
2014-07-07,386.96,386.96,363.08,363.08,236.0
2014-07-08,356.39,375.5,356.39,374.06,1026.0
2014-07-09,373.59,373.59,361.64,361.64,676.0
2014-07-10,360.69,363.08,360.69,360.69,306.0
2014-07-11,383.62,384.1,382.18,384.1,334.0
2014-07-14,358.78,370.72,358.78,361.16,81.0
2014-07-15,361.16,365.46,361.16,363.08,519.0
2014-07-16,352.57,372.63,352.57,352.57,620.0
2014-07-17,358.78,358.78,352.57,353.52,279.0
2014-07-18,353.52,362.12,353.52,362.12,100.0
2014-07-21,357.34,358.78,357.34,357.34,136.0
2014-07-22,353.04,353.04,353.04,353.04,50.0
2014-07-23,353.52,371.67,353.52,354.48,45.0
2014-07-24,366.9,366.9,363.08,363.08,45.0
2014-07-25,354.0,354.95,353.52,354.95,426.0
2014-07-28,354.48,354.48,354.48,354.48,142.0
2014-07-29,360.21,360.69,356.87,359.73,168.0
2014-07-30,359.73,361.16,358.3,361.16,433.0
2014-07-31,360.69,360.69,360.69,360.69,80.0
2014-08-01,359.73,359.73,346.83,346.83,1897.0
2014-08-04,358.78,365.46,354.0,354.0,160.0
2014-08-05,354.48,354.48,343.97,345.88,605.0
2014-08-06,345.88,352.09,343.97,352.09,830.0
2014-08-07,343.97,353.52,343.97,343.97,571.0
2014-08-08,343.01,343.01,312.91,339.19,2170.0
2014-08-11,339.19,339.19,334.41,335.37,1442.0
2014-08-12,334.41,335.37,332.5,335.37,1011.0
2014-08-13,339.19,352.09,320.08,336.32,2423.0
2014-08-14,317.69,317.69,286.64,310.53,7795.0
2014-08-15,311.48,315.3,307.66,310.53,3533.0
2014-08-18,306.7,309.09,292.37,298.58,9459.0
2014-08-19,296.67,308.14,296.67,303.84,282062.0
2014-08-20,296.67,306.7,296.67,306.7,549.0
2014-08-21,300.02,306.7,298.1,306.7,2870.0
2014-08-22,302.88,308.61,302.88,308.61,490.0
2014-08-25,305.75,313.87,305.75,313.87,728.0
2014-08-26,315.3,320.08,315.3,320.08,1806.0
2014-08-27,328.68,348.74,324.86,348.74,2483.0
2014-08-28,348.74,348.74,334.41,339.19,3276.0
2014-08-29,339.19,343.97,324.86,324.86,497.0
2014-09-01,334.41,334.41,332.02,332.02,362.0
2014-09-02,332.5,332.5,324.38,326.77,263.0
2014-09-03,329.63,334.41,328.68,333.46,263.0
2014-09-04,333.93,333.93,327.72,329.63,550.0
2014-09-05,333.46,337.76,333.46,333.46,15890.0
2014-09-08,329.63,332.5,307.66,324.86,690.0
2014-09-09,324.38,329.63,321.04,324.86,1952.0
2014-09-10,324.86,331.55,315.3,324.86,31166.0
2014-09-11,324.86,329.63,324.86,329.63,639.0
2014-09-12,325.81,328.68,324.86,328.68,1078.0
2014-09-15,327.72,327.72,324.86,324.86,925.0
2014-09-16,328.68,328.68,324.86,324.86,1074.0
2014-09-17,326.77,326.77,324.86,325.81,1046.0
2014-09-18,324.86,326.77,324.86,324.86,301.0
2014-09-19,324.86,324.86,324.86,324.86,1773.0
2014-09-22,316.26,325.33,316.26,316.26,9687.0
2014-09-23,317.69,320.08,317.69,320.08,232.0
2014-09-24,317.21,317.21,310.53,315.3,1368.0
2014-09-25,317.69,318.65,317.69,318.65,3438.0
2014-09-26,315.3,315.3,315.3,315.3,43.0
2014-09-29,315.3,315.3,293.33,304.79,1363.0
2014-09-30,304.31,304.79,303.84,303.84,1361.0
2014-10-01,303.84,303.84,300.97,302.88,451.0
2014-10-02,302.88,302.88,300.02,300.97,2178.0
2014-10-03,301.93,305.75,301.93,305.75,530.0
2014-10-06,303.84,314.82,303.84,305.75,8346.0
2014-10-07,303.84,307.66,303.84,305.75,10777.0
2014-10-08,314.82,314.82,301.93,301.93,538.0
2014-10-09,304.79,304.79,300.97,300.97,228.0
2014-10-10,298.1,300.97,292.37,292.37,1775.0
2014-10-13,286.64,292.37,286.64,291.42,1047.0
2014-10-14,286.64,299.54,286.64,299.06,744.0
2014-10-15,300.25,300.25,296.19,296.19,17165.0
2014-10-16,296.19,296.19,286.64,286.64,2314.0
2014-10-17,296.19,297.15,287.12,292.37,910.0
2014-10-20,296.19,296.19,289.51,289.51,1671.0
2014-10-21,295.24,295.72,289.51,295.24,1400.0
2014-10-22,292.37,296.19,292.37,292.37,1041.0
2014-10-23,292.37,295.24,292.37,292.37,1668.0
2014-10-24,291.42,291.42,289.51,289.51,1719.0
2014-10-27,291.42,291.42,277.56,286.64,1539.0
2014-10-28,286.64,291.42,280.91,291.42,39675.0
2014-10-29,296.19,317.69,296.19,317.69,1270.0
2014-10-30,317.69,323.9,317.69,323.9,1288.0
2014-10-31,315.3,315.3,314.35,314.35,160.0
2014-11-03,307.66,313.39,300.97,313.39,1407.0
2014-11-04,329.63,343.97,329.63,334.41,4528.0
2014-11-05,335.37,353.52,335.37,346.83,3534.0
2014-11-06,343.97,343.97,338.23,338.23,632.0
2014-11-07,336.32,341.1,327.25,338.23,1155.0
2014-11-10,344.92,351.13,344.92,347.79,5963.0
2014-11-11,351.61,352.57,347.79,347.79,3464.0
2014-11-12,353.04,353.04,345.4,347.79,1470.0
2014-11-13,352.57,354.48,348.74,349.22,2728.0
2014-11-14,348.74,348.74,333.93,348.27,876.0
2014-11-17,362.12,362.12,353.04,357.82,1501.0
2014-11-18,357.82,363.08,356.87,359.73,3971.0
2014-11-19,362.12,362.12,351.61,358.3,682.0
2014-11-20,352.57,352.57,351.61,352.57,903.0
2014-11-21,353.52,360.21,348.74,357.82,2018.0
2014-11-24,357.82,357.82,350.18,350.65,1292.0
2014-11-25,347.79,350.18,337.28,348.74,22705.0
2014-11-26,347.79,347.79,338.23,339.19,1805.0
2014-11-27,339.19,341.1,334.41,340.14,1324.0
2014-11-28,340.14,343.49,334.41,337.28,1014.0
2014-12-01,337.28,339.19,337.28,337.28,320.0
2014-12-02,331.07,335.84,330.59,330.59,644.0
2014-12-03,338.71,338.71,325.33,328.68,2459.0
2014-12-04,324.86,327.25,322.47,325.33,5520.0
2014-12-05,328.2,331.55,324.86,324.86,3674.0
2014-12-08,324.86,338.71,324.86,338.71,1539.0
2014-12-09,336.32,336.32,331.07,334.41,2746.0
2014-12-10,335.37,340.14,335.37,340.14,4632.0
2014-12-11,339.19,345.4,338.71,345.4,10834.0
2014-12-12,344.92,344.92,339.67,340.14,1480.0
2014-12-15,341.58,342.06,339.19,339.19,2351.0
2014-12-16,339.67,340.14,339.19,339.19,665.0
2014-12-17,336.8,339.67,329.16,329.16,1885.0
2014-12-18,329.63,336.32,329.63,335.84,271.0
2014-12-19,334.41,343.01,334.41,342.06,6822.0
2014-12-22,340.14,343.97,340.14,342.06,1063.0
2014-12-23,340.14,340.14,335.84,338.23,972.0
2014-12-29,338.23,342.53,337.76,342.53,1511.0
2014-12-30,342.53,343.97,340.14,343.97,2708.0
