Date,Open,High,Low,Close,Volume
2010-01-04,2.86,2.86,2.85,2.85,15334.0
2010-01-05,2.87,2.87,2.8,2.85,23341.0
2010-01-07,2.82,2.85,2.82,2.85,28520.0
2010-01-08,2.86,2.91,2.85,2.85,75144.0
2010-01-11,2.86,2.9,2.86,2.9,16928.0
2010-01-12,2.95,3.03,2.95,3.03,33182.0
2010-01-13,3.03,3.11,3.03,3.11,19259.0
2010-01-14,3.11,3.16,3.05,3.16,56648.0
2010-01-15,3.12,3.12,3.12,3.12,31127.0
2010-01-18,3.12,3.12,3.09,3.1,3665.0
2010-01-19,3.09,3.1,3.09,3.1,4622.0
2010-01-20,3.12,3.12,3.09,3.12,15027.0
2010-01-21,3.12,3.12,3.12,3.12,15435.0
2010-01-22,3.12,3.19,3.06,3.18,48190.0
2010-01-25,3.19,3.19,3.19,3.19,1533.0
2010-01-26,3.19,3.24,3.19,3.24,417184.0
2010-01-27,3.34,3.34,3.24,3.24,0.0
2010-01-28,3.24,3.24,3.21,3.23,15791.0
2010-01-29,3.24,3.24,3.17,3.17,0.0
2010-02-01,3.26,3.26,3.17,3.17,0.0
2010-02-02,3.26,3.26,3.19,3.19,0.0
2010-02-03,3.22,3.22,3.22,3.22,6133.0
2010-02-04,3.23,3.23,3.22,3.23,15837.0
2010-02-05,3.19,3.19,3.19,3.19,12267.0
2010-02-08,3.21,3.21,3.1,3.11,19627.0
2010-02-09,3.15,3.27,3.15,3.19,32201.0
2010-02-10,3.26,3.26,3.21,3.21,18032.0
2010-02-11,3.17,3.17,3.08,3.13,147141.0
2010-02-12,3.24,3.24,3.15,3.15,22479.0
2010-02-15,3.14,3.14,3.1,3.1,4907.0
2010-02-16,3.14,3.16,3.13,3.13,6066.0
2010-02-17,3.16,3.16,3.16,3.16,9814.0
2010-02-18,3.21,3.21,3.14,3.14,0.0
2010-02-19,3.17,3.27,3.17,3.27,21875.0
2010-02-22,3.39,3.39,3.34,3.35,11132.0
2010-02-23,3.28,3.28,3.28,3.28,15794.0
2010-02-24,3.36,3.36,3.28,3.28,9200.0
2010-02-25,3.36,3.36,3.27,3.27,4477.0
2010-02-26,3.27,3.27,3.25,3.25,4416.0
2010-03-01,3.26,3.33,3.25,3.3,15150.0
2010-03-02,3.34,3.35,3.34,3.35,11785.0
2010-03-03,3.42,3.42,3.38,3.38,12267.0
2010-03-04,3.35,3.42,3.35,3.36,19259.0
2010-03-05,3.44,3.44,3.44,3.44,307.0
2010-03-08,3.44,3.48,3.39,3.48,13405.0
2010-03-09,3.51,3.51,3.48,3.48,61641.0
2010-03-10,3.51,3.51,3.44,3.5,310505.0
2010-03-11,3.44,3.44,3.44,3.44,77.0
2010-03-12,3.52,3.57,3.52,3.57,25515.0
2010-03-15,3.58,3.58,3.57,3.57,15334.0
2010-03-16,3.61,3.61,3.61,3.61,5520.0
2010-03-17,3.61,3.64,3.6,3.64,5367.0
2010-03-18,3.64,3.66,3.59,3.66,316792.0
2010-03-19,3.68,3.7,3.68,3.7,13494.0
2010-03-22,3.71,3.75,3.7,3.75,9081.0
2010-03-23,3.79,3.79,3.75,3.75,17174.0
2010-03-24,3.74,3.78,3.7,3.78,9660.0
2010-03-25,3.75,3.79,3.75,3.79,16165.0
2010-03-26,3.79,3.83,3.79,3.83,13926.0
2010-03-29,3.83,3.89,3.83,3.89,7645.0
2010-03-30,3.84,3.86,3.84,3.86,2760.0
2010-03-31,3.83,3.87,3.83,3.87,2407.0
2010-04-01,3.91,3.91,3.9,3.9,40.0
2010-04-06,3.89,3.89,3.86,3.86,3726.0
2010-04-07,3.82,3.82,3.82,3.82,1840.0
2010-04-08,3.88,3.88,3.8,3.8,0.0
2010-04-09,3.84,3.9,3.8,3.8,12273.0
2010-04-12,3.8,3.8,3.79,3.79,9445.0
2010-04-13,3.8,3.86,3.8,3.86,21921.0
2010-04-14,3.85,3.85,3.84,3.84,14070.0
2010-04-15,3.84,3.84,3.74,3.74,20792.0
2010-04-16,3.74,3.74,3.74,3.74,307.0
2010-04-19,3.77,3.77,3.77,3.77,2760.0
2010-04-20,3.77,3.77,3.77,3.77,920.0
2010-04-21,3.77,3.85,3.75,3.78,24015.0
2010-04-22,3.75,3.75,3.69,3.69,2760.0
2010-04-23,3.78,3.78,3.69,3.69,0.0
2010-04-26,3.68,3.68,3.66,3.66,22479.0
2010-04-27,3.64,3.65,3.57,3.6,18106.0
2010-04-28,3.57,3.57,3.44,3.51,23890.0
2010-04-29,3.44,3.57,3.44,3.57,38049.0
2010-04-30,4.06,4.16,4.01,4.16,18213.0
2010-05-03,4.16,4.31,4.16,4.22,43259.0
2010-05-04,4.22,4.24,4.22,4.22,6474.0
2010-05-05,4.28,4.28,4.22,4.22,26435.0
2010-05-06,4.06,4.06,4.06,4.06,613.0
2010-05-07,3.79,3.81,3.7,3.7,17174.0
2010-05-10,3.9,3.94,3.71,3.71,208687.0
2010-05-11,3.69,3.76,3.69,3.76,41971.0
2010-05-12,3.76,3.77,3.74,3.77,2177.0
2010-05-14,3.77,3.77,3.77,3.77,2147.0
2010-05-17,3.74,3.79,3.74,3.79,1349.0
2010-05-18,3.79,3.79,3.79,3.79,7421.0
2010-05-19,3.76,3.76,3.76,3.76,3067.0
2010-05-20,3.74,3.74,3.66,3.66,12494.0
