Date,Open,High,Low,Close,Volume
2017-10-12,28.03,30.83,25.62,30.15,380826.0
2017-10-13,30.83,36.61,30.15,33.62,181511.0
2017-10-16,34.1,34.39,30.63,33.52,71763.0
2017-10-17,33.52,33.52,29.0,29.86,49202.0
2017-10-18,30.35,31.89,29.86,31.89,9076.0
2017-10-19,31.89,32.18,30.15,30.35,12258.0
2017-10-20,31.31,31.69,30.35,31.6,23286.0
2017-10-23,32.27,32.27,31.02,31.79,3452.0
2017-10-24,31.79,31.79,31.12,31.6,12072.0
2017-10-25,31.31,34.49,31.02,34.49,27589.0
2017-10-26,35.74,43.35,35.74,42.39,114617.0
2017-10-27,40.46,44.22,38.53,41.33,82071.0
2017-10-30,41.91,47.11,39.69,46.24,105342.0
2017-10-31,46.63,53.71,45.76,50.58,140139.0
2017-11-01,50.82,61.41,50.82,60.93,81523.0
2017-11-02,61.89,63.82,52.98,60.69,87282.0
2017-11-03,59.73,60.69,57.08,58.04,15350.0
2017-11-06,58.04,58.52,53.22,53.47,26276.0
2017-11-07,54.43,57.8,51.54,57.56,20421.0
2017-11-08,58.04,58.04,53.22,53.95,16482.0
2017-11-09,54.67,54.67,48.17,51.06,35590.0
2017-11-10,50.09,50.09,45.28,47.3,55760.0
2017-11-13,48.17,48.17,42.1,42.1,36315.0
2017-11-14,42.19,44.51,41.71,44.22,37367.0
2017-11-15,44.22,48.17,42.39,44.6,16059.0
2017-11-16,45.18,46.53,43.35,46.53,10651.0
2017-11-17,48.65,52.02,42.87,43.25,50982.0
2017-11-20,43.45,47.11,41.13,45.85,48296.0
2017-11-21,46.24,47.01,41.91,42.0,37112.0
2017-11-22,41.71,42.68,39.5,39.59,38814.0
2017-11-23,40.75,43.25,39.98,42.39,14992.0
2017-11-24,43.35,47.2,42.87,44.7,19122.0
2017-11-27,44.7,49.13,44.7,46.72,13806.0
2017-11-28,48.17,49.13,45.37,46.24,18743.0
2017-11-29,45.85,46.91,45.28,45.76,5563.0
2017-11-30,45.95,48.17,45.37,45.57,11179.0
2017-12-01,45.57,45.66,43.93,44.89,11755.0
2017-12-04,45.37,46.24,44.51,44.8,6110.0
2017-12-05,45.18,45.57,43.35,45.18,5519.0
2017-12-06,43.93,45.08,43.35,44.51,6001.0
2017-12-07,44.51,46.72,44.51,45.47,13518.0
2017-12-08,45.47,47.01,44.51,46.14,10222.0
2017-12-11,46.43,46.63,45.08,45.28,10667.0
2017-12-12,46.05,46.24,45.37,45.95,2825.0
2017-12-13,46.05,47.2,44.41,45.18,10292.0
2017-12-14,45.28,45.66,44.31,45.37,7645.0
2017-12-15,45.37,46.24,42.96,45.28,7239.0
2017-12-18,45.76,45.76,42.39,42.87,9573.0
2017-12-19,42.19,42.87,42.1,42.19,3952.0
2017-12-20,42.77,42.77,41.04,41.33,5858.0
2017-12-21,42.48,42.48,40.94,40.94,5981.0
2017-12-22,42.29,42.29,38.44,38.63,13364.0
2017-12-27,38.53,39.5,38.05,38.24,5422.0
2017-12-28,39.21,39.21,37.57,38.73,11040.0
2017-12-29,39.4,41.23,38.73,40.94,4581.0
2018-01-02,40.94,42.39,38.53,39.5,10566.0
2018-01-03,39.5,39.5,37.77,38.71,2820.0
2018-01-04,38.92,41.42,38.53,41.42,3852.0
2018-01-05,41.42,41.42,40.46,41.42,1921.0
2018-01-08,41.42,42.39,39.7,42.39,7700.0
2018-01-09,41.62,43.35,39.98,43.15,7519.0
2018-01-10,42.87,42.87,41.71,42.38,3109.0
2018-01-11,42.87,43.35,39.5,40.56,4941.0
2018-01-12,40.47,44.55,37.57,44.51,30094.0
2018-01-15,44.12,48.07,42.44,46.75,16172.0
2018-01-16,47.59,49.6,46.75,47.3,11801.0
2018-01-17,47.3,48.17,46.24,47.2,12713.0
2018-01-18,47.21,47.21,46.34,47.2,3920.0
2018-01-19,47.88,50.58,47.69,50.09,9174.0
2018-01-22,51.06,53.66,49.12,52.98,18942.0
2018-01-23,53.95,55.87,53.85,54.53,9238.0
2018-01-24,55.87,55.87,51.06,54.91,20802.0
2018-01-25,54.91,54.91,51.06,52.03,22351.0
2018-01-26,50.09,51.07,50.09,50.57,6176.0
2018-01-29,50.58,53.27,50.58,52.42,2921.0
2018-01-30,52.42,53.95,51.08,53.95,16356.0
2018-01-31,52.98,57.8,52.98,55.89,22324.0
2018-02-01,55.87,55.87,52.02,53.08,11956.0
2018-02-02,54.53,54.53,52.02,52.98,4079.0
2018-02-05,51.88,51.89,46.94,47.35,22092.0
2018-02-06,45.28,46.24,42.39,46.05,17726.0
2018-02-07,46.09,51.35,46.09,48.91,10803.0
2018-02-08,48.91,49.87,47.3,48.17,7700.0
2018-02-09,47.2,48.65,46.24,47.69,3483.0
2018-02-12,47.21,49.05,47.21,48.03,5552.0
2018-02-13,48.65,48.65,48.03,48.03,831.0
2018-02-14,49.09,49.09,47.98,49.02,1277.0
2018-02-15,47.88,48.65,47.88,48.46,2086.0
2018-02-16,48.55,48.65,47.21,47.21,1924.0
2018-02-19,48.14,48.4,48.14,48.4,2346.0
2018-02-20,48.39,48.39,45.95,46.87,3927.0
2018-02-21,46.82,48.17,46.82,47.21,3960.0
2018-02-22,46.82,47.11,46.34,47.11,1348.0
2018-02-23,47.11,47.11,45.86,45.86,7783.0
2018-02-26,45.86,47.2,45.86,46.91,2671.0
2018-02-27,46.34,46.34,45.76,46.34,1208.0
2018-02-28,44.8,49.6,44.31,46.53,24326.0
2018-03-01,45.85,46.09,44.02,45.28,12633.0
2018-03-02,44.33,45.57,43.35,45.57,31387.0
2018-03-05,46.09,46.09,44.51,45.18,3610.0
2018-03-06,44.99,46.09,44.41,44.6,12030.0
2018-03-07,44.6,45.56,44.51,44.81,10680.0
2018-03-08,43.83,45.28,43.83,44.99,10673.0
2018-03-09,44.31,49.52,43.83,44.82,16250.0
2018-03-12,45.27,45.28,44.43,45.28,1540.0
2018-03-13,46.05,49.13,46.05,46.32,15238.0
2018-03-14,46.24,46.96,45.28,46.24,4795.0
2018-03-15,47.09,53.95,46.25,52.98,14085.0
2018-03-16,52.5,52.98,51.06,52.98,5481.0
2018-03-19,53.08,53.1,52.02,52.02,738.0
2018-03-20,51.56,51.56,49.56,50.19,1858.0
2018-03-21,49.13,52.59,48.72,52.01,2009.0
2018-03-22,52.02,56.36,52.02,54.42,8370.0
2018-03-23,54.43,54.43,52.51,53.32,2580.0
2018-03-26,51.18,58.75,51.18,52.79,6346.0
2018-03-27,54.1,54.9,53.13,53.78,3594.0
2018-03-28,55.1,59.73,54.56,54.56,10741.0
2018-03-29,56.35,56.36,55.88,56.26,2426.0
2018-04-03,56.24,59.73,53.97,59.53,26868.0
2018-04-04,59.73,66.36,59.73,64.78,29834.0
2018-04-05,65.51,68.88,62.87,63.82,22718.0
2018-04-06,63.82,69.36,61.65,69.36,25297.0
2018-04-09,69.37,77.06,69.37,72.73,14888.0
2018-04-10,72.73,79.95,71.29,75.14,16903.0
2018-04-11,75.33,78.51,75.33,76.6,22325.0
2018-04-12,78.5,78.5,69.36,73.7,19792.0
2018-04-13,74.18,81.88,74.18,76.09,11376.0
2018-04-16,76.09,76.58,74.18,74.55,6049.0
2018-04-17,76.1,77.04,74.66,77.03,5123.0
2018-04-18,77.07,77.21,74.66,77.07,2373.0
2018-04-19,78.04,82.84,77.55,79.0,22073.0
2018-04-20,79.09,96.33,78.99,92.26,29140.0
2018-04-23,91.32,108.38,84.77,104.04,29151.0
2018-04-24,103.15,104.04,96.33,98.76,28366.0
2018-04-25,98.24,113.67,93.26,112.61,32123.0
2018-04-26,113.19,113.19,102.11,104.75,28446.0
2018-04-27,104.04,104.04,86.83,94.74,56399.0
2018-04-30,94.65,94.65,86.69,93.34,10981.0
2018-05-02,93.3,98.26,87.71,93.68,22504.0
2018-05-03,93.68,94.38,86.8,88.81,16695.0
2018-05-04,88.8,92.84,81.94,81.96,16684.0
2018-05-07,81.97,88.87,81.96,84.5,5618.0
2018-05-08,83.81,84.15,80.44,81.03,7625.0
2018-05-09,81.55,93.44,81.55,90.55,5138.0
2018-05-11,90.66,90.66,88.25,90.4,7162.0
2018-05-14,91.04,91.04,82.45,84.76,14831.0
2018-05-15,84.76,84.76,80.93,83.29,5430.0
2018-05-16,83.28,83.28,77.07,79.0,21530.0
2018-05-17,81.11,81.76,78.03,80.23,2935.0
2018-05-18,79.0,81.69,78.99,81.69,2929.0
2018-05-21,81.69,81.82,79.06,81.16,2377.0
2018-05-22,81.15,81.88,79.29,81.87,1594.0
2018-05-23,81.88,83.62,81.07,83.62,3130.0
2018-05-24,84.29,91.04,84.29,91.04,9764.0
2018-05-25,91.52,94.89,89.58,90.55,7553.0
2018-05-28,90.56,94.34,87.97,89.82,7518.0
2018-05-29,89.82,89.82,83.81,87.45,2964.0
2018-05-30,87.45,90.06,81.53,88.61,3154.0
2018-05-31,85.24,88.54,84.29,84.29,1469.0
2018-06-01,80.92,90.07,80.92,87.41,1669.0
2018-06-04,87.18,90.04,85.74,88.61,2943.0
2018-06-05,88.61,88.63,86.72,88.15,1497.0
2018-06-06,88.15,88.15,88.15,88.15,0.0
2018-06-07,88.15,93.43,85.74,91.34,5051.0
2018-06-08,91.52,94.99,91.52,93.45,12373.0
2018-06-11,93.44,93.44,92.0,93.15,3498.0
2018-06-12,94.41,96.33,93.44,95.34,4245.0
2018-06-13,96.33,103.06,96.33,99.61,4554.0
2018-06-14,99.22,99.22,96.33,97.49,3934.0
2018-06-15,97.51,98.18,94.7,95.37,2802.0
2018-06-18,93.45,95.36,86.81,89.59,5751.0
2018-06-19,89.59,90.54,87.1,88.82,2730.0
2018-06-20,88.82,95.37,87.11,95.18,6878.0
2018-06-21,95.37,100.67,95.37,97.74,7191.0
2018-06-22,97.74,97.74,97.74,97.74,0.0
2018-06-25,98.18,99.22,92.64,95.27,1882.0
2018-06-26,94.42,101.15,94.42,96.33,1722.0
2018-06-27,99.96,99.96,97.05,98.32,2101.0
2018-06-28,100.17,100.38,98.26,99.65,3182.0
2018-06-29,99.69,99.69,94.5,96.91,3280.0
2018-07-02,97.3,98.93,94.4,95.37,1946.0
2018-07-03,95.62,98.82,94.99,98.8,1097.0
2018-07-04,98.59,101.13,97.59,100.15,2444.0
2018-07-05,99.92,103.08,96.83,99.01,2310.0
2018-07-06,100.19,113.67,99.01,106.41,11492.0
2018-07-09,106.41,120.42,106.41,113.58,9892.0
2018-07-10,113.67,120.42,109.82,112.23,9994.0
2018-07-11,112.23,113.67,110.32,112.71,4300.0
2018-07-12,115.2,120.38,113.89,119.45,6854.0
2018-07-13,119.43,119.43,114.64,116.56,5256.0
2018-07-16,117.05,133.9,116.58,124.27,9169.0
2018-07-17,124.25,144.5,124.25,130.01,10554.0
2018-07-18,129.11,129.11,125.23,127.16,5190.0
2018-07-19,129.01,138.26,129.01,134.35,12327.0
2018-07-20,134.87,143.54,134.87,140.63,13092.0
2018-07-23,140.07,143.54,130.61,136.79,14160.0
2018-07-24,139.16,139.16,131.03,133.38,8610.0
2018-07-25,133.37,133.37,125.25,126.1,17097.0
2018-07-26,125.25,134.85,125.23,132.94,6544.0
2018-07-27,132.94,137.76,131.86,136.77,3964.0
2018-07-30,136.77,136.89,133.42,136.27,6403.0
2018-07-31,136.26,136.26,131.01,134.25,6788.0
2018-08-01,134.25,152.19,134.25,138.68,8523.0
2018-08-02,138.72,138.72,133.42,137.14,5163.0
2018-08-03,138.26,138.72,135.81,138.66,5921.0
2018-08-06,138.7,138.72,133.92,134.02,3793.0
2018-08-07,134.87,134.87,133.92,134.75,1886.0
2018-08-08,134.75,134.75,131.55,133.85,5250.0
2018-08-09,133.88,133.88,126.78,128.61,4744.0
2018-08-10,128.59,128.59,119.47,122.31,9396.0
2018-08-13,122.31,130.88,119.51,128.49,2656.0
2018-08-14,129.66,129.66,121.57,125.23,3087.0
2018-08-15,122.34,125.04,120.61,123.69,3276.0
2018-08-16,125.04,127.16,125.04,126.2,1977.0
2018-08-17,127.35,129.47,122.54,128.12,1672.0
2018-08-20,128.12,128.12,123.31,126.97,1131.0
2018-08-21,123.11,127.55,122.54,124.66,1294.0
2018-08-22,125.04,125.23,120.42,121.57,2794.0
2018-08-23,120.61,122.15,114.83,118.11,6704.0
2018-08-24,118.3,118.3,113.67,114.64,2974.0
2018-08-27,121.77,124.66,115.79,119.07,1946.0
2018-08-28,119.26,119.26,108.09,111.75,10107.0
2018-08-29,112.71,120.22,105.58,107.51,10233.0
2018-08-30,107.51,107.51,96.53,102.11,31338.0
2018-08-31,101.92,114.64,98.45,114.64,14517.0
2018-09-03,114.64,120.42,113.67,118.49,5782.0
2018-09-04,119.26,119.26,112.32,117.91,8155.0
2018-09-05,118.49,123.31,114.64,122.34,3234.0
2018-09-06,122.73,122.92,119.26,122.92,1942.0
2018-09-07,122.92,123.11,117.53,120.8,12241.0
2018-09-10,120.61,122.34,112.71,115.41,5293.0
2018-09-11,115.41,116.37,114.64,115.6,2554.0
2018-09-12,115.6,115.6,112.9,114.64,2498.0
2018-09-13,114.44,114.44,112.52,113.29,2778.0
2018-09-14,113.29,125.04,113.1,125.04,7707.0
2018-09-17,125.04,131.98,120.61,124.85,3507.0
2018-09-18,123.31,124.66,118.68,121.96,2272.0
2018-09-19,120.42,129.09,120.42,123.69,1738.0
2018-09-20,121.77,123.11,116.18,117.53,11921.0
2018-09-21,115.41,115.6,110.78,114.64,5263.0
2018-09-24,113.48,119.26,109.82,119.07,9577.0
2018-09-25,119.07,120.03,115.21,120.03,2801.0
2018-09-26,120.03,125.23,115.6,121.96,1969.0
2018-09-27,122.15,122.15,115.41,116.56,3571.0
2018-09-28,119.07,120.22,113.67,117.33,1955.0
2018-10-01,117.53,117.53,110.98,117.33,5848.0
2018-10-02,115.99,117.33,112.71,116.37,2675.0
2018-10-03,113.87,116.18,113.67,113.67,823.0
2018-10-04,113.48,116.37,112.32,115.21,3007.0
2018-10-05,116.37,116.37,112.71,115.99,4649.0
2018-10-08,116.37,116.37,111.17,113.29,1371.0
2018-10-09,113.67,115.41,109.82,111.17,4332.0
2018-10-10,110.98,112.71,101.92,103.08,13122.0
2018-10-11,102.11,102.11,95.66,97.3,9016.0
2018-10-12,96.53,107.89,94.6,107.32,11952.0
2018-10-15,107.32,107.32,103.65,106.93,2737.0
2018-10-16,105.97,106.93,101.54,106.74,4436.0
2018-10-17,106.74,107.89,103.08,105.58,1314.0
2018-10-18,105.39,105.39,102.11,103.46,3264.0
2018-10-19,103.08,103.27,97.88,101.54,1483.0
2018-10-22,104.43,106.16,102.11,102.11,3398.0
2018-10-23,102.31,102.31,96.33,98.65,4616.0
