Date,Open,High,Low,Close,Volume
2019-04-10,4.12,5.4,4.12,5.4,116186.0
2019-04-11,5.4,6.8,5.4,5.6,85749.0
2019-04-12,5.6,5.85,5.2,5.7,25266.0
2019-04-15,5.75,6.3,5.65,6.05,43253.0
2019-04-16,6.05,6.2,5.9,6.0,9988.0
2019-04-17,5.95,6.0,5.6,6.0,11367.0
2019-04-18,5.95,5.95,5.6,5.8,6931.0
2019-04-23,5.8,6.0,5.8,5.95,7658.0
2019-04-24,5.95,5.95,5.35,5.55,8303.0
2019-04-25,5.5,5.8,5.5,5.7,3549.0
2019-04-26,5.75,6.1,5.0,5.35,36927.0
2019-04-29,5.35,5.35,5.0,5.0,3766.0
2019-04-30,5.0,5.5,5.0,5.5,6215.0
2019-05-02,5.35,5.35,5.05,5.15,7947.0
2019-05-03,5.0,5.5,4.96,4.96,13404.0
2019-05-06,4.96,5.35,4.96,5.2,57691.0
2019-05-07,5.35,6.0,5.3,5.9,37837.0
2019-05-08,5.85,5.85,5.4,5.4,18103.0
2019-05-09,5.4,5.4,5.25,5.35,6046.0
2019-05-10,5.35,5.35,4.8,4.88,7120.0
2019-05-13,4.88,4.88,4.64,4.64,5063.0
2019-05-14,4.5,4.7,4.5,4.68,21410.0
2019-05-15,4.68,4.68,4.52,4.52,24402.0
2019-05-16,4.64,4.64,4.48,4.48,15520.0
2019-05-17,4.5,6.3,4.5,5.3,70627.0
2019-05-20,5.3,5.75,4.72,4.8,29130.0
2019-05-21,4.78,5.0,4.78,5.0,2469.0
2019-05-22,4.92,4.92,4.64,4.64,11835.0
2019-05-23,4.64,4.84,4.64,4.7,380.0
2019-05-24,4.7,4.88,4.52,4.88,12736.0
2019-05-27,4.86,4.88,4.64,4.64,36038.0
2019-05-28,4.64,4.94,4.38,4.94,43869.0
2019-05-29,4.94,4.94,4.94,4.94,20.0
2019-05-31,4.94,5.35,4.9,5.3,46667.0
2019-06-03,5.1,5.1,4.56,4.68,17132.0
2019-06-04,4.7,5.1,4.68,4.92,40929.0
2019-06-05,4.84,4.84,4.32,4.5,44400.0
2019-06-07,4.66,6.2,4.66,5.8,169352.0
2019-06-11,5.6,6.0,5.4,6.0,135683.0
2019-06-12,5.8,5.95,5.5,5.75,43841.0
2019-06-13,5.75,5.75,5.2,5.2,23930.0
2019-06-14,5.1,5.9,5.1,5.9,134944.0
2019-06-18,5.95,6.0,5.55,5.8,15290.0
2019-06-19,5.7,5.95,5.65,5.8,40574.0
2019-06-20,5.8,5.95,5.75,5.75,26092.0
2019-06-24,5.6,5.8,5.6,5.6,86392.0
2019-06-25,5.8,5.95,5.7,5.7,38126.0
2019-06-26,5.75,6.2,5.7,5.8,53830.0
2019-06-27,5.8,5.85,5.65,5.85,26941.0
2019-06-28,5.85,5.85,5.7,5.85,38320.0
2019-07-01,6.0,6.0,5.7,5.7,32254.0
2019-07-02,5.65,5.95,5.1,5.95,40040.0
2019-07-03,5.65,5.95,5.4,5.75,60585.0
2019-07-04,5.75,5.75,5.6,5.6,1120.0
2019-07-05,5.6,5.95,5.35,5.95,46115.0
2019-07-08,5.9,5.9,5.5,5.7,1607.0
2019-07-09,5.65,5.7,5.5,5.5,13260.0
2019-07-10,5.5,5.55,5.5,5.5,157.0
2019-07-11,5.5,5.5,5.5,5.5,3310.0
2019-07-12,5.5,5.5,5.0,5.4,31040.0
2019-07-15,5.25,5.4,5.2,5.2,225.0
2019-07-16,5.2,5.95,5.0,5.95,166357.0
2019-07-17,5.95,6.0,5.8,5.95,65059.0
2019-07-18,5.9,5.9,5.6,5.6,11518.0
2019-07-19,5.45,5.65,5.45,5.65,867.0
2019-07-22,5.45,5.95,5.45,5.95,13234.0
2019-07-23,5.9,5.95,5.8,5.8,5380.0
2019-07-24,5.7,6.0,5.6,5.75,20284.0
2019-07-25,5.9,5.95,5.25,5.4,34566.0
2019-07-26,5.4,5.4,5.4,5.4,0.0
2019-07-29,5.25,5.45,5.05,5.35,15301.0
2019-07-30,5.35,5.5,5.3,5.4,1550.0
2019-07-31,5.3,5.5,5.1,5.1,14895.0
2019-08-01,5.1,5.25,5.0,5.0,22951.0
2019-08-02,5.0,5.7,5.0,5.45,34287.0
2019-08-06,4.84,5.0,4.84,5.0,5028.0
2019-08-07,5.0,5.0,5.0,5.0,10000.0
2019-08-08,5.0,5.0,5.0,5.0,4299.0
2019-08-09,4.82,4.82,4.82,4.82,474.0
2019-08-12,4.82,4.82,4.7,4.7,1085.0
2019-08-13,4.76,4.76,4.54,4.54,2238.0
2019-08-14,4.54,4.54,4.0,4.0,109525.0
2019-08-15,4.08,4.1,4.0,4.1,8016.0
2019-08-16,4.1,4.18,4.1,4.18,1400.0
2019-08-19,4.12,4.44,4.12,4.2,15230.0
2019-08-20,4.46,4.8,4.46,4.7,13744.0
2019-08-21,4.8,4.9,4.8,4.82,8082.0
2019-08-22,4.96,5.0,4.86,4.86,7477.0
2019-08-23,4.86,5.0,4.86,4.9,16373.0
2019-08-26,4.8,4.8,4.7,4.76,18010.0
2019-08-27,4.5,4.5,3.6,3.8,48618.0
2019-08-28,3.8,3.8,3.36,3.46,21359.0
2019-08-29,3.36,3.42,3.04,3.14,11889.0
2019-08-30,3.14,3.14,2.86,2.9,29531.0
2019-09-02,2.92,2.96,2.52,2.7,62501.0
2019-09-03,2.7,2.86,2.7,2.84,8855.0
2019-09-04,2.76,2.76,2.5,2.68,147533.0
2019-09-05,2.66,2.7,2.5,2.62,75653.0
2019-09-06,3.14,3.98,3.14,3.64,185684.0
2019-09-09,3.7,3.72,3.58,3.58,36030.0
2019-09-10,3.58,3.58,3.3,3.3,25151.0
2019-09-11,3.4,3.42,3.22,3.4,61354.0
2019-09-12,3.32,3.32,3.06,3.06,14150.0
2019-09-13,3.16,3.2,3.08,3.08,28506.0
2019-09-16,3.12,3.14,2.98,3.06,12666.0
2019-09-17,3.06,3.06,3.04,3.06,13552.0
2019-09-18,3.08,3.08,3.06,3.08,3321.0
2019-09-19,2.98,3.08,2.98,3.08,2062.0
2019-09-20,3.02,3.08,2.98,2.98,3334.0
2019-09-23,2.98,2.98,2.72,2.78,15800.0
2019-09-24,2.78,2.78,2.72,2.78,13000.0
2019-09-25,2.78,3.06,2.68,3.06,82853.0
