Date,Open,High,Low,Close,Volume
2016-10-12,16.5,22.0,15.3,19.3,113904.0
2016-10-13,19.3,19.5,18.0,18.8,15907.0
2016-10-14,19.0,19.5,18.4,18.7,33273.0
2016-10-17,18.0,18.4,17.0,17.9,27259.0
2016-10-18,18.0,18.8,18.0,18.8,15978.0
2016-10-19,18.7,19.0,18.0,18.9,18991.0
2016-10-20,18.9,21.9,18.7,21.9,39287.0
2016-10-21,22.0,22.9,19.8,20.7,29987.0
2016-10-24,20.0,21.8,18.0,21.8,34502.0
2016-10-25,21.9,22.0,21.0,21.0,9260.0
2016-10-26,20.8,20.8,20.0,20.0,18450.0
2016-10-27,20.8,20.8,20.0,20.1,21530.0
2016-10-28,20.0,20.1,19.7,19.8,29632.0
2016-10-31,19.6,20.5,19.6,20.1,8806.0
2016-11-01,20.2,20.3,19.6,19.6,12783.0
2016-11-02,19.6,19.8,18.1,18.1,12530.0
2016-11-03,18.2,18.7,18.0,18.5,5186.0
2016-11-04,17.9,18.5,17.9,18.3,5119.0
2016-11-07,17.8,17.8,16.0,16.3,15852.0
2016-11-08,16.4,16.5,16.2,16.4,6208.0
2016-11-09,15.8,22.2,15.4,16.2,12618.0
2016-11-10,16.5,19.5,16.5,17.5,10037.0
2016-11-11,17.2,19.8,16.9,19.8,9941.0
2016-11-14,19.8,19.8,18.8,19.5,3252.0
2016-11-15,19.1,19.1,19.0,19.0,2188.0
2016-11-16,19.0,19.3,19.0,19.2,1116.0
2016-11-17,19.0,19.0,18.8,19.0,15554.0
2016-11-18,19.0,19.1,17.2,18.0,4846.0
2016-11-21,18.0,18.5,18.0,18.5,1545.0
2016-11-22,18.5,21.0,18.5,20.9,19923.0
2016-11-23,21.0,22.5,20.9,22.5,11757.0
2016-11-24,22.5,23.2,21.6,21.6,4813.0
2016-11-25,21.0,23.5,20.0,22.6,18253.0
2016-11-28,22.6,26.0,22.6,25.5,21647.0
2016-11-29,26.5,27.5,25.5,26.3,22918.0
2016-11-30,27.0,27.4,26.2,26.9,8118.0
2016-12-01,26.5,27.0,21.9,24.5,63026.0
2016-12-02,24.5,26.7,24.2,26.7,21408.0
2016-12-05,26.5,26.5,23.4,24.1,9441.0
2016-12-06,24.0,24.0,22.7,22.7,10816.0
2016-12-07,23.7,23.7,21.0,21.9,8547.0
2016-12-08,22.0,22.2,21.0,21.5,9302.0
2016-12-09,21.8,27.5,21.8,26.0,24072.0
2016-12-12,26.0,28.0,25.0,25.8,23053.0
2016-12-13,25.1,25.5,24.1,25.5,6743.0
2016-12-14,25.5,25.5,24.7,25.0,3238.0
2016-12-15,25.5,26.0,24.8,25.5,25642.0
2016-12-16,25.9,26.0,24.6,24.6,7258.0
2016-12-19,24.8,27.8,24.2,27.0,8976.0
2016-12-20,27.5,27.5,25.0,26.0,17450.0
2016-12-21,25.0,26.0,24.5,24.8,18920.0
2016-12-22,25.1,26.5,24.6,25.7,11259.0
2016-12-23,26.0,26.7,24.1,24.5,25067.0
2016-12-27,26.0,26.0,24.1,24.6,7991.0
2016-12-28,24.1,24.5,23.2,24.0,5199.0
2016-12-29,24.0,24.5,22.6,23.4,10272.0
2016-12-30,23.3,23.7,23.1,23.7,5520.0
2017-01-02,23.3,24.4,23.3,24.3,1196.0
2017-01-03,23.5,25.5,23.5,24.4,10346.0
2017-01-04,24.4,24.9,23.8,23.8,3738.0
2017-01-05,23.8,24.0,23.8,23.8,350.0
2017-01-09,23.9,24.4,23.1,23.5,6143.0
2017-01-10,23.0,24.4,23.0,24.4,4941.0
2017-01-11,24.4,25.5,24.0,24.0,3773.0
2017-01-12,24.0,27.0,23.6,27.0,7810.0
2017-01-13,25.5,25.9,23.9,25.2,4709.0
2017-01-16,26.0,26.0,24.0,25.2,7527.0
2017-01-17,24.7,24.7,23.2,24.3,6983.0
2017-01-18,24.5,24.5,23.2,23.8,6339.0
2017-01-19,23.8,24.0,23.6,23.6,3918.0
2017-01-20,23.6,24.0,23.5,24.0,340.0
2017-01-23,24.0,26.3,23.5,24.1,12067.0
2017-01-24,25.0,25.0,23.7,24.0,4439.0
2017-01-25,23.9,24.0,23.9,23.9,2060.0
2017-01-26,24.5,24.8,23.5,24.0,19654.0
2017-01-27,23.0,24.5,23.0,23.9,8891.0
2017-01-30,22.6,24.4,22.6,23.7,1273.0
2017-01-31,23.4,25.0,23.2,25.0,12865.0
