Date,Open,High,Low,Close,Volume
2010-01-04,2.26,2.45,2.26,2.45,2370.0
2010-01-07,2.44,2.45,2.44,2.45,8000.0
2010-01-11,2.35,2.35,2.35,2.35,8000.0
2010-01-12,2.35,2.35,2.35,2.35,3750.0
2010-01-13,2.52,2.52,2.45,2.45,4000.0
2010-01-15,2.54,2.54,2.54,2.54,740.0
2010-01-18,2.5,2.64,2.5,2.64,14000.0
2010-01-19,2.64,3.06,2.59,3.06,7000.0
2010-01-21,2.64,2.64,2.64,2.64,500.0
2010-01-22,2.59,2.59,2.59,2.59,1001.0
2010-01-26,2.54,2.54,2.54,2.54,8000.0
2010-01-28,2.92,3.2,2.65,2.65,8760.0
2010-02-01,2.59,2.59,2.59,2.59,1318.0
2010-02-02,2.64,2.64,2.64,2.64,4381.0
2010-02-03,2.73,2.82,2.73,2.82,3328.0
2010-02-04,2.82,2.82,2.82,2.82,3000.0
2010-02-09,2.45,2.82,2.45,2.82,8300.0
2010-02-10,2.64,2.64,2.64,2.64,1000.0
2010-02-12,2.59,2.59,2.59,2.59,8.0
2010-02-15,2.63,2.63,2.63,2.63,3500.0
2010-02-16,2.59,2.59,2.59,2.59,3000.0
2010-02-17,2.64,2.64,2.64,2.64,1070.0
2010-02-22,2.54,3.2,2.5,3.2,9000.0
2010-02-23,3.06,3.06,3.06,3.06,200.0
2010-02-25,2.87,2.87,2.87,2.87,2900.0
2010-03-01,2.55,2.55,2.35,2.35,4000.0
2010-03-02,2.35,2.54,2.35,2.35,10500.0
2010-03-05,2.31,2.54,2.31,2.54,8762.0
2010-03-08,2.59,2.59,2.59,2.59,360.0
2010-03-09,2.43,2.54,2.41,2.54,33250.0
2010-03-10,2.43,2.54,2.43,2.54,8000.0
2010-03-11,2.41,2.41,2.41,2.41,3000.0
2010-03-16,2.67,2.67,2.5,2.5,8000.0
2010-03-17,2.68,2.68,2.68,2.68,4260.0
2010-03-18,2.7,2.71,2.7,2.7,3500.0
2010-03-19,2.7,2.73,2.64,2.73,22000.0
2010-03-23,2.73,2.73,2.73,2.73,4100.0
2010-03-24,2.64,2.73,2.62,2.73,7650.0
2010-03-25,2.64,2.73,2.64,2.73,4500.0
2010-03-26,2.73,2.73,2.73,2.73,3500.0
2010-03-29,2.59,2.73,2.59,2.73,14000.0
2010-03-30,2.73,2.73,2.73,2.73,2000.0
2010-03-31,2.73,2.73,2.73,2.73,2635.0
2010-04-01,2.73,2.73,2.73,2.73,0.0
2010-04-06,2.78,3.11,2.78,3.0,9508.0
2010-04-07,3.0,3.0,2.92,2.92,6800.0
2010-04-08,2.76,2.76,2.76,2.76,625.0
2010-04-12,2.87,2.97,2.87,2.97,5456.0
2010-04-14,2.92,3.15,2.92,3.15,18330.0
2010-04-15,2.83,3.14,2.83,3.14,17600.0
2010-04-16,2.82,2.82,2.78,2.78,15501.0
2010-04-19,2.82,2.82,2.79,2.79,3800.0
2010-04-20,2.79,2.79,2.74,2.75,10500.0
2010-04-21,2.92,2.92,2.92,2.92,700.0
2010-04-22,2.92,2.92,2.92,2.92,0.0
2010-04-23,2.97,2.98,2.82,2.82,19500.0
2010-04-26,2.82,2.82,2.73,2.73,10000.0
2010-04-27,3.03,3.03,3.03,3.03,5850.0
2010-04-29,3.11,3.11,3.11,3.11,8000.0
2010-04-30,2.92,2.92,2.92,2.92,1000.0
2010-05-04,3.11,3.19,2.92,2.92,13508.0
2010-05-05,2.97,2.98,2.87,2.87,17000.0
2010-05-06,2.85,2.85,2.78,2.78,12000.0
2010-05-10,3.06,3.53,3.06,3.44,33331.0
2010-05-11,3.39,3.39,3.3,3.34,12000.0
2010-05-12,3.01,3.47,3.01,3.47,14500.0
2010-05-14,3.67,4.2,3.67,4.01,46706.0
2010-05-17,4.01,4.1,3.53,3.8,140118.0
2010-05-18,3.85,3.85,3.58,3.68,13950.0
