Date,Open,High,Low,Close,Volume
2014-11-03,13.62,18.91,13.43,17.4,246444.0
2014-11-04,18.2,20.81,18.16,18.72,126790.0
2014-11-05,19.29,25.91,18.54,25.72,339031.0
2014-11-06,26.48,28.94,21.75,27.8,354504.0
2014-11-07,27.61,30.45,25.34,26.86,366912.0
2014-11-10,28.37,32.91,26.86,31.78,325293.0
2014-11-11,32.91,35.75,32.34,32.91,455907.0
2014-11-12,33.86,34.61,27.8,28.56,408892.0
2014-11-13,28.37,30.07,25.53,27.05,342024.0
2014-11-14,27.61,27.61,23.83,24.4,252606.0
2014-11-17,23.08,24.59,22.51,22.89,155009.0
2014-11-18,22.51,25.91,20.99,23.83,256791.0
2014-11-19,24.02,27.05,23.64,24.21,186146.0
2014-11-20,24.59,24.59,21.94,22.7,173012.0
2014-11-21,22.13,23.26,20.99,21.94,114257.0
2014-11-24,22.13,25.34,22.13,25.16,184544.0
2014-11-25,25.16,26.86,23.64,24.02,229133.0
2014-11-26,24.59,24.59,22.7,22.89,82295.0
2014-11-27,23.64,23.64,22.13,22.13,65917.0
2014-11-28,22.51,22.89,21.94,21.94,52166.0
2014-12-01,22.7,22.89,18.91,21.56,68785.0
2014-12-02,21.37,21.94,19.86,20.05,47011.0
2014-12-03,20.05,21.18,19.48,20.43,37994.0
2014-12-04,20.43,21.56,19.48,21.56,23055.0
2014-12-05,22.7,26.86,22.51,24.02,277259.0
2014-12-08,26.29,26.48,21.75,23.08,131274.0
2014-12-09,22.51,22.7,21.18,21.94,149874.0
2014-12-10,21.94,21.94,20.43,21.56,58236.0
2014-12-11,21.56,23.26,21.56,21.56,41597.0
2014-12-12,20.81,21.94,20.81,21.18,20793.0
2014-12-15,21.18,21.18,20.43,20.81,28281.0
2014-12-16,20.81,21.18,20.05,20.24,40144.0
2014-12-17,20.81,21.37,19.1,20.24,14968.0
2014-12-18,20.81,20.81,19.48,20.24,38048.0
2014-12-19,19.48,20.81,19.48,20.43,10749.0
2014-12-22,20.24,21.18,19.86,20.24,25114.0
2014-12-23,20.43,21.94,19.86,21.94,10255.0
2014-12-29,21.37,21.94,20.05,21.18,18697.0
2014-12-30,21.37,21.75,20.62,21.18,11116.0
2015-01-02,21.18,21.56,20.43,20.99,16246.0
2015-01-05,20.81,25.53,20.24,23.83,70050.0
2015-01-07,24.02,31.96,22.7,28.56,323957.0
2015-01-08,28.56,31.02,26.48,27.24,158047.0
2015-01-09,28.37,28.37,26.67,27.43,71664.0
2015-01-12,28.37,30.26,27.43,29.51,133371.0
2015-01-13,29.88,30.83,29.13,30.07,51862.0
2015-01-14,30.26,30.64,28.94,29.13,33476.0
2015-01-15,29.13,29.51,27.43,28.37,21634.0
2015-01-16,27.99,28.18,27.05,27.43,24119.0
2015-01-19,27.99,27.99,25.34,26.86,26994.0
2015-01-20,27.43,27.43,25.53,26.1,31212.0
2015-01-21,25.34,27.8,24.59,25.72,75074.0
2015-01-22,25.72,25.72,23.64,24.97,44667.0
2015-01-23,23.83,26.29,23.64,23.64,24566.0
2015-01-26,24.21,24.21,22.51,24.02,30828.0
2015-01-27,24.21,26.86,24.02,25.53,38290.0
2015-01-28,25.53,26.48,24.97,25.34,14787.0
2015-01-29,25.34,25.34,24.21,24.97,4036.0
2015-01-30,24.78,24.78,23.83,24.21,11401.0
2015-02-02,23.64,24.97,23.26,24.02,40061.0
2015-02-03,24.59,24.59,23.64,24.59,16191.0
2015-02-04,24.02,24.59,23.83,24.4,17931.0
2015-02-05,24.21,24.21,23.26,24.21,31015.0
2015-02-06,23.64,24.97,23.45,24.59,38806.0
2015-02-09,24.97,25.72,23.83,24.59,13178.0
2015-02-10,24.21,24.78,23.64,24.21,10281.0
2015-02-11,24.21,24.59,23.45,24.21,10986.0
2015-02-12,24.59,24.59,23.45,24.21,13523.0
2015-02-13,24.02,24.21,22.7,24.02,35014.0
2015-02-16,24.21,24.21,22.13,23.45,32664.0
2015-02-17,23.08,24.02,22.7,24.02,15923.0
2015-02-18,22.89,23.83,22.7,23.45,13976.0
2015-02-19,23.83,24.4,23.26,23.45,21825.0
2015-02-20,23.83,26.48,23.83,25.72,31937.0
2015-02-23,25.72,25.72,23.45,24.21,28574.0
2015-02-24,23.83,24.4,23.83,24.21,2542.0
2015-02-25,23.64,24.02,23.26,23.83,16393.0
2015-02-26,23.64,24.02,22.89,24.02,15738.0
2015-02-27,24.02,25.34,23.26,24.97,39972.0
2015-03-02,24.97,25.16,24.21,24.97,18562.0
2015-03-03,25.53,25.53,24.78,25.34,11361.0
2015-03-04,25.34,25.34,24.59,24.78,11991.0
2015-03-05,24.59,27.24,24.59,26.67,35866.0
2015-03-06,26.48,30.07,25.91,27.24,13134.0
2015-03-09,27.24,27.8,25.34,27.05,17220.0
2015-03-10,26.29,27.05,25.53,26.1,11209.0
2015-03-11,25.91,26.1,24.59,25.72,26519.0
2015-03-12,25.72,25.72,24.59,25.72,12407.0
2015-03-13,24.59,25.34,23.83,25.34,17960.0
2015-03-16,25.72,27.24,25.34,26.67,10609.0
2015-03-17,27.61,27.99,25.91,26.48,21233.0
2015-03-18,26.29,27.24,25.16,26.29,25478.0
2015-03-19,26.29,26.48,24.97,25.34,9513.0
2015-03-20,25.53,26.48,24.78,26.1,5168.0
2015-03-23,28.37,28.56,26.48,28.37,90201.0
2015-03-24,29.51,35.75,27.99,29.32,315486.0
2015-03-25,28.94,29.88,26.48,28.37,85133.0
2015-03-26,28.37,28.56,26.1,26.29,67978.0
2015-03-27,26.48,27.8,25.91,26.86,25638.0
2015-03-30,26.86,27.8,26.1,27.43,24073.0
2015-03-31,27.24,27.43,26.48,26.67,7845.0
2015-04-01,26.67,27.8,26.29,27.8,8111.0
2015-04-02,27.43,27.8,26.48,27.61,6581.0
2015-04-07,28.18,31.02,27.61,29.88,53623.0
2015-04-08,29.88,31.21,28.75,31.21,52856.0
2015-04-09,31.4,40.29,31.4,34.04,448846.0
2015-04-10,34.99,37.07,34.8,35.75,79681.0
2015-04-13,36.13,38.77,36.13,36.88,84269.0
2015-04-14,37.83,40.1,34.42,38.96,103844.0
2015-04-15,38.96,40.66,38.02,38.4,33288.0
2015-04-16,37.83,38.58,33.67,36.13,100130.0
2015-04-17,36.13,36.13,33.67,35.56,37076.0
2015-04-20,35.75,35.75,33.86,34.99,18537.0
2015-04-21,34.99,35.37,33.48,34.99,26894.0
2015-04-22,33.29,35.18,32.34,34.61,23563.0
2015-04-23,34.99,34.99,32.53,33.29,21580.0
2015-04-24,33.67,34.04,32.53,33.67,25859.0
2015-04-27,34.04,34.04,32.53,32.91,19005.0
2015-04-28,35.56,39.72,35.37,36.69,140659.0
2015-04-29,36.69,37.83,35.37,36.5,45831.0
2015-04-30,37.26,39.53,37.26,38.58,26665.0
2015-05-04,38.77,46.91,38.77,46.91,120194.0
2015-05-05,47.1,47.1,41.99,43.5,77125.0
2015-05-06,45.2,45.58,42.37,45.02,24725.0
2015-05-07,46.15,52.58,45.2,52.58,99969.0
2015-05-08,52.96,60.15,52.96,57.88,157172.0
2015-05-11,57.12,75.28,57.12,74.14,291712.0
2015-05-12,77.55,87.38,60.52,75.28,551441.0
2015-05-13,75.66,82.84,68.47,73.76,107731.0
2015-05-15,69.22,72.25,57.88,66.2,130627.0
2015-05-18,66.2,66.2,55.61,61.28,137372.0
2015-05-19,59.77,61.66,53.53,58.63,126969.0
2015-05-20,58.63,59.39,55.04,57.5,60748.0
2015-05-21,56.36,56.36,49.37,50.31,113748.0
2015-05-22,48.8,58.63,47.28,55.42,164818.0
2015-05-25,57.5,65.82,57.5,63.93,130802.0
2015-05-26,66.96,69.6,64.31,66.58,97966.0
2015-05-27,65.44,65.82,60.52,62.79,47201.0
2015-05-28,63.17,64.31,59.39,60.9,60385.0
2015-05-29,58.63,59.01,55.61,57.88,43408.0
2015-06-01,57.5,57.5,51.26,54.47,39112.0
2015-06-02,54.66,55.04,50.69,54.47,28876.0
2015-06-03,54.47,58.63,54.47,56.74,20548.0
2015-06-04,57.5,58.63,52.96,53.9,20011.0
2015-06-05,52.96,60.15,51.07,58.63,22764.0
2015-06-08,58.25,58.25,55.61,57.88,18812.0
2015-06-09,57.88,57.88,51.45,54.47,33061.0
2015-06-10,54.09,54.09,51.07,53.53,16939.0
2015-06-11,52.77,53.53,51.45,52.77,16141.0
2015-06-12,52.77,52.77,48.61,50.31,12786.0
2015-06-15,50.31,58.63,49.18,49.93,50822.0
2015-06-16,49.93,49.93,47.66,48.42,19629.0
2015-06-17,47.66,49.55,45.39,46.15,38194.0
2015-06-18,45.39,49.18,43.5,46.91,44914.0
2015-06-22,47.1,49.93,46.15,48.8,26988.0
2015-06-23,51.07,51.07,47.47,48.23,18196.0
2015-06-24,48.04,48.04,45.77,46.91,9655.0
2015-06-25,46.15,46.91,44.83,45.58,13937.0
2015-06-26,44.45,45.2,41.99,45.02,46788.0
2015-06-29,42.93,42.93,38.77,38.77,51204.0
2015-06-30,37.83,40.48,36.69,39.72,44007.0
2015-07-01,40.66,47.66,40.48,45.2,50157.0
2015-07-02,46.53,51.07,46.15,48.04,34459.0
2015-07-03,50.88,50.88,45.39,47.1,17192.0
2015-07-06,45.39,46.15,43.5,45.77,11775.0
2015-07-07,44.45,45.77,43.88,45.2,13096.0
2015-07-08,45.39,45.58,43.5,44.83,9813.0
2015-07-09,45.2,49.18,44.07,44.64,20039.0
2015-07-10,44.64,46.34,44.64,45.39,9485.0
2015-07-13,45.39,48.99,45.02,45.96,9243.0
2015-07-14,46.15,46.15,42.56,44.07,22415.0
2015-07-15,45.77,45.77,41.61,42.75,16726.0
2015-07-16,42.56,47.66,40.48,43.31,59740.0
2015-07-17,43.69,44.64,41.8,42.18,11309.0
2015-07-20,42.56,43.12,40.85,41.8,22296.0
2015-07-21,41.23,41.61,40.1,41.04,18854.0
2015-07-22,41.04,41.04,39.34,40.1,19214.0
2015-07-23,39.72,40.66,39.34,40.1,13313.0
2015-07-24,39.72,41.04,39.34,41.04,15537.0
2015-07-27,41.04,41.61,39.72,41.61,12655.0
2015-07-28,41.61,42.93,41.42,41.99,11407.0
2015-07-29,42.37,45.02,40.85,43.31,39411.0
2015-07-30,43.88,44.45,40.48,41.42,28969.0
2015-07-31,41.42,42.37,40.1,41.8,11975.0
2015-08-03,42.18,47.28,42.18,44.83,42767.0
2015-08-04,46.53,47.28,44.83,46.15,26655.0
2015-08-05,45.96,47.1,45.58,45.77,8889.0
2015-08-06,46.34,46.34,44.07,44.64,17123.0
2015-08-07,43.88,44.26,41.42,43.5,31942.0
2015-08-10,42.75,43.5,41.61,43.12,15424.0
2015-08-11,42.93,43.69,41.42,41.99,28048.0
2015-08-12,43.5,43.5,40.66,43.31,17977.0
2015-08-13,41.61,43.31,40.1,41.99,18321.0
2015-08-14,42.75,45.2,41.61,43.12,16742.0
2015-08-17,45.2,45.39,42.37,42.75,15027.0
2015-08-18,41.8,43.31,41.04,43.31,12648.0
2015-08-19,42.18,44.26,41.61,42.75,14728.0
2015-08-20,42.75,42.75,40.85,42.18,12606.0
2015-08-21,39.72,42.18,38.96,40.1,24752.0
2015-08-24,37.83,39.34,34.04,35.18,80324.0
2015-08-25,35.18,38.96,34.99,37.83,32101.0
2015-08-26,37.07,37.64,35.75,37.26,12264.0
2015-08-27,37.83,39.72,37.83,38.58,15270.0
2015-08-28,38.58,38.96,37.07,37.83,5771.0
2015-08-31,36.69,39.53,36.31,39.15,7070.0
2015-09-01,37.83,39.72,36.88,37.45,8918.0
2015-09-02,36.5,38.21,36.31,37.45,8309.0
2015-09-03,37.45,40.85,37.45,39.15,10573.0
2015-09-04,38.77,39.53,37.45,38.96,6636.0
2015-09-07,40.48,40.48,36.31,39.34,5530.0
2015-09-08,39.72,39.72,38.02,39.72,9487.0
2015-09-09,38.02,40.48,37.83,40.1,9500.0
2015-09-10,40.1,40.1,38.21,38.58,8681.0
2015-09-11,39.34,39.34,38.21,38.77,4129.0
2015-09-14,38.4,38.58,37.64,37.83,4175.0
2015-09-15,37.83,43.31,37.26,41.04,51718.0
2015-09-16,42.37,42.93,38.96,39.15,22340.0
2015-09-17,39.34,39.53,38.02,38.4,6313.0
2015-09-18,38.4,39.15,37.45,38.58,9696.0
2015-09-21,37.45,38.58,37.45,38.4,4390.0
2015-09-22,37.83,38.77,37.07,37.64,11843.0
2015-09-23,37.64,37.83,37.07,37.83,9440.0
2015-09-24,37.26,38.77,35.18,36.88,22435.0
2015-09-25,35.56,37.45,35.56,36.69,6777.0
2015-09-28,36.31,37.45,35.56,35.56,5181.0
2015-09-29,36.13,37.07,35.37,35.94,5894.0
2015-09-30,34.8,36.13,34.23,35.56,9586.0
2015-10-01,35.75,37.83,35.75,36.5,8641.0
2015-10-02,36.88,37.07,35.94,37.07,12862.0
2015-10-05,37.07,37.83,35.56,37.45,9938.0
2015-10-06,37.83,37.83,36.5,37.07,2110.0
2015-10-07,36.88,37.45,36.31,37.45,3990.0
2015-10-08,37.26,38.02,35.94,36.69,12067.0
2015-10-09,37.64,40.1,37.64,38.96,22779.0
2015-10-12,38.21,40.85,36.69,38.96,10012.0
2015-10-13,39.72,39.72,37.83,38.4,14340.0
2015-10-14,38.58,38.96,37.83,38.77,6609.0
2015-10-15,38.77,39.53,38.21,39.53,7107.0
2015-10-16,39.53,39.53,37.45,39.34,21517.0
2015-10-19,39.34,39.34,37.45,37.83,9773.0
2015-10-20,38.02,38.58,35.56,38.02,21241.0
2015-10-21,37.64,38.77,37.07,38.77,3365.0
2015-10-22,38.77,38.77,35.56,37.26,7849.0
2015-10-23,41.23,43.88,38.58,40.48,40686.0
2015-10-26,40.48,43.12,39.15,43.12,27274.0
2015-10-27,42.93,42.93,40.48,40.66,30878.0
2015-10-28,38.96,39.53,37.83,38.21,17059.0
2015-10-29,37.83,38.58,37.07,37.26,10242.0
2015-10-30,38.77,40.1,38.21,39.91,20388.0
2015-11-02,41.8,43.31,41.04,42.37,23919.0
2015-11-03,43.12,54.85,41.61,51.07,84550.0
2015-11-04,52.77,53.9,46.34,48.42,76028.0
2015-11-05,48.42,48.42,44.64,45.96,38933.0
2015-11-06,44.83,46.34,42.18,44.07,40733.0
2015-11-09,44.64,44.64,41.8,41.8,25216.0
2015-11-10,41.99,46.53,41.99,44.83,24396.0
2015-11-11,45.02,48.42,43.5,48.04,34904.0
2015-11-12,49.18,51.82,45.39,48.42,128955.0
2015-11-13,48.8,49.74,41.61,46.53,64091.0
2015-11-16,46.34,48.04,43.88,47.28,25913.0
2015-11-17,47.28,49.18,45.02,46.72,24714.0
2015-11-18,46.72,49.93,45.39,49.74,41928.0
2015-11-19,51.45,52.96,51.07,52.2,47636.0
2015-11-20,52.96,52.96,49.74,51.07,41260.0
2015-11-23,51.82,65.06,49.18,60.52,196410.0
2015-11-24,62.79,62.79,54.85,54.85,111795.0
2015-11-25,54.85,58.25,50.31,54.85,82380.0
