Date,Open,High,Low,Close,Volume
2016-03-16,86.67,101.43,86.67,97.14,1213798.0
2016-03-17,97.14,97.86,94.29,97.86,152520.0
2016-03-18,97.62,97.62,94.76,95.95,40551.0
2016-03-21,95.24,95.71,94.76,95.24,34809.0
2016-03-22,95.0,96.67,94.76,96.67,22475.0
2016-03-23,96.67,103.81,95.48,98.33,25571.0
2016-03-24,97.14,98.33,96.19,97.38,14417.0
2016-03-29,97.86,100.0,97.62,98.57,29977.0
2016-03-30,98.57,99.52,98.33,98.57,18135.0
2016-03-31,98.57,99.52,97.14,97.14,6178.0
2016-04-01,97.14,98.33,95.48,98.33,8931.0
2016-04-04,97.62,97.62,95.24,97.14,6029.0
2016-04-05,96.67,99.05,92.86,99.05,10552.0
2016-04-06,99.05,99.05,95.48,95.48,2940.0
2016-04-07,95.48,97.14,95.24,97.14,11837.0
2016-04-08,98.1,99.05,97.14,97.14,6955.0
2016-04-11,97.14,98.33,95.24,97.86,5219.0
2016-04-12,97.86,97.86,95.24,96.43,3760.0
2016-04-13,96.43,97.86,95.48,97.38,8304.0
2016-04-14,95.48,97.38,95.24,97.14,19580.0
2016-04-15,95.71,97.62,95.71,96.43,9480.0
2016-04-18,95.48,97.86,95.0,97.86,19411.0
2016-04-19,97.86,100.95,97.86,98.1,12688.0
2016-04-20,99.05,103.33,99.05,100.95,7039.0
2016-04-21,103.81,107.86,102.86,105.71,23776.0
2016-04-22,106.91,106.91,100.48,103.81,9619.0
2016-04-25,105.71,111.43,104.29,104.29,8856.0
2016-04-26,108.33,108.33,101.43,102.86,9467.0
2016-04-27,102.14,103.81,101.43,103.81,3265.0
2016-04-28,103.81,104.76,100.71,103.57,14524.0
2016-04-29,104.29,105.71,101.19,101.67,6156.0
2016-05-02,102.38,104.52,101.43,101.91,15324.0
2016-05-03,105.71,105.71,102.38,102.38,12856.0
2016-05-04,102.38,102.62,102.14,102.62,368.0
2016-05-06,102.62,105.71,102.62,103.81,3642.0
2016-05-09,103.81,105.71,103.81,105.71,1050.0
2016-05-10,105.71,105.71,104.76,105.0,2683.0
2016-05-11,105.0,105.71,102.86,104.76,3555.0
2016-05-12,105.71,105.71,103.81,104.29,1635.0
2016-05-13,103.81,104.29,103.81,104.05,767.0
2016-05-16,104.76,106.67,104.76,105.95,2853.0
2016-05-17,106.19,108.57,106.19,108.33,1234.0
2016-05-18,107.62,108.1,105.95,107.14,3179.0
2016-05-19,107.14,109.52,107.14,108.33,2775.0
2016-05-20,108.33,108.33,106.91,107.14,1513.0
2016-05-23,107.14,108.57,106.67,108.1,2701.0
2016-05-24,110.0,110.24,106.19,107.14,4246.0
2016-05-25,107.86,110.0,107.14,110.0,5378.0
2016-05-26,115.24,128.57,112.62,122.14,79133.0
2016-05-27,121.91,129.52,119.05,128.81,6380.0
2016-05-30,131.43,150.0,131.43,144.29,75545.0
2016-05-31,143.81,143.81,136.19,140.95,17818.0
2016-06-01,144.76,156.67,144.29,149.05,25316.0
2016-06-02,150.48,151.91,139.52,140.95,11657.0
2016-06-03,142.14,142.38,134.29,137.14,6588.0
2016-06-07,137.14,140.95,130.24,138.1,13069.0
2016-06-08,137.14,137.14,130.24,131.19,7935.0
2016-06-09,131.19,133.1,125.24,130.24,11679.0
2016-06-10,130.48,132.86,128.57,132.62,3416.0
2016-06-13,132.38,132.38,125.0,128.57,6456.0
2016-06-14,132.14,132.14,122.62,122.62,17602.0
2016-06-15,123.81,130.71,123.81,127.86,7600.0
2016-06-16,126.91,126.91,120.48,121.43,6006.0
2016-06-17,122.86,127.14,122.14,123.57,4970.0
2016-06-20,123.57,139.52,123.57,134.29,12099.0
2016-06-21,134.76,136.19,133.81,133.81,5344.0
2016-06-22,134.52,142.86,134.52,142.86,6964.0
2016-06-23,140.0,146.67,138.33,143.81,7648.0
2016-06-27,136.19,146.19,135.24,140.71,14581.0
2016-06-28,146.19,149.52,142.38,148.57,4996.0
2016-06-29,149.52,154.76,149.52,154.29,6415.0
2016-06-30,154.29,160.48,154.29,160.0,7874.0
2016-07-01,161.91,161.91,155.24,157.14,10858.0
2016-07-04,157.14,159.52,147.62,156.67,10183.0
2016-07-05,153.33,154.29,151.43,151.43,3308.0
2016-07-06,155.71,155.71,148.57,152.38,2817.0
2016-07-07,152.38,157.14,152.38,155.71,1799.0
2016-07-08,156.19,159.05,154.76,156.19,3141.0
2016-07-11,160.0,171.91,160.0,165.24,12603.0
2016-07-12,160.0,166.67,160.0,162.86,4155.0
2016-07-13,164.76,171.43,164.76,169.05,4774.0
2016-07-14,170.95,171.43,162.86,168.57,7115.0
2016-07-15,170.0,176.19,168.1,171.43,12956.0
2016-07-18,172.38,172.86,167.62,168.57,3230.0
2016-07-19,166.67,166.67,157.62,164.76,46338.0
2016-07-20,166.67,171.43,165.24,169.52,3300.0
2016-07-21,169.52,169.52,166.19,169.52,2471.0
2016-07-22,166.67,168.57,164.76,165.24,3358.0
2016-07-25,166.67,166.67,163.81,164.29,2646.0
2016-07-26,164.76,164.76,160.95,162.38,12886.0
2016-07-27,162.38,165.71,162.38,163.33,3568.0
2016-07-28,163.33,167.14,163.33,165.71,4277.0
2016-07-29,167.14,167.14,165.71,165.71,1609.0
2016-08-01,165.71,166.19,162.86,163.33,4638.0
2016-08-02,163.33,163.81,154.29,160.48,6723.0
2016-08-03,160.95,162.86,157.62,157.62,1550.0
2016-08-04,165.71,165.71,159.05,163.81,1111.0
2016-08-05,164.29,165.71,164.29,165.24,1261.0
2016-08-08,166.67,167.14,162.86,164.76,2997.0
2016-08-09,167.62,168.1,161.91,167.14,3188.0
2016-08-10,167.14,185.71,167.14,173.33,11267.0
2016-08-11,174.76,184.76,174.29,180.0,7291.0
2016-08-12,180.0,185.71,180.0,180.95,3816.0
2016-08-15,182.86,182.86,180.0,181.91,4086.0
2016-08-16,181.91,181.91,171.91,173.33,5024.0
2016-08-17,174.29,181.91,174.29,178.1,3442.0
2016-08-18,178.1,185.71,176.67,177.14,5360.0
2016-08-19,179.05,184.76,176.67,180.48,3953.0
2016-08-22,182.86,182.86,180.0,180.0,10261.0
2016-08-23,180.95,184.76,180.95,182.38,4184.0
2016-08-24,182.38,190.0,182.38,184.76,6722.0
2016-08-25,190.0,214.29,188.1,197.14,16470.0
2016-08-26,199.52,200.95,184.29,193.33,157604.0
2016-08-29,195.24,195.24,192.38,194.29,4822.0
2016-08-30,190.48,194.76,185.71,187.62,8250.0
2016-08-31,188.57,192.86,187.62,189.52,5417.0
2016-09-01,189.52,189.52,174.76,180.0,17761.0
2016-09-02,181.43,185.71,178.1,180.95,5746.0
2016-09-05,181.43,193.33,181.43,191.43,16738.0
2016-09-06,190.48,194.76,187.62,194.76,12355.0
2016-09-07,196.67,196.67,189.52,190.48,8017.0
2016-09-08,190.48,195.24,190.48,191.91,2563.0
2016-09-09,195.24,196.19,190.95,193.33,8736.0
2016-09-12,188.57,188.57,175.24,182.86,23252.0
2016-09-13,181.91,188.57,180.95,186.67,8710.0
