Date,Open,High,Low,Close,Volume
2015-06-04,5.7,7.74,5.7,7.32,3037732.0
2015-06-05,7.19,7.32,6.67,6.93,795202.0
2015-06-08,6.85,6.85,6.3,6.51,529764.0
2015-06-09,6.46,6.54,6.14,6.38,327199.0
2015-06-10,6.38,7.03,6.14,6.9,554761.0
2015-06-11,6.93,6.93,6.56,6.67,148026.0
2015-06-12,6.75,7.37,6.61,7.27,363638.0
2015-06-15,7.32,7.58,6.85,7.48,159302.0
2015-06-16,7.5,8.52,7.5,8.05,225597.0
2015-06-17,8.16,8.16,7.32,7.66,146431.0
2015-06-18,7.63,7.63,7.06,7.32,86345.0
2015-06-22,7.63,8.31,7.45,8.0,490314.0
2015-06-23,7.95,8.05,7.56,7.66,167690.0
2015-06-24,7.63,7.84,7.53,7.79,114515.0
2015-06-25,7.79,8.89,7.58,8.89,401038.0
2015-06-26,8.63,8.63,8.26,8.63,55197.0
2015-06-29,8.1,8.31,7.58,8.05,103266.0
2015-06-30,8.05,8.63,8.05,8.37,135632.0
2015-07-01,8.37,8.89,8.05,8.37,178314.0
2015-07-02,8.37,8.89,8.16,8.78,55451.0
2015-07-03,8.78,9.36,8.78,9.26,118179.0
2015-07-06,9.2,9.78,8.99,9.78,212808.0
2015-07-07,9.78,9.99,8.89,9.31,170935.0
2015-07-08,8.89,9.78,8.89,9.1,30475.0
2015-07-09,10.09,11.19,9.2,10.09,601593.0
2015-07-10,10.09,10.2,9.15,9.41,167111.0
2015-07-13,9.41,9.41,8.63,8.84,149042.0
2015-07-14,8.78,8.78,7.95,8.1,328866.0
2015-07-15,8.16,8.16,7.53,7.79,200157.0
2015-07-16,7.79,8.37,7.76,8.16,65551.0
2015-07-17,8.16,8.31,7.74,8.26,57553.0
2015-07-20,8.37,8.37,8.1,8.31,70106.0
2015-07-21,8.31,8.99,8.1,8.37,51045.0
2015-07-22,8.37,8.37,8.0,8.16,61649.0
2015-07-23,8.16,8.42,7.76,8.0,49318.0
2015-07-24,7.95,8.58,7.58,8.0,56233.0
2015-07-27,8.0,8.1,7.66,8.0,30605.0
2015-07-28,8.05,8.05,7.74,7.95,56040.0
2015-07-29,8.0,8.05,7.79,7.84,30658.0
2015-07-30,7.82,8.37,7.76,8.0,48438.0
2015-07-31,8.0,8.26,7.76,8.16,28818.0
2015-08-03,8.26,8.63,8.26,8.26,35971.0
2015-08-04,8.26,8.58,8.26,8.42,48497.0
2015-08-05,8.42,8.42,8.05,8.16,27742.0
2015-08-06,8.16,8.26,7.84,8.05,33605.0
