Date,Open,High,Low,Close,Volume
2010-01-11,1.77,1.77,1.77,1.77,8333.0
2010-01-12,1.84,1.92,1.84,1.84,19481.0
2010-01-13,1.88,1.88,1.88,1.88,4800.0
2010-01-15,1.93,2.03,1.93,2.03,6000.0
2010-01-18,2.03,2.03,1.96,2.03,35286.0
2010-01-20,2.03,2.21,2.03,2.18,11810.0
2010-01-22,2.15,2.29,2.15,2.29,2847.0
2010-01-25,2.29,2.29,2.29,2.29,1398.0
2010-01-27,2.29,2.36,2.21,2.36,12000.0
2010-01-28,2.29,2.29,2.29,2.36,1500.0
2010-02-01,2.29,2.29,2.29,2.29,1380.0
2010-02-02,2.29,2.29,2.29,2.29,320.0
2010-02-03,2.26,2.26,2.26,2.26,320.0
2010-02-05,2.29,2.29,2.27,2.27,5800.0
2010-02-11,2.36,2.47,2.36,2.47,400.0
2010-02-12,2.55,2.62,2.55,2.62,1200.0
2010-02-15,2.69,2.69,2.69,2.69,100.0
2010-02-16,2.55,2.55,2.55,2.55,720.0
2010-02-17,2.69,2.91,2.69,2.91,9100.0
2010-02-18,2.8,2.99,2.73,2.99,7850.0
2010-02-19,2.97,3.65,2.36,3.65,20587.0
2010-02-22,3.65,3.84,3.54,3.8,7410.0
2010-02-23,3.91,4.57,3.91,4.02,12370.0
2010-02-24,3.87,3.98,3.54,3.84,12900.0
2010-02-25,3.8,3.8,3.54,3.54,8310.0
2010-03-02,3.58,3.58,3.58,3.58,200.0
2010-03-04,3.39,3.39,3.39,3.39,720.0
2010-03-11,3.36,3.36,3.35,3.35,2160.0
2010-03-12,3.39,3.39,3.39,3.39,2100.0
2010-03-15,3.35,3.35,3.28,3.28,6200.0
2010-03-16,3.17,3.17,3.02,3.02,6600.0
2010-03-17,2.8,3.02,2.8,2.88,1211.0
2010-03-18,2.73,2.73,2.73,2.73,6000.0
2010-03-19,2.73,2.73,2.73,2.73,4000.0
2010-03-22,2.72,2.73,2.72,2.73,8620.0
2010-03-23,2.8,2.8,2.8,2.8,4110.0
2010-03-25,2.88,2.88,2.88,2.88,1890.0
2010-04-06,2.88,2.88,2.88,2.88,2000.0
2010-04-09,2.88,2.92,2.88,2.92,11938.0
2010-04-12,2.95,2.95,2.95,2.95,2000.0
2010-04-13,2.95,2.95,2.95,2.95,4950.0
2010-04-20,2.93,2.93,2.93,2.93,99.0
2010-04-21,2.93,2.93,2.93,2.93,3600.0
2010-04-22,2.93,2.93,2.93,2.93,2000.0
2010-04-23,3.02,3.02,2.95,3.02,24510.0
2010-04-27,2.94,2.94,2.94,2.94,500.0
2010-04-28,2.91,2.91,2.91,2.91,2300.0
2010-04-29,2.91,2.91,2.91,2.91,4000.0
2010-05-03,2.95,2.95,2.95,2.95,10500.0
2010-05-04,2.95,3.14,2.95,3.14,7251.0
2010-05-05,3.11,3.11,3.11,3.11,4055.0
2010-05-06,3.14,3.23,3.14,3.23,12465.0
2010-05-07,3.17,3.28,3.17,3.17,14450.0
2010-05-10,3.06,3.31,3.06,3.17,17873.0
2010-05-11,3.17,3.17,3.17,3.17,20000.0
2010-05-12,3.14,3.14,3.14,3.14,3011.0
2010-05-14,3.14,3.14,3.08,3.14,3800.0
2010-05-17,3.14,3.25,3.14,3.21,58763.0
2010-05-18,3.25,3.25,3.25,3.25,600.0
2010-05-19,3.28,3.32,3.28,3.31,7700.0
2010-05-20,3.28,3.32,3.28,3.32,22000.0
2010-05-21,3.32,3.32,3.32,3.32,383380.0
2010-05-24,3.35,3.35,3.32,3.32,45000.0
2010-05-25,3.25,3.32,3.25,3.32,43800.0
2010-05-26,3.39,3.39,3.39,3.39,25000.0
2010-05-27,3.39,3.39,3.39,3.39,3261.0
2010-05-28,3.39,3.39,3.39,3.39,21739.0
2010-05-31,3.43,3.43,3.43,3.43,35000.0
2010-06-02,3.47,3.53,3.47,3.5,37000.0
2010-06-03,3.54,3.61,3.54,3.61,28284.0
2010-06-04,3.58,3.58,3.51,3.51,628690.0
2010-06-07,3.45,3.45,3.45,3.45,1000.0
2010-06-08,3.38,3.38,3.38,3.38,3340.0
2010-06-11,3.39,3.39,3.39,3.39,5000.0
2010-06-14,3.27,3.27,3.27,3.27,5000.0
2010-06-15,3.25,3.25,3.21,3.24,21042.0
2010-06-16,3.24,3.24,3.24,3.24,3500.0
2010-06-17,3.24,3.24,3.24,3.24,8554.0
2010-06-21,3.14,3.14,3.14,3.14,1000.0
2010-06-24,3.14,3.14,3.14,3.14,9558.0
2010-06-28,3.14,3.14,3.14,3.14,12580.0
2010-06-29,3.14,3.14,3.08,3.08,10520.0
2010-07-02,3.18,3.18,3.18,3.18,1000.0
2010-07-05,3.12,3.12,3.12,3.12,3620.0
2010-07-06,3.06,3.06,3.06,3.06,5380.0
2010-07-07,3.08,3.08,3.08,3.08,14000.0
2010-07-08,3.06,3.08,3.06,3.08,1120.0
2010-07-09,3.06,3.06,3.06,3.06,22700.0
2010-07-13,3.1,3.1,3.1,3.1,26300.0
2010-07-14,3.1,3.1,3.1,3.1,10000.0
2010-07-15,3.14,3.14,3.14,3.14,7220.0
2010-07-16,3.14,3.14,3.14,3.14,20000.0
2010-07-27,3.19,3.19,3.19,3.19,2500.0
2010-08-04,3.14,3.14,3.14,3.14,20.0
2010-08-06,3.08,3.08,3.08,3.08,360.0
2010-08-09,3.14,3.14,3.14,3.14,100.0
2010-08-11,3.08,3.08,3.08,3.08,720.0
2010-08-26,3.14,3.54,3.14,3.47,24560.0
2010-08-27,3.47,3.69,3.47,3.69,37980.0
2010-08-30,3.47,3.55,3.44,3.44,14069.0
2010-08-31,3.43,3.43,3.43,3.43,3226.0
2010-09-07,3.31,3.32,3.25,3.32,15300.0
2010-09-08,3.32,3.34,3.32,3.34,4000.0
2010-09-10,3.33,3.4,3.32,3.4,16836.0
2010-09-13,3.69,3.69,3.69,3.69,3200.0
2010-09-14,3.6,3.6,3.47,3.47,9000.0
2010-09-20,3.4,3.42,3.37,3.42,9350.0
2010-09-23,3.39,3.39,3.39,3.39,3400.0
2010-09-27,3.36,3.36,3.36,3.36,3600.0
2010-09-28,3.31,3.39,3.31,3.39,19900.0
2010-10-08,3.36,3.4,3.36,3.4,2520.0
2010-10-12,3.32,3.4,3.32,3.39,11000.0
2010-10-15,3.32,3.36,3.32,3.36,10000.0
2010-10-19,3.28,3.36,3.28,3.36,19320.0
2010-10-22,3.36,3.36,3.36,3.36,3410.0
2010-10-25,3.36,3.36,3.36,3.36,10000.0
2010-10-29,3.36,3.36,3.17,3.17,10925.0
2010-11-01,3.21,3.21,3.21,3.21,5000.0
2010-11-05,3.17,3.17,3.17,3.17,1000.0
2010-11-08,3.17,3.17,3.17,3.17,400.0
2010-11-09,3.17,3.17,3.17,3.17,360.0
2010-11-10,3.39,3.39,3.39,3.39,1440.0
2010-11-11,3.25,3.26,3.25,3.26,411120.0
2010-11-12,3.32,3.42,3.32,3.39,27659.0
2010-11-15,3.48,3.48,3.48,3.48,3000.0
2010-11-16,3.87,4.43,3.87,4.06,29275.0
2010-11-17,4.21,4.21,3.69,4.06,38300.0
2010-11-18,3.91,4.24,3.76,4.24,41754.0
2010-11-19,4.13,4.21,4.06,4.09,21010.0
2010-11-22,4.28,4.28,4.17,4.24,15210.0
2010-11-23,4.21,4.24,4.17,4.24,10784.0
2010-11-24,4.09,4.09,4.09,4.09,456.0
2010-11-25,4.17,4.17,3.98,3.98,9900.0
2010-11-26,3.95,3.95,3.95,3.95,5000.0
2010-11-29,3.76,3.95,3.76,3.95,1200.0
2010-11-30,3.91,3.91,3.91,3.91,900.0
2010-12-01,3.73,3.87,3.69,3.87,7540.0
2010-12-02,3.84,3.87,3.84,3.87,13580.0
2010-12-03,3.87,4.21,3.87,4.21,11202.0
2010-12-06,4.35,4.35,4.09,4.17,8425.0
2010-12-07,4.21,4.21,4.13,4.13,7979.0
2010-12-08,3.91,3.91,3.8,3.8,6000.0
2010-12-09,3.84,3.84,3.84,3.84,5000.0
2010-12-10,3.98,4.06,3.95,3.95,3546.0
2010-12-13,3.95,3.95,3.91,3.91,4000.0
2010-12-14,3.91,3.91,3.87,3.87,2400.0
2010-12-15,3.87,4.06,3.87,4.06,11440.0
2010-12-16,4.21,4.21,4.21,4.21,3000.0
2010-12-17,4.21,4.35,4.21,4.21,5053.0
2010-12-20,4.21,4.32,4.21,4.32,3800.0
2010-12-21,4.13,4.17,3.98,3.98,25060.0
