Date,Open,High,Low,Close,Volume
2010-01-04,8.09,8.16,7.5,7.77,8198.0
2010-01-05,7.57,7.9,7.57,7.9,1211.0
2010-01-07,7.77,7.83,7.18,7.7,15576.0
2010-01-08,7.5,7.5,7.11,7.44,7999.0
2010-01-11,7.18,7.64,7.11,7.64,8658.0
2010-01-12,7.64,7.64,7.11,7.57,5746.0
2010-01-13,7.5,7.5,7.5,7.5,751.0
2010-01-14,7.57,7.83,7.37,7.83,14573.0
2010-01-15,7.77,7.83,7.77,7.83,306.0
2010-01-18,7.7,7.7,7.5,7.5,77.0
2010-01-19,7.31,7.7,7.11,7.5,7997.0
2010-01-20,7.7,7.7,7.18,7.7,6509.0
2010-01-21,7.7,7.7,7.44,7.5,5202.0
2010-01-22,7.24,7.37,7.24,7.24,5632.0
2010-01-25,7.64,7.64,7.24,7.24,6099.0
2010-01-26,7.64,7.64,7.31,7.57,9968.0
2010-01-27,7.57,7.57,7.57,7.57,1950.0
2010-01-28,7.64,7.96,7.64,7.96,8960.0
2010-01-29,7.96,7.96,7.7,7.7,3289.0
2010-02-01,7.9,7.9,7.5,7.5,6605.0
2010-02-02,7.5,7.57,7.5,7.57,2076.0
2010-02-03,7.57,7.96,7.57,7.57,3388.0
2010-02-04,7.64,7.7,7.44,7.5,2023.0
2010-02-05,7.5,7.77,7.37,7.77,3187.0
2010-02-08,7.77,7.77,7.31,7.31,766.0
2010-02-09,7.24,7.77,7.24,7.77,3626.0
2010-02-10,7.77,7.77,7.31,7.31,5333.0
2010-02-11,7.24,7.64,7.18,7.24,16808.0
2010-02-12,7.5,7.64,7.18,7.18,4934.0
2010-02-15,7.18,7.7,7.05,7.7,1785.0
2010-02-16,6.72,7.5,6.72,7.18,1088.0
2010-02-17,7.18,7.64,6.92,7.64,5678.0
2010-02-18,7.57,7.64,6.92,7.64,8068.0
2010-02-19,7.18,7.57,6.53,7.57,3743.0
2010-02-23,7.57,7.57,6.85,6.85,1303.0
2010-02-24,6.85,7.18,6.79,7.18,766.0
2010-02-25,7.18,7.18,6.79,7.18,1609.0
2010-02-26,7.7,7.7,4.24,6.46,17677.0
2010-03-01,6.46,6.85,6.46,6.85,6424.0
2010-03-02,6.79,7.11,6.79,6.85,4367.0
2010-03-03,6.53,6.85,6.53,6.85,2130.0
2010-03-04,6.85,7.5,6.85,7.05,4850.0
2010-03-05,7.5,7.5,7.18,7.18,1149.0
2010-03-08,7.18,7.24,6.66,7.24,4030.0
2010-03-09,6.85,7.24,6.2,6.53,6821.0
2010-03-10,6.53,7.18,6.53,7.18,9654.0
2010-03-11,7.44,7.44,6.53,7.18,6805.0
2010-03-12,7.11,7.18,7.11,7.18,5942.0
2010-03-15,7.18,7.18,6.53,6.53,6559.0
2010-03-16,6.85,7.05,6.79,6.92,24112.0
2010-03-17,6.92,7.37,6.85,6.85,17973.0
2010-03-18,7.18,7.31,6.79,6.85,8218.0
2010-03-19,7.18,7.18,6.85,6.85,3218.0
2010-03-22,7.11,7.64,6.79,6.79,32002.0
2010-03-23,6.98,7.64,6.79,7.05,9026.0
2010-03-24,7.44,7.44,6.85,6.85,9853.0
2010-03-25,6.85,7.05,6.85,6.85,2712.0
