Date,Open,High,Low,Close,Volume
2010-01-04,89.15,91.3,89.15,91.04,848131.0
2010-01-05,91.04,91.5,90.65,90.65,344585.0
2010-01-07,90.39,90.65,89.28,89.87,1503828.0
2010-01-08,89.87,91.3,89.8,90.91,1111889.0
2010-01-11,91.37,92.28,90.06,90.39,551233.0
2010-01-12,91.04,91.37,89.15,90.0,703311.0
2010-01-13,90.0,92.28,89.67,92.28,1059971.0
2010-01-14,95.74,99.46,94.89,98.55,5070122.0
2010-01-15,99.07,100.44,98.94,99.85,1705945.0
2010-01-18,100.57,101.62,100.05,101.42,1060832.0
2010-01-19,101.42,101.49,98.87,99.98,1330139.0
2010-01-20,100.51,103.31,99.85,100.11,2070842.0
2010-01-21,101.29,102.2,99.4,99.79,1461228.0
2010-01-22,99.2,100.31,98.22,99.4,1034401.0
2010-01-25,99.53,101.62,98.61,100.83,1102070.0
2010-01-26,100.05,100.77,97.24,99.59,1641438.0
2010-01-27,99.33,101.49,98.03,101.09,1221949.0
2010-01-28,101.81,105.07,101.03,101.22,2103358.0
2010-01-29,101.94,104.36,101.22,103.64,1234094.0
2010-02-01,104.03,105.53,103.51,105.47,1291526.0
2010-02-02,105.73,105.86,103.9,104.81,1458397.0
2010-02-03,104.94,105.34,103.38,103.97,1034448.0
2010-02-04,103.97,104.42,101.55,102.01,1389539.0
2010-02-05,101.42,102.14,99.98,100.7,1199542.0
2010-02-08,100.57,101.62,99.27,101.49,958341.0
2010-02-09,101.88,104.49,101.88,103.64,1422969.0
2010-02-10,104.42,105.01,101.75,102.46,834572.0
2010-02-11,103.57,104.16,102.14,103.25,849137.0
2010-02-12,104.36,105.66,104.1,105.27,1914611.0
2010-02-15,105.27,105.73,102.86,103.31,706242.0
2010-02-16,103.9,104.42,102.53,103.57,941851.0
2010-02-17,103.77,104.03,102.2,103.12,953647.0
2010-02-18,103.12,103.77,102.66,103.77,763319.0
2010-02-19,103.9,107.03,103.64,107.03,1139578.0
2010-02-22,107.03,107.55,105.73,106.71,798745.0
2010-02-23,107.68,108.99,107.16,107.49,1204768.0
2010-02-24,108.47,108.66,106.77,107.88,811488.0
2010-02-25,107.88,108.14,106.18,107.03,781922.0
2010-02-26,106.51,107.88,106.51,107.29,892320.0
2010-03-01,107.55,110.95,107.55,110.95,1196970.0
2010-03-02,111.08,113.3,111.08,112.64,1056603.0
2010-03-03,112.58,112.84,110.03,110.3,1370723.0
2010-03-04,110.82,111.34,110.03,111.21,1034277.0
2010-03-05,111.4,111.6,110.16,110.69,619663.0
2010-03-08,110.82,111.99,110.49,111.54,585807.0
2010-03-09,111.14,111.4,109.38,110.62,852058.0
2010-03-10,109.64,109.97,108.34,109.64,837007.0
2010-03-11,109.25,109.51,106.44,107.03,1279621.0
2010-03-12,107.03,107.55,105.47,105.53,1555807.0
2010-03-15,105.34,105.66,103.18,104.29,1356672.0
2010-03-16,104.36,107.1,104.36,107.1,1403433.0
2010-03-17,107.36,108.53,107.29,108.01,1210216.0
2010-03-18,107.75,108.66,107.16,107.36,1331085.0
2010-03-19,107.42,108.47,107.42,108.21,1089668.0
2010-03-22,107.82,109.38,106.38,108.6,1059332.0
2010-03-23,108.47,109.97,108.47,109.97,728218.0
2010-03-24,110.43,111.27,109.97,110.95,958316.0
2010-03-25,111.47,112.71,110.75,112.12,835630.0
2010-03-26,112.97,113.23,112.38,112.97,932998.0
2010-03-29,113.56,113.75,112.06,112.78,605734.0
2010-03-30,112.64,112.71,111.86,112.45,553598.0
2010-03-31,111.34,112.97,111.01,112.97,900814.0
