Date,Open,High,Low,Close,Volume
2017-10-19,31.12,31.79,26.33,26.81,4169798.0
2017-10-20,26.91,28.06,26.24,27.58,963942.0
2017-10-23,27.58,28.15,26.72,27.0,500942.0
2017-10-24,27.0,27.1,25.85,26.43,466389.0
2017-10-25,26.72,26.81,25.95,26.33,252385.0
2017-10-26,26.33,28.44,26.14,27.77,678810.0
2017-10-27,27.87,29.3,27.87,29.11,591481.0
2017-10-30,29.88,32.75,29.88,32.46,927536.0
2017-10-31,32.94,35.05,32.08,33.99,967677.0
2017-11-01,34.38,35.91,33.52,35.33,684534.0
2017-11-02,36.2,36.68,34.86,36.1,453425.0
2017-11-03,36.39,36.48,35.33,35.43,107198.0
2017-11-06,35.53,37.06,35.33,36.0,349525.0
2017-11-07,36.0,36.0,34.09,35.53,224827.0
2017-11-08,35.62,35.81,34.76,35.43,239707.0
2017-11-09,35.43,36.1,34.76,35.33,160401.0
2017-11-10,34.95,36.58,34.28,36.29,193869.0
2017-11-13,36.29,36.39,35.81,35.91,104717.0
2017-11-14,35.91,36.2,34.47,35.14,118880.0
2017-11-15,35.14,35.53,34.28,34.66,81097.0
2017-11-16,35.33,35.91,34.66,35.24,94997.0
2017-11-17,35.14,35.14,33.52,33.52,211987.0
2017-11-20,32.65,33.52,31.6,32.84,356314.0
2017-11-21,32.37,34.38,32.37,33.8,189854.0
2017-11-22,33.99,33.99,32.75,33.32,81782.0
2017-11-23,32.46,33.52,32.08,33.32,210170.0
2017-11-24,33.32,33.32,32.17,32.56,176092.0
2017-11-27,32.84,33.23,31.41,31.7,246423.0
2017-11-28,31.79,31.98,30.83,31.12,154174.0
2017-11-29,31.12,33.23,30.64,32.75,297661.0
2017-11-30,35.43,36.39,33.8,34.57,908548.0
2017-12-01,34.86,35.43,33.23,33.23,278549.0
2017-12-04,33.71,33.9,31.7,31.98,192176.0
2017-12-05,31.98,32.84,31.6,32.37,151548.0
2017-12-06,31.7,32.08,30.64,31.03,200257.0
