Date,Open,High,Low,Close,Volume
2016-06-16,6.2,7.17,6.09,6.5,1656858.0
2016-06-17,6.57,6.99,6.54,6.8,508976.0
2016-06-20,6.8,8.55,6.8,7.84,1495626.0
2016-06-21,7.84,8.26,7.4,7.55,269386.0
2016-06-22,7.43,7.47,6.95,7.21,185172.0
2016-06-23,7.21,9.08,7.21,9.08,791785.0
2016-06-27,8.14,8.96,7.69,8.55,326162.0
2016-06-28,8.7,8.93,8.55,8.93,237142.0
2016-06-29,8.96,9.11,8.78,9.11,301067.0
2016-06-30,8.93,9.67,8.93,9.26,199517.0
2016-07-01,9.38,9.75,9.38,9.64,189929.0
2016-07-04,9.79,10.94,9.79,10.8,812339.0
2016-07-05,10.83,11.28,10.53,10.65,358736.0
2016-07-06,10.61,11.5,10.31,11.28,428842.0
2016-07-07,11.58,11.73,11.02,11.36,196539.0
2016-07-08,11.36,11.36,10.83,11.13,72761.0
2016-07-11,11.21,11.5,10.83,11.09,143006.0
2016-07-12,10.68,11.06,10.65,10.94,187961.0
2016-07-13,10.94,11.09,10.76,10.91,28822.0
2016-07-14,10.98,11.36,10.8,10.98,146057.0
2016-07-15,11.21,12.25,11.02,12.25,392535.0
2016-07-18,12.25,13.45,11.95,13.07,345419.0
2016-07-19,13.07,13.75,13.07,13.6,378911.0
2016-07-20,13.75,16.14,13.75,16.06,1173012.0
2016-07-21,16.14,18.68,15.91,18.6,1123339.0
2016-07-22,18.68,19.35,16.06,17.85,1069797.0
2016-07-25,17.85,17.93,16.21,16.73,414788.0
2016-07-26,16.73,17.71,14.79,17.11,696249.0
2016-07-27,17.11,17.56,16.81,17.18,127805.0
2016-07-28,17.48,17.48,16.81,17.11,94045.0
2016-07-29,17.11,17.93,16.96,17.85,146952.0
2016-08-01,18.45,20.47,18.45,20.02,819058.0
2016-08-02,20.17,20.77,19.2,19.2,412147.0
2016-08-03,19.42,21.89,19.05,21.89,860737.0
2016-08-04,21.81,22.79,20.47,22.41,882097.0
2016-08-05,22.41,23.08,21.81,22.19,395970.0
2016-08-08,22.41,23.76,21.29,22.04,548011.0
2016-08-09,22.04,23.46,22.04,23.23,351018.0
2016-08-10,23.38,26.15,23.23,25.1,662959.0
2016-08-11,25.55,28.84,25.4,28.69,1131773.0
2016-08-12,29.21,29.43,25.62,26.37,1231158.0
2016-08-15,26.37,27.87,25.03,27.57,383305.0
2016-08-16,27.64,29.14,27.64,28.69,273246.0
2016-08-17,28.91,29.36,26.89,28.31,240292.0
2016-08-18,28.39,28.39,26.15,26.52,204102.0
2016-08-19,26.52,26.52,23.53,25.03,1148582.0
