Date,Open,High,Low,Close,Volume
2014-06-12,20.46,20.46,14.81,14.81,22204.0
2014-06-13,16.27,16.27,15.3,15.88,3710.0
2014-06-16,15.59,16.08,14.13,14.23,6001.0
2014-06-17,13.64,14.08,12.96,12.96,2447.0
2014-06-18,11.89,11.89,11.6,11.69,8790.0
2014-06-19,11.74,12.77,11.4,12.28,12652.0
2014-06-23,12.28,12.62,11.45,11.94,5800.0
2014-06-24,11.99,13.11,11.6,13.11,22806.0
2014-06-25,12.72,12.86,12.18,12.18,9244.0
2014-06-26,12.18,12.67,12.18,12.42,4904.0
2014-06-27,12.18,12.18,11.89,11.89,1960.0
2014-06-30,12.13,13.64,12.13,13.64,16195.0
2014-07-01,12.67,12.67,12.67,12.67,431.0
2014-07-02,12.52,12.52,12.47,12.47,3683.0
2014-07-03,12.28,12.28,12.28,12.28,410.0
2014-07-04,11.74,11.99,11.45,11.99,6714.0
2014-07-07,11.99,12.47,11.99,12.47,1539.0
2014-07-08,12.47,12.47,12.47,12.47,513.0
2014-07-09,11.55,12.33,11.5,11.5,4314.0
2014-07-10,11.55,12.67,11.55,12.67,10775.0
2014-07-11,11.5,12.23,11.5,12.18,3181.0
2014-07-14,12.08,12.33,12.08,12.33,2242.0
2014-07-15,12.33,12.33,12.33,12.33,0.0
2014-07-16,12.28,12.28,12.28,12.28,5.0
2014-07-17,12.28,12.28,12.28,12.28,0.0
2014-07-18,11.69,11.69,11.69,11.69,92.0
2014-07-21,11.69,11.69,11.69,11.69,431.0
2014-07-22,11.55,11.55,11.55,11.55,1899.0
2014-07-23,11.6,11.6,11.6,11.6,462.0
2014-07-24,11.4,11.4,11.21,11.21,1539.0
2014-07-25,11.21,11.21,10.72,10.72,1493.0
2014-07-28,9.84,10.72,9.84,10.62,2986.0
2014-07-29,10.43,11.45,10.43,11.45,1349.0
2014-07-30,10.23,10.23,10.18,10.18,1026.0
2014-07-31,11.45,17.83,11.45,16.57,60853.0
2014-08-01,16.57,17.34,13.64,14.62,23195.0
2014-08-04,14.81,15.01,13.93,13.93,5472.0
2014-08-05,13.74,13.79,12.77,13.79,6373.0
2014-08-06,13.2,13.2,12.62,12.67,6141.0
2014-08-07,12.52,12.57,12.47,12.57,3411.0
2014-08-08,12.57,13.15,12.57,13.06,1263.0
2014-08-11,13.64,13.64,13.64,13.64,780.0
2014-08-12,13.3,13.3,12.38,12.67,2593.0
2014-08-13,12.67,12.67,12.67,12.67,0.0
2014-08-14,13.06,14.13,13.06,14.13,2551.0
2014-08-15,14.13,14.13,14.13,14.13,0.0
2014-08-18,13.59,13.59,12.52,13.3,6820.0
2014-08-19,13.3,13.3,13.3,13.3,0.0
2014-08-20,13.25,14.13,13.25,14.13,472.0
2014-08-21,12.62,14.13,11.84,13.4,2486.0
2014-08-22,13.4,13.4,13.4,13.4,0.0
2014-08-25,12.67,13.4,11.5,12.18,11543.0
2014-08-26,12.18,12.18,12.18,12.18,0.0
2014-08-27,12.18,12.57,11.6,12.57,2661.0
2014-08-28,12.57,12.57,12.57,12.57,0.0
2014-08-29,12.57,13.15,12.57,12.67,1539.0
2014-09-01,12.33,13.89,12.33,13.89,12875.0
2014-09-02,13.89,13.89,13.35,13.64,4301.0
2014-09-03,13.74,13.89,13.64,13.89,6069.0
2014-09-04,13.89,13.89,13.89,13.89,0.0
2014-09-05,13.64,13.64,13.64,13.64,5131.0
2014-09-08,13.64,13.64,13.64,13.64,0.0
2014-09-09,13.15,13.15,12.86,12.86,2852.0
2014-09-10,12.77,12.77,12.18,12.52,2086.0
2014-09-11,11.99,13.64,11.99,12.96,1788.0
2014-09-12,13.45,13.45,13.45,13.45,103.0
2014-09-15,12.72,12.72,12.72,12.72,513.0
2014-09-16,12.72,12.86,12.18,12.86,1791.0
2014-09-17,13.06,13.06,11.89,12.38,3985.0
2014-09-18,12.52,13.15,12.52,13.15,1026.0
2014-09-19,12.23,12.23,12.23,12.23,154.0
2014-09-22,12.67,12.91,12.67,12.91,513.0
2014-09-23,12.91,12.91,12.91,12.91,0.0
