Date,Open,High,Low,Close,Volume
2014-10-10,37.91,37.91,37.04,37.91,3854144.0
2014-10-13,38.26,38.26,37.04,37.21,1005134.0
2014-10-14,37.48,37.65,37.21,37.39,637038.0
2014-10-15,37.48,37.65,37.04,37.04,723614.0
2014-10-16,37.04,37.21,37.04,37.04,1830437.0
2014-10-17,37.04,37.13,37.04,37.04,229200.0
2014-10-20,37.3,37.39,37.04,37.39,314551.0
2014-10-21,37.3,37.82,37.3,37.48,506043.0
2014-10-22,37.65,37.74,37.3,37.3,740174.0
2014-10-23,37.3,37.48,37.04,37.04,135450.0
2014-10-24,37.13,37.13,37.04,37.04,536939.0
2014-10-27,37.21,37.65,37.04,37.04,198872.0
2014-10-28,37.21,38.43,37.04,38.35,507740.0
2014-10-29,38.78,38.78,37.82,38.0,953427.0
2014-10-30,38.17,38.17,37.3,37.48,98558.0
2014-10-31,38.09,38.09,37.3,37.3,56490.0
2014-11-03,37.56,37.82,37.3,37.39,244199.0
2014-11-04,37.74,38.09,37.39,38.09,194008.0
2014-11-05,38.35,39.65,38.09,39.39,1246235.0
2014-11-06,39.74,40.0,39.04,39.13,508148.0
2014-11-07,39.48,39.48,38.87,39.48,1499551.0
2014-11-10,39.48,40.35,39.48,39.83,262271.0
2014-11-11,40.35,40.87,39.83,40.87,273605.0
2014-11-12,40.79,41.31,40.44,41.31,355905.0
2014-11-13,42.18,42.18,39.83,40.61,667668.0
2014-11-14,40.44,40.7,39.39,40.35,236276.0
2014-11-17,40.09,40.53,39.48,40.18,102499.0
2014-11-18,40.35,40.35,39.57,40.09,117238.0
2014-11-19,40.09,40.7,39.65,40.61,88235.0
2014-11-20,41.31,41.83,40.96,41.57,546265.0
2014-11-21,42.27,43.4,41.75,43.14,930983.0
2014-11-24,43.58,44.01,42.79,42.79,812177.0
2014-11-25,43.14,43.32,41.83,42.62,126546.0
2014-11-26,42.71,42.71,41.92,42.27,81770.0
2014-11-27,42.27,42.79,41.83,42.18,118588.0
2014-11-28,42.27,42.36,41.83,42.01,92958.0
2014-12-01,41.75,42.1,39.48,41.4,136256.0
2014-12-02,41.66,42.18,40.96,41.4,519090.0
2014-12-03,41.4,41.83,40.96,41.83,1235441.0
2014-12-04,42.1,42.62,41.4,41.4,254507.0
2014-12-05,41.83,42.36,41.66,41.66,173109.0
2014-12-08,42.01,42.1,41.57,41.57,106572.0
2014-12-09,41.48,41.83,41.05,41.14,89910.0
2014-12-10,41.57,42.44,41.4,42.27,311865.0
2014-12-11,42.27,42.27,41.48,42.01,74140.0
2014-12-12,42.01,42.01,41.57,41.92,186434.0
2014-12-15,42.27,42.27,41.75,41.75,189512.0
2014-12-16,41.57,41.66,40.79,41.66,255899.0
2014-12-17,41.83,42.01,41.05,41.4,227077.0
2014-12-18,41.48,42.88,41.4,42.62,215328.0
2014-12-19,42.71,43.14,41.83,43.14,211190.0
2014-12-22,43.32,44.01,42.71,44.01,191208.0
2014-12-23,44.01,44.88,43.58,44.45,109463.0
2014-12-29,44.88,45.1,44.45,44.45,90377.0
2014-12-30,43.58,44.88,43.58,44.45,102567.0
2015-01-02,44.45,44.88,43.58,44.88,139202.0
2015-01-05,44.67,45.76,44.67,44.88,59277.0
2015-01-07,45.32,45.76,43.79,45.32,199573.0
2015-01-08,45.54,46.41,44.88,45.97,163508.0
2015-01-09,46.63,47.72,46.19,47.72,244122.0
2015-01-12,47.93,48.81,47.5,48.81,203488.0
2015-01-13,49.24,49.46,47.72,47.93,258168.0
2015-01-14,47.72,49.02,46.84,48.81,747004.0
