Date,Open,High,Low,Close,Volume
2010-01-04,20.44,20.51,19.99,20.14,97166.0
2010-01-05,20.21,20.59,20.14,20.51,64140.0
2010-01-07,20.51,21.4,20.36,21.03,209691.0
2010-01-08,21.18,21.33,20.81,21.33,136578.0
2010-01-11,21.7,22.67,21.7,22.52,504633.0
2010-01-12,22.52,22.59,22.07,22.29,255692.0
2010-01-13,22.29,22.59,22.15,22.59,120646.0
2010-01-14,22.37,23.26,22.37,23.11,174091.0
2010-01-15,23.56,23.56,22.44,23.04,117344.0
2010-01-18,23.04,23.04,22.44,22.52,48328.0
2010-01-19,22.52,22.67,21.7,22.29,289692.0
2010-01-20,22.29,23.19,22.07,22.81,291400.0
2010-01-21,23.19,23.26,22.74,23.11,102966.0
2010-01-22,23.19,23.19,22.15,22.44,92169.0
2010-01-25,22.07,22.81,21.92,22.29,138529.0
2010-01-26,22.22,22.22,21.4,22.22,100658.0
2010-01-27,22.15,22.22,21.55,22.15,35209.0
2010-01-28,22.15,22.15,21.55,21.85,57009.0
2010-01-29,21.77,22.07,21.33,21.92,50263.0
2010-02-01,22.15,22.37,21.4,21.85,85730.0
2010-02-02,22.07,23.04,22.07,22.81,131841.0
2010-02-03,23.26,23.34,22.89,23.04,86892.0
2010-02-04,22.89,23.34,22.59,22.89,61895.0
2010-02-05,22.29,22.52,21.7,21.85,124817.0
2010-02-08,22.29,22.29,20.96,21.63,55238.0
2010-02-09,21.63,22.59,21.55,22.37,74693.0
2010-02-10,22.67,22.67,21.7,21.77,105537.0
2010-02-11,21.92,23.11,21.77,22.44,277203.0
2010-02-12,23.11,24.0,19.4,21.55,594832.0
2010-02-15,22.44,22.89,22.37,22.67,263390.0
2010-02-16,22.81,23.48,22.22,23.11,270692.0
2010-02-17,23.26,24.15,22.96,24.15,191980.0
2010-02-18,24.15,24.15,23.41,24.15,167829.0
2010-02-19,24.15,24.38,23.86,24.38,142802.0
2010-02-22,24.45,24.52,23.93,24.45,54496.0
2010-02-23,24.52,25.19,23.86,24.23,116062.0
2010-02-24,24.23,24.52,23.93,24.3,48248.0
2010-02-25,24.15,24.45,24.15,24.23,90232.0
2010-02-26,24.15,24.38,24.08,24.15,70177.0
2010-03-01,24.0,24.38,24.0,24.3,40898.0
2010-03-02,24.15,24.3,23.93,24.3,118640.0
2010-03-03,24.52,24.75,24.38,24.45,101514.0
2010-03-04,24.52,24.9,24.52,24.6,23470.0
2010-03-05,24.52,24.9,24.52,24.82,72651.0
2010-03-08,25.04,25.64,24.82,25.27,46401.0
2010-03-09,25.42,25.42,24.75,24.9,65414.0
2010-03-10,25.27,25.56,24.97,25.49,81003.0
2010-03-11,26.01,26.38,25.71,26.23,105390.0
2010-03-12,26.38,27.13,26.38,26.9,190100.0
2010-03-15,26.9,27.2,26.75,27.13,128023.0
2010-03-16,26.98,26.98,26.08,26.38,92437.0
2010-03-17,26.38,26.38,25.42,25.86,212181.0
2010-03-18,26.01,26.31,25.56,26.16,36124.0
2010-03-19,26.31,26.75,26.08,26.75,167486.0
2010-03-22,26.61,26.75,26.08,26.46,36787.0
2010-03-23,26.46,27.2,26.16,27.2,248952.0
2010-03-24,27.2,28.02,26.9,27.5,233374.0
2010-03-25,27.94,27.94,27.5,27.79,60886.0
2010-03-26,27.94,28.09,27.65,27.72,69742.0
2010-03-29,27.72,28.09,26.83,27.72,142321.0
2010-03-30,27.87,28.02,27.13,27.5,314679.0
2010-03-31,26.75,27.13,25.71,26.46,394130.0
2010-04-01,26.31,26.38,26.08,26.16,110469.0
2010-04-06,26.16,26.53,25.79,26.38,194391.0
2010-04-07,26.38,26.53,26.08,26.46,36092.0
2010-04-08,26.38,26.75,26.38,26.75,74464.0
2010-04-09,26.75,26.9,26.38,26.75,62197.0
2010-04-12,26.9,26.9,26.16,26.16,37000.0
2010-04-13,26.01,26.01,25.56,25.86,83010.0
2010-04-14,25.86,26.31,25.86,26.08,51358.0
2010-04-15,26.01,26.38,26.01,26.01,42021.0
2010-04-16,26.01,26.53,25.49,25.94,126594.0
2010-04-19,25.64,25.64,25.27,25.42,40665.0
2010-04-20,25.27,25.79,25.27,25.34,33272.0
2010-04-21,25.27,25.34,24.45,24.52,70148.0
2010-04-22,24.52,24.6,23.48,24.08,96726.0
2010-04-23,24.15,24.9,24.08,24.15,55207.0
2010-04-26,24.23,25.04,23.11,23.34,104803.0
2010-04-27,23.41,23.78,21.55,22.52,195529.0
2010-04-28,22.37,23.11,22.37,22.67,108071.0
2010-04-29,23.04,23.04,22.29,22.81,64253.0
2010-04-30,22.81,23.63,22.81,23.04,47609.0
2010-05-03,23.56,23.56,22.37,22.52,66571.0
2010-05-04,23.41,23.41,21.77,22.07,102876.0
2010-05-05,21.92,22.0,21.18,21.48,136942.0
2010-05-06,21.11,22.0,20.51,20.66,168817.0
2010-05-07,20.07,20.29,18.65,19.4,225528.0
2010-05-10,19.62,20.96,19.62,20.21,192769.0
2010-05-11,20.44,21.11,19.47,19.62,126282.0
2010-05-12,19.62,20.81,19.47,20.44,68900.0
2010-05-14,20.07,20.36,19.69,19.92,67545.0
2010-05-17,19.32,19.55,18.88,19.4,201827.0
2010-05-18,19.17,20.21,19.1,19.4,93394.0
2010-05-19,19.62,19.77,19.17,19.69,109616.0
2010-05-20,19.47,20.81,19.47,19.84,180675.0
2010-05-21,19.47,20.59,19.47,20.44,123939.0
2010-05-24,20.44,20.96,19.84,20.51,67292.0
2010-05-25,19.84,20.36,19.47,19.99,107758.0
2010-05-26,19.77,22.22,19.77,22.22,307759.0
2010-05-27,22.29,23.19,21.48,23.19,154456.0
2010-05-28,23.34,23.93,22.74,23.93,175120.0
2010-05-31,23.78,25.42,23.41,25.42,506709.0
2010-06-01,25.04,25.19,24.0,25.12,555457.0
2010-06-02,24.9,25.12,24.23,25.04,268112.0
2010-06-03,25.04,25.42,24.82,24.97,140101.0
2010-06-04,24.52,25.49,24.52,24.9,84681.0
2010-06-07,24.9,25.12,24.15,24.82,132531.0
2010-06-08,25.27,25.27,24.23,24.45,122852.0
2010-06-09,24.52,24.9,24.0,24.45,95642.0
2010-06-10,24.15,25.12,23.93,24.9,105383.0
2010-06-11,24.9,25.34,24.75,25.19,60940.0
2010-06-14,24.9,25.71,24.9,25.71,60689.0
2010-06-15,25.71,26.01,25.34,25.56,133206.0
2010-06-16,26.31,26.31,24.6,24.75,91571.0
2010-06-17,24.9,24.9,23.78,24.0,72088.0
2010-06-18,24.0,24.0,23.34,23.34,74585.0
2010-06-21,23.41,23.78,22.89,22.89,65766.0
2010-06-22,22.89,22.89,21.77,22.44,146271.0
2010-06-23,22.29,22.52,22.07,22.44,82740.0
2010-06-24,22.29,22.44,21.63,22.22,110541.0
2010-06-28,23.04,23.04,21.48,22.29,248983.0
2010-06-29,22.29,22.29,21.25,21.55,71646.0
2010-06-30,20.96,22.22,20.66,20.88,128549.0
2010-07-01,20.81,20.81,20.29,20.36,102126.0
2010-07-02,20.81,21.03,20.29,20.44,68694.0
2010-07-05,21.48,21.48,20.73,20.73,26588.0
2010-07-06,21.48,21.63,20.96,21.48,32983.0
2010-07-07,21.55,21.55,21.18,21.33,31718.0
2010-07-08,21.63,21.77,21.48,21.55,25760.0
2010-07-09,21.7,21.92,21.25,21.33,21292.0
2010-07-12,22.22,22.22,21.33,22.0,69969.0
2010-07-13,21.77,22.15,21.55,21.7,80291.0
2010-07-14,21.25,21.77,21.03,21.03,71239.0
2010-07-15,21.18,21.55,20.59,20.59,63380.0
2010-07-16,21.92,23.41,21.92,22.59,350549.0
2010-07-19,22.89,22.89,21.7,22.44,145555.0
2010-07-20,22.89,22.89,22.15,22.22,297864.0
2010-07-21,22.29,23.26,22.29,22.81,252945.0
2010-07-22,22.67,23.04,22.67,22.96,49735.0
2010-07-23,23.11,23.41,22.96,23.19,58540.0
2010-07-26,23.34,23.78,23.19,23.78,155065.0
2010-07-27,23.78,24.3,23.56,23.56,163958.0
2010-07-28,23.56,24.0,23.56,23.78,53988.0
2010-07-29,23.63,23.78,23.04,23.11,44833.0
2010-07-30,23.04,23.41,22.29,22.67,133798.0
2010-08-02,23.04,23.26,22.44,22.74,61586.0
2010-08-03,23.04,23.63,22.81,23.34,69475.0
2010-08-04,23.19,23.78,23.19,23.48,68072.0
2010-08-05,23.78,24.08,23.34,23.34,75880.0
2010-08-06,23.41,23.78,23.34,23.34,53442.0
2010-08-09,23.63,23.71,23.41,23.56,47125.0
2010-08-10,23.56,23.56,23.04,23.19,52283.0
2010-08-11,23.11,23.19,22.59,22.67,78564.0
2010-08-12,22.44,22.74,22.0,22.37,70721.0
2010-08-13,22.67,22.67,22.37,22.52,34378.0
2010-08-16,22.52,22.52,22.29,22.37,29306.0
2010-08-17,22.52,23.34,22.29,23.34,57451.0
2010-08-18,23.41,23.41,23.11,23.26,25881.0
2010-08-19,23.26,23.56,23.04,23.41,146126.0
2010-08-20,23.19,23.26,22.96,23.04,40641.0
2010-08-23,22.67,23.34,22.67,23.26,35195.0
2010-08-24,22.96,23.19,22.67,22.67,165171.0
2010-08-25,22.52,23.04,21.92,22.22,49684.0
2010-08-26,22.22,22.67,22.07,22.29,36790.0
2010-08-27,22.29,22.89,22.07,22.22,53414.0
2010-08-30,22.22,22.37,21.92,22.0,47715.0
2010-08-31,21.85,22.29,21.7,22.15,23488.0
2010-09-01,22.29,22.74,22.22,22.67,67493.0
2010-09-02,22.67,22.67,22.37,22.44,30767.0
2010-09-03,22.37,22.74,22.29,22.74,35778.0
2010-09-06,22.74,22.81,22.44,22.59,32958.0
2010-09-07,22.37,23.04,22.37,23.04,125328.0
2010-09-08,23.04,23.78,23.04,23.71,75478.0
2010-09-09,23.63,24.67,23.41,24.52,579890.0
2010-09-10,24.45,24.82,24.45,24.67,132233.0
2010-09-13,24.67,25.27,24.6,24.97,699587.0
2010-09-14,25.27,25.27,24.82,25.04,53389.0
2010-09-15,25.12,25.79,25.04,25.79,120288.0
