Date,Open,High,Low,Close,Volume
2014-06-19,24.51,24.51,21.89,22.82,40816.0
2014-06-23,22.82,23.49,22.82,23.24,9982.0
2014-06-24,23.49,24.42,23.24,24.34,17146.0
2014-06-25,24.08,24.08,23.24,23.49,12804.0
2014-06-26,23.32,23.49,22.65,22.82,3615.0
2014-06-27,22.82,23.24,22.82,23.15,7930.0
2014-06-30,22.82,23.49,22.82,23.41,16332.0
2014-07-01,23.24,23.49,22.82,22.82,4566.0
2014-07-02,22.82,23.49,22.82,23.49,3382.0
2014-07-03,22.82,23.49,22.82,23.07,7875.0
2014-07-04,23.07,23.58,22.82,23.32,9763.0
2014-07-07,23.32,23.32,23.24,23.32,1306.0
2014-07-08,22.82,23.07,22.48,22.99,6019.0
2014-07-09,22.82,22.82,18.59,22.73,7779.0
2014-07-10,23.15,23.15,20.45,22.65,6739.0
2014-07-11,21.13,22.65,21.13,21.72,8522.0
2014-07-14,21.8,22.31,21.04,21.46,11602.0
2014-07-15,20.79,21.38,20.62,21.04,8458.0
2014-07-16,20.7,20.7,19.52,19.94,12645.0
2014-07-17,19.94,20.7,19.94,20.28,8241.0
2014-07-18,19.94,19.94,19.44,19.86,3627.0
2014-07-21,19.86,20.53,19.86,20.37,4840.0
2014-07-22,19.94,19.94,19.86,19.86,3044.0
2014-07-23,19.61,19.86,19.01,19.86,4491.0
2014-07-24,19.44,20.28,19.44,20.28,6904.0
2014-07-25,20.28,20.28,20.28,20.28,466.0
2014-07-28,19.86,19.86,19.86,19.86,1982.0
2014-07-29,19.86,20.28,19.1,19.94,5019.0
2014-07-30,19.1,19.18,19.01,19.18,1166.0
2014-07-31,18.93,19.44,18.68,19.18,6487.0
2014-08-01,19.1,19.1,18.59,18.59,4905.0
2014-08-04,18.68,19.86,18.68,19.69,3778.0
2014-08-05,19.86,21.3,19.86,20.28,14650.0
2014-08-06,21.38,21.38,18.84,20.28,5952.0
2014-08-07,19.18,20.2,19.01,19.01,3743.0
2014-08-08,18.68,18.68,18.0,18.68,4859.0
2014-08-11,18.68,24.42,18.68,21.38,4905.0
2014-08-12,19.52,21.97,19.52,20.96,2463.0
2014-08-13,18.84,21.55,18.84,21.55,2494.0
2014-08-14,22.14,22.22,21.13,21.55,6677.0
2014-08-15,21.97,21.97,21.13,21.97,5254.0
2014-08-18,20.79,21.8,20.62,21.13,3615.0
2014-08-19,21.13,21.13,21.13,21.13,964.0
2014-08-20,21.13,21.13,21.13,21.13,0.0
2014-08-21,20.45,21.13,20.28,21.13,1050.0
2014-08-25,21.8,21.8,20.53,21.13,3265.0
2014-08-26,19.86,21.72,19.86,21.55,2302.0
2014-08-27,20.28,21.55,18.84,21.55,8578.0
2014-08-28,20.79,21.55,19.86,21.04,9068.0
2014-08-29,20.62,20.62,19.61,20.53,5533.0
2014-09-01,19.86,19.94,18.51,19.61,2977.0
2014-09-02,18.84,19.27,18.68,18.68,6862.0
2014-09-03,18.59,19.77,18.59,18.68,12181.0
2014-09-04,19.35,19.35,18.59,18.76,2584.0
2014-09-05,19.18,19.18,18.25,19.18,676.0
2014-09-08,18.25,19.61,18.25,19.18,359.0
2014-09-09,19.01,19.27,18.59,18.59,2319.0
2014-09-10,19.01,19.01,19.01,19.01,35.0
2014-09-11,18.0,18.93,17.32,18.59,12560.0
2014-09-12,18.42,19.01,18.42,19.01,5256.0
2014-09-15,17.75,18.42,17.75,18.42,8233.0
2014-09-16,18.17,19.01,18.17,18.93,680.0
2014-09-17,18.25,18.93,18.25,18.93,700.0
2014-09-18,18.93,18.93,18.93,18.93,0.0
2014-09-19,18.84,18.84,17.32,18.76,1950.0
2014-09-22,17.92,18.93,17.92,18.93,554.0
2014-09-23,17.32,18.59,16.99,18.51,7300.0
