Date,Open,High,Low,Close,Volume
2010-01-04,8.84,8.89,8.75,8.89,18606.0
2010-01-05,8.84,8.89,8.84,8.84,1511.0
2010-01-07,8.93,9.07,8.93,9.03,7018.0
2010-01-08,8.98,8.98,8.79,8.79,18117.0
2010-01-11,8.84,8.93,8.84,8.84,13400.0
2010-01-12,8.84,8.89,8.75,8.79,11445.0
2010-01-13,8.84,8.89,8.84,8.89,9410.0
2010-01-14,8.84,9.12,8.75,8.84,66108.0
2010-01-15,8.84,8.89,8.84,8.84,3026.0
2010-01-18,8.89,8.89,8.84,8.84,2216.0
2010-01-19,8.84,8.89,8.84,8.89,3968.0
2010-01-20,8.89,8.89,8.79,8.79,16645.0
2010-01-21,8.89,8.89,8.84,8.84,14000.0
2010-01-22,8.84,8.89,8.84,8.84,1060.0
2010-01-25,8.84,8.84,8.84,8.84,500.0
2010-01-26,8.89,8.89,8.75,8.84,5742.0
2010-01-27,8.84,8.84,8.84,8.84,1874.0
2010-01-28,8.75,8.89,8.75,8.84,8893.0
2010-01-29,8.84,8.93,8.84,8.84,2775.0
2010-02-01,8.93,8.93,8.93,8.93,100.0
2010-02-02,8.84,8.89,8.84,8.89,1502.0
2010-02-03,8.89,8.89,8.79,8.84,5100.0
2010-02-04,8.89,8.93,8.75,8.89,8500.0
2010-02-05,8.84,8.84,8.61,8.79,39420.0
2010-02-08,8.84,8.84,8.7,8.75,8120.0
2010-02-09,8.84,8.84,8.65,8.65,8000.0
2010-02-10,8.7,8.7,8.7,8.7,200.0
2010-02-11,8.79,8.79,8.79,8.79,900.0
2010-02-15,8.7,8.7,8.61,8.61,7500.0
2010-02-16,8.79,8.84,8.7,8.7,3420.0
2010-02-17,8.75,8.89,8.7,8.79,27011.0
2010-02-18,8.84,8.84,8.79,8.79,2278.0
2010-02-19,8.84,8.89,8.75,8.84,9180.0
2010-02-22,8.84,8.89,8.84,8.84,8279.0
2010-02-23,8.79,8.89,8.79,8.79,5200.0
2010-02-24,8.84,8.93,8.84,8.89,5750.0
2010-02-25,8.93,8.93,8.79,8.79,9000.0
2010-02-26,8.84,8.89,8.84,8.84,9330.0
2010-03-01,8.84,8.93,8.84,8.84,2955.0
2010-03-02,8.89,9.03,8.89,8.98,7125.0
2010-03-03,8.93,9.03,8.84,8.89,10110.0
2010-03-04,9.03,9.03,8.93,8.93,24900.0
2010-03-05,8.98,9.03,8.89,8.98,17749.0
2010-03-08,8.98,8.98,8.93,8.93,7260.0
2010-03-09,9.03,9.12,8.93,9.03,625030.0
2010-03-10,9.21,9.31,9.17,9.31,24161.0
2010-03-11,9.31,9.49,9.07,9.49,9628.0
2010-03-12,9.45,9.77,9.31,9.45,34517.0
2010-03-15,9.45,9.63,9.31,9.31,23450.0
2010-03-16,9.49,9.58,9.21,9.35,16112.0
2010-03-17,9.4,9.77,9.4,9.63,23362.0
2010-03-18,9.54,9.68,9.4,9.54,3700.0
2010-03-19,9.54,9.54,9.4,9.4,2270.0
2010-03-22,9.54,9.58,9.54,9.54,10109.0
2010-03-23,9.63,9.77,9.58,9.68,10354.0
2010-03-24,9.68,9.68,9.45,9.45,1855.0
2010-03-25,9.54,9.54,9.45,9.49,14156.0
2010-03-26,9.72,9.72,9.49,9.72,18920.0
2010-03-29,10.0,10.0,9.54,9.77,16291.0
2010-03-30,9.77,9.82,9.77,9.82,9000.0
2010-03-31,9.82,9.91,9.82,9.86,13110.0
2010-04-01,9.96,9.96,9.91,9.91,7450.0
2010-04-06,10.24,10.24,10.05,10.24,18028.0
2010-04-07,10.47,10.47,10.05,10.05,10778.0
2010-04-08,10.24,10.38,10.1,10.24,16844.0
2010-04-09,10.28,10.38,10.24,10.33,12212.0
2010-04-12,10.61,10.61,10.24,10.38,23850.0
2010-04-13,10.42,10.47,10.28,10.42,36905.0
2010-04-14,10.47,10.47,10.02,10.42,21731.0
2010-04-15,10.37,10.42,10.12,10.12,4417.0
2010-04-16,9.97,9.97,9.97,9.97,5093.0
2010-04-19,9.97,10.02,9.97,9.97,1850.0
2010-04-20,9.97,10.12,9.97,10.12,1207.0
2010-04-21,10.22,10.22,9.77,9.92,6339.0
2010-04-22,9.52,9.72,9.47,9.57,12940.0
2010-04-23,9.62,9.62,9.52,9.52,5714.0
2010-04-26,9.82,9.82,9.38,9.47,4389.0
2010-04-27,9.72,9.72,9.47,9.47,3764.0
2010-04-28,9.28,9.67,9.28,9.67,3450.0
2010-04-29,9.72,9.72,9.28,9.28,1205.0
2010-04-30,9.38,9.47,9.38,9.47,1020.0
2010-05-03,9.47,9.47,9.47,9.47,2030.0
2010-05-04,9.47,9.47,9.33,9.33,9686.0
2010-05-05,9.23,9.47,8.78,8.98,14830.0
2010-05-06,8.88,8.98,8.88,8.98,11824.0
2010-05-07,8.93,8.93,8.33,8.63,13489.0
2010-05-10,9.38,9.38,9.18,9.33,1000.0
2010-05-11,9.33,9.33,8.73,8.73,7000.0
2010-05-12,8.98,9.62,8.78,9.42,2600.0
2010-05-14,8.98,9.18,8.98,9.18,2500.0
2010-05-17,9.42,9.42,9.23,9.23,800.0
2010-05-18,9.03,9.03,8.98,8.98,1700.0
2010-05-19,9.03,9.03,8.98,8.98,4270.0
2010-05-20,8.73,8.73,8.58,8.58,1550.0
2010-05-21,8.58,9.13,8.58,9.13,984.0
2010-05-24,9.13,9.13,9.13,9.13,50.0
2010-05-25,8.68,8.73,8.68,8.73,1500.0
2010-05-26,8.73,8.98,8.68,8.68,4514.0
2010-05-27,8.93,8.93,8.68,8.73,5010.0
2010-05-28,8.98,8.98,8.73,8.73,4886.0
2010-05-31,9.23,9.38,9.23,9.38,1026.0
2010-06-01,9.42,9.42,9.23,9.23,600.0
2010-06-02,9.23,9.23,9.23,9.23,1000.0
2010-06-03,8.88,9.08,8.88,9.08,2600.0
2010-06-04,8.98,8.98,8.88,8.93,4539.0
2010-06-07,8.73,8.93,8.73,8.93,4066.0
2010-06-08,8.73,8.73,8.73,8.73,3028.0
2010-06-09,8.83,8.98,8.83,8.98,12249.0
2010-06-10,8.98,8.98,8.78,8.78,0.0
2010-06-11,8.98,8.98,8.48,8.88,9000.0
2010-06-14,8.88,8.88,8.73,8.83,5220.0
2010-06-15,8.98,8.98,8.63,8.63,1565.0
2010-06-16,8.98,8.98,8.58,8.58,4100.0
2010-06-17,8.88,8.88,8.88,8.88,500.0
2010-06-18,8.88,8.88,8.88,8.88,1000.0
2010-06-21,8.88,8.93,8.63,8.68,2429.0
2010-06-22,8.73,8.73,8.73,8.73,100.0
2010-06-23,8.93,8.93,8.93,8.93,700.0
2010-06-24,8.93,8.93,8.93,8.93,1000.0
2010-06-28,8.83,8.83,8.53,8.58,1510.0
2010-06-29,8.58,8.73,8.58,8.73,2470.0
2010-06-30,8.73,8.73,8.43,8.73,12116.0
2010-07-01,8.68,8.68,8.28,8.28,0.0
2010-07-02,8.13,8.53,8.13,8.53,500.0
2010-07-05,8.03,8.58,8.03,8.58,600.0
2010-07-06,8.43,8.68,8.43,8.68,3011.0
2010-07-07,8.58,8.58,8.58,8.58,265.0
2010-07-08,8.33,8.68,8.33,8.68,4682.0
2010-07-09,8.68,8.68,8.48,8.48,0.0
2010-07-12,8.53,8.53,8.53,8.53,638.0
2010-07-13,8.38,8.68,8.38,8.68,1325.0
2010-07-14,8.68,8.68,8.48,8.48,1450.0
2010-07-15,8.53,8.53,8.48,8.48,8890.0
2010-07-16,8.53,8.53,8.53,8.53,1109.0
2010-07-19,8.38,8.38,8.23,8.38,7389.0
2010-07-20,8.38,8.68,8.38,8.68,7240.0
2010-07-21,8.88,8.88,8.33,8.33,4907.0
2010-07-22,8.48,8.48,8.48,8.48,2015.0
2010-07-23,8.73,8.73,8.48,8.48,56.0
2010-07-26,8.68,8.68,8.58,8.58,417.0
2010-07-27,8.63,8.63,8.43,8.58,15268.0
2010-07-28,8.73,8.88,8.68,8.68,13000.0
2010-07-29,8.68,8.68,8.63,8.63,0.0
2010-07-30,8.73,8.73,8.73,8.73,1000.0
2010-08-02,8.73,8.73,8.68,8.68,2300.0
2010-08-03,8.73,8.73,8.58,8.58,0.0
2010-08-04,8.73,8.73,8.58,8.58,3688.0
2010-08-05,8.73,8.73,8.58,8.58,3180.0
2010-08-06,8.63,8.68,8.63,8.63,5000.0
2010-08-09,8.73,8.73,8.73,8.73,450.0
2010-08-10,8.73,8.73,8.63,8.63,0.0
2010-08-11,8.63,8.63,8.63,8.63,4000.0
2010-08-12,8.38,8.73,8.28,8.43,22420.0
2010-08-13,8.38,8.48,8.38,8.38,14859.0
2010-08-16,8.63,8.63,8.48,8.53,5299.0
2010-08-17,8.33,8.53,8.33,8.53,2100.0
2010-08-18,8.48,8.58,8.33,8.58,4000.0
2010-08-19,8.58,8.58,8.58,8.58,60.0
2010-08-20,8.58,8.58,8.58,8.58,200.0
2010-08-23,8.38,8.38,8.33,8.38,17000.0
2010-08-24,8.33,8.53,8.33,8.53,1873.0
2010-08-25,8.28,8.43,8.28,8.28,11968.0
2010-08-26,8.48,8.53,8.48,8.48,3320.0
2010-08-27,8.43,8.43,8.43,8.43,10000.0
2010-08-30,8.28,8.48,8.28,8.43,10900.0
2010-08-31,8.23,8.23,8.23,8.23,1688.0
2010-09-01,8.38,8.38,8.28,8.28,0.0
2010-09-02,8.38,8.43,8.38,8.43,7700.0
2010-09-03,8.43,8.43,8.43,8.43,100.0
2010-09-06,8.38,8.38,8.38,8.38,100.0
2010-09-07,8.33,8.38,8.33,8.38,1000.0
2010-09-08,8.23,8.23,8.03,8.03,3758.0
2010-09-09,8.38,8.38,8.38,8.38,5285.0
2010-09-10,8.38,8.38,8.38,8.38,600.0
2010-09-13,8.38,8.38,8.38,8.38,1000.0
2010-09-14,8.38,8.38,8.38,8.38,40285.0
2010-09-15,8.38,8.38,8.33,8.38,4500.0
2010-09-16,8.43,8.43,8.08,8.38,4700.0
2010-09-17,8.38,8.38,8.38,8.38,110.0
2010-09-21,8.38,8.38,8.23,8.23,6050.0
2010-09-22,8.38,8.38,8.18,8.18,0.0
2010-09-24,8.38,8.38,8.38,8.38,880.0
2010-09-27,8.38,8.38,8.38,8.38,3195.0
2010-09-28,8.38,8.38,8.08,8.33,5008.0
2010-09-29,8.38,8.38,8.33,8.33,4010.0
2010-09-30,8.23,8.38,8.23,8.38,29063.0
2010-10-01,8.38,8.38,8.33,8.38,6104.0
2010-10-04,8.38,8.38,8.13,8.38,3250.0
2010-10-05,8.38,8.38,8.38,8.38,2400.0
2010-10-06,8.23,8.43,8.18,8.43,6439.0
2010-10-07,8.38,8.38,8.33,8.33,0.0
2010-10-08,8.38,8.48,8.28,8.43,8614.0
2010-10-11,8.43,8.73,8.43,8.73,6000.0
2010-10-12,8.73,8.73,8.43,8.63,8150.0
