Date,Open,High,Low,Close,Volume
2014-06-18,7.46,7.46,6.49,6.57,51146.0
2014-06-19,6.69,6.69,6.41,6.53,20185.0
2014-06-23,6.45,6.97,6.29,6.65,63219.0
2014-06-24,6.65,6.65,6.45,6.49,19224.0
2014-06-25,6.49,6.49,6.25,6.49,10509.0
2014-06-26,6.33,6.33,6.05,6.05,16123.0
2014-06-27,6.29,6.45,6.05,6.45,11720.0
2014-06-30,6.13,6.37,5.85,6.37,13258.0
2014-07-01,6.33,6.49,6.33,6.41,27112.0
2014-07-02,6.37,6.45,6.37,6.45,8818.0
2014-07-03,6.45,6.49,6.45,6.45,11726.0
2014-07-04,6.37,6.41,6.25,6.41,6598.0
2014-07-07,6.41,6.41,6.41,6.41,1860.0
2014-07-08,6.17,6.41,6.05,6.41,2536.0
2014-07-09,6.05,6.05,5.24,5.64,38560.0
2014-07-10,5.68,6.37,5.52,6.37,40235.0
2014-07-11,6.45,6.81,6.45,6.69,38187.0
2014-07-14,6.69,7.06,6.69,6.93,27998.0
2014-07-15,6.85,7.01,6.81,6.85,8613.0
2014-07-16,6.93,7.1,6.85,7.06,17670.0
2014-07-17,7.06,7.14,6.85,7.06,47885.0
2014-07-18,7.1,7.1,6.93,6.93,1488.0
2014-07-21,7.01,7.1,7.01,7.01,3969.0
2014-07-22,7.01,7.01,7.01,7.01,1240.0
2014-07-23,7.26,8.06,7.26,7.82,18765.0
2014-07-24,7.98,9.27,7.74,8.02,50871.0
2014-07-25,8.06,8.06,7.82,8.06,16537.0
2014-07-28,8.47,8.79,8.02,8.79,59168.0
2014-07-29,9.27,9.88,9.27,9.88,72111.0
2014-07-30,10.44,14.76,10.44,13.71,166124.0
2014-07-31,15.32,16.45,13.79,14.51,130740.0
2014-08-01,15.32,15.72,13.71,15.0,112274.0
2014-08-04,15.32,19.75,15.32,19.11,309484.0
2014-08-05,20.16,22.5,16.29,20.08,353862.0
2014-08-06,20.0,20.0,17.17,17.5,139072.0
2014-08-07,17.66,17.74,16.21,16.61,95733.0
2014-08-08,16.13,17.74,14.76,16.93,77782.0
2014-08-11,17.74,18.79,17.74,17.98,63441.0
2014-08-12,18.38,18.38,16.13,16.69,49943.0
2014-08-13,16.93,17.34,15.4,15.96,24021.0
2014-08-14,15.96,16.13,13.87,14.27,85799.0
2014-08-15,14.27,14.92,12.98,14.59,50947.0
2014-08-18,14.43,14.51,13.38,13.71,48377.0
2014-08-19,13.63,13.63,11.45,12.74,110137.0
2014-08-20,12.34,13.3,11.45,12.01,61505.0
2014-08-21,11.61,11.81,11.21,11.77,39956.0
2014-08-22,11.77,12.5,11.45,12.34,21027.0
2014-08-25,13.22,13.22,12.34,12.66,16194.0
2014-08-26,13.06,13.06,11.89,12.18,14493.0
2014-08-27,12.82,12.82,12.26,12.5,8951.0
2014-08-28,12.5,12.5,12.26,12.5,23779.0
2014-08-29,13.22,17.09,13.22,16.69,405750.0
2014-09-01,17.66,17.74,15.0,15.32,186215.0
2014-09-02,15.32,16.05,14.76,15.08,34129.0
2014-09-03,15.32,17.58,15.32,17.5,88060.0
2014-09-04,17.5,21.29,17.5,19.67,225336.0
2014-09-05,19.83,20.08,18.63,18.95,132157.0
2014-09-08,19.35,19.35,16.93,17.9,132489.0
2014-09-09,17.9,20.48,17.42,19.43,165021.0
2014-09-10,20.0,20.32,19.27,19.83,46312.0
2014-09-11,19.83,20.16,18.95,19.75,46466.0
2014-09-12,19.75,21.37,18.79,20.56,98886.0
2014-09-15,20.56,22.42,20.56,21.85,76641.0
2014-09-16,22.01,25.96,21.77,25.72,127978.0
2014-09-17,25.88,28.22,23.54,27.9,278577.0
2014-09-18,28.22,30.24,22.17,22.17,400770.0
2014-09-19,22.58,23.87,20.4,23.14,298333.0
2014-09-22,22.98,23.7,22.01,22.66,85811.0
2014-09-23,22.66,23.14,20.88,22.74,120741.0
2014-09-24,22.5,22.5,21.85,22.25,65081.0
2014-09-25,22.66,25.8,22.33,23.38,185308.0
2014-09-26,23.38,24.83,23.06,23.7,45869.0
2014-09-29,24.19,24.19,20.72,21.85,90535.0
2014-09-30,22.17,23.38,20.4,20.48,111829.0
2014-10-01,20.48,22.33,19.75,21.85,63889.0
2014-10-02,21.61,22.5,20.96,21.37,46748.0
2014-10-03,22.9,23.22,21.37,23.22,36227.0
2014-10-06,23.14,23.22,22.33,22.9,26203.0
2014-10-07,22.98,22.98,21.61,21.61,37292.0
2014-10-08,21.69,22.5,20.56,21.21,21930.0
2014-10-09,22.58,22.58,20.64,21.77,67520.0
2014-10-10,21.69,21.69,20.08,21.37,30540.0
2014-10-13,21.77,21.77,18.22,21.21,57571.0
2014-10-14,20.56,21.21,19.35,19.59,20274.0
2014-10-15,19.67,20.0,17.98,19.19,36877.0
2014-10-16,19.11,19.35,17.74,19.27,44748.0
2014-10-17,19.35,20.16,18.54,18.95,32921.0
