Date,Open,High,Low,Close,Volume
2017-03-15,6.7,6.7,5.1,6.05,1294518.0
2017-03-16,6.05,6.05,5.45,5.5,326576.0
2017-03-17,5.55,5.55,4.8,5.35,394156.0
2017-03-20,5.35,5.35,4.84,5.1,307732.0
2017-03-21,5.1,5.1,4.83,4.9,291920.0
2017-03-22,4.89,5.65,4.75,5.25,466773.0
2017-03-23,5.2,5.2,4.9,5.0,287442.0
2017-03-24,5.0,5.3,4.91,4.99,227891.0
2017-03-27,4.99,5.0,4.75,4.99,131088.0
2017-03-28,4.99,5.0,4.72,4.76,114124.0
2017-03-29,4.82,4.96,4.7,4.81,69775.0
2017-03-30,4.89,4.89,4.75,4.84,106883.0
2017-03-31,4.9,4.9,4.7,4.78,93462.0
2017-04-03,4.89,4.89,4.5,4.73,81962.0
2017-04-04,4.64,4.65,4.51,4.63,80804.0
2017-04-05,4.6,4.6,4.46,4.46,62192.0
2017-04-06,4.43,4.6,4.28,4.41,42216.0
2017-04-07,4.6,4.69,4.46,4.69,47138.0
2017-04-10,4.7,4.95,4.7,4.8,47591.0
2017-04-11,4.7,4.8,4.5,4.5,33760.0
2017-04-12,4.64,4.64,4.31,4.4,21453.0
2017-04-13,4.48,4.48,4.36,4.44,6005.0
2017-04-18,4.49,4.49,4.3,4.39,29316.0
2017-04-19,4.39,4.48,4.13,4.45,74821.0
2017-04-20,4.26,4.5,4.21,4.5,58052.0
2017-04-21,4.5,4.5,4.31,4.43,29439.0
2017-04-24,4.43,4.49,4.25,4.49,39706.0
2017-04-25,4.42,4.68,4.22,4.66,39222.0
2017-04-26,4.65,4.65,4.2,4.4,48671.0
2017-04-27,4.41,4.64,4.32,4.42,27637.0
2017-04-28,4.4,4.52,4.25,4.28,36743.0
2017-05-02,4.28,4.42,4.15,4.32,22352.0
2017-05-03,4.39,4.39,4.18,4.18,34845.0
2017-05-04,4.25,4.3,4.12,4.28,51854.0
2017-05-05,4.09,4.24,4.08,4.13,58052.0
2017-05-08,4.19,4.23,4.01,4.09,52395.0
2017-05-09,4.15,4.15,3.92,3.96,75140.0
2017-05-10,3.95,4.0,3.79,3.82,64867.0
2017-05-11,3.95,3.95,3.77,3.85,38354.0
2017-05-12,3.85,3.85,3.75,3.84,41207.0
2017-05-15,3.85,3.87,3.63,3.7,62901.0
2017-05-16,3.7,3.77,3.6,3.7,28193.0
2017-05-17,3.7,3.8,3.6,3.79,23468.0
2017-05-18,3.79,3.82,3.6,3.67,12429.0
2017-05-19,3.75,4.06,3.75,4.05,53270.0
2017-05-22,4.06,4.1,3.85,4.1,41387.0
2017-05-23,4.1,4.1,3.85,3.96,39760.0
2017-05-24,3.96,3.99,3.8,3.98,22322.0
2017-05-26,3.98,4.0,3.85,3.99,18110.0
2017-05-29,3.99,4.2,3.7,4.02,55521.0
2017-05-30,4.25,4.25,4.01,4.11,15448.0
2017-05-31,4.09,4.09,3.87,4.09,110337.0
2017-06-01,4.09,4.12,4.0,4.12,13217.0
2017-06-02,4.15,4.15,4.0,4.03,40528.0
2017-06-05,4.1,4.59,4.1,4.2,90832.0
2017-06-06,4.2,4.2,4.2,4.2,0.0
2017-06-07,4.2,4.2,4.04,4.12,17621.0
2017-06-08,4.15,4.35,4.13,4.35,51183.0
2017-06-09,4.34,4.59,4.25,4.59,34900.0
2017-06-12,4.6,4.6,4.27,4.46,30432.0
2017-06-13,4.5,4.5,4.27,4.34,34693.0
2017-06-14,4.34,4.4,4.25,4.4,30112.0
2017-06-15,4.44,4.44,4.24,4.38,18777.0
2017-06-16,4.39,4.43,4.23,4.37,21356.0
2017-06-19,4.37,4.5,4.2,4.4,44741.0
2017-06-20,4.4,4.94,4.4,4.73,132483.0
2017-06-21,4.7,4.7,4.31,4.46,67339.0
2017-06-22,4.74,4.74,4.45,4.49,34378.0
2017-06-23,4.49,4.49,4.49,4.49,0.0
2017-06-26,4.5,4.65,4.3,4.35,11468.0
2017-06-27,4.49,4.49,4.2,4.2,48778.0
2017-06-28,4.25,5.5,4.2,5.0,213593.0
2017-06-29,5.0,5.2,4.75,4.97,78460.0
2017-06-30,4.97,5.8,4.51,4.75,108000.0
2017-07-03,4.51,4.94,4.35,4.38,75661.0
2017-07-04,5.4,5.4,4.41,4.84,80018.0
2017-07-05,4.85,4.95,4.8,4.95,61776.0
2017-07-06,4.95,5.5,4.95,5.15,171251.0
2017-07-07,5.2,5.4,5.2,5.35,55654.0
2017-07-10,5.6,5.8,5.6,5.8,74466.0
2017-07-11,5.85,5.85,5.6,5.7,67701.0
2017-07-12,5.6,5.75,5.5,5.6,22222.0
2017-07-13,5.8,5.95,5.75,5.85,65984.0
2017-07-14,5.85,7.25,5.85,7.0,353299.0
2017-07-17,7.1,7.5,6.55,7.35,272899.0
2017-07-18,7.4,7.45,6.9,7.1,138454.0
2017-07-19,7.2,7.25,7.0,7.2,92225.0
2017-07-20,7.3,7.45,7.15,7.3,82046.0
2017-07-21,7.3,7.3,7.0,7.1,100912.0
2017-07-24,7.1,8.1,6.9,7.95,144470.0
2017-07-25,8.0,8.6,7.95,8.55,187936.0
2017-07-26,8.6,9.15,8.55,9.05,160951.0
2017-07-27,9.1,10.4,9.1,10.0,273990.0
2017-07-28,10.55,10.55,8.1,9.9,320937.0
2017-07-31,10.0,11.3,10.0,11.05,222881.0
2017-08-01,11.15,12.0,11.1,11.2,169500.0
2017-08-02,11.25,11.3,10.25,10.65,123105.0
2017-08-03,10.5,10.5,9.0,10.1,264830.0
2017-08-04,10.1,11.2,10.1,10.6,98874.0
2017-08-07,11.0,11.9,11.0,11.7,154149.0
2017-08-08,11.7,13.25,11.5,13.1,267812.0
2017-08-09,13.1,13.85,12.45,13.0,280128.0
2017-08-10,13.2,13.2,12.3,12.45,92044.0
2017-08-11,12.4,12.9,12.15,12.4,113956.0
2017-08-14,12.4,12.85,12.3,12.55,65247.0
2017-08-15,12.9,13.4,12.7,13.2,75041.0
2017-08-16,13.6,14.0,13.3,13.65,114882.0
2017-08-17,14.0,15.0,13.75,14.9,137449.0
2017-08-18,14.95,15.9,14.15,15.3,254706.0
2017-08-21,15.4,16.6,14.5,16.4,321837.0
2017-08-22,16.8,17.2,16.5,17.0,424287.0
2017-08-23,17.0,17.2,14.15,15.7,363777.0
2017-08-24,15.5,15.5,13.45,14.0,282497.0
2017-08-25,14.1,15.5,14.1,15.1,138575.0
2017-08-28,15.4,17.6,15.4,16.1,205733.0
2017-08-29,16.2,16.3,14.7,15.0,136148.0
2017-08-30,15.0,15.4,14.5,15.0,50287.0
2017-08-31,15.0,15.0,13.9,13.95,125720.0
2017-09-01,14.0,15.0,12.45,13.25,297719.0
2017-09-04,13.25,13.3,12.0,12.2,180431.0
2017-09-05,12.2,12.3,10.65,12.3,384981.0
2017-09-06,12.45,13.5,12.35,12.9,175063.0
2017-09-07,13.05,14.0,12.9,13.6,95016.0
2017-09-08,14.25,14.25,13.0,13.5,70571.0
2017-09-11,13.5,13.5,12.45,12.7,91505.0
2017-09-12,12.65,12.7,12.05,12.45,33573.0
2017-09-13,12.45,13.0,12.05,12.4,61363.0
2017-09-14,12.4,12.4,11.6,12.0,115201.0
2017-09-15,11.9,11.95,11.15,11.3,91898.0
2017-09-18,11.3,11.75,11.0,11.4,64549.0
2017-09-19,11.4,11.5,11.1,11.4,44422.0
2017-09-20,11.4,11.6,10.8,11.2,59310.0
2017-09-21,11.5,11.5,11.0,11.1,60838.0
2017-09-22,11.4,13.5,11.0,12.7,89146.0
2017-09-25,12.7,13.55,12.7,13.3,80496.0
2017-09-26,13.3,13.4,12.75,12.9,60906.0
2017-09-27,13.0,13.0,11.85,12.3,85219.0
2017-09-28,12.2,12.9,12.0,12.0,61791.0
2017-09-29,12.0,12.75,11.95,12.3,67455.0
2017-10-02,12.35,13.2,12.0,13.1,164412.0
2017-10-03,13.0,13.5,12.4,13.2,88342.0
2017-10-04,13.25,13.8,13.2,13.4,73336.0
2017-10-05,13.7,13.9,13.25,13.7,47223.0
2017-10-06,13.75,14.75,13.75,14.55,114159.0
2017-10-09,14.55,14.55,13.45,14.15,81858.0
2017-10-10,14.5,14.7,14.4,14.65,56276.0
2017-10-11,14.7,14.7,14.0,14.35,61300.0
2017-10-12,14.35,14.35,13.1,13.5,76752.0
2017-10-13,13.6,13.65,12.9,13.15,83670.0
2017-10-16,13.1,13.1,12.1,12.75,57842.0
2017-10-17,12.3,12.75,12.0,12.3,44532.0
2017-10-18,12.4,13.15,12.05,12.15,29367.0
2017-10-19,12.2,12.45,12.0,12.05,34714.0
2017-10-20,12.35,12.35,12.05,12.3,8335.0
2017-10-23,12.3,12.3,11.4,12.0,40348.0
2017-10-24,12.0,12.5,11.55,12.2,15728.0
2017-10-25,12.25,12.45,11.6,11.9,44614.0
2017-10-26,11.9,12.2,11.7,12.05,31651.0
2017-10-27,12.3,13.0,12.2,12.6,24549.0
2017-10-30,13.3,13.5,12.0,12.35,36113.0
2017-10-31,12.35,12.55,11.85,12.05,25633.0
2017-11-01,12.1,12.2,11.5,11.8,45304.0
2017-11-02,12.0,12.2,11.4,11.9,14916.0
2017-11-03,11.85,11.85,11.4,11.7,10490.0
2017-11-06,11.7,11.7,11.0,11.35,56486.0
2017-11-07,11.35,11.35,10.65,10.8,63217.0
2017-11-08,10.8,11.4,10.75,10.95,40743.0
2017-11-09,10.95,11.25,10.6,11.0,30795.0
2017-11-10,11.0,11.2,10.7,10.95,8836.0
2017-11-13,10.95,11.7,10.75,10.8,14164.0
2017-11-14,10.75,11.0,10.6,10.7,8834.0
2017-11-15,10.6,10.6,9.8,10.0,36118.0
2017-11-16,10.0,10.7,9.5,10.7,54547.0
2017-11-17,10.95,10.95,10.15,10.8,8014.0
