Date,Open,High,Low,Close,Volume
2010-01-04,88.22,90.92,88.22,90.3,642481
2010-01-05,90.92,93.0,90.5,92.37,268314
2010-01-07,91.34,94.24,90.92,93.62,707731
2010-01-08,94.03,95.07,92.58,94.66,507521
2010-01-11,95.28,95.69,91.34,91.75,819284
2010-01-12,92.17,92.17,89.26,90.3,949843
2010-01-13,89.67,89.67,88.01,89.05,977558
2010-01-14,90.09,90.92,89.05,89.05,886234
2010-01-15,89.67,91.34,89.67,89.67,920899
2010-01-18,90.09,90.5,89.47,89.88,903405
2010-01-19,89.67,90.3,88.43,89.67,1490484
2010-01-20,89.67,89.88,85.94,87.18,663564
2010-01-21,87.81,88.01,84.07,84.07,1357439
2010-01-22,84.07,85.11,80.75,82.2,1754996
2010-01-25,81.58,85.11,81.16,83.86,725481
2010-01-26,84.07,84.07,81.79,82.82,856360
2010-01-27,82.2,87.18,81.79,85.94,1325317
2010-01-28,87.18,88.22,83.65,83.86,1121533
2010-01-29,84.48,85.11,83.24,83.45,1081080
2010-02-01,83.03,87.39,82.41,87.18,888477
2010-02-02,87.81,88.43,86.56,87.39,780655
2010-02-03,88.01,88.01,86.35,87.39,1001648
2010-02-04,88.43,89.26,82.62,83.24,1661970
2010-02-05,83.03,83.45,80.33,82.41,2749124
2010-02-08,83.65,83.65,78.47,79.3,1949662
2010-02-09,79.3,82.41,78.47,81.16,1957327
2010-02-10,82.62,82.82,81.16,81.99,772248
2010-02-11,81.99,83.65,80.54,82.2,677175
2010-02-12,82.41,83.03,78.26,79.3,1215511
2010-02-15,79.5,79.92,76.39,77.01,792791
2010-02-16,77.01,78.26,77.01,77.22,1235707
2010-02-17,77.84,79.92,77.63,79.3,1588613
2010-02-18,79.5,79.71,77.63,79.09,1224772
2010-02-19,78.67,81.58,77.43,81.16,1065929
2010-02-22,82.2,82.41,80.96,81.79,659449
2010-02-23,82.2,82.62,80.96,81.37,677668
2010-02-24,81.79,81.99,80.13,80.96,869416
2010-02-25,80.33,80.75,78.88,78.88,712860
2010-02-26,79.5,80.13,77.84,79.5,822140
2010-03-01,79.71,81.58,79.5,81.16,907239
2010-03-02,81.16,83.86,80.96,83.65,1046418
2010-03-03,83.65,85.32,82.41,85.32,1340190
2010-03-04,84.48,84.9,83.65,84.69,1186402
2010-03-05,84.28,85.32,83.45,84.69,1012703
2010-03-08,85.52,86.77,84.9,86.15,641420
2010-03-09,86.15,86.77,83.45,84.9,920216
2010-03-10,84.9,86.35,84.07,85.94,692892
2010-03-11,85.32,86.35,85.11,86.15,518118
2010-03-12,86.35,88.84,86.15,88.64,1029837
2010-03-15,88.64,88.64,86.98,87.39,673784
2010-03-16,87.6,88.43,86.77,86.98,436919
2010-03-17,87.39,88.64,85.94,86.56,410996
2010-03-18,86.35,87.18,85.73,86.56,474170
2010-03-19,86.77,87.18,84.9,85.11,711546
2010-03-22,85.11,87.6,83.86,86.35,717114
2010-03-23,86.35,88.22,86.35,87.81,635363
2010-03-24,87.81,88.22,85.73,87.39,495907
2010-03-25,87.18,89.05,87.18,88.22,691641
2010-03-26,88.22,88.43,87.18,87.81,311687
2010-03-29,87.81,89.05,86.77,87.18,604606
2010-03-30,88.01,88.64,86.77,87.18,339249
2010-03-31,86.77,87.6,85.32,85.52,480194
2010-04-01,85.94,87.18,85.94,86.98,146487
2010-04-06,87.6,90.5,87.6,89.67,898982
2010-04-07,90.09,92.17,89.88,90.92,935374
2010-04-08,90.71,90.71,89.05,89.88,622110
2010-04-09,90.71,91.13,89.67,90.92,615160
2010-04-12,90.92,92.79,90.71,91.96,543273
2010-04-13,91.96,92.79,90.5,91.33,843947
2010-04-14,91.33,91.33,89.47,90.3,642132
2010-04-15,90.5,91.75,90.09,91.54,371452
2010-04-16,91.54,93.62,91.34,91.75,973139
2010-04-19,91.34,91.54,89.88,91.13,816555
2010-04-20,91.75,93.2,91.54,93.2,664064
2010-04-21,93.2,93.41,91.33,92.17,512684
2010-04-22,92.37,92.79,88.84,90.3,817524
2010-04-23,90.3,92.37,89.88,91.96,868935
2010-04-26,92.58,97.15,92.58,96.52,1769193
2010-04-27,96.73,96.73,93.83,95.28,1061804
2010-04-28,93.83,95.49,91.13,93.2,1585706
2010-04-29,93.62,96.32,91.75,96.32,831042
2010-04-30,96.32,97.56,95.9,96.52,264125
2010-05-03,96.32,97.98,94.24,97.98,407270
2010-05-04,98.6,98.6,93.2,93.62,1198810
2010-05-05,92.58,92.58,88.22,88.84,2093792
2010-05-06,88.31,92.52,86.0,88.73,2697728
2010-05-07,84.53,88.31,84.32,86.0,3407517
2010-05-10,88.31,96.3,88.31,95.88,2376143
2010-05-11,94.62,96.93,93.36,96.93,1524232
2010-05-12,95.46,95.88,91.26,93.36,1932944
2010-05-14,93.99,94.2,91.47,92.1,1147657
2010-05-17,90.84,92.1,89.15,90.42,1352077
2010-05-18,91.26,92.1,89.79,90.84,910414
2010-05-19,89.79,90.0,86.84,86.84,1324491
2010-05-20,87.47,88.73,83.06,84.53,1947959
2010-05-21,83.69,86.0,81.16,83.9,1530405
2010-05-24,84.95,86.21,82.64,83.27,773208
2010-05-25,79.9,82.43,78.22,79.69,2742673
2010-05-26,81.58,83.06,81.37,82.01,1230877
2010-05-27,82.85,84.74,82.43,84.74,859964
2010-05-28,86.0,86.63,82.43,82.85,1721411
2010-05-31,83.06,84.11,80.95,80.95,3232548
2010-06-01,80.95,84.32,80.74,82.64,2895046
2010-06-02,83.48,84.32,82.01,84.11,1376350
2010-06-03,85.79,86.63,85.37,85.37,1245863
2010-06-04,86.0,86.84,83.48,83.69,1137950
2010-06-07,82.38,84.78,81.67,83.39,1108567
2010-06-08,83.81,84.53,81.37,82.22,787800
