Date,Open,High,Low,Close,Volume
2010-01-04,17.97,18.16,17.66,17.85,121341.0
2010-01-05,17.79,17.85,17.66,17.79,19398.0
2010-01-07,17.85,18.1,17.54,17.97,99096.0
2010-01-08,17.85,18.03,17.73,17.85,111025.0
2010-01-11,17.85,18.16,17.73,17.85,137384.0
2010-01-12,17.79,17.91,17.36,17.66,74313.0
2010-01-13,17.66,17.79,17.42,17.73,79952.0
2010-01-14,17.79,18.59,17.73,18.22,528662.0
2010-01-15,18.28,18.46,18.03,18.46,160834.0
2010-01-18,18.4,18.46,17.85,18.4,57507.0
2010-01-19,18.34,19.08,18.03,19.08,147173.0
2010-01-20,19.02,19.08,18.28,18.34,101552.0
2010-01-21,18.46,18.53,18.1,18.22,125630.0
2010-01-22,18.4,18.53,18.16,18.53,170659.0
2010-01-25,18.46,19.26,18.22,19.14,1839973.0
2010-01-26,19.08,19.63,18.77,19.63,227821.0
2010-01-27,19.45,19.7,19.26,19.7,171835.0
2010-01-28,19.39,20.25,18.83,19.63,339033.0
2010-01-29,19.63,20.0,19.08,19.94,177918.0
2010-02-01,19.88,20.19,19.7,20.19,229456.0
2010-02-02,21.97,22.1,21.23,21.66,787091.0
2010-02-03,21.73,21.73,20.68,21.05,271265.0
2010-02-04,20.93,21.05,20.43,20.56,117536.0
2010-02-05,20.31,20.5,20.06,20.31,229747.0
2010-02-08,20.37,20.86,19.82,20.86,145266.0
2010-02-09,20.31,20.86,20.31,20.86,170714.0
2010-02-10,20.93,20.93,20.31,20.68,161111.0
2010-02-11,20.68,20.93,20.68,20.8,70082.0
2010-02-12,20.62,20.62,20.0,20.56,59628.0
2010-02-15,20.56,20.68,19.51,20.06,55382.0
2010-02-16,20.06,20.06,19.51,19.57,63067.0
2010-02-17,19.76,20.19,19.26,20.19,59393.0
2010-02-18,20.13,20.13,19.7,19.76,13536.0
2010-02-19,20.06,20.06,19.2,19.63,104931.0
2010-02-22,19.26,19.63,19.26,19.51,37715.0
2010-02-23,19.39,19.51,18.65,18.96,92174.0
2010-02-24,18.96,19.33,18.77,19.26,78829.0
2010-02-25,19.14,19.2,18.83,19.02,50291.0
2010-02-26,19.02,19.02,18.65,18.96,60047.0
2010-03-01,18.96,19.51,18.83,18.96,233928.0
2010-03-02,19.14,20.37,19.14,19.94,78306.0
2010-03-03,20.0,20.19,19.7,20.13,41214.0
2010-03-04,19.57,20.5,19.57,20.19,84663.0
2010-03-05,20.43,20.43,19.45,20.19,58134.0
2010-03-08,20.19,20.43,19.76,20.43,94633.0
2010-03-09,20.43,20.56,20.06,20.5,102055.0
2010-03-10,20.56,20.56,20.06,20.43,35038.0
2010-03-11,20.5,20.5,19.94,20.0,49948.0
2010-03-12,20.37,20.5,19.82,20.43,65889.0
2010-03-15,20.43,20.43,20.19,20.37,19037.0
2010-03-16,20.31,20.56,20.31,20.43,28882.0
2010-03-17,20.62,21.66,20.62,21.66,232276.0
2010-03-18,21.3,21.54,21.05,21.42,49776.0
2010-03-19,21.48,21.73,21.36,21.66,85277.0
2010-03-22,21.3,23.02,21.3,22.47,140654.0
2010-03-23,22.16,22.65,22.16,22.65,199882.0
2010-03-24,22.59,22.65,22.34,22.4,115946.0
2010-03-25,22.65,22.65,22.28,22.4,52101.0
2010-03-26,22.34,23.02,22.1,22.77,84505.0
2010-03-29,23.14,23.2,21.85,22.34,129748.0
2010-03-30,22.65,22.65,22.16,22.47,123548.0
2010-03-31,22.47,22.71,22.47,22.71,76232.0
2010-04-01,22.22,22.9,21.85,22.77,125404.0
2010-04-06,23.47,23.85,23.47,23.6,125253.0
2010-04-07,23.79,23.79,22.9,23.15,107001.0
2010-04-08,22.9,23.34,22.52,22.71,38626.0
2010-04-09,22.77,23.47,22.58,22.9,55993.0
2010-04-12,23.22,23.34,22.33,22.33,58376.0
2010-04-13,22.33,22.46,21.95,22.46,64156.0
2010-04-14,22.84,23.09,22.2,22.58,99731.0
2010-04-15,22.58,22.71,21.76,22.14,74958.0
2010-04-16,22.14,22.2,21.76,21.88,56870.0
2010-04-19,21.69,22.39,21.63,21.63,202460.0
