Date,Open,High,Low,Close,Volume
2010-01-04,14.78,15.33,14.78,15.23,309198.0
2010-01-05,15.3,15.3,15.0,15.07,336247.0
2010-01-07,14.97,15.2,14.91,15.04,385918.0
2010-01-08,15.23,15.76,15.23,15.43,749953.0
2010-01-11,15.73,15.82,15.23,15.23,480317.0
2010-01-12,15.23,15.23,14.68,14.84,528797.0
2010-01-13,14.81,15.0,14.58,14.74,349128.0
2010-01-14,14.84,14.84,14.58,14.74,536861.0
2010-01-15,14.74,14.81,14.55,14.78,363969.0
2010-01-18,14.74,14.81,14.45,14.51,422555.0
2010-01-19,14.48,14.61,14.15,14.45,838801.0
2010-01-20,14.51,14.84,14.51,14.61,295783.0
2010-01-21,14.61,14.94,14.61,14.74,3244265.0
2010-01-22,14.68,14.68,14.32,14.38,358941.0
2010-01-25,14.25,14.42,13.99,14.12,159994.0
2010-01-26,14.25,14.25,13.63,13.83,312354.0
2010-01-27,13.96,14.15,13.69,14.02,162799.0
2010-01-28,14.15,14.38,13.53,13.76,276626.0
2010-01-29,14.09,14.35,13.96,14.15,305724.0
2010-02-01,14.38,14.38,13.99,14.19,570931.0
2010-02-02,14.19,14.48,14.09,14.42,420357.0
2010-02-03,14.42,14.71,14.32,14.48,318113.0
2010-02-04,14.55,14.55,14.09,14.09,208367.0
2010-02-05,13.92,14.22,13.69,13.89,311459.0
2010-02-08,14.48,14.48,13.76,13.92,274963.0
2010-02-09,14.09,14.58,14.09,14.58,586901.0
2010-02-10,14.81,14.81,14.42,14.48,259948.0
2010-02-11,14.42,14.68,14.25,14.42,209445.0
2010-02-12,14.28,14.28,13.76,14.02,848885.0
2010-02-15,13.92,14.45,13.92,14.28,382246.0
2010-02-16,14.58,14.81,14.45,14.58,357061.0
2010-02-17,14.64,14.87,14.61,14.71,802328.0
2010-02-18,14.58,14.58,14.35,14.48,503756.0
2010-02-19,14.42,14.68,14.22,14.51,510483.0
2010-02-22,14.61,14.74,14.42,14.48,422244.0
2010-02-23,14.55,14.58,14.38,14.48,377094.0
2010-02-24,14.45,14.45,14.22,14.32,85816.0
2010-02-25,14.42,14.48,14.25,14.28,492044.0
2010-02-26,14.42,14.58,14.35,14.58,137251.0
2010-03-01,14.74,14.84,14.61,14.81,365803.0
2010-03-02,14.81,14.97,14.64,14.81,593390.0
2010-03-03,14.64,15.23,14.64,15.23,675019.0
2010-03-04,15.23,15.82,15.17,15.53,758479.0
2010-03-05,15.66,15.79,15.46,15.69,684051.0
2010-03-08,15.73,16.63,15.73,15.99,692847.0
2010-03-09,16.05,16.32,15.79,16.12,323663.0
2010-03-10,16.12,16.87,16.12,16.87,799120.0
2010-03-11,16.87,17.61,16.46,17.45,964914.0
2010-03-12,18.1,18.84,17.86,18.51,1516679.0
2010-03-15,18.51,19.17,18.35,18.67,778029.0
2010-03-16,18.76,19.58,18.76,19.25,756699.0
2010-03-17,19.33,19.58,18.67,19.0,1497453.0
2010-03-18,18.92,18.92,18.02,18.26,1246301.0
2010-03-19,18.26,18.67,18.02,18.02,454647.0
2010-03-22,17.94,18.43,17.86,18.26,508099.0
2010-03-23,18.67,19.17,18.67,19.0,835623.0
2010-03-24,19.17,19.74,19.08,19.49,1122328.0
2010-03-25,19.66,20.23,19.17,20.07,645314.0
2010-03-26,20.23,20.23,19.82,19.82,402434.0
2010-03-29,20.31,20.64,19.66,19.98,546873.0
2010-03-30,19.82,19.98,19.33,19.41,530467.0
2010-03-31,19.49,19.66,19.0,19.33,408050.0
2010-04-01,19.58,19.58,19.17,19.33,182557.0
2010-04-06,19.66,19.66,19.17,19.33,419213.0
2010-04-07,19.33,19.58,19.17,19.25,263373.0
2010-04-08,19.25,19.49,18.67,19.41,502681.0
2010-04-09,19.33,19.82,19.33,19.58,421850.0
2010-04-12,19.66,19.74,19.41,19.49,174248.0
2010-04-13,19.33,19.9,18.84,19.33,582008.0
2010-04-14,19.66,19.9,19.41,19.49,597194.0
2010-04-15,19.66,19.66,19.41,19.58,613344.0
2010-04-16,19.74,20.39,19.49,19.58,978780.0
2010-04-19,19.66,19.74,19.08,19.33,425464.0
2010-04-20,19.66,20.89,19.66,20.8,1000577.0
2010-04-21,20.8,21.21,20.56,20.8,763375.0
2010-04-22,20.97,21.3,20.31,20.64,1035511.0
2010-04-23,21.62,23.59,21.62,23.26,2019648.0
2010-04-26,23.26,25.39,23.26,25.06,2052857.0
2010-04-27,25.23,25.23,24.33,24.49,857209.0
2010-04-28,24.24,24.82,23.26,24.24,713130.0
2010-04-29,24.41,24.9,24.08,24.9,558667.0
2010-04-30,24.9,26.13,24.9,26.05,632289.0
2010-05-03,25.64,26.21,25.64,26.21,1824839.0
2010-05-04,26.21,26.54,24.41,24.9,1142495.0
2010-05-05,24.49,24.49,22.93,23.02,1037663.0
2010-05-06,22.28,24.24,21.79,22.61,1773288.0
2010-05-07,21.3,22.36,20.72,21.13,1593619.0
2010-05-10,21.79,24.57,21.79,24.57,1775758.0
2010-05-11,24.24,24.41,23.59,24.0,660951.0
2010-05-12,24.24,24.41,23.92,24.24,283698.0
2010-05-14,24.57,24.57,23.67,23.75,455978.0
2010-05-17,22.93,24.49,22.61,24.08,679509.0
2010-05-18,24.49,24.49,24.08,24.49,441092.0
2010-05-19,24.08,24.16,23.18,23.18,459052.0
2010-05-20,22.93,23.75,21.87,22.11,569512.0
2010-05-21,21.46,23.26,21.3,22.52,735434.0
2010-05-24,23.18,23.51,22.52,23.26,434306.0
2010-05-25,22.85,22.85,21.95,22.2,624137.0
2010-05-26,22.69,23.34,22.69,22.77,707523.0
2010-05-27,23.26,24.08,23.26,23.92,627012.0
2010-05-28,24.57,24.57,23.75,23.92,439108.0
2010-05-31,23.92,24.16,23.92,24.0,124398.0
2010-06-01,23.75,24.16,23.18,24.08,391247.0
2010-06-02,23.92,24.41,23.67,24.0,530229.0
2010-06-03,24.24,24.57,24.24,24.57,503032.0
2010-06-04,24.57,24.82,23.67,23.67,245929.0
2010-06-07,23.1,24.16,22.61,23.26,341607.0
2010-06-08,23.75,24.49,22.93,23.26,758363.0
2010-06-09,23.59,23.92,23.02,23.59,272817.0
2010-06-10,23.42,23.92,23.26,23.83,312863.0
2010-06-11,24.0,24.08,22.85,23.59,373834.0
2010-06-14,23.92,25.23,23.75,24.98,738275.0
2010-06-15,25.06,25.23,24.57,24.65,536724.0
2010-06-16,24.98,25.31,24.16,24.49,347587.0
2010-06-17,24.74,25.23,24.49,24.98,244415.0
2010-06-18,24.98,25.14,24.33,24.41,347987.0
2010-06-21,24.98,25.06,24.57,24.74,522573.0
2010-06-22,24.74,24.74,24.33,24.65,257830.0
2010-06-23,24.49,24.82,24.33,24.57,271181.0
2010-06-24,24.9,24.9,23.83,24.0,427982.0
2010-06-28,24.24,24.24,23.34,23.59,177242.0
2010-06-29,23.26,23.51,22.11,22.28,376758.0
2010-06-30,22.28,22.93,21.79,22.03,572839.0
2010-07-01,21.95,21.95,20.72,20.97,540991.0
2010-07-02,21.46,21.87,21.46,21.62,511805.0
2010-07-05,21.7,22.11,21.62,22.03,164298.0
2010-07-06,22.69,23.51,22.11,22.93,451198.0
2010-07-07,23.26,23.26,22.52,23.1,543848.0
2010-07-08,23.26,24.57,23.26,24.57,600637.0
2010-07-09,24.74,25.06,24.57,24.74,344690.0
2010-07-12,25.72,26.86,25.55,26.13,933850.0
2010-07-13,26.21,26.86,26.05,26.54,1001239.0
2010-07-14,26.62,27.52,26.54,27.52,477191.0
2010-07-15,27.44,27.52,26.78,27.44,654709.0
2010-07-16,27.77,28.26,26.7,26.86,1000900.0
2010-07-19,26.54,26.7,25.64,25.8,513911.0
2010-07-20,25.8,26.37,25.8,25.96,575904.0
2010-07-21,26.7,26.78,25.8,26.05,464524.0
2010-07-22,26.05,26.21,25.88,26.21,231211.0
2010-07-23,26.13,26.21,25.88,25.96,270680.0
2010-07-26,26.13,26.46,26.05,26.37,208971.0
2010-07-27,26.54,26.86,26.46,26.78,515355.0
2010-07-28,26.95,26.95,26.37,26.86,143642.0
2010-07-29,26.62,26.7,26.21,26.37,292578.0
2010-07-30,26.37,26.37,25.8,26.21,215006.0
2010-08-02,26.21,26.86,26.21,26.62,142849.0
2010-08-03,26.7,26.78,26.54,26.7,121550.0
2010-08-04,26.54,26.62,26.21,26.29,207876.0
2010-08-05,26.29,26.46,25.8,25.8,241998.0
2010-08-06,26.05,26.29,25.72,25.8,192831.0
2010-08-09,26.21,26.21,25.72,25.96,213010.0
2010-08-10,26.05,26.05,25.64,25.88,227472.0
2010-08-11,25.64,25.96,24.49,24.74,598152.0
2010-08-12,24.33,25.14,23.59,23.92,836099.0
2010-08-13,24.08,24.74,23.92,24.65,375976.0
2010-08-16,24.49,25.23,24.49,25.23,184620.0
2010-08-17,25.31,25.39,24.9,24.98,166862.0
2010-08-18,24.65,24.98,24.41,24.49,274056.0
2010-08-19,24.65,24.74,23.83,23.92,533724.0
2010-08-20,23.83,24.0,23.1,23.26,262225.0
2010-08-23,23.42,23.83,22.93,23.02,335371.0
2010-08-24,23.18,23.18,21.95,22.44,312866.0
2010-08-25,22.36,22.93,21.79,21.95,582091.0
2010-08-26,22.28,22.52,22.03,22.2,649031.0
2010-08-27,22.2,22.85,22.2,22.77,229645.0
2010-08-30,23.1,23.42,22.61,22.69,137745.0
2010-08-31,22.52,22.61,21.7,21.95,405663.0
2010-09-01,22.2,22.28,21.62,22.03,1256374.0
2010-09-02,22.2,22.93,22.03,22.44,1682888.0
2010-09-03,22.61,24.08,22.61,23.75,1066822.0
2010-09-06,24.0,24.0,23.42,23.83,277182.0
2010-09-07,23.75,23.92,23.1,23.59,513716.0
2010-09-08,23.42,24.9,23.18,24.74,1791792.0
2010-09-09,24.9,25.88,24.82,25.88,1063528.0
2010-09-10,25.64,25.96,25.39,25.88,680367.0
2010-09-13,25.88,26.46,25.47,25.47,939509.0
2010-09-14,25.64,25.96,25.39,25.88,442364.0
