Date,Open,High,Low,Close,Volume
2010-01-04,8.66,9.26,8.66,9.26,27292.0
2010-01-05,9.63,9.63,8.96,8.96,14120.0
2010-01-07,9.26,9.33,9.26,9.26,18860.0
2010-01-08,9.26,9.33,9.0,9.0,13592.0
2010-01-11,9.33,9.7,9.18,9.7,87264.0
2010-01-12,9.7,9.7,9.63,9.63,11212.0
2010-01-13,9.63,9.63,9.59,9.63,21408.0
2010-01-14,9.63,10.23,9.63,10.0,505304.0
2010-01-15,9.74,9.74,9.74,9.74,800.0
2010-01-18,10.08,10.08,9.74,10.0,932.0
2010-01-19,10.08,10.23,9.74,10.23,23744.0
2010-01-20,10.75,10.82,10.45,10.6,51292.0
2010-01-21,11.2,11.87,11.2,11.35,144712.0
2010-01-22,11.35,11.35,10.79,10.79,28324.0
2010-01-25,11.12,11.35,11.12,11.35,26732.0
2010-01-26,11.35,11.35,10.82,11.05,97416.0
2010-01-27,11.09,11.35,11.05,11.35,4328.0
2010-01-28,11.35,11.35,10.9,11.2,20080.0
2010-01-29,11.2,11.2,11.05,11.2,4560.0
2010-02-01,11.12,11.2,10.9,11.2,20396.0
2010-02-02,11.05,11.2,10.9,10.9,9328.0
2010-02-03,11.12,11.12,10.9,11.12,4000.0
2010-02-04,11.12,11.12,10.79,10.9,130644.0
2010-02-05,10.75,10.75,10.75,10.75,13016.0
2010-02-08,10.45,10.45,9.85,10.15,49212.0
2010-02-09,10.45,10.75,10.3,10.68,22384.0
2010-02-10,11.05,11.05,10.45,10.6,3868.0
2010-02-11,10.45,10.45,10.38,10.45,7700.0
2010-02-12,10.45,10.45,10.15,10.15,24104.0
2010-02-15,10.3,10.3,9.93,9.93,5200.0
2010-02-16,9.93,9.97,9.93,9.97,4452.0
2010-02-17,10.0,10.0,10.0,10.0,77488.0
2010-02-18,9.93,10.04,9.85,10.0,15436.0
2010-02-19,10.08,10.23,9.89,10.04,28000.0
2010-02-22,10.15,10.15,9.7,9.78,12000.0
2010-02-23,9.78,9.78,9.78,9.78,6400.0
2010-02-24,9.56,9.78,9.56,9.78,23840.0
2010-02-25,9.78,10.0,9.78,10.0,12292.0
2010-02-26,10.04,10.45,10.04,10.15,7000.0
2010-03-01,10.3,10.45,10.15,10.3,8672.0
2010-03-02,10.0,10.45,9.97,10.45,22796.0
2010-03-03,10.38,10.38,10.15,10.26,14788.0
2010-03-04,10.23,10.3,10.15,10.15,204000.0
2010-03-05,10.3,10.3,9.93,9.93,11600.0
2010-03-08,9.74,10.15,9.74,10.08,22528.0
2010-03-09,10.0,10.0,9.67,9.97,49168.0
2010-03-10,9.85,9.89,9.82,9.89,10960.0
2010-03-11,9.89,10.0,9.63,9.85,29400.0
2010-03-12,9.85,10.3,9.7,10.3,145156.0
2010-03-15,10.45,10.75,10.19,10.6,35736.0
2010-03-16,10.6,10.97,10.45,10.45,85828.0
2010-03-17,10.45,10.97,10.23,10.41,56480.0
2010-03-18,10.41,10.41,10.38,10.41,10836.0
2010-03-19,10.6,10.6,10.6,10.6,6300.0
2010-03-22,10.75,10.9,10.6,10.86,3176.0
