Date,Open,High,Low,Close,Volume
2018-03-14,77.48,79.33,77.29,78.36,301363.0
2018-03-15,79.33,79.43,77.68,79.43,221383.0
2018-03-16,79.53,79.53,75.82,76.8,266341.0
2018-03-19,76.8,77.38,74.46,74.56,176801.0
2018-03-20,75.14,77.09,74.07,76.21,355019.0
2018-03-21,76.21,77.09,74.95,75.14,119312.0
2018-03-22,75.14,75.24,73.87,74.26,101472.0
2018-03-23,73.68,74.95,73.0,74.56,105594.0
2018-03-26,74.75,75.04,73.58,74.36,94222.0
2018-03-27,74.85,76.8,74.07,76.12,161355.0
2018-03-28,75.24,75.92,74.46,74.56,146154.0
2018-03-29,74.56,75.24,74.26,74.75,51155.0
2018-04-03,74.07,74.85,73.48,73.87,98035.0
2018-04-04,74.56,74.85,72.12,72.51,146761.0
2018-04-05,74.17,74.36,73.09,73.97,106203.0
2018-04-06,73.78,74.85,73.39,74.26,56849.0
2018-04-09,75.04,75.53,74.07,74.36,75907.0
2018-04-10,74.07,75.34,74.07,74.65,25094.0
2018-04-11,75.34,75.34,73.29,74.75,71741.0
2018-04-12,74.85,76.6,74.07,76.02,147302.0
2018-04-13,75.04,75.92,73.78,73.97,157166.0
2018-04-16,74.07,74.85,72.8,72.9,62490.0
2018-04-17,74.26,74.65,71.83,72.9,532232.0
2018-04-18,73.39,74.36,72.71,74.17,66654.0
2018-04-19,73.29,75.04,72.71,74.56,139100.0
2018-04-20,75.04,76.7,74.56,75.53,108660.0
2018-04-23,77.58,77.58,75.53,76.31,88899.0
2018-04-24,77.68,77.68,75.73,76.9,286505.0
2018-04-25,76.9,76.9,73.58,74.85,117588.0
2018-04-26,75.73,76.21,74.65,75.92,66585.0
2018-04-27,75.92,76.51,73.97,75.04,157127.0
2018-04-30,75.53,76.21,74.46,75.73,77319.0
2018-05-02,75.73,77.29,71.83,72.51,1126805.0
2018-05-03,72.61,73.39,71.63,72.71,191122.0
2018-05-04,72.8,75.14,72.41,74.07,168428.0
2018-05-07,74.95,75.43,73.87,75.24,91593.0
2018-05-08,75.24,76.41,74.85,76.31,94269.0
2018-05-09,76.41,76.51,75.24,76.02,60332.0
2018-05-11,76.9,76.9,75.34,75.43,51649.0
2018-05-14,76.21,76.8,74.65,76.51,233349.0
2018-05-15,76.99,77.58,72.32,73.09,654829.0
2018-05-16,73.19,74.07,72.61,72.9,558674.0
2018-05-17,73.4,73.8,72.3,73.7,235330.0
2018-05-18,73.5,75.7,73.5,75.3,252249.0
2018-05-21,75.3,76.5,75.0,76.2,113157.0
2018-05-22,76.5,76.7,75.5,76.6,144751.0
2018-05-23,76.2,76.2,74.2,75.9,123553.0
2018-05-24,76.8,76.8,74.7,75.1,138682.0
2018-05-25,75.0,75.5,74.5,74.6,40126.0
2018-05-28,75.0,75.9,73.4,73.8,68509.0
2018-05-29,73.8,74.3,70.9,71.0,301863.0
2018-05-30,71.6,72.1,70.6,71.4,143007.0
2018-05-31,71.5,74.4,70.9,74.4,385324.0
2018-06-01,74.3,74.3,71.6,73.5,308943.0
2018-06-04,73.0,74.9,73.0,74.9,58559.0
2018-06-05,73.2,74.9,72.8,73.6,61106.0
2018-06-06,73.6,73.6,73.6,73.6,0.0
2018-06-07,72.1,73.5,71.2,72.2,178356.0
