Date,Open,High,Low,Close,Volume
2009-12-03,1.89,1.91,1.85,1.89,140995.0
2009-12-04,1.9,1.96,1.87,1.96,259502.0
2009-12-07,1.96,1.96,1.9,1.94,429709.0
2009-12-08,1.94,1.97,1.93,1.93,440272.0
2009-12-09,1.93,1.98,1.91,1.96,267245.0
2009-12-10,1.98,2.01,1.94,2.01,229261.0
2009-12-11,2.0,2.05,1.99,2.02,366329.0
2009-12-14,2.06,2.09,2.03,2.06,785331.0
2009-12-15,2.09,2.14,2.08,2.13,455481.0
2009-12-16,2.14,2.24,2.14,2.21,853046.0
2009-12-17,2.23,2.25,2.15,2.21,283117.0
2009-12-18,2.2,2.2,2.1,2.2,600413.0
2009-12-21,2.23,2.26,2.17,2.21,622049.0
2009-12-22,2.21,2.35,2.21,2.29,827507.0
2009-12-23,2.27,2.35,2.27,2.35,279191.0
2009-12-28,2.38,2.47,2.35,2.41,267864.0
2009-12-29,2.44,2.62,2.41,2.57,1015555.0
2009-12-30,2.6,2.68,2.56,2.6,751429.0
2010-01-04,2.56,2.59,2.4,2.4,882546.0
2010-01-05,2.41,2.51,2.29,2.29,797111.0
2010-01-07,2.27,2.54,2.26,2.47,780719.0
2010-01-08,2.56,2.64,2.5,2.54,969939.0
2010-01-11,2.56,2.57,2.47,2.47,591620.0
2010-01-12,2.41,2.42,2.32,2.35,647577.0
2010-01-13,2.36,2.42,2.33,2.35,409755.0
2010-01-14,2.39,2.39,2.32,2.34,358410.0
2010-01-15,2.33,2.34,2.26,2.31,369614.0
2010-01-18,2.32,2.32,2.26,2.29,478687.0
2010-01-19,2.29,2.35,2.26,2.34,1652270.0
2010-01-20,2.32,2.35,2.27,2.27,212128.0
2010-01-21,2.26,2.32,2.26,2.28,188767.0
2010-01-22,2.26,2.3,2.14,2.2,954774.0
2010-01-25,2.2,2.28,2.15,2.21,130232.0
2010-01-26,2.19,2.2,2.11,2.12,615069.0
2010-01-27,2.12,2.15,2.08,2.14,287940.0
2010-01-28,2.17,2.18,2.08,2.15,273704.0
2010-01-29,2.17,2.18,2.14,2.18,644845.0
2010-02-01,2.17,2.19,2.11,2.14,479550.0
2010-02-02,2.18,2.28,2.15,2.22,1501575.0
2010-02-03,2.23,2.31,2.23,2.23,147333.0
2010-02-04,2.23,2.26,2.2,2.2,73522.0
2010-02-05,2.11,2.2,2.11,2.11,183657.0
2010-02-08,2.19,2.2,2.05,2.09,120399.0
2010-02-09,2.09,2.18,2.09,2.11,86663.0
2010-02-10,2.05,2.23,2.05,2.21,269103.0
2010-02-11,2.26,2.32,2.18,2.24,636605.0
2010-02-12,2.24,2.33,2.21,2.28,250211.0
2010-02-15,2.26,2.26,2.16,2.2,264535.0
2010-02-16,2.32,2.32,2.17,2.17,173702.0
2010-02-17,2.23,2.23,2.12,2.15,62572.0
2010-02-18,2.21,2.21,2.09,2.09,192716.0
2010-02-19,2.15,2.15,2.05,2.11,1077065.0
2010-02-22,2.11,2.3,2.07,2.23,868311.0
2010-02-23,2.24,2.29,2.21,2.21,257909.0
2010-02-24,2.24,2.28,2.19,2.21,86198.0
2010-02-25,2.26,2.26,2.18,2.2,167430.0
2010-02-26,2.2,2.26,2.19,2.24,110433.0
2010-03-01,2.2,2.27,2.2,2.27,143594.0
2010-03-02,2.27,2.27,2.21,2.25,113585.0
2010-03-03,2.26,2.27,2.21,2.26,314486.0
2010-03-04,2.26,2.26,2.2,2.21,98697.0
2010-03-05,2.24,2.26,2.21,2.25,645531.0
2010-03-08,2.26,2.26,2.2,2.23,349428.0
2010-03-09,2.21,2.26,2.2,2.26,372457.0
2010-03-10,2.26,2.26,2.21,2.26,282498.0
2010-03-11,2.26,2.26,2.23,2.26,73290.0
2010-03-12,2.26,2.46,2.26,2.38,1163053.0
2010-03-15,2.36,2.39,2.36,2.38,257677.0
2010-03-16,2.35,2.43,2.35,2.41,910542.0
2010-03-17,2.41,2.46,2.39,2.43,3067005.0
2010-03-18,2.45,2.46,2.39,2.42,185593.0
2010-03-19,2.46,2.48,2.42,2.44,259104.0
2010-03-22,2.44,2.45,2.42,2.44,105024.0
2010-03-23,2.44,2.53,2.44,2.53,387434.0
2010-03-24,2.53,2.54,2.48,2.53,2969923.0
2010-03-25,2.5,2.59,2.5,2.53,277421.0
2010-03-26,2.53,2.57,2.5,2.53,521482.0
2010-03-29,2.53,2.55,2.5,2.51,1396684.0
2010-03-30,2.51,2.54,2.5,2.54,168835.0
2010-03-31,2.51,2.56,2.5,2.56,308171.0
2010-04-01,2.56,2.62,2.56,2.62,182540.0
2010-04-06,2.62,2.63,2.58,2.61,299631.0
2010-04-07,2.57,2.63,2.56,2.6,155164.0
2010-04-08,2.59,2.59,2.52,2.56,411292.0
2010-04-09,2.56,2.6,2.53,2.53,51478.0
2010-04-12,2.59,2.59,2.45,2.57,340845.0
2010-04-13,2.54,2.54,2.5,2.54,388230.0
2010-04-14,2.53,2.53,2.51,2.51,221198.0
2010-04-15,2.5,2.53,2.48,2.52,114426.0
2010-04-16,2.53,2.6,2.53,2.6,287199.0
2010-04-19,2.58,2.63,2.5,2.62,414257.0
2010-04-20,2.63,2.65,2.54,2.6,382722.0
2010-04-21,2.6,2.79,2.6,2.68,693657.0
2010-04-22,2.68,2.77,2.66,2.66,677243.0
2010-04-23,2.68,2.75,2.56,2.7,416701.0
2010-04-26,2.72,2.89,2.72,2.81,497358.0
2010-04-27,2.89,2.89,2.77,2.78,234571.0
2010-04-28,2.78,2.8,2.68,2.8,141349.0
2010-04-29,2.8,2.92,2.8,2.86,310527.0
2010-04-30,2.87,2.93,2.87,2.9,181776.0
2010-05-03,2.98,2.98,2.86,2.86,218422.0
2010-05-04,2.92,2.94,2.74,2.8,223244.0
2010-05-05,2.72,2.74,2.55,2.56,314597.0
2010-05-06,2.5,2.68,2.44,2.47,749737.0
2010-05-07,2.17,2.47,2.17,2.41,1244949.0
2010-05-10,2.93,3.07,2.9,2.94,892766.0
2010-05-11,3.02,3.04,2.87,2.95,747060.0
2010-05-12,3.04,3.04,2.97,3.0,80402.0
2010-05-14,3.0,3.04,3.0,3.01,200768.0
2010-05-17,2.93,2.95,2.89,2.91,171733.0
2010-05-18,2.91,2.97,2.85,2.97,385044.0
2010-05-19,2.97,3.02,2.86,2.99,107756.0
2010-05-20,3.02,3.04,2.86,2.86,474296.0
2010-05-21,2.85,2.96,2.85,2.9,1773078.0
2010-05-24,3.01,3.04,2.95,2.98,254768.0
2010-05-25,2.97,2.97,2.74,2.9,384270.0
2010-05-26,2.97,3.07,2.9,3.07,472836.0
2010-05-27,3.07,3.07,2.96,3.06,98941.0
2010-05-28,3.06,3.07,2.94,3.0,207062.0
2010-05-31,3.14,3.14,3.02,3.04,211896.0
2010-06-01,3.04,3.06,2.97,3.06,350722.0
2010-06-02,3.06,3.06,2.97,2.99,2662350.0
2010-06-03,3.03,3.08,3.02,3.02,108896.0
2010-06-04,3.02,3.06,3.01,3.01,195304.0
2010-06-07,3.02,3.06,2.97,3.06,468964.0
2010-06-08,3.04,3.06,3.0,3.06,4551380.0
2010-06-09,3.07,3.07,3.0,3.06,234493.0
2010-06-10,3.09,3.32,3.09,3.28,1411505.0
2010-06-11,3.37,3.65,3.33,3.38,1000655.0
2010-06-14,3.4,3.49,3.4,3.4,541547.0
2010-06-15,3.49,3.49,3.37,3.4,999782.0
2010-06-16,3.4,3.47,3.32,3.33,874394.0
