Date,Open,High,Low,Close,Volume
2011-07-05,1.74,1.74,1.74,1.74,6759.0
2011-07-06,1.74,1.74,1.74,1.74,5407.0
2011-07-07,1.74,1.74,1.74,1.74,1352.0
2011-07-08,1.77,1.77,1.77,1.77,1352.0
2011-07-11,1.77,1.77,1.77,1.77,4055.0
2011-07-13,1.81,1.81,1.81,1.81,6759.0
2011-07-18,1.74,1.74,1.74,1.74,4055.0
2011-07-19,1.77,1.77,1.74,1.74,9463.0
2011-07-21,1.74,1.74,1.74,1.74,10814.0
2011-07-26,1.74,1.74,1.74,1.74,2568.0
2011-07-28,1.74,1.74,1.74,1.74,20277.0
2011-08-03,1.74,1.74,1.74,1.74,2704.0
2011-08-04,1.81,1.81,1.74,1.74,12166.0
2011-08-10,1.74,1.74,1.74,1.74,1492.0
2011-08-12,1.95,1.95,1.95,1.95,2704.0
2011-08-17,1.53,1.54,1.53,1.54,4055.0
2011-08-18,1.52,1.74,1.52,1.74,8111.0
2011-08-23,1.99,1.99,1.99,1.99,7029.0
2011-08-24,1.99,1.99,1.99,1.99,6759.0
2011-08-26,1.99,1.99,1.99,1.99,5678.0
2011-08-30,2.03,2.03,1.99,1.99,13518.0
2011-08-31,1.95,1.95,1.95,1.95,3501.0
2011-09-01,1.95,1.95,1.95,1.95,1352.0
2011-09-02,2.1,2.1,2.1,2.1,676.0
2011-09-09,2.17,2.17,2.17,2.17,2704.0
2011-09-12,1.99,1.99,1.99,1.99,5407.0
2011-09-14,2.03,2.03,2.03,2.03,5407.0
2011-09-21,2.1,2.1,2.1,2.1,2704.0
2011-09-28,2.13,2.13,2.13,2.13,676.0
2011-10-03,2.1,2.1,2.1,2.1,1352.0
2011-10-10,2.17,2.17,2.17,2.17,3379.0
2011-10-11,2.17,2.53,2.17,2.53,7976.0
2011-10-12,2.42,2.46,2.35,2.35,5542.0
2011-10-14,2.53,2.53,2.53,2.53,5407.0
2011-10-17,2.53,2.53,2.53,2.53,1081.0
2011-10-18,2.5,2.5,2.46,2.46,6286.0
2011-10-19,2.5,2.5,2.5,2.5,4055.0
2011-10-21,2.46,2.46,2.42,2.42,5029.0
2011-10-25,2.42,2.42,2.42,2.42,1352.0
2011-10-31,2.53,2.53,2.53,2.53,135.0
2011-11-01,2.42,2.53,2.42,2.53,2704.0
2011-11-04,2.46,2.46,2.46,2.46,1893.0
2011-11-10,2.47,2.47,2.47,2.47,2704.0
2011-11-11,2.46,2.53,2.46,2.53,5407.0
2011-11-15,2.53,2.53,2.42,2.42,6353.0
2011-11-21,2.39,2.39,2.39,2.39,2704.0
2011-11-23,2.39,2.39,2.39,2.39,1352.0
2011-11-30,2.39,2.39,2.39,2.39,3271.0
2011-12-12,2.5,2.5,2.5,2.5,676.0
2011-12-14,2.39,2.5,2.39,2.5,2028.0
2011-12-19,2.21,2.21,2.21,2.21,2704.0
2011-12-20,1.84,1.84,1.84,1.84,2704.0
2011-12-22,2.03,2.24,2.03,2.24,1622.0
2011-12-23,2.24,2.24,2.24,2.24,6489.0
2011-12-27,1.13,2.42,1.13,2.17,7163.0
2011-12-28,2.17,2.17,2.17,2.17,4054.0
2011-12-30,1.71,2.32,1.71,2.32,10950.0
2012-01-02,2.17,2.35,2.17,2.35,1353.0
2012-01-03,2.17,2.17,2.17,2.17,2702.0
2012-01-13,1.71,1.71,1.71,1.71,2704.0
2012-01-19,1.99,1.99,1.99,1.99,11220.0
2012-01-20,2.16,2.16,2.16,2.16,1487.0
2012-02-02,1.82,1.82,1.82,1.82,4055.0
2012-02-06,1.99,1.99,1.99,1.99,6083.0
2012-02-15,1.95,1.95,1.95,1.95,2433.0
2012-03-08,1.95,1.95,1.95,1.95,1054.0
2012-03-19,1.92,1.92,1.88,1.88,10814.0
2012-03-22,1.74,1.74,1.7,1.7,5407.0
2012-03-23,1.74,1.74,1.7,1.7,2974.0
2012-03-27,1.45,1.45,1.45,1.45,1352.0
2012-03-28,1.45,1.45,1.45,1.45,6759.0
2012-03-29,1.59,1.59,1.59,1.59,1352.0
2012-03-30,1.59,1.59,1.59,1.59,338.0
2012-04-04,1.37,1.37,1.06,1.06,7840.0
2012-04-05,1.43,1.43,1.43,1.43,6083.0
2012-04-13,1.43,1.43,1.43,1.43,676.0
2012-04-16,1.59,1.59,1.59,1.59,676.0
2012-04-18,1.45,1.45,1.45,1.45,4055.0
2012-05-28,1.45,1.45,1.45,1.45,1.0
2012-07-04,1.09,1.56,1.09,1.56,2704.0
2012-08-20,1.45,1.45,1.45,1.45,6622.0
2012-08-28,1.09,1.09,1.07,1.07,4055.0
2012-08-31,0.96,1.09,0.96,1.09,8111.0
2012-09-18,1.36,1.36,1.3,1.3,4055.0
2012-09-24,1.37,1.37,1.37,1.37,2704.0
2012-10-19,1.4,1.41,1.4,1.41,6759.0
2012-10-30,1.31,1.31,1.31,1.31,1352.0
2012-11-15,1.45,1.45,1.45,1.45,2704.0
2012-11-26,1.52,1.52,1.52,1.52,4055.0
2012-11-27,1.66,1.66,1.66,1.66,1352.0
2012-12-13,1.48,1.48,1.48,1.48,1352.0
2012-12-28,1.27,1.3,1.27,1.3,4055.0
2013-01-10,1.45,1.45,1.45,1.45,2366.0
2013-01-21,1.59,1.59,1.59,1.59,608.0
2013-01-28,1.41,1.41,1.41,1.41,2704.0
2013-01-29,1.4,1.4,1.4,1.4,2129.0
2013-01-31,1.2,1.2,1.2,1.2,3042.0
2013-02-05,1.34,1.34,1.34,1.34,1352.0
2013-02-06,1.37,1.37,1.37,1.37,270.0
2013-02-22,1.45,1.45,1.45,1.45,5475.0
2013-02-26,1.56,1.56,1.56,1.56,1352.0
2013-03-06,1.63,1.63,1.63,1.63,1352.0
2013-03-08,1.52,1.52,1.52,1.52,1352.0
2013-03-12,1.52,1.52,1.52,1.52,2636.0
2013-04-02,1.34,1.34,1.34,1.34,67590.0
2013-04-03,1.35,1.35,1.34,1.34,29739.0
2013-04-04,1.27,1.27,1.27,1.27,4055.0
2013-04-05,1.3,1.3,1.3,1.3,12166.0
2013-04-08,1.3,1.3,1.19,1.19,6759.0
2013-04-10,1.16,1.16,1.16,1.16,4055.0
2013-04-12,1.09,1.09,1.09,1.09,1352.0
2013-04-16,1.1,1.1,1.1,1.1,1352.0
2013-04-23,1.12,1.12,1.09,1.09,31767.0
2013-04-24,1.09,1.09,1.09,1.09,20277.0
2013-04-29,1.09,1.58,1.09,1.58,8881.0
2013-04-30,1.58,1.58,1.58,1.58,6759.0
2013-05-02,1.58,1.58,1.29,1.3,25684.0
2013-05-03,1.14,1.36,1.09,1.36,64900.0
2013-05-07,1.09,1.22,1.09,1.22,4123.0
2013-05-13,1.04,1.16,1.04,1.16,37255.0
2013-05-14,1.11,1.12,1.11,1.12,67590.0
2013-05-15,0.95,1.11,0.95,1.11,2704.0
2013-05-16,1.05,1.12,1.05,1.12,10814.0
2013-05-20,1.16,1.16,1.16,1.16,13518.0
2013-05-21,1.16,1.27,1.16,1.27,17952.0
2013-05-22,1.27,1.34,1.23,1.34,43616.0
2013-05-23,1.37,1.37,1.37,1.37,3988.0
2013-05-27,1.41,1.41,1.27,1.37,42176.0
2013-05-28,1.27,1.37,1.27,1.37,13558.0
2013-05-29,1.27,1.3,1.27,1.3,31862.0
2013-05-30,1.3,1.3,1.3,1.3,6759.0
2013-05-31,1.16,1.37,1.11,1.37,1487.0
2013-06-03,1.14,1.37,1.14,1.37,5407.0
2013-06-04,1.19,1.37,1.19,1.37,1352.0
2013-06-07,1.19,1.19,1.11,1.11,4055.0
2013-06-11,1.23,1.23,1.23,1.23,4055.0
2013-06-12,1.19,1.19,1.1,1.1,20277.0
2013-06-13,0.95,1.4,0.94,0.95,11085.0
2013-06-14,1.01,1.15,0.98,0.98,35282.0
2013-06-17,0.98,0.98,0.98,0.98,406.0
2013-06-18,0.98,1.11,0.98,1.11,3312.0
2013-06-20,0.94,0.94,0.94,0.94,1352.0
2013-06-24,1.11,1.11,1.11,1.11,1352.0
2013-06-26,1.15,1.16,1.15,1.16,13518.0
2013-06-27,1.19,1.56,1.19,1.55,88268.0
2013-06-28,1.51,1.59,1.41,1.5,459408.0
2013-07-01,1.51,2.32,1.51,2.26,712496.0
2013-07-02,2.42,2.64,1.61,2.1,1282489.0
2013-07-03,1.74,1.99,1.74,1.9,122866.0
2013-07-04,1.74,1.84,1.52,1.84,125690.0
2013-07-05,1.77,1.86,1.63,1.86,11917.0
2013-07-08,1.59,1.65,1.59,1.65,12377.0
2013-07-09,1.65,1.65,1.63,1.63,12166.0
2013-07-10,1.63,1.74,1.58,1.74,10720.0
2013-07-11,1.7,2.39,1.7,2.22,126655.0
2013-07-12,2.21,2.22,2.03,2.16,55248.0
2013-07-15,2.24,2.5,2.24,2.35,70922.0
2013-07-16,2.35,2.46,2.17,2.17,56362.0
2013-07-17,2.17,2.35,2.16,2.24,32010.0
2013-07-18,2.18,2.18,1.95,2.03,33338.0
2013-07-19,2.03,2.28,1.98,1.98,20196.0
2013-07-22,1.99,1.99,1.99,1.99,10403.0
2013-07-23,2.11,2.24,2.11,2.24,7435.0
2013-07-24,2.24,2.39,2.24,2.39,19250.0
2013-07-25,2.24,2.5,2.17,2.5,38053.0
2013-07-26,2.53,3.47,2.5,2.64,71757.0
2013-07-29,2.54,2.64,2.33,2.42,29875.0
2013-07-30,2.43,2.44,2.36,2.44,15024.0
2013-07-31,2.42,2.42,2.24,2.29,41520.0
2013-08-01,2.17,2.39,2.11,2.32,25779.0
2013-08-02,2.32,2.53,2.19,2.53,50084.0
2013-08-05,2.53,2.64,2.5,2.5,89960.0
2013-08-06,2.5,2.52,2.17,2.52,72265.0
2013-08-07,2.32,2.46,2.28,2.46,18656.0
2013-08-08,2.32,2.39,2.32,2.39,39136.0
2013-08-09,2.32,2.32,2.19,2.32,68644.0
2013-08-12,2.31,2.31,2.24,2.24,9638.0
2013-08-13,2.32,2.39,2.24,2.35,29199.0
2013-08-14,2.32,2.32,2.21,2.32,7164.0
2013-08-15,2.21,2.39,2.17,2.39,4118.0
2013-08-16,2.35,2.35,2.35,2.35,14870.0
2013-08-20,2.42,2.42,2.42,2.42,1095.0
2013-08-21,2.39,2.39,2.39,2.39,406.0
2013-08-22,2.39,2.39,2.17,2.35,18479.0
2013-08-23,2.53,2.65,2.24,2.65,31078.0
2013-08-26,2.32,2.65,2.32,2.65,3150.0
2013-08-27,2.65,2.65,2.65,2.65,3853.0
2013-08-28,2.71,2.75,2.46,2.68,39337.0
2013-08-29,2.68,2.68,2.21,2.6,13112.0
2013-09-02,2.5,2.64,2.5,2.6,21968.0
2013-09-03,2.57,2.57,2.5,2.57,10017.0
2013-09-04,2.53,2.53,2.5,2.5,33795.0
2013-09-05,2.5,2.5,2.5,2.5,6759.0
2013-09-09,2.32,2.6,2.32,2.6,2028.0
2013-09-11,2.37,2.67,2.37,2.64,21169.0
2013-09-12,2.36,2.53,2.35,2.53,8246.0
2013-09-13,2.53,2.71,2.53,2.71,33232.0
2013-09-17,2.36,2.6,2.36,2.6,10206.0
2013-09-18,3.21,3.44,3.04,3.15,115393.0
2013-09-19,3.26,3.26,3.18,3.18,11105.0
2013-09-20,2.89,3.18,2.82,3.18,44474.0
2013-09-23,2.9,3.25,2.9,3.21,9598.0
2013-09-24,3.03,3.04,3.03,3.04,4731.0
2013-09-25,3.05,3.1,2.9,3.1,10950.0
2013-09-26,2.9,2.92,2.89,2.92,11590.0
2013-09-27,3.04,3.1,3.04,3.1,27171.0
2013-10-01,2.92,3.1,2.92,3.04,6725.0
2013-10-02,2.92,2.97,2.92,2.97,2839.0
2013-10-03,2.94,3.0,2.17,3.0,85977.0
2013-10-08,3.0,3.11,2.89,2.97,104129.0
2013-10-09,3.04,3.15,2.53,3.04,9463.0
2013-10-10,3.04,3.04,2.64,2.71,95488.0
2013-10-11,2.71,2.89,2.54,2.54,33401.0
2013-10-14,2.89,3.03,2.71,2.95,85962.0
2013-10-15,2.95,3.21,2.95,3.1,67626.0
2013-10-16,3.11,3.11,2.91,3.0,36228.0
2013-10-17,3.07,3.07,2.93,3.0,36538.0
2013-10-18,3.04,3.11,2.8,3.11,45082.0
2013-10-21,3.11,3.11,3.11,3.11,20385.0
2013-10-22,3.18,3.18,3.18,3.18,710.0
2013-10-23,3.18,3.18,2.89,2.89,22292.0
2013-10-24,2.93,3.17,2.92,3.1,22980.0
2013-10-25,3.1,3.17,3.04,3.11,15951.0
2013-10-28,3.07,3.15,3.04,3.07,49934.0
2013-10-29,3.26,3.33,3.18,3.33,39729.0
2013-10-30,3.47,3.94,3.4,3.94,207814.0
2013-11-01,5.06,5.72,4.12,5.06,135993.0
2013-11-04,5.39,7.67,5.39,6.37,458070.0
2013-11-05,6.84,6.84,6.37,6.8,128902.0
2013-11-06,6.84,9.98,6.8,9.12,292621.0
2013-11-07,9.19,10.13,9.19,10.02,191730.0
2013-11-08,10.2,11.5,10.06,10.71,129411.0
2013-11-11,10.71,10.71,8.32,8.32,164627.0
2013-11-12,8.32,8.32,7.52,8.1,134660.0
2013-11-13,7.45,8.32,7.45,7.96,23435.0
2013-11-14,7.96,9.26,7.96,8.75,63656.0
2013-11-15,8.68,8.83,7.96,8.75,35591.0
2013-11-18,8.68,8.68,7.96,8.32,12983.0
2013-11-19,8.68,9.04,7.96,8.83,37566.0
2013-11-20,9.04,9.04,8.83,8.83,13519.0
2013-11-21,10.29,10.29,8.88,9.35,16439.0
2013-11-22,9.26,9.26,8.42,9.26,13342.0
2013-11-25,8.98,8.98,8.42,8.84,21994.0
2013-11-26,8.79,9.26,8.65,9.26,11801.0
2013-11-27,9.35,9.63,9.35,9.63,13985.0
2013-11-28,9.35,9.35,8.42,9.35,12552.0
2013-11-29,8.88,8.88,7.57,8.74,19814.0
2013-12-02,8.79,8.79,7.85,8.37,5638.0
2013-12-03,7.71,8.51,7.71,8.51,10857.0
2013-12-04,7.85,8.37,7.85,7.95,2301.0
2013-12-05,8.09,8.37,7.81,7.85,5015.0
2013-12-06,8.23,8.42,7.99,8.42,10617.0
2013-12-09,8.6,8.93,8.6,8.7,2197.0
2013-12-10,8.98,8.98,7.95,8.32,8897.0
2013-12-11,7.99,8.13,7.99,8.13,1526.0
2013-12-12,7.99,8.28,7.99,8.04,1882.0
2013-12-13,8.04,8.04,7.57,7.95,2758.0
2013-12-16,7.95,8.23,7.95,8.23,14289.0
2013-12-17,8.23,8.32,8.09,8.28,9143.0
2013-12-18,7.9,8.18,7.9,8.18,941.0
2013-12-19,8.18,8.32,8.18,8.32,1046.0
2013-12-20,7.9,8.13,7.9,8.13,1830.0
2013-12-23,8.32,9.3,8.32,8.84,17428.0
2013-12-27,8.84,8.98,8.84,8.93,25657.0
2013-12-30,8.98,9.91,8.79,9.21,34063.0
2014-01-02,10.29,10.29,9.44,9.63,19943.0
2014-01-03,9.63,11.13,9.63,10.94,50091.0
2014-01-07,11.22,13.0,11.22,12.72,85594.0
2014-01-08,13.09,13.09,12.16,12.16,27828.0
2014-01-09,12.34,12.34,11.88,12.16,2495.0
2014-01-10,12.16,12.16,11.27,12.11,5028.0
2014-01-13,11.97,12.16,10.29,12.16,33201.0
2014-01-14,12.16,12.16,12.11,12.16,3305.0
2014-01-15,12.06,12.86,12.06,12.86,32859.0
2014-01-16,13.09,13.09,12.9,13.04,32334.0
2014-01-17,12.44,13.04,12.25,13.04,11406.0
2014-01-20,12.9,12.9,12.53,12.53,10671.0
2014-01-21,12.25,12.25,10.99,12.16,29147.0
2014-01-22,11.45,12.02,10.75,11.36,5952.0
2014-01-23,11.55,11.55,10.61,10.8,34468.0
2014-01-24,11.22,11.31,10.29,10.29,23323.0
2014-01-27,9.86,11.45,9.86,11.45,36471.0
2014-01-28,12.58,12.62,11.55,12.34,38006.0
2014-01-29,12.62,14.87,12.34,13.89,80427.0
2014-01-30,13.89,13.89,13.18,13.56,11865.0
2014-01-31,13.37,13.37,12.48,13.09,26672.0
2014-02-03,13.09,14.31,13.09,14.03,48301.0
2014-02-04,14.03,14.77,13.75,14.12,23585.0
2014-02-05,14.03,14.31,13.75,14.31,8786.0
2014-02-06,14.77,14.77,14.31,14.68,14370.0
2014-02-07,14.77,14.77,14.49,14.68,8744.0
2014-02-10,14.03,14.77,14.03,14.77,5925.0
2014-02-11,14.77,15.9,14.77,15.9,20460.0
