Date,Open,High,Low,Close,Volume
2016-03-22,68.13,72.54,67.89,72.54,7017855.0
2016-03-23,71.07,71.07,68.13,68.38,765071.0
2016-03-24,68.38,68.62,67.64,68.13,120135.0
2016-03-29,68.62,68.62,66.41,67.15,303824.0
2016-03-30,67.15,68.13,66.66,66.91,188227.0
2016-03-31,66.91,67.4,65.92,67.15,237726.0
2016-04-01,66.91,67.15,66.66,67.15,40762.0
2016-04-04,67.15,67.89,66.66,67.4,252675.0
2016-04-05,67.4,67.64,66.66,67.64,81729.0
2016-04-06,66.91,67.64,66.91,67.64,89903.0
2016-04-07,67.64,67.64,66.66,66.66,33232.0
2016-04-08,66.91,67.64,66.66,67.4,48368.0
2016-04-11,67.64,67.64,66.17,66.17,59071.0
2016-04-12,66.17,66.66,65.43,66.66,58878.0
2016-04-13,66.91,68.13,66.66,67.89,92203.0
2016-04-14,67.89,68.62,67.64,68.13,117644.0
2016-04-15,68.87,69.11,67.89,68.38,125433.0
2016-04-18,68.13,68.62,67.4,68.13,14464.0
2016-04-19,68.13,68.87,67.4,68.62,56956.0
2016-04-20,68.38,68.87,68.13,68.62,29586.0
2016-04-21,68.62,69.11,68.38,68.87,36748.0
2016-04-22,68.62,68.87,66.91,68.13,37663.0
2016-04-25,67.89,68.62,67.4,68.13,15694.0
2016-04-26,68.13,68.38,67.64,67.64,15478.0
2016-04-27,67.64,67.89,67.4,67.89,42592.0
2016-04-28,68.13,68.38,67.4,68.13,18392.0
2016-04-29,67.89,68.13,67.4,67.64,21659.0
2016-05-02,68.38,68.62,67.4,67.4,97473.0
2016-05-03,67.4,67.4,65.92,66.91,84855.0
2016-05-04,67.15,68.87,66.66,68.87,51382.0
2016-05-06,68.13,68.62,67.64,68.62,6940.0
2016-05-09,69.11,69.85,68.62,69.36,111813.0
2016-05-10,69.85,70.09,69.36,70.09,55469.0
2016-05-11,70.09,70.58,69.36,70.58,167981.0
2016-05-12,69.6,70.58,69.6,70.34,16370.0
2016-05-13,69.6,69.85,69.36,69.85,3732.0
2016-05-16,68.62,69.6,68.62,69.11,6463.0
2016-05-17,69.11,70.58,69.11,69.6,30345.0
2016-05-18,69.11,70.58,68.62,69.6,13278.0
2016-05-19,69.11,71.56,68.87,70.58,57586.0
2016-05-20,70.83,71.81,70.34,71.07,180102.0
2016-05-23,72.05,72.3,71.07,71.81,26878.0
2016-05-24,71.81,72.54,71.56,71.56,9936.0
2016-05-25,71.56,73.52,71.56,73.03,62630.0
2016-05-26,73.52,74.01,71.56,72.05,14572.0
2016-05-27,72.05,73.03,71.81,72.54,291557.0
2016-05-30,72.79,74.26,72.79,74.26,35271.0
2016-05-31,74.99,78.42,74.99,78.42,118101.0
2016-06-01,78.42,83.32,74.75,81.12,247159.0
2016-06-02,81.12,81.12,78.67,80.38,25089.0
2016-06-03,80.38,80.38,78.91,78.91,7519.0
2016-06-07,78.91,80.14,77.93,78.18,84177.0
2016-06-08,77.93,78.42,77.93,78.42,10606.0
2016-06-09,78.42,78.67,75.73,78.67,12670.0
2016-06-10,78.42,78.67,75.24,78.18,40812.0
2016-06-13,78.18,78.18,75.24,75.48,96218.0
2016-06-14,74.75,78.42,71.81,77.93,69705.0
2016-06-15,76.71,77.93,74.5,75.73,37627.0
2016-06-16,76.95,77.2,74.01,74.26,5441.0
2016-06-17,75.48,76.46,74.99,74.99,51809.0
2016-06-20,75.48,75.97,72.54,72.54,27285.0
2016-06-21,74.01,74.75,73.03,74.5,26485.0
2016-06-22,74.5,74.75,73.03,73.03,23115.0
2016-06-23,73.28,74.01,72.3,72.3,30984.0
2016-06-27,68.38,71.56,67.4,69.6,34916.0
2016-06-28,70.09,74.99,70.09,74.99,26739.0
2016-06-29,75.48,75.48,71.81,73.52,11394.0
2016-06-30,73.52,75.24,72.54,74.5,13176.0
2016-07-01,74.01,75.48,73.77,74.75,7632.0
2016-07-04,74.01,74.01,70.09,72.3,29340.0
2016-07-05,71.07,71.56,70.09,70.83,11804.0
2016-07-06,71.56,71.56,69.36,70.09,4972.0
2016-07-07,69.85,71.32,69.36,70.83,18842.0
2016-07-08,71.56,71.56,70.34,71.32,10047.0
2016-07-11,71.56,71.81,69.36,71.81,15723.0
2016-07-12,69.6,71.81,69.6,71.81,9257.0
2016-07-13,71.07,72.54,71.07,72.05,13105.0
2016-07-14,71.07,72.05,71.07,71.81,4578.0
2016-07-15,71.07,71.56,70.09,71.56,14986.0
2016-07-18,71.32,71.56,69.85,70.34,3017.0
2016-07-19,70.09,71.56,69.6,69.6,8272.0
2016-07-20,69.6,71.07,69.6,70.34,12360.0
2016-07-21,71.56,73.52,70.34,70.58,40820.0
2016-07-22,70.83,73.28,70.83,73.28,4516.0
2016-07-25,73.52,74.01,70.83,71.56,10334.0
2016-07-26,71.56,72.05,71.32,71.32,4029.0
2016-07-27,71.81,72.3,71.07,72.05,9104.0
2016-07-28,71.81,74.01,71.81,73.52,17874.0
2016-07-29,74.01,76.46,74.01,74.75,5893.0
2016-08-01,74.75,74.75,73.77,73.77,1897.0
2016-08-02,73.77,74.5,73.77,74.01,6077.0
2016-08-03,74.01,75.24,73.77,74.99,8637.0
2016-08-04,75.24,76.46,73.77,75.48,6678.0
2016-08-05,75.48,76.71,75.24,75.48,15001.0
2016-08-08,74.5,75.97,74.01,75.73,33408.0
2016-08-09,75.97,76.46,75.48,76.46,9385.0
2016-08-10,76.71,76.71,75.48,75.97,5953.0
